Book,Chapter,Verse,Text
2CO,1,1,ये चिट्ठी पौलुस और आसा रा पाई तीमुथियुसो री तरफा ते ए। आँऊ पौलुस परमेशरो री इच्छा ते यीशु मसीह रा प्रेरित ए। ये चिट्ठी परमेशरो री तेसा मण्डल़िया रे नाओं पाँदे लिखूँआ जो कुरिन्थुस नगरो रे ए और परमेशरो रे सब पवित्र लोका रे नाओं पाँदे जो सारे अखाया प्रदेशो रे रओए। 
2CO,1,2,म्हारे पिता परमेशर और प्रभु यीशु मसीह री तरफा ते कृपा और शान्ति मिलदी रओ। 
2CO,1,3,म्हारे प्रभु यीशु मसीह रे पिता परमेशरो रा धन्यवाद ओ। परमेशर दया रा पिता और सब प्रकारा री सुख-शान्ति देणे वाल़ा ए। 
2CO,1,4,परमेशर म्हारे सबी क्ल़ेशो रे सुख-शान्ति देओआ ताकि आसे बी ओरी लोका खे तिना रे क्ल़ेशा रे सेई सुख-शान्ति देई सकिए जो परमेशरो ते आसे पाई राखी। 
2CO,1,5,"कऊँकि जिंयाँ मसीह रे दु:खो रे आसे जादा सहभागी ओए, तिंयाँ ई आसे शान्तिया रे बी मसीह रे जरिए जादा सहभागी ओए। "
2CO,1,6,"जे आसे क्ल़ेश पाऊँए, तो ये तुसा री शान्ति और उद्धारो खे ए और जे आसे शान्ति पाऊँए, तो ये तुसा री शान्तिया खे ए। जेतेरे असरो ते तुसे सब्रो साथे तिना क्ल़ेशो खे सयी लओए, जिना खे आसे बी सऊँए। "
2CO,1,7,"और म्हारी उम्मीदा तुसा रे बारे रे पक्की ए, कऊँकि आसे जाणूंए कि जेड़े तुसे म्हारे दु:खो रे सहभागी ए, तेड़े ई तुसे आसा री शान्तिया रे बी सहभागी ऊणे। "
2CO,1,8,"ओ साथी विश्वासियो! आसे नि चांदे कि तुसे म्हारे तिना क्ल़ेशो ते अणजाण रओ जो आसिया प्रदेशो रे आसा पाँदे पड़ेया कि एड़े पारी बोजो ते दबी गे थे, जो म्हारे सईणे ते बी बारे था। एथो तक कि आसे आपणी जिन्दगिया ते जिऊणे री बी उम्मीद छाडी ती थी। "
2CO,1,9,"बल्कि आसे आपणे मनो रे समजी ला था कि आसा पाँदे मौता री सजा ऊई चुकी री। पर ये तेबे ऊआ ताकि आसे आपू पाँदे नि, पर तेस परमेशरो पाँदे विश्वास राखिए जो मरे रेया खे जिऊँदा करोआ। "
2CO,1,10,तिने ई आसे एड़ी बड़ी मौता ते बचाए और बचाणे बीए। तेस पाँदे आसा री ये उम्मीद ए कि से आसा खे आगे बी बचांदा रणा। 
2CO,1,11,"जेड़ा कि तुसे बी आपणी प्रार्थना रे जरिए म्हारी मताद करोए कि जो बरदान बऊत लोका री प्रार्थना रे जरिए आसा खे मिलेया, तिजी री बजअ ते बऊत लोक म्हारी तरफा ते धन्यवाद करो। "
2CO,1,12,"आसा खे इजी गल्ला पाँदे कमण्ड ए कि आसा रा विवेक साफ ए कि दुनिया रे और खास करी की तुसा बीचे म्हारा चाल-चलण परमेशरो जोगा, एड़ा पवित्र और सच्चाईया साथे था, जो शरीरो रे ज्ञानो ते नि, बल्कि परमेशरो री कृपा साथे था। "
2CO,1,13,"आसे तुसा खे ओर कुछ नि लिखदे, बस सेई जो तुसे पढ़ो या मानो बी ए। माखे उम्मीद ए कि एक दिन तुसा आँऊ पुरिया तरअ ते समजी लणा। "
2CO,1,14,जेड़ा तुसा बीचा ते कितणे जणेया मानी ला रा कि आसे तुसा रे कमण्डो री बजअ ए तिंयाँ ई तुसे बी प्रभु यीशुए रे वापस आऊणे रे दिने आसा खे कमण्डो री बजअ ठईरने। 
2CO,1,15,और एस परोसे ते आऊँ चाऊँ था कि पईले तुसा गे आऊँ ताकि तुसा खे एक और दान मिलो। 
2CO,1,16,मेरी सलाह थी कि आँऊ तुसा गिये ऊई कि मकिदुनिया प्रदेशो खे जाऊँ और फेर मकिदुनिया प्रदेशो ते तुसा गे आऊँ। तिजी ते बाद तुसे माखे सफरो रे जरूरी समान देई की यहूदिया प्रदेशो खे पेजो। 
2CO,1,17,इजी री खातर मैं जो ये सोचेया था तो क्या मैं तिदे लापरवाई दखाई? या जो आँऊ करना चाऊँआ क्या से दुनिया रे लोका रे मुताबिक करूँआ कि एक ई बखतो री गल्ला दे आ-आ बी करदा रऊँ और ना-ना बी करदा रऊँ? 
