Book,Chapter,Verse,Text
1TH,1,1,"ये चिट्ठी पौलुस, सिलवानुस और तीमुथियुसो री तरफा ते ए। आसे एसा चिट्ठिया खे थिस्सलुनीकियों नगरो री मण्डल़िया खे लिखणे लगी रे, जो परमेशर पिता और प्रभु यीशु मसीह रे ए। परमेशरो री तरफा ते कृपा और शान्ति तुसा खे मिलदी रओ। "
1TH,1,2,आसे तुसा सबी खे लगातार प्रार्थना करदे रऊँए और सदा तुसा सबी रे बारे रे परमेशरो रा धन्यवाद करूँए। 
1TH,1,3,आसे आपणे पिता परमेशरो रे सामणे प्रार्थना करदे बखते तुसा रे विश्वासो रे काम और प्यारो री मईणत और म्हारे प्रभु यीशु मसीह रे तुसा री उम्मीदा री सब्रता खे लगातार याद करूँए। 
1TH,1,4,ओ साथी विश्वासियो! परमेशरो रे प्यारे लोको! आसे जाणूंए कि परमेशरे तुसे आपणे लोक करी की चूणे ले रे। 
1TH,1,5,"कऊँकि आसा रे प्रभु यीशु मसीह रा सुसमाचार तुसा गे, ना कि बस वचन मात्र ईए, बल्कि पवित्र आत्मा री सामर्थ और बड़े निश्चे साथे पऊँछी रा। तुसे जाणोए कि जेबे आसे तुसा साथे थे आसे तुसा रे पले री खातर, तुसा बीचे केड़ा जीवन जिया। "
1TH,1,6,तुसे बड़े क्ल़ेशो रे पवित्र आत्मा री प्रेरणा ते खुशिया साथे प्रभुए रे संदेशो खे मानी ला। ईंयां तुसे म्हारी और प्रभुए री जी चाल चलणे लगे। 
1TH,1,7,एथो तक कि मकिदुनिया और अखाया प्रदेशो रे सबी विश्वासिया खे तुसे आदर्श बणे। 
1TH,1,8,"तुसा रे एथा ते ना केवल मकिदुनिया और अखाया प्रदेशो रे बी प्रभुए रा वचन सुणाया, पर तुसा रे विश्वासो री जो परमेशरो रे ए, हर जगा रे एड़ी चर्चा फैली गी कि आसा खे इजी रे बारे रे कुछ बी बोलणे री जरूरत निए। "
1TH,1,9,"दूर-दराजो रे लोक हर जगा तुसा रे जरिए कित्ती री खातरदारिया रे बारे रे बताओए। और ये बी कि किंयाँ तुसे मूर्तिया ते दूर ऊई की परमेशरो री तरफा खे फिरे, ताकि जिऊँदे और सच्चे परमेशरो री सेवा करो "
1TH,1,10,"और एबे तुसे परमेशरो रे पुत्र यीशु मसीह री स्वर्गो ते फेर आऊणे री बाट न्याल़दे रओ। जो परमेशरे मरे रेया बीचा ते जिऊँदा कित्तेया, जो आसा खे आऊणे वाल़े प्रकोपो ते बचाओआ। "
1TH,2,1,ओ प्यारे साथी विश्वासियो! तुसे आपू ई जाणोए कि म्हारा तुसा गे आऊणा फाईदेमंद ऊआ। 
1TH,2,2,जेड़ा तुसे आपू बी जाणोए कि आसे पईले-पईले फिलिप्पियो नगरो रे दु:ख सईन कित्तेया और बुरा बर्ताव सईन करने ते बाद बी म्हारे परमेशरे आसा खे एड़ी इम्मत दित्ती कि आसे परमेशरो रा सुसमाचार तुसा रे नगरो रे लोका री तरफा ते पारी (भारी) बिरोद ऊँदे ऊए बी तुसा खे सुणाऊँ। 
1TH,2,3,"कऊँकि म्हारा उपदेश ना तोखे राए, ना गल़त इरादे ते ए और ना ई ठग-बाजिया साथे ए। "
1TH,2,4,"पर परमेशरे आसे एते जोगे समजी की आसा गे सुसमाचार सम्बाल़ेया, आसे तेड़ा ई बताऊँए। इजी खे आसे मांणूआ खे नि, पर परमेशरो खे, जो म्हारे मनो खे परखोआ, खुश करने खे उपदेश देऊँए। "
1TH,2,5,तुसे जाणोए कि आसे ना तो कदी चापलूसिया रिया गल्ला करुँ थे और ना ई आसे तुसा ते कुछ पाणे रिया तंईं कुछ लाल़च कित्तेया। इना गल्ला रा परमेशर गवा ए कि आसे एड़े लोक नि थे। 
1TH,2,6,"हालाँकि आसा खे मसीह रे प्रेरित ऊणे री बजअ ते, तुसा ते मताद पाणे रा अक्क था, तेबे बी आसे मांणूआ ते आदर नि चाऊँ थे, ना तुसा ते और ना ई केसी ओरी ते। "
