Book,Chapter,Verse,Text
PHM,1,1,ये चिट्ठी मां पौलुसो री तरफा ते ए। आँऊ कैदा रे ए कऊँकि आँऊ यीशु मसीह रे सुसमाचारो रा प्रचार करूँआ। मेरा और आसा रे साथी विश्वासी तीमुथियुसो री तरफा ते ताखे नमस्कार। ओ फिलेमोन मां साथे काम करने वाल़े मेरे प्यारे दोस्त आँऊ ये चिट्ठी ताखे लिखणे लगी रा। 
PHM,1,2,आँऊ ये चिट्ठी आसा री विश्वासी बईण अफफिया और पाई अरखिप्पुस जो प्रभुए री सेवा एक योद्धा जेड़ी करोआ और तेसा मण्डल़िया के बी जो तुसा रे कअरे कट्ठी ओई लिखणे लगी रा। 
PHM,1,3,आँऊ प्रार्थना करूँआ कि म्हारे पिता परमेशर और प्रभु यीशु मसीह री तरफा ते ताखे कृपा और शान्ति मिलदी रओ। 
PHM,1,4,जेबे कदी बी आऊँ ताखे प्रार्थना करूँआ तो सदा ताखे परमेशरो रा धन्यवाद करूँआ। 
PHM,1,5,कऊँकि आँऊ प्रभु यीशुए पाँदे तेरे विश्वास और परमेशरो रे लोका खे तेरे प्यारो रे बारे रे सुणने लगी रा। 
PHM,1,6,आऊँ प्रार्थना करूँआ कि तेरी से साजेदारी जो विश्वासिया साथे ए और बी बड़दी जाओ। ताकि आसे सब ये जाणी सकिए कि आसे लोक मसीह पीछे चली की कितणे आशीषित ए। 
PHM,1,7,"ओ दोस्त, माखे तेरे प्यारो ते बऊत खुशी और शान्ति मिली, कऊँकि तेरे जरिए परमेशरो रे लोका रे मन खुश ऊईगे। "
PHM,1,8,"ओ फिलेमोन, आँऊ तुसा ते एक निवेदन करूँआ हालाँकि आँऊ मसीह रा प्रेरित ऊणे रे नाते तुसा खे जो करना चाईयो तिजी खे अक्को साथे एसा गल्ला खे करने री आज्ञा देई सकूँआ "
PHM,1,9,"तेबे बी मां स्याणे पौलुसो खे, जो एबे यीशु मसीह रा सुसमाचार सुनाणे री बजअ ते जेला रे कैद ए, ये ओर बी खरा लगेया कि प्यारो साथे तुसा ते बिनती करुँ। "
PHM,1,10,आऊँ उनेसिमुसो खे विनती करूँआ जो मेरे पाऊए जेड़ा ए। से मसीह रे मेरा पाऊ बणीगा जेबे आँऊ जेला रे था। 
PHM,1,11,"से पईले तो तेरे किजी कामो रा नि था, पर एबे तेरे और मेरे दूँईं रे बड़े कामो राए। "
PHM,1,12,"तेसखे ई, मतलब जो मेरे काल़जे रा टुकड़ा ए, मैं से तांगे वापस पेजी ता रा। "
PHM,1,13,"तेसखे आऊँ आपू गे ई राखणा चाऊँ था कि तेरी तरफा ते एसा कैदा रे जो सुसमाचारो री बजअ ते ए, मेरी सेवा करो। "
PHM,1,14,"पर मैं तेरी इच्छा ते बिना कुछ बी करना नि चाया, ताकि तेरी ये कृपा दबाओ रे नि पर खुशिया साथे ओ। "
PHM,1,15,क्या पता उनेसिमुस इजी बजअ ते कुछ दिनो खे नठी गा ताकि से मसीह पाँदे विश्वास करी सको और से ताखे सदा खे मिली जाओ। 
PHM,1,16,"पर आजो ते दासा जेड़ा नि, बल्कि दासो ते बी खरा, मतलब-पाईए जेड़ा रओ, जो मेरा तो खास प्यारा आए ई, पर एबे मांणूआ रे रूपो रे और प्रभुए रे बी, से तेरा खास प्यारा ओ। "
PHM,1,17,"जे तूँ माखे आपणा साथी समजेया, तो तेसखे ईंयां ग्रहण करी लओ, जेड़ा माखे। "
PHM,1,18,"जे तिने तेरा कुछ नुकशाण करी राखेया या से तेरा कर्जदार ए, तो मेरे नाओं दे लिखी लो। "
PHM,1,19,आऊँ पौलुस आपणे आथो साथे लिखूँआ कि मां आपू ई तेसरा कर्जा परी देणा। इजी री बोलणे री जरूरत निए कि तेरी सारी जिन्दगी मेरी कर्जदार ए। 
PHM,1,20,"ओ मेरे प्यारे दोस्त, ये खुशी माखे प्रभुए रे तेरी तरफा ते मिलो। मसीह रे मेरे जिऊओ खे अरा-फरा करी दे। "
PHM,1,21,"आऊँ तेरे आज्ञाकारी ऊणे रा विश्वास करी की ताखे लिखूँआ और ये जाणूंआ कि जो कुछ आऊँ बोलूँआ, तां तिजी ते बी केथी ओर बड़ी की करना। "
PHM,1,22,"और ये बी कि माखे रणे खे जगा त्यार राख, माखे उम्मीद ए कि तुसा री प्रार्थना रे जरिए परमेशरो तुसा री प्रार्थना रा जवाब देणा और आऊँ तुसा गे फेर आयी जाणा। "
PHM,1,23,इपफ्रास जो मां साथे यीशु मसीह रा सुसमाचार सुनाणे री बजअ ते कैदी ए से ताखे नमस्कार बोलोआ। 
PHM,1,24,"और मरकुस, अरिस्तर्खुस, देमास और लूका जो मां साथे प्रभुए रा काम करने वाल़े ए, इना री ताखे नमस्कार। "
PHM,1,25,आँऊ प्रार्थना करूँआ कि म्हारे प्रभु यीशु मसीह री कृपा तुसा री आत्मा पाँदे ऊँदी रओ। आमीन्। 
