Book,Chapter,Verse,Text
MAT,1,1,"अब्राहमेरी औलादी मरां दाऊद राज़ो थियो, दाऊदेरी औलादी मरां यीशु मसीह थियो। यीशु मसीहेरे दादे-पड़दादां केरां नंव्वां इना आन। "
MAT,1,2,"अब्राहमेरू मट्ठू इसहाक थियूं, इसहाकेरू याकूब, याकूबेरां मट्ठां यहूदा ते तैसेरे ढ्ला थिये। "
MAT,1,3,"यहूदा ते तामारेरां मट्ठां पेरेस ते जेरह थियां, पेरेसेरू मट्ठू हेस्रोन, हेस्रोनेरू एराम, "
MAT,1,4,"ते एरामेरू अम्मीनादाब, अम्मीनादाबेरू नहशोन, नहशोनेरू सलमोन, "
MAT,1,5,"ते सलमोन ते तैसेरी कुआन्श राहाबेरू मट्ठू बोआज थियूं, ते बोआज ते तैसेरी कुआन्श रूतरू ओबेद, ओबेदेरू यिशै, "
MAT,1,6,"ते यिशैरू मट्ठू दाऊद राज़ो थियो, दाऊद राज़ेरू मट्ठू सुलैमान तैस कुआन्शी सेइं पैदा भोव, ज़ै पेइली ऊरिय्याहरी कुआन्श थी। "
MAT,1,7,"सुलैमानेरू रहबाम, रहबामेरू अबिय्याह, अबिय्‍याहेरू आसा, "
MAT,1,8,"ते आसारू यहोशाफात, यहोशाफातेरू योराम, ते योरामेरे खानदानेरे मरां उज्जियाह पैदा भोव। "
MAT,1,9,"उज्जियाहरू योताम, योतामेरू आहाज, आहाजेरू हिजकिय्‍याह, "
MAT,1,10,"ते हिजकिय्‍याहेरू मनश्शे, मनश्शेरू आमोन, आमोनेरू मट्ठू योशिय्याह थियूं "
MAT,1,11,"ते योशिय्याहेरां पोट्लड़ां यकुन्याह ते तैसेरे ढ्ला थिये, ज़ैना गिरफ्तार भोइतां बाबेलेरी गुलैमी मां गानेरे वक्ते मां ज़र्मोरां थियां। "
MAT,1,12,"गिरफ्तार भोइतां बाबेलेरी गुलैमी मां गानेरे पत्ती यकुन्याहेरू शालतियेल ते शालतियेलेरू जरुब्बाबेल, "
MAT,1,13,"ते जरुब्बाबेलेरू अबीहूद, अबीहूदेरू एलयाकीम, एलयाकीमेरू अजोर, "
MAT,1,14,"ते अजोरेरू सादोक, सादोकेरू अखीम, अखीमेरू एलीहूद "
MAT,1,15,"ते एलीहूदेरू एलीआजार, एलीआजारेरू मत्तान, मत्तानेरू याकूब, "
MAT,1,16,"ते याकूबेरू यूसुफ, ते यूसुफ मरियमरो मुन्श थियो, ते मरियमरू मट्ठू यीशु आए, ज़ैस जो मसीह ज़ोतन। "
MAT,1,17,"एन्च़रे अब्राहमे करां दाऊद राज़े तगर च़ेवधे पीढ़ी भोई, ते दाऊद राज़े करां यहूदी केरे गिरफ्तार भोइतां बाबेलेरी गुलैमी मां गाने तगर च़ेवधे पीढ़ी भोई, ते गिरफ्तार भोइतां बाबेले मां गाने करां देइतां यीशु मसीह तगर च़ेवधे पीढ़ी भोई। "
MAT,1,18,"यीशु मसीहेरू ज़र्म एन्च़रे सेइं भोवं, कि ज़ैखन तैसेरी अम्मा मरियमरी कुड़माइ यूसुफ नंव्वे एक्की मैनू सेइं भोरी थी, त तैन केरे ड्ला भोने करां पेइले मरियम पवित्र आत्मारे शेक्ति सेइं दोज़ींती भोई। "
MAT,1,19,"तैसारो मुन्श यूसुफ ज़ै धर्मी मैनू थियो, तै तैस बदनाम केरनि न थियो चातो। तैनी च़ुपच़ारे इन सोचू, कि मीं एस सेइं ड्ला नईं बनानो। "
MAT,1,20,"हेजू तै एन सोचने लोरो थियो, त प्रभुएरे एक्की स्वर्गदूते तैस सेइं सुपने मां एइतां ज़ोवं, “हे यूसुफ! तू ज़ै दाऊदेरे खानदाने मरां आस, तू मरियम अपनी कुआन्श बनाने करां न डर, किजोकि ज़ैन तैसारे पेटे मां आए तैन पवित्र आत्मारे तरफां आए। "
MAT,1,21,"तैस मट्ठू भोनूए, ते तू तैसेरू नवं ‘यीशु’ रेखां, किजोकि तैए अपने लोकन तैन केरे पापन करां मुक्ति देलो।” "
MAT,1,22,"एन सब किछ एल्हेरेलेइ भोवं, कि ज़ैना वचन प्रभुए यशायाह नेबेरे ज़िरिये ज़ोरे थिये पूरे भोए कि, "
MAT,1,23,"“हेरा, अक अड्लाई कुई पेटे भारी भोली, ते तैस अक मट्ठू भोलू, ते लोक तैस जो इम्‍मानुएल ज़ोले” ज़ेसेरो मतलब ई आए, परमेशर असन सेइं साथी आए। "
MAT,1,24,"तैखन यूसुफ निड्लारां बींझ़ो त तैनी परमेशरेरे स्वर्गदूतेरू ज़ोनू मन्नू, ते मरियमी सेइं ड्ला बनाव ते अपने घरे आनी। "
MAT,1,25,पन ज़ां तगर तैस मट्ठू न भोवं तां तगर तै तैस सेइं साथी न झ़ुल्लो ते ज़ैखन तैस मट्ठू भोवं त यूसुफे तैस मट्ठेरू नवं यीशु रख्खू। 
MAT,2,1,"हेरोदेस राज़ेरे ज़माने मां ज़ेइस यहूदिया इलाकेरे बैतलहम नगरे मां यीशु पैदा भोव, त पूर्बेरां किछ जोष्टी लोक यरूशलेम नगरे मां आए। "
MAT,2,2,"ते तैना लोकन पुच्छ़ने लग्गे, “यहूदी लोकां केरो राज़ो ज़ै ज़र्मोरोए तै कोड़ि आए? किजोकि असेईं पूरबे मां तैसेरो तारो लोरोए, ते आस तैस कां मथ्थो टेकने ओरेम।” "
MAT,2,3,"ज़ैखन हेरोदेस राज़े ए गल शुनी, त हेरोदेस राज़ो ते कने यरूशलेम नगरेरे सारे लोक घबराए। "
MAT,2,4,"ते हेरोदेसे यहूदी लोकां केरे प्रधान याजक ते शास्त्री लोक अकोट्ठे केरतां तैन पुच्छ़ने लगो, “मसीह कोड़ि पैदा भोरो लोड़े?” "
MAT,2,5,"तैनेईं तैस सेइं ज़ोवं, “यहूदिया इलाकेरे बैतलहम नगरे मां,” किजोकि (बड़े पेइले) मीका नेबे एन्च़रे लिखोरूए, कि परमेशरे ज़ोवं, "
MAT,2,6,"“हे बैतलहम नगर, तू ज़ैन यहूदिया इलाके मां आस, यहूदियारे इलाकन मां तू बड़ू खास नगर आस, किजोकि तीं मरां अक एरो हाकिम निसेलो ज़ै मेरे लोक इस्राएलेरी हेरगेश केरेलो” "
MAT,2,7,"ज़ैखन हेरोदेस राज़े एन शुनू, त तैनी जोष्टी च़ुपच़ारे कुजेइतां तैन करां तारो निसनेरे ठीक वक्तेरे बारे मां पतो कियो। "
MAT,2,8,"ते तैनी जोष्टी एन ज़ोइतां बैतलहम नगरे जो भेज़े, कि “गाथ, ते तैस बच्चेरे बारे मां रोड़ेच़ारे पतो केरा ते ज़ैखन तुसन पतो लग्गे, त (वापस एइतां) मीं भी पतो देइयथ ताके अवं भी तैस कां गेइतां मथ्थो टेकी।” "
MAT,2,9,"तैना जोष्टी (हेरोदेस) राज़ेरी गल शुन्तां (यरूशलेम नगरेरां) च़ले जे। ते अकदम तै तारो, ज़ै तैनेईं पूरबे मां लोरो थियो, तैन अग्री-अग्री च़लो ते तैस घरेरे बा रुको ज़ैड़ी तैन मट्ठू थियूं। "
MAT,2,10,"ज़ैखन तैनेईं तै तारो लाव, त तैना बड़े खुश भोए। "
MAT,2,11,"तैखन तैना घरे अन्तर जे ते तैन मट्ठू तैसेरी अम्मा मरियमी कां लाव ते तैस मट्ठे कां मथ्थो टेको। तैखन तैनेईं अपने-अपने खज़ानेरे झोले खोलतां सोन्नू, लोबान ते मुर्र तैस कां च़ाढ़ू। "
MAT,2,12,"जोष्टी केरे तैट्ठां निसनेरां पत्ती, तैन सुपने मां ए बिस्तार मैल्लो कि वापस हेरोदेसे कां न गेइयथ। एल्हेरेलेइ तैना वापस कोन्ची होरि बत्तां अपने मुलखे जो च़ले जे। "
MAT,2,13,"जोष्टी केरे गानेरां पत्ती, अचानक प्रभुएरो अक स्वर्गदूत यूसुफे सुपने मां मैल्लो ते ज़ोने लगो, “उठ, बच्चो ते तैसेरी अम्मा नेइतां मिस्र मुलखे जो नश्श। ते मेरे ज़ोने तगर तैड़ी रेइयां, किजोकि हेरोदेस राज़ो बच्चे तोप्तां मारने चाते।” "
MAT,2,14,यूसुफ निड्लारां उठो ते मट्ठू ते तैसेरी अम्मा साथी नेइतां रातो-रात मिस्र मुलखे जो च़लो जेव। 
MAT,2,15,"हेरोदेसेरे मरने तगर यूसुफ तैड़ी राव, ताके प्रभुएरू तैन वचन पूरू भोए, ज़ैन होशे नेबे लिखोरू थियूं, “मीं मिस्र मुलखे मरां अपनू मट्ठू कुजाव।” "
MAT,2,16,"ज़ैखन हेरोदेसे जोष्टी केरे धोखे बैज़रो पतो लगो, त तैस बड़ी सरक आई। तैनी अपने मैनू भेज़तां, ज़ैन गल्लां केरो पतो तैस जोष्टन करां मैल्लोरो थियो, तैनी बैतलहम नगरे ते तैसेरे आसेपासेरे इलाकन मां सिपाही भेज़तां सारां मट्ठां, ज़ैना दूई सालां केरां या दूई सालन करां निकड़ां थियां मारां। "
MAT,2,17,"ज़ैखन एन भोव, त तैखन तैन वचन पूरू भोवं, ज़ैन यिर्मयाह नेबे ज़ोरू थियूं। तैनी ज़ोवं, "
MAT,2,18,"“रामाह नगर मां बेड़ि लेरां ते मातमेरि आवाज़ शुनोई, राहेल अपने बच्चां केरे लेइ लेरां देने लोरी, तैसारो दिल ठंडो न भोए, किजोकि तैसेरे बच्चे मेरि जोरन।” "
MAT,2,19,"हेरोदेसेरी मौतारां पत्ती, ज़ैखन यूसुफ मिस्र मुल्खे मां थियो, त अचानक प्रभुएरो स्वर्गदूत तैस सुपने मां लेइहोव ते तैस सेइं ज़ोने लगो, "
MAT,2,20,"“उठ, बच्चो ते कने तैसेरी अम्मा साथी नेइतां इस्राएल मुलखे जो वापस च़लो गा, किजोकि ज़ैना लोक बच्चे मारने चाते थिये, तैना मेरि जोरेन।” "
MAT,2,21,"फिरी यूसुफ निड्लारां बींझ़ो, ते बच्चो ते तैसेरी अम्मा साथी एन्तां इस्राएल मुलखे जो वापस आव। "
MAT,2,22,"पन ज़ैखन यूसुफे एन शुनू कि अरखिलाउस अपने बाजी हेरोदेसेरी ठैरी यहूदिया इलाके पुड़ राज़ केरने लग्गोरो, त तै तैड़ी गाने करां डरो। एल्हेरेलेइ ज़ैखन यूसुफे सुपने मां परमेशरेरो बिस्तार मैल्लो, त तै गलील इलाके जो च़लो जेव। "
MAT,2,23,"ते तैड़ी पुज़तां तै नासरत नंव्वेरे नगर मां राने लगो, ताके तैन वचन पूरू भोए, ज़ैन परमेशरे अपने नेबी केरे ज़िरिये ज़ोरो थियूं। तैनेईं ज़ोवं, “तैस जो नासरी ज़ोले।” "
MAT,3,1,"तैन दिहाड़न मां यूहन्ना नंव्वेरो मैनू, ज़ै बपतिस्मो देनेबालो थियो, यहूदिया इलाकेरे सुनसान ठैरी मां आव। तै लोकन ज़ैना तैस कां एइते थिये, तैन ई प्रचार केरतो थियो, "
MAT,3,2,"“अपने पापन करां मनफिराथ, किजोकि स्वर्गेरू राज़ नेड़े ओरूए!” "
MAT,3,3,"ई तैए ज़ेसेरे बारे मां यशायाह नेबे एन ज़ोरू थियूं, “कोई सुनसान ठैरी मां लोकन, ज़ैना तैस कां गातन, तैन उच्ची आवाज़ी सेइं ज़ोलो कि ‘तुसन कां प्रभु एजनेबालो आए, एल्हेरेलेइ तैसेरी बत तियार केरा ते कने तैसेरेलेइ सड़कां सिद्धी केरा! (यानी, प्रभुएरे लेइ तुस अपने दिल साफ केरा।)’” "
MAT,3,4,यूहन्ना आम लिगड़ां लातो थियो ज़ैना लिगड़ां ऊँटेरे बालन सेइं बनोरां थियां। तै अपनी कमरी पुड़ चमड़ेरू मज़ बंधतो थियो। ते तै टिट्टां त कने जंगलेरू माछ़ी खातो थियो। 
MAT,3,5,तैखन यरूशलेम नगरेरे बड़े लोक ते यहूदिया इलाकेरे बड़े लोक ते यरदन दरीयारे आसे-पासेरे इलाकन मरां लोक यूहन्नारी गल्लां शुन्नेरे लेइ तैस कां एइते थिये। 
MAT,3,6,ते तैनेईं अपने पाप मेनतां यूहन्ना करां यरदन दरयाए मां बपतिस्मो नीयो। 
MAT,3,7,"पन ज़ैखन तैनी हेरू कि बड़े फरीसी ते सदूकी लोक बपतिस्मो नेनेरे लेइ तैस कां एजने लोरेन, त तैनी तैन सेइं ज़ोवं, “तुस ज़ेहरीले सप्पेरे ज़ेरे बुरे आथ! तुसन केनि ज़ोवं कि, एजनेबाले परमेशरेरे कोपे करां नश्शा? "
MAT,3,8,"सज़ाई करां बच़नेरे लेइ तैना कम्मां केरा, ज़ैन सेइं पतो लग्गे तुसेईं सच़्च़े पापन करां मन फिरावरोए। "
MAT,3,9,"ते अपने-अपने दिले मां एन न सोचा कि ‘अब्राहम इश्शो बाजी आए’ (परमेशर तुश्शे पाप सिर्फ एल्हेरेलेइ माफ़ न केरेलो कि तुस अब्राहमेरी औलाद आथ), किजोकि अवं तुसन सेइं ज़ोताईं कि परमेशर इन घोड़न मरां भी अब्राहमेरे लेइ औलाद पैदा केरि सकते! "
MAT,3,10,"ते हुन्ना त बुट्टां केरे ज़ीलन पुड़ परमेशरेरो मैक्कु रख्खोरोए, एल्हेरेलेइ ज़ै कोई तैस बुट्टेरो ज़ेरो भोते, ज़ै रोड़ो फल न दे, तै कटनोए ते अग्गी मां छ़डनोए।” "
MAT,3,11,"“अवं त तुसन पैनी सेइं बपतिस्मो देताईं किजोकि तुसेईं मनफिरोरोए, पन मसीह ज़ै मेरे बाद एजनेबालोए, तै मीं केरां भी महान आए। अवं त तैसेरो गुलाम भोनेरे काबल भी नईं कि तैसेरे बूट छ़ुई। तै तुसन पवित्र आत्माई सेइं ते अग्गी सेइं बपतिस्मो देलो (ज़ैना मनफिरान, तैनन्)। "
MAT,3,12,"तैसेरू छज्ज तैसेरे हथ्थे मां आए ते तै खलाड़ रोड़ेच़ारे साफ केरेलो , तै गेहुं अपने कोठारे मां रखेलो, पन झ़ाझ़ी तैस अग्गी मां फुकेलो ज़ै कधे न हिश्शे। (एल्हेरेलेइ पापन करां मनफिराथ नईं त परमेशर तुसन सज़ा देलो!)” "
MAT,3,13,"तैस मौके यीशु गलील इलाके मरां यरदन दरयारे बन्ने पुड़ यूहन्ना कां आव, ताके तैस करां बपतिस्मो ने। "
MAT,3,14,"पन यूहन्ना, यीशु जो इन ज़ोइतां रोकने लगो, “मीं तीं करां बपतिस्मो नीयोरो लोड़ते, फिरी किजो तू मीं करां बपतिस्मो नेने ओरोस?” "
MAT,3,15,"पन यीशुए तैस ई जुवाब दित्तो, “हुनी तू एन्च़रे भोने दे, किजोकि  एन्च़रे केरतां अस तैन केरतम ज़ैन परमेशर चाते।” तैखन यूहन्ना तैसेरी गल मन्नी। "
MAT,3,16,"ते यीशु ज़ैखन बपतिस्मो नेइतां पैनी मरां बेइर आव, त तैस मौके हेरा अम्बर खुल्ली जोवं। ते तैनी पवित्र आत्मा कबूतरेरी शकली मां एप्पू पुड़ एइते लाई। "
MAT,3,17,"ते तैखन हेरा अम्बरे मरां ए आवाज़ आई (त यीशुएरे बारे मां ज़ोवं), “एन मेरू ट्लारू मट्ठू, अवं एस पुड़ बड़ो खुश आईं।” "
MAT,4,1,"तैल्ला पत्ती, पवित्र आत्मा यीशु सुनसान ठैरी मां नीयो, ताके शैतान तैसेरी आज़माइश केरे। "
MAT,4,2,च़ैली दिहाड़े ते च़ैली रातन किछ न खानेरां पत्ती तैस ढ्लुख लग्गी। 
MAT,4,3,"त तैखन शैताने ज़ैस जो आज़माने बालो भी ज़ोतन, तैस कां एइतां ज़ोवं, “अगर तू परमेशरेरू मट्ठू आस, त इन घोड़न जो हुक्म देइतां साबत केर, कि एना रोट्टी बनन् ताके तू खेइ सकस।” "
