Book,Chapter,Verse,Text
MRK,1,1,"ई यीशु मसीहेरे बारे मां खुशखेबरारी शुरुआत आए, ज़ैन परमेशरेरू मट्ठू आए। "
MRK,1,2,"(बड़े पेइले) यशायाह नेबे अपनी किताबी मां लिखोरू थियूं कि, (परमेशरे अपने मट्ठे सेइं ज़ोवं,) “शुन, अवं अपनो बिस्तार देनेबालो तीं केरां पेइले भेज़ेलो।” “तै तीं केरां पेइलो गेइतां तेरे लेइ बत तियार केरलो। (यानी, लोकां केरे दिल परमेशरे लेइ तियार केरलो)” "
MRK,1,3,"“तै बिस्तार देनेबालो सुनसान ठैरी मां लोकन, ज़ैना तैस कां गाले, तैन हक देइतां ज़ोलो कि ‘तुसन कां प्रभु एजनेबालो आए, एल्हेरेलेइ तैसेरेलेइ बत तियार केरा त कने तैसेरेलेइ सड़कां सिद्धी केरा। (यानी, प्रभुएरे लेइ तुस अपने दिल साफ केरा।)’ ” "
MRK,1,4,"ज़ेन्च़रां लिखोरू थियूं, अक बिस्तार देनेबालो आव। तैस मैनेरू नवं यूहन्ना थियूं। लोक तैस जो बपतिस्मो देनेबालो भी ज़ोते थिये। तै यहूदिया इलाकेरे सुनसान ठैरी मां आव। तैड़ी तै लोकन परमेशरेरी गल्लां शुनातो थियो कि, “तुस अपने पापन करां मनफिराथ, त कने बपतिस्मो नेथ, ताके परमेशर तुश्शे पाप माफ़ केरे।” "
MRK,1,5,यहूदिया इलाकेरे बड़े लोक त यरूशलेम नगरेरे रानेबालन मरां बड़े लोक यूहन्नारी गल्लां शुन्नेरे लेइ सुनसान ठैरी मां तैस कां आए। तैन लोकेईं अपने पाप मेनतां यूहन्ना करां यरदन दरयाए मां बपतिस्मो नीयो। 
MRK,1,6,यूहन्ना आम लिगड़ां लातो थियो ज़ैना लिगड़ां ऊँटेरे बालन सेइं बनोरां थियां। तै अपनी कमरी पुड़ चमड़ेरू मज़ बंधतो थियो। ते तै टिट्टां त कने जंगलेरू माछ़ी खातो थियो। 
MRK,1,7,"तै लोकन शुनातो थियो कि, “कोई अक, ज़ै मीं केरां भी महान आए, मेरे बाद एजनेबालोए। अवं त तैसेरो गुलाम भोनेरे काबल भी नईं कि लिकतां तैसेरे बूटेरे तसमे खोल्ली। "
MRK,1,8,"अवं त तुसन पैनी सेइं बपतिस्मो देताईं, पन तै तुसन पवित्र आत्मा सेइं बपतिस्मो देलो ” "
MRK,1,9,"तैल्ला पत्ती, तैन दिहाड़न मां एरू भोवं कि यीशु गलील इलाकेरे नासरत नगरेरां यूहन्ना कां आव। तैनी यूहन्ना करां यरदन दरयाए मां बपतिस्मो नीयो। "
MRK,1,10,"ज़ैखन यीशु बपतिस्मो नेइतां पैनी मरां बेइर आव, त तैनी अम्बर खुलतू त पवित्र आत्मा कबूतरेरी शकली मां तैस पुड़ एत्तो लाव। "
MRK,1,11,"तैखन परमेशरे स्वर्गेरां यीशु सेइं ज़ोवं, “तू मेरू ट्लारू मट्ठू आस, अवं तीं पुड़ बड़ो खुश आईं।” "
MRK,1,12,"तैल्ला पत्ती, अकदम पवित्र आत्मा यीशु सुनसान ठैरी जो भेज़ो। "
MRK,1,13,सुनसान ठैरी मां च़ैली दिहाड़न तगर शैताने यीशु अज़माव। त तैड़ी यीशु जंगली जानवरन साथी थियो। तैखन परमेशरेरे स्वर्गदूत यीशु कां एइतां तैसेरी सेवा केरने लग्गे। 
MRK,1,14,"किछ वक्तेरां बाद, यूहन्ना कैद कियो जेव। तैल्ला बाद, यीशु गलील इलाके मां जेव। तैड़ी तै लोकन परमेशरेरे राज़्ज़ेरे बारे मां खुशखबरी शुनाने लगो। "
MRK,1,15,"तैनी ज़ोवं कि, “ठीक वक्त ओरोए त कने परमेशरेरू राज़ नेड़े ओरूए! एल्हेरेलेइ, तुस अपने पापन करां मनफिराथ ते एस खुशखेबरी पुड़ विश्वास केरा।” "
MRK,1,16,"एक्सां, ज़ैखन यीशु गलील नव्वेंरे समुन्दरेरे बन्ने च़लोरो थियो, तैखन तैनी दूई मैनू शमौन त तैसेरो ढ्ला अन्द्रियास लाए, ज़ैना मेछ़ली ट्लानेबाले थिये। तैना मेछ़ली ट्लानेरे लेइ समुन्दरे मां ज़ाल छ़ेड्डी राओरे थिये। "
MRK,1,17,"यीशुए तैन सेइं ज़ोवं, “एज्जा मेरे चेले बना। अवं तुसन शिखालेलो कि केन्च़रां होरे मैनू मेरे चेले बनानेन।” "
MRK,1,18,अकदम तैना अपना जालां छ़ेडतां यीशु पत्ती च़ले जे। 
MRK,1,19,"ज़ैखन तैना थोड़े ज़ेरे अग्गर जे, यीशुए याकूब त कने तैसेरो ढ्ला यूहन्ना लाए। तैना दुइये जेब्देरां मट्ठां थियां। तैना किश्ती मां जालां ठीक केरने लग्गोरे थिए। "
MRK,1,20,"अकदम यीशुए तैना अपने चेले बनानेरे लेइ कुजाए। तैना दुइये, अपने बाजी जब्दी किश्ती मां मज़दूरन सेइं साथी छ़ेडतां, यीशु सेइं साथी च़ले जे। "
MRK,1,21,"तैल्ला पत्ती, यीशु त तैसेरे चेले तैट्ठां कफरनहूम नगरे मां जे। आरामेरे दिहाड़े, अकदम यीशु तैन केरे प्रार्थना घरे मां जेव। तैड़ी तै परमेशरेरी गल्लां तैन लोकन शुनाने लगो। "
MRK,1,22,"तैना यीशुएरी शिक्षा शुन्तां हैरान भोए, किजोकि तैनी शास्त्री लोकां केरि ज़ेरी शिक्षा न दित्ती, पन तै अधिकारे सेइं शिक्षा देइ राओरो थियो। "
MRK,1,23,"ज़ैखन यीशु तैड़ी थियो, त तैन केरे प्रार्थना घरे मां अक मैनू थियो, ज़ैस पुड़ भूतेरो सायो थियो। "
MRK,1,24,"अचानक तैनी मैने चिन्डां मेरतां ज़ोवं, “हे नासरत नगरेरो यीशु! तीं सेइं असन कुन कम? कुन तू असन नाश केरनेरे लेइ ओरोस? अवं ज़ानताईं कि तू कौन आस, तू परमेशरेरू पवित्र मट्ठू आस!” "
MRK,1,25,"पन यीशुए तैस भूते झ़िड़कतां ज़ोवं, “च़ुप रा, एस मैनू मरां निस्सी गा!” "
MRK,1,26,तैखन भूते तै मैनू ड्लेडेइतां त ज़ोरे सेइं चिन्डां मेरतां तैस मैनू मरां निस्सी जेव। 
MRK,1,27,"एन हेरतां सारे लोक बड़े हैरान भोए। तैना एप्पू मांमेइं गलबात केरतां एक्की होरि पुछ़्ने लग्गे कि, “ए कुन गल आए! ए त अक नंव्वी शिक्षा आए ज़ैस मां अधिकार आए! तै त भूतन भी अधिकारे सेइं हुक्म देते ते तैना भी तैसेरो हुक्म मन्तन।” "
MRK,1,28,अकदम यीशुएरे बारे मां ए गल गलील इलाकेरे आसेपासेरे सेब्भी ठैरन मां फैली जेई। 
MRK,1,29,"तैना अकदम प्रार्थना घरे मरां निस्तां, याकूब त कने यूहन्ना सेइं साथी शमौन त अन्द्रियासेरे घरे जे। "
MRK,1,30,शमौनेरी शिखी भुखारे थियो ते तै लेटोरी थी। अकदम तैनेईं तैसारे बारे मां यीशु सेइं ज़ोवं कि ऊ बिमार आए। 
MRK,1,31,यीशुए तैस कां गेइतां तैसारो हथ ट्लेइतां खड़ी की। अकदम तैसारो भुखार ठीक भोव। ते तै तैन केरि सेवा केरने लग्गी। 
MRK,1,32,"ड्लोझ़ी ज़ैखन दिहाड़ो डुब्बो, त लोक सारे बिमार मैनू त कने ज़ैन मैनन् पुड़ भूतेरो सायो थियो तैना यीशु कां आन्ने लग्गे, ताके तै तैनन् बज़्झ़ाए। "
MRK,1,33,तैस नगरेरे बड़े लोक तैस घरेरे दारे पुड़ अकोट्ठे भोए। 
MRK,1,34,"यीशुए बड़े मैनू बज़्झ़ाए, ज़ैना बड़े किसमां केरि बिमैरन सेइं दुखी थिये। त तैनी बड़े मैनन् मरां भूतां केरो सायो कड्डो। पन यीशुए भूतन किछ ज़ोने न दित्तू, किजोकि तैना यीशु पिशानतां थियां (कि एन परमेशरेरू मट्ठू आए)। "
MRK,1,35,"एग्री दिहाड़ी, झ़ेज़्झ़ां-झ़ेज़्झ़ां दिहाड़ो निस्ने केरां बड़े पेइले, यीशु उठतां बेइर एक्की सुनसान ठैरी मां जेव। तैड़ी तै प्रार्थना केरने लगो। "
MRK,1,36,"पन थोड़े च़िरेरां बाद, शमौन त तैसेरे साथी, यीशु तोपने जे। "
MRK,1,37,"ज़ैखन तैनन् तै मैल्लो, तैनेईं यीशुए सेइं ज़ोवं, “(वापस ड्लाव्वें मां एई,) सारे लोक तीं तोप्पी राओरेन!” "
MRK,1,38,"पन यीशुए तैन सेइं ज़ोवं, “एज्जा, अस होरि केन्ची आसेपासेरे ड्लोंव्वन मां गाम, ताके अवं तैन लोकन भी परमेशरेरी गल्लां शुनेई। किजोकि अवं एस्से कम्मेरे लेइ दुनियाई मां ओरोईं।” "
