Book,Chapter,Verse,Text
LUK,1,1,आदरणीय थियूफिलुस जी! मतयां लोकें तिन्हां गल्लां रा ब्योरा लिखणे री कोशिश कीति सै जे अहांरे बिच हुईयां। 
LUK,1,2,"ठीक सैई गल्लां सै जे अहांजो तिन्हां लोकां ते मिलियां, तिन्हें जे इन्हां गल्लां जो यीशु मसीह रिया सेवकाईया रे शुरु तेई देख्या था कने बाद बिच सै परमेशरा रे वचना रे सेवक बणे। "
LUK,1,3,"इस खातर शुरु तेई इन्हां सारियां गल्लां जो पूरी सावधानिया ने कने ठीक-ठाक जाँच पड़ताल़ करने ते बाद, मिन्जो ये ठीक लगया भई हऊँ बी इन्हांजो तेरे खातर बारी-बारी लिखुं। "
LUK,1,4,तिसते जे भई तू तिन्हां गल्लां री हकीकत जाणी लो तिन्हांरी जे तिज्जो शिक्षा देई तरी। 
LUK,1,5,"तिन्हें दिनें ताहली जे यहूदिया प्रदेशा च हेरोदेस राजे रा राज था। तित्थी जकर्याह नौआं रा इक याजक था, सै जे अबिय्याह री याजकां री मन्डलिया च था। कने तिसरिया जनाना रा नौं इलीशिबा था सै जे हारुन रे कुल़ा री थी। "
LUK,1,6,"जकर्याह कने इलीशिबा ये दोन्नों जणे परमेशरा री नज़राँ च धर्मी थे, सै बड़े ध्याना ने प्रभुये रे हुक्मा जो कने विधियां जो मन्नां थे। "
LUK,1,7,"पर इलीशिबा रे औत्र हुणे रिया वजह ने तिन्हारे कोई न्याणा नीं था, कने हुण सै दोन्नों जणे बड़े स्याणे हुईगरे थे। "
LUK,1,8,ताहली जे जकर्याह अपणी मण्डलीया री बारी औणे पर यरूशलेम रे मन्दरा च याजकां रा काम्म करी राँ था। 
LUK,1,9,तां याजकां रे रीति-रिवाजां रे मुतावक तिसरे नौआं पर चिट्ठी निकल़ी कने तिसरा नौं आया भई प्रभुरे मन्दरा च जाईने तिसरिया हजूरिया च धूप बाल़ो। 
LUK,1,10,कने ताहली जे धूप बालणे रा बगत आया ताहली मते लोक मन्दरा रे अंगणा च कट्ठे हुईने प्राथना करी कराँ थे। 
LUK,1,11,"ताहली जे जकर्याह प्रभुरे मन्दरा च था, तिस बगत तिने प्रभुरा इक स्वर्गदूत ‌धूप बालणे री चौकिया रे सज्जे पासे खड़ीरा देख्या। "
LUK,1,12,जकर्याह तिस स्वर्गदूता जो देक्खीने घबराईग्या कने डरा रे मारे तिसरा बड़ा बुरा हाल था। 
LUK,1,13,"पर तिने स्वर्गदूते जकर्याह ने गलाया, “जकर्याह डरदा मत, इक पुत्र पाणे रे खातर तैं सै जे प्राथना परमेशरा ने कित्ति री, सै तेरी प्राथना परमेशरे सुणीलरी; कने तेरी जनाना इलीशिबा ते तिज्जो इक पुत्र जमणा! कने तू तिस पुत्रा रा नौं यूहन्ना रखयां। "
