Book,Chapter,Verse,Text
PHP,1,1,"यीशु मसीह रे दास पौलुस कने तीमुथियुस रिया तरफा ते यीशु मसीह च फिलिप्पी नगरा रे रैहणे औल़े सारे पवित्र लोकां जो कने कलीसिया रे अगुवे कने सेवकां जो मलाईने हऊँ ये लिखीराँ, "
PHP,1,2,अहांरे पिता परमेशर कने प्रभु यीशु मसीह रिया तरफा ते तुहांजो अनुग्रह कने शान्ति मिलदी रौ। 
PHP,1,3,हऊँ जितणी बार तुहांजो आद कराँ उतणी बार अपणे परमेशरा रा धन्यवाद कराँ। 
PHP,1,4,"कने मौजा ने अपणिया हरेक प्राथना च तुहां सारयां रे खातर हमेशा परमेशरा ने सहायता री विनती कराँ, "
PHP,1,5,काँह्भई तुहें यीशु मसीह रिया खुशखबरिया पर विश्वास करने रे दिना ते लेईने अज्जा तक खुशखबरिया रे प्रचारा च मेरा साथ देन्दे रै। 
PHP,1,6,"मिन्जो इसा गल्ला रा पूरा भरोसा भई परमेशरे तुहां लोकां च इक येढ़ा बधिया काम्म शुरु कित्या, सैई तिस्सो यीशु मसीह रे वापस औणे रे दिना तक पूरा करदे रैंहगे। "
PHP,1,7,"मेरे खातर ये ठीक आ भई हऊँ तुहांरे बारे च ये सोच्चूँ, काँह्भई हऊँ तुहाँजो बौहत प्रेम कराँ। काँह्भई चाहे हऊँ कैदा चा, चाहे खुशखबरिया रिया सच्चाई री फाजत करया राँ, चाहे खुशखबरिया जो प्रमाणित करया राँ, तिसच तुहें सारे मेरे सौगी परमेशरा रे अनुग्रह च हिस्सेदार ए। "
PHP,1,8,परमेशर जाणाँ भई हऊँ तुहाँजो कितणा प्यार कराँ कने सै प्यार जे मसीह यीशुये मिन्जो दित्तिरा तिस प्यारा सौगी हऊँ तुहां सारयां ने मिलणे जो तरसी राँ। 
PHP,1,9,"कने हऊँ येई प्राथना करदा रैयां भई तुहांरा प्यार, कने सुध-बुध हर तरह रे ज्ञाना सौगी हमेशा बधदी रौ। "
PHP,1,10,"ताकि तुहें उत्तम ते उत्तम गल्लां जो प्रिय जाणो, कने तुहें मसीह रे औणे रे दिना तक पवित्र, कने निर्दोष बणीने रौआ। "
PHP,1,11,"तियां जे इक पेड़ फल़ देआं तियां इ तुहें यीशु मसीह रिया सामर्था रे जरिये भलयां कम्मां जो करगे, इसच बधदे रौआ तिसते जे परमेशरा री महिमा कने स्तुति हुन्दी रौ। "
PHP,1,12,"साथी विश्वासियो, हऊँ चाँह भई तुहें ये जाणी लो भई माह पर सै जे बीती, तिसते खुशखबरी कई गुणा फैलदी गई। "
PHP,1,13,येत्थी तक भई बादशाह कैसरा रे राजमैहला री सारी पलटन कने बाकी सारे लोकां च ये परगट हुईग्या काँह्भई हऊँ मसीह रा सेवक हुणे रिया वजह नेइ बन्दी बणाया गया; 
PHP,1,14,"कने प्रभु च सै जे विश्वासी ये, तिन्हां चते जादातर विश्वासियां जो मेरे कैद हुणे रिया वजह ने बड़ा जोश आया, कने जादा ते जादा जोशा ने परमेशरा रा वचन निधड़क हुईने सुणाई रायें। "
PHP,1,15,ये सच्च आ भई तिन्हां चते किछ लोक हिरख कने बैर-बरोधा रे कारण मसीह रा प्रचार कराँ ये कने कई लोक खरी भावना ते प्रेरित हुईने मसीह रा प्रचार कराँ ये। 
PHP,1,16,ये लोक प्यारा रिया वजह ने येढ़ा कराँ ये काँह्भई ये जाणाँ ये भई परमेशरे खुशखबरिया रा बचाव करने रे खातर इ मिन्जो इत्थी रखीरा। 
PHP,1,17,"पर सै लोक जे हिरख कने बैर-बरोधा ने प्रचार करया राँये सै सच्चाईया ने नींये, बल्कि स्वार्था ने भरीरी इच्छां ते मसीह रा प्रचार कराँ ये काँह्भई ये सोच्चां ये भई इसते सै जेल्ला च मेरे खातर दुख पैदा करी सक्कां ये। "
PHP,1,18,"पर इसते कोई फर्क नीं पौन्दा, जरुरी त येआ भई इक्की ढंगा ने या दुज्जे ढंगा ने, चाये बुरा मकशद हो, चाये भला प्रचार त मसीह राई हुआं कने इसते मिन्जो खुशी मिलांई कने खुशी मिलदी इ रैहणी। "
