Book,Chapter,Verse,Text
TIT,1,1,"हऊँ पौलुस, परमेशरा रा दास कने यीशु मसीह रा प्रेरित आ। परमेशरे मिन्जो इस खातर चुणया ताकि हऊँ परमेशरा रे चुणीरे लोकां रे विश्वासा जो मजबूत करी सक्कूँ कने यीशु मसीह रिया शिक्षां जो ठीक-ढंगा ने जाणने खातर तिन्हांरी मदद करी सक्कूँ ताकि सै इस तरीके रा बर्ताव करगे सै जे परमेशरा जो खुश कराँ। "
TIT,1,2,सच्चे सन्देशा रा ये ज्ञान तिन्हांजो ये आशा देआं भई तिन्हां अनन्त जीवन पाणा तिसजो जे परमेशरे सै जे कदीं झूट्ठ नीं बोलदा संसारा रिया सृष्टिया ते पैहले देणे रा वायदा कित्तिरा। 
TIT,1,3,कने हुण ठीक बगता पर परमेशरे ये खुशखबरी अहां पर प्रगट कित्ती कने अहें ये सब्बीं जो प्रचार कराँ ये। अहांरा छुटकारा देणे औल़े परमेशरे मिन्जो ये जिम्मेवारी दित्ती कने तिसरे खातर ये काम्म करने जो तिने मिन्जो हुक्म दित्या। 
TIT,1,4,"तीतुस हऊँ ये चिट्ठी तिज्जो लिखीराँ कने तू मेरे खातर इक पुत्रा साई आ, काँह्भई अहें दोन्नो यीशु मसीह पर विश्वास कराँ ये। हऊँ प्राथना कराँ भई पिता परमेशर, कने मसीह यीशु अहांरा छुटकारा करने औल़े तिज्जो अनुग्रह कने शान्ति देओ। "
TIT,1,5,"हऊँ इसा वजह ते तिज्जो क्रेते टापुये च छड्डी आया था ताकि तु बाकी कम्मां जो सुधारी सक्को, कने मेरे हुक्मा रे मुतावक क्रेते रे हर नगरा च प्राचीनां जो नियुक्त करो। "
TIT,1,6,"इक अगवा निर्दोष कने इक्की पत्निया रा पति हुणा चाहिन्दा, तिन्हांरे बच्चे जे विश्वासी हुणे चाहिन्दे, कने तिन्हांजो अच्छा बर्ताव करना चाहिन्दा ताकि कोई तिन्हां पर इल्जाम नीं लाई सक्को भई सै बेकाबू कने हुक्म नीं मनणे औल़ा। "
TIT,1,7,"काँह्भई कलीसिया रे अगुवे जो परमेशरा रा भण्डारी हुणे रिया वजह ते निर्दोष हुणा चहिन्दा; नां हठी, नां गुस्सेबाज नां पियक्कड़, नां मारपीट करने औल़ा, नां नीच कमाईया रा लालची हो, "
TIT,1,8,"पर तिस्सो मेहमान्नां रा आदर खातर करने औल़ा, भले काम्म करने औल़ा, अपणियां भावनां पर काबू रखणे औल़ा, न्यायी, पवित्र कने अनुशासित हुणा चाहिन्दा। "
TIT,1,9,"कने तिसा सखाई रिया खुशखबरिया पर तिस्सो मजबूतिया ने विश्वास करना चाहिन्दा, सै सन्देश जे सच्चा कने कदीं बदलदा नींआ ताकि सै दुज्जे लोकां जो सही शिक्षा कने हौंसला देई सकगा कने बैहस करने औल़यां जो गल़त साबित करगा। "
TIT,1,10,"हऊँ इस खातर ये बोलां काँह्भई बौहत सारे लोक तिस समूहा चते सै जे ये दवाव पांये भई सारे मसीह लोकां रा खतना हुणा जरूरी आ, ये लोक अधिकारियां रा आदर नीं करदे, कने अपणी बकवास गल्लां ते दुज्यां लोकां जो धोखा देआंये। "
TIT,1,11,"इन्हां लोकां जो शिक्षा देणे खातर इजाज़त मत देआं, काँह्भई ये लोक नीच कमाईया खातर गल़त गल्लां सखाई ने पूरे परिवारा रे विश्वासा जो बगाड़ी देआंये। "
TIT,1,12,"इक माहणु सै जे क्रेते टापुये ते आ, तिसजो जे सै भविष्यवक्ता मन्नां ये तिने बोलीरा, “क्रेती लोक हमेशा झुट्ठ बोलां ये, सै जंगली पशुये साई दुष्ट ये कने सै आलसी कने खाऊ ये।” "
TIT,1,13,"ये गल्ल सच्च इ, इस खातर तिन्हांजो शख्त्याईया ने डान्ट ताकि सै यीशु मसीह री सच्चिया शिक्षा पर विश्वास करगे, "
TIT,1,14,"कने सै यहूदियां री मन-घड़न्त कहाणियाँ कने तिन्हां माहणुआं रे हुक्मां पर ध्यान नीं देणा, सै जे सच्चाईया रा इन्कार कराँ ये। "
TIT,1,15,"तिन्हां लोकां खातर सब चीज़ां शुद्ध इयां तिन्हांरे मन जे शुद्ध ये, पर अशुद्ध कने अविश्वासी लोकां खातर किछ बी शुद्ध नीआं, काँह्भई तिन्हांरे मन कने अन्तरात्मा दोन्नों अशुद्ध ये। "
TIT,1,16,"ये झुट्ठे शिक्षक बोलां ये भई सै परमेशरा जो जाणाँ ये, पर तिन्हांरा बर्ताव साफ तौर पर ये साबित कराँ भई सै तिस्सो नीं जाणदे। परमेशर इन्हां लोकां ते नफरत कराँ कने सै तिसरे हुक्मां रा पालन नीं करदे, कने कोई भला काम्म बी नीं करी पान्दे। "
TIT,2,1,"पर तितुस, तेरी शिक्षा सच्चिया शिक्षा साई हुणी चाहिन्दी। "
TIT,2,2,"बजुर्गां जो अनुशासित कने हरेक हालता च अपणे बर्ताव कने भावनां जो काबू करने खातर कने ईज्जतदार हुणे खातर, कने विश्वास, प्यार, कने धीरजा च मजबूत हुणे खातर निर्देश देओ। "
TIT,2,3,"इस तरीके ने बजुर्ग औरतां जो जीणे खातर सखां तिसते जे परमेशरा रा आदर हुआं; सै दोष लाणे औल़ियां कने पियक्कड़ नीं, पर खरियां गल्लां सखाणे औल़ियां हो "
TIT,2,4,ताकि सै जवान औरतां जो ये सखाई सक्को भई तिन्हांजो अपणे पतियां कने बच्चयां ने कियां प्यार करना चाहिन्दा; 
TIT,2,5,"कने अपणे बर्तावा जो काबू करने औल़ियां, कने अपणे पतियां रे प्रति बफादार, परिवारा री देखभाल करने औल़ियां, दुज्यां रे प्रति दयालु कने अपणे-अपणे पतिये रे अधीन रैहणे औल़ियां हो, ताकि कोई परमेशरा रे वचना री निंध्या नीं करी सक्को। "
TIT,2,6,इस तरीके ने जवान मर्दां जो बी अपणा बर्ताव काबू करने खातर विनती कर। 
TIT,2,7,"सब्बीं गल्लां च अप्पूँजो भले काम्म करने रे जरिये आदर्श बणा। ताहली जे तू सखां, तां सच्चाई कने गम्भीरता ने ये कर। "
TIT,2,8,"ताहली जे तु सखाँ, तां हमेशा सही शिक्षा देआं तिसरी जे कोई निंध्या नीं करी सक्को, ताकि जितणे लोक तेरा बरोध कराँ ये सै शर्मिन्दा हुई सक्को, काँह्भई सै अहांरे बारे च कोई बुरी गल्ल नीं बोल्ली सकगे। "
TIT,2,9,"दास्सां जो सखा भई सै अपणे-अपणे मालकां रे अधीन रौ, कने सब्बीं गल्लां च तिन्हांजो खुश रखो, कने सै तिन्हांजो जवाब नीं देओ; "
TIT,2,10,"कने सै तिन्हांते चोरी नीं करो, वल्कि ये साबित करो भई सै पूरी तरह विश्वासा रे लायक ये ताकि तिन्हांरे खरे बर्तावा रिया वजह ते हरेक माहणु अहांरा छुटकारा करने औल़े परमेशरा री शिक्षा रे प्रति महान आदर दिखांगे। "
TIT,2,11,"काँह्भई परमेशरे सारयां लोकां रे छुटकारे खातर अपना अनुग्रह प्रगट कित्तिरा, "
TIT,2,12,"परमेशरा रा अनुग्रह अहांजो अभगति कने संसारिक इच्छां जो छडणे, कने अपणे बर्तावा जो काबुये च करीने धार्मिकता कने भगतिया ने इस संसारा च जीणे खातर निर्देश देआं; "
TIT,2,13,"तियां जे अहें आशा ने तिस अदभुत दिना रा इन्तजार कराँ ये, ताहली जे अहांरा महान परमेशर कने छुटकारा देणे औल़ा यीशु मसीह महिमा सौगी प्रगट हुणा। "
TIT,2,14,"तिने अप्पूँजो अहांरे खातर बलिदान करीत्या ताकि अहांजो हरेक पापा ते छडवाई लो कने शुद्ध करीने अपणे खास लोक बणाई लो, सै जे भले काम्म करने च पूरे समर्पित ये। "
TIT,2,15,"तां तितुस तिज्जो ये गल्लां विश्वासियां जो सखाणी चाहिन्दियां, तिन्हांजो हौंसला दे कने पूरे अधिकारा ने डान्ट। तेरते कोई नफरत नीं करो। "
TIT,3,1,"विश्वासियां जो याद दिला भई सै राजयां कने अधिकारियां रे अधीन रौ, तिन्हांरा हुक्म मन्नो, कने हरेक खरे कम्मां खातर त्यार रौ, "
TIT,3,2,"किसी जो बदनाम नीं करो, झगड़ने औल़े नीं बणो; पर दुज्यां लोकां रे प्रति दयालु हो, कने सब्बीं माहणुआं ने बड़िया नम्रता सौगी रौ। "
TIT,3,3,"काँह्भई अहें बी पैहले मूर्ख, परमेशरा जो नीं मनणे औल़े, कने धोखे च पईरे लोक थे, कने हरेक किस्मा री लालसां कने भोग विलासा रे दास थे। अहें अपणी जिन्दगी बुराई, कने जल़ण करने च बिताई, कने दुज्यां लोकें अहाते नफरत कित्ती, कने अहें तिन्हांते नफरत कित्ती। "
TIT,3,4,"पर ताहली जे अहांरा छुटकारा देणे औल़े परमेशरा री कृपा कने प्रेम माहणुआं पर प्रगट हुआ, "
