Book,Chapter,Verse,Text
JHN,1,1,"दुनिया रे बणाए जाणे का पैल्ले वचन थिया, वचन परमेश्‍वर कने थिया ते वचन परमेश्‍वर थिया। "
JHN,1,2,से ही शुरू अन्दर परमेश्‍वर रे कने थिया। 
JHN,1,3,परमेश्‍वर ने सब किच्‍छ वचन रे जरिए बणाया ते हर इक्क चीज जे इस दुनिया बिच बणाई गयी से तिन्हेरे ही जरिए बणाई गयी। 
JHN,1,4,तिस बिच जिन्दगी थी जे सारे मणुआं जो रौशनी दिंदा। 
JHN,1,5,"रौशनी न्याहरे बिच चमकदी, ते न्याहरा तिसका कदी नी जित्ती सकदा। "
JHN,1,6,"इक्क मणु परमेश्‍वर रे पास्से का आया, जिसेरा नां युहन्ना थिया "
JHN,1,7,"से गवाह बणी करी आया ताकी रौशनी री गवाई दे, ताकी तिसेरे जरिए सारे रौशनी बिच विश्वास करण, "
JHN,1,8,"से अप्पू तां रौशनी नी थी पर तिस रौशनी री गवाई देने तांइ आए रा थिया, "
JHN,1,9,"से सच्ची रौशनी जे सारे लोक्कां जो रौशनी दिंदी, से दुनिया बिच आणे वाली थी। "
JHN,1,10,"से दुनिया बिच आया, कने दुनिया तिसेरी वजह कने बणेया थिया, ते दुनिया रे लोक्कां ने तिसजो नी पछाणेया। "
JHN,1,11,से अपणे लोक्कां का आया पर तिसेरे अपणे लोक्कां ने तिसजो नी अपणाया। 
JHN,1,12,"पर जितणेया ने तिसजो अपणाया, तिसने तिन्हा जो परमेश्‍वर रे पुत्तर होणे रा हक्क दिता, तिन्हा लोक्कां जो जे तिस पर विश्वास रखदे। "
JHN,1,13,"से लोक ना तां अपणे माँ-प्यो री मर्जी कने, ना शरीर री ईच्छा कने ते ना ही लोक्कां री बच्चे पैदा करणे री ईच्छा री वजह कने पैदा होए रे हिन पर से परमेश्‍वर री इच्छा कने पैदा होए रे हिन। "
JHN,1,14,"वचन मणु रे रुप बिच आया, ते से अनुग्रह ते सच्चाई कने भरी कने तिसने हमारे बिच डेरा कित्ता कने असी तिसेरी इदेइ बड़ाई दिखी जिय्यां पिता रे ईकलौते पुत्तर री महिमा दिख्खी हो। "
JHN,1,15,"युहन्ना ने तिसेरे बारे गवाई दिती कने बड़ी हक्कां लाई करी बोल्लेया, “ए से ही है जिसेरे बारे मै तुसी जो दस्सेया थिया कि जे मेरे बाद आए करदा है सेह मेरे का भी बधी करी है किजोकी से मेरे का भी पैहले थिया।” "
JHN,1,16,तिन्हा री अनुग्रह री भरपुरी बिच का असी तिन्हा का इक्क का बाद इक्क मती सारी आशीषां हासिल कित्ती। 
JHN,1,17,इस तांइ कि मूसा रा कानून तां मूसा रे पास्से का दित्तेया गे रे थिया पर परमेश्‍वर ने यीशु मसीह रे जरिए अनुग्रह कने सच्चाई लोक्कां पर ज़ाहिर कित्ती। 
JHN,1,18,"परमेश्‍वर जो कदी कुसकी ने नी दिख्खेया पर इकलौते पुत्तर ने जे अप्पु ही परमेश्‍वर है, ते पिता रे सबका जादा करीब है। तिन्हा ने ही असां पर परमेश्‍वर जो प्रकट कित्ते रा है। "
JHN,1,19,युहन्ना री गवाई ए है कि जिस बेल्ले यहुदी अधिकारियां ने यरूशलेम शहर रे लेवी पुरोत्तां ते लेवी गोत्र रे लोक्कां जो तिसका ए पूछने जो भेज्जेया “तू कुण है।” 
JHN,1,20,"तिसने सही तौर पर तिन्हा जो दस्सेया, “मै मसीह नी है।” "
JHN,1,21,"तां तिन्हाँ ने तिसजो पूच्छेया, “तां फिरी कुण है? ‘क्‍या तू एलिय्याह भविष्यद्वक्ता है? तिसने बोल्लेया मै नी है, तां क्‍या तू भविष्यद्वक्ता है?’” तिसने जवाब दिता, “नी।” "
JHN,1,22,"“तां तिन्हा ने तिसजो पूछया, फिरी तू कुण है ताकी असी अपणे भेजने वालया जो जवाब देई सकन् कि तू अपणे बारे बिच क्‍या बोलदा?” "
JHN,1,23,"तिसने बोल्लेया जिय्यां यशायाह भविष्यद्वक्ता ने बोल्लेया है; मै जंगला बिच इक्क अवाज है, कि परमेश्‍वर रा रस्ता तयार करो "
JHN,1,24,किच्‍छ लोक फरीसी लोक्कां रे पास्से का भिजवाए रे थिए। 
JHN,1,25,"तिन्हा ने तिसका एह़ सवाल पूछया, “अगर तू न मसीह है न एलिय्याह है, ते ना ही सेह भविष्यवाणी करने वाला है, तां फिरी बपतिस्मा किजो दिंदा?” "
JHN,1,26,"युहन्ना ने तिन्हा जो जवाब दित्ता, मै ता पाणी कने बपतिस्मा दिंदा पर तुसी रे बिच इक्क इदेया मणु खडिते रा है तिसजो तुसी नी जाण्दे। "
JHN,1,27,जे मेरे बाद आणे वाले है मै तां तिसेरी जूते रे तसमे खोलणे रे जोग्गा भी नी है 
JHN,1,28,"ए गल्लां यरदन नदी रे पार बैतनिय्याह कस्बे बिच होई, जित्ते युहन्ना लोक्कां जो बपतिस्मा देया करदा थिया। "
JHN,1,29,"दुए दिन तिसने यीशु जो अपणे पास्से आंदे दिखी करी बोल्लेया, “दिख्खो! ए परमेश्‍वर रा मेमना है, जे दुनिया रे पाप्पां जो मिटाणे तांइ आए रा है। ” "
JHN,1,30,ए से ही है जिसेरे बारे बिच मै बोल्लेया थिया इक्क मणु मेरे का बाद आणे वाला है जे कि मेरे का बधी करी है किजोकी से मेरे का पैहले थिया 
JHN,1,31,"मै तां तिसजो पछियाणदा नी थिया कि से मसीह हिन, मै इधेरे तांइ पाणी कने बपतिस्मा दिंदा आया कि से इस्राएल रे लोक्कां सामणे आई जाए। "
JHN,1,32,"कने युहन्ना ने गवाई दिती, “मै आत्‍मा जो कबूतर रे रूप बिच स्वर्ग का उतरदे दिख्खेया ते से तिस पराल्ले उत्तरी गेया।” "
JHN,1,33,"मै तां तिसजो पछियाणदा नी कि से मसीह हिन, पर जिस ने मेरे जो पानी रा बपतिस्मा दैणे जो भेज्जेया तिसी ने मेरे जो बोल्लेया, जिस पराले तू आत्‍मा जो उतरदे कने रुकदे दिख्खेया से ही पवित्रात्मा कने बपतिस्मा देने वाला है। "
JHN,1,34,ते मै दिख्खेया कने गवाई दिती कि ए ही परमेश्‍वर रा पुत्तर है। 
JHN,1,35,अगले दिन फिरी युहन्ना कने तिसेरे चेल्‍लेयां बिच का दो मणु खडित्ते रे थिए 
JHN,1,36,कने तिसने यीशु जे जाए करदे थिये दिख्खी करी बोल्लेया दिख ए परमेश्‍वर रा मेमना है 
JHN,1,37,तां से दोई चेल्‍ले तिसका एह़ सुणी करी यीशु रे पीछे चली पे 
JHN,1,38,"यीशु ने मुड़ी करी तिन्हा जो अपणे पिच्छे आंदे दिख्खेया ते बोल्लेया, तुसी कुस जो तोप्पेया करदे हिन, ते तिन्हा जो बोल्लेया, हे गुरु, तू कुते रैहन्दा। "
JHN,1,39,"तां तिन्हा ने यीशु रे रैह्णे री जगह जो दिख्खेया, ते तिस रोजे से तिन्हा कने ही रे। ए सब किच्‍छ चार बजे रे लगभग होया थिया। "
JHN,1,40,तिन्हा दोन्नां बिच का जे युहन्ना री गल्ल सुणी करी यीशु रे पीछे होए रे थिए इक्क शमौन पतरस रा भ्याल अन्द्रियास थिया 
JHN,1,41,"तिसने पहले अपणे सगे भ्याल शमौन जो मिली करी तिसजो बोल्लेया, हमारे जो मसीह मिली गे। "
JHN,1,42,"अन्द्रियास शमौन जो यीशु का लेई आया, यीशु ने तिसजो दिख्खी करी बोल्लेया, तू युहन्ना रा मुंडा शमौन है, तू कैफा  मतलब पतरस  केहलाणा। "
JHN,1,43,"दूए दिन यीशु ने गलील प्रदेश जाणे रा फैसला कित्तेया। से फिलिप्पुस कने मिल्लेया कने बोल्लेया, मेरा चेल्ला बनणे तांइ पिच्छे आई जा। "
JHN,1,44,फिलिप्पुस अन्द्रियास कने पतरस रे ग्रां बैतसैदा रा रैह्णे वाला थिया 
JHN,1,45,"फिलिप्पुस नतनएल कने मिलया कने तिसजो बोल्लेया, मूसा ते भविष्यद्वक्तां ने अपणे कानून बिच जिसेरी चर्चा ने कित्ती री है, से असां जो मिली गेया, से यूसुफ रा पुत्तर, नासरत कस्बे रा यीशु है। "
JHN,1,46,"नतनएल ने तिसजो बोल्लेया, क्‍या कोई ठीक चीज भी नासरत का निकली सकदी है? फिलिप्पुस ने तिसजो बोल्लेया, चली करी दिखी लै "
JHN,1,47,यीशु ने नतनएल जो अपणे पास्से आंदे दिख्खी करी उसेरे बारे बिच बोल्लेया: ए सचमुच इस्राएल रे ‍खानदान रा है ते भरोसेमंद है: इस आदमी बिच कोई ढोंग नी है। 
JHN,1,48,"नतनएल ने तिसजो बोल्लेया, तू मेरे जो किय्यां करी जाण्दा? यीशु ने तिसजो जवाब दित्ता इसेरे का पैहले फिलिप्पुस ने तिजो सदया जिस बेल्ले तू अंजीर रे बुट्टे रे हेठ थिया, तिस बेल्ले मै तिजो दिख्खेया थिया "
JHN,1,49,"नतनएल ने तिसजो जवाब दिता, हे गुरु, तू परमेश्‍वर रा पुत्तर है, तू इस्राएल रा महाराजा है। "
JHN,1,50,"यीशु ने तिसजो जवाब दिता, मै जे किच्‍छ तिज्जो बोल्लेया कि मै तिज्जो अंजीर रे बूट्टे रे हेठ दिख्खेया, क्‍या तु इसी तांइ विश्वास करदा, तैं इस का भी बड्डे-बड्डे कम्म दिखणे। "
