Book,Chapter,Verse,Text
COL,1,1,"मै पौलुस, जिस जो परमेश्‍वर ने मसीह यीशु रा प्रेरित बनणे तांइ चुणे रा है, विश्वासी भ्याल तीमुथियुस कने मिली करी ए चिठ्ठी कुलुस्सियों शहर बिच रैह्णे वाले मसीह बिच पवित्र ते भरोस्सेमंद संगी विश्वासियां जो लिख्खेया करदा है। असां रे पिता परमेश्‍वर तुसी जो अनुग्रह ते शांती दिंदे रैह्‍ण। "
COL,1,2,असी हमेशा तुसी तांइ प्रार्थना करदे ते असां रे प्रभु यीशु रे पिता मतलब कि परमेश्‍वर रा शुकर करदे। 
COL,1,3,"किजोकी असां ने मसीह बिच तुसी रे विश्वास रे बारे बिच, ते संगी विश्वासियां कने तुसी रे आपसी प्यार रे बारे बिच सुणे रा है, "
COL,1,4,"तुसी ए सब इधेरे तांइ करदे किजोकी तुसी रा विश्वास ते आस, तिन्हा चिज्जां पर आधारित है जे परमेश्‍वर ने तुसी तांइ स्वर्ग बिच संभाली करी रख्खे री है। तुसी जो तिसेरी उम्मीद तिस बेल्ले का थी जां तुसी पैल्ली बारी मसीह यीशु रा शुभ संदेश सुणेया थिया, जे परमेश्‍वर रा सच्चा संदेश है। "
COL,1,5,"जे शुभ संदेश तुसां जो सुणाया गेया थिया, से ही शुभ संदेश अवे सारी दुनिया रे लोक्कां बिच सुणाया जांदा। ते जिय्यां इसने तुसां री जिन्दगी जो बदलेया थिया, जां तुसां ने पैल्ली बारी परमेश्‍वर रे संदेश जो सुणेया ते समझेया थिया कि तिस बिच किन्ना जादा अनुग्रह है, तिय्यां ही ए लोक्कां री जिन्दगी जो बदली करी जादा का जादा फल लाया करदा है। "
COL,1,6,"तुसी ने इसेरी शिक्षा ईपाफ्रास  का पाई, जे मसीह रे संदेश जो फैलाणे बिच असां रा साथी है ते असां पास्से का मसीह रा विश्वासयोग्य सेवक है। "
COL,1,7,तिनिये ही असां जो दुज्जेया तांइ तुसी रे प्यार रे बारे बिच दस्सेया जे पवित्रात्मा तुसी लोक्कां जो दित्तेया। 
COL,1,8,"इधेरे तांइ जां रा असी तुसां रे बारे बिच सुणे रा है, तां का ही असी तुसां तांइ प्रार्थना करदे रैहन्दे। असी परमेश्‍वर का हमेशा प्रार्थना करदे कि से तुसां जो पुरी समझ ते आत्मिक बुद्वी ते समझदारी देण ताकी तुसी तिन्हेरी इच्छा जो समझी सको। "
COL,1,9,"तां तुसी रा चालचलन प्रभु जो पसंद आणे वाला बनणा, ते तुसी परमेश्‍वर जो हर तरिक्के कने खुश करणे वाली जिन्दगी जीणी, ते तिसेरी वजह कने तुसी अपणी जिन्दगी बिच हर तरिक्के रे ठीक कम्म करदे रैह्णा, ते तुसी परमेश्‍वर जो होर भी ठीक तरिक्के कने जाणदे रैह्णा। "
COL,1,10,"मै प्रार्थना करदा कि परमेश्‍वर री महिमा री ताकत रे मुताबक, हर किस्मे री ताकत कने मजबूत हुन्दे जाओ, ताकी तुसी बड़े सबर कने ते खुशी-खुशी अपणी हर मुसीबत जो सहन करी लेयो। "
COL,1,11,"ते पिता परमेश्‍वर रा शुकर करदे रेयो, जिन्हा ने असां जो इस जोग्गा बणाया कि स्वर्ग रे राज बिच तिन्हेरे अपणे लोक्कां कने तिस विरासत रे हिस्सेदार बनण, जे तिन्हा ने अपणे लोक्कां तांइ तयार कित्ते रा है। "
COL,1,12,"किजोकी परमेश्‍वर ने अप्पु ही तिन्हेरे पुत्तर री कुर्बानी रे जरिये, असां जो छुटकारा दित्तेया, यानी पाप्पां री माफी दित्ती, ते असां जो शैतान रे काबू का छुड़ाया। ते अपणे प्यारे पुत्तर रे राज बिच लेई आए। "
COL,1,13,"कोई भी परमेश्‍वर जो नी दिख्खी सकदा, पर जां तिन्हेरे पुत्तर ने इक्क मणु रे रूप बिच जन्म लित्ता, तां तिसने परमेश्‍वर जो लोक्कां पर ज़ाहिर कित्ता किजोकी से अप्पु परमेश्‍वर रे स्वरूप बिच है। परमेश्‍वर रा पुत्तर पुरे ब्रम्हांड रे बणाए जाणे रे पैल्ले का है, ते परमेश्‍वर री बणाए री हर चीज पर तिन्हेरा हक है। "
COL,1,14,"किजोकी तिन्हेरे जरिये ही परमेश्‍वर ने आसमान ते धरती बिच हर इक्क चीज जो बणाया, चाए से दिख्खे री होण या अणदिख्खी, चाए सिंहासन, चाए मालक, चाए प्रधानतां, चाए हक, सारी चिज्जां तिन्हेरे ही जरिए बणाइ गयी ताकी हर इक्क चीज तिन्हेरी बड़ाई करे। "
COL,1,15,"कुसकी भी चीज रे बणाए जाणे रे पैल्ले का ही परमेश्‍वर रे पुत्तर रा वजूद है, ते तिन्हेरे जरिये ही सारा ब्रम्हांड इक्क कठ बिच कम्म करेया करदा है। "
COL,1,16,"से ही कलीसिया जो, जे तिन्हेरे शरीर सांइ है, सही मायने बिच चलांदे ते से अप्पु कलीसिया रे सिर हिन। से ही शुरुआत हिन, ते से ही मुर्देयां बिच का फिरी जिन्दे होणे वाले पैल्ले हिन, ताकी हर इक्क चीज बिच से ही प्रधान ठेहरण। "
COL,1,17,"किजोकी पिता परमेश्‍वर री खुशी इस गल्ल बिच ही है, कि तिन्हेरे पुत्तर बिच ही तिन्हेरे स्वभाव री सारी परिपूर्णता हो। "
COL,1,18,ते परमेश्‍वर ने अपणे पुत्तर जो दुनिया बिच भेज्जेया जिन्हा ने सुली पर कुर्बानी दित्ती। परमेश्‍वर ने ए सब किच्‍छ इधेरे तांइ कित्ता ताकी से हर इक्क चीज कने शांती बणाई करी मेल जोल करी लेण। इसी तरिक्के कने परमेश्‍वर ने आसमान ते धरती री हर इक्क चीज कने अपणा मेल जोल करी लित्ता। 
COL,1,19,"तुसी लोक पैल्ले परमेश्‍वर रे खिलाफ थिये, ते तुसी अपणे बुरे कम्मां ते गलत कम्मां री वजह कने तिन्हा का दूर होई गे थिये। "
COL,1,20,"अवे परमेश्‍वर ने अपणे पुत्तर रे मणु रे रूप बिच जन्म लैणे, ते सुली पर कुर्बानी दैणे रे जरिए, तुसी कने भी मेल जोल करी लेया, ताकी तुसी जो अपणी नजर बिच पवित्र, बेकसूर, ते बेगुनाह ठेहराए। "
COL,1,21,"मसीह बिच तुसी रा विश्वास, नीं बणे रे मजबूत घर सांइ होणा चाएदा। मसीह रे शुभ संदेश जो सुणी करी जे आस तुसी जो मिल्ली थी, तिसजो मत छड्डो, ते जिस शुभ संदेश रा प्रचार दुनिया रे सारे लोक्कां बिच कित्ता गे रा है। ते मै पौलुस जिस शुभ संदेश रा दास बणेया। "
