Book,Chapter,Verse,Text
1JN,1,1,"असी तिस इक्क रे बारे बिच लिख्खेया करदे हिन जे जिन्दगी दैणे वाला वचन है। से दुनिया रे बणाए जाणे का भी पैल्ले का है। जिस जो असी सुणेया, ते अपणी अख्खां कने दिख्खेया, बल्कि जिस जो असी ध्यान कने दिख्खेया ते अपणे हत्थां कने छुत्तेया। "
1JN,1,2,"से इस दुनिया रे लोक्कां बिच आया ते असां बिच मझाटे रेया, ते असां ने तिस जो दिख्खेया, असी तिसेरे गवाह हिन, अते अवे असी तुसी जो तिस्सी हमेशा री जिन्दगी रा संदेश देया करदे हिन, जे पिता कने थिया अते असां पर प्रकट होया। "
1JN,1,3,असां ने तिस जो दिख्खेया अते सुणेया है अवे तुसी जो भी यीशु का संदेश देया करदे हिन ताकी तुसी भी असां रे कने साझी होई जाओ असां रा ए सांझा परम पिता परमेश्‍वर अते उन्हेरे पुत्तर मसीह यीशु कने है। 
1JN,1,4,असी इन्हा गल्लां जो तुसां तांइ इधेरे तांइ लिख्खेया करदे हिन ताकी तुसी री खुशी पूरी होई जाओ 
1JN,1,5,"असां ने मसीह यीशु का जे शुभ संदेश सुणेया है, से ए है, अते इसजो ही असां तुसी जो सुणाया करदे हिन: परमेश्‍वर रौशनी सांइ शुद्व है ते उस बिच न्याहरे सांइ बुराई नी है। "
1JN,1,6,"जे असी ए बोलन कि असी उसेरे साझी हिन पर असी पाप रे न्याहारे बिच अपणी जिन्दगी जिंदे तां असी झूठ बोल्लेया करदे हिन ते सच रे रस्ते पर नी चलेया करदे हिन, "
1JN,1,7,"पर जिय्यां परमेश्‍वर रौशनी बिच हिन जे अगर असी भी तिय्यां ही रौशनी बिच जिन्दगी बिताण ते असी परमेश्‍वर कने अप्पु मिते इक्क-दुए कने मेल-मिलाप रखगे, ते तां मसीह यीशु रे खून ने असां रे पाप्पां का साफ करणा। "
1JN,1,8,जे असी बोलन कि असां बिच कोई पाप नी है तां असी खुद जो धोखा देया करदे हिन अते असां बिच सच्चाई नी है। 
1JN,1,9,"जे असी अपणे पाप्पां जो परमेश्‍वर रे सामणे मन्नी लिंदे तां से असां रे पाप्पां जो माफ करणे विश्वास रे लायक ते नेक है, अते से असां जो हर तरिक्के रे अधार्मिक रे कम्मां का सुच्चा भी करदे। "
1JN,1,10,जे असी बोलदे कि असां रे बिच पाप नी है तां असां परमेश्‍वर जो झूठा बणान्दे अते असी तिन्हेरे वचन रे हिसाब कने जिन्दगी नी जिन्दे। 
1JN,2,1,"हे मेरे बच्चो, ए मै तुसी जो इस तांइ लिख्खेया करदा है कि तुसी पाप ना करो। जे अगर कोई पाप करे, तां परमेश्‍वर पिता का असां तांइ कोई इक्क है जिन्हेरा नां मसीह यीशु है ते से परमेश्‍वर पिता का असां तांइ बिनती करदे। से धार्मिक हिन। "
1JN,2,2,"ते मसीह यीशु असां रे पाप्पां री कीमत चुकाणे तांइ कुर्बान होया, ते सिर्फ असां तांइ ही नी पर सारी दुनिया रे लोक्कां रे पाप्पां तांइ भी। "
1JN,2,3,"जे असी परमेश्‍वर रे हुकमां जो मनगे, तां इस कने ए पता चलणा की असी तिन्हा जो जाणी गे रे हिन। "
1JN,2,4,"जे कोई ए बोलदा कि मै परमेश्‍वर जो जाणदा, ते तिन्हेरी गल्लां जो नी मनदा, तां से झुट्ठा है, तां से सच्चाई रे हिसाब कने जिन्दगी नी जिन्दा। "
1JN,2,5,"पर जे कोई परमेश्‍वर पिता रे वचन जो मनदा, तां तिस बिच हकिकत अंदर परमेश्‍वर रा प्यार सिद्व होए रा है इसी कने असी जाणदे कि असी तिन्हेरे बिच हिन: "
1JN,2,6,"जे अगर कोई ए बोलदा की मै परमेश्‍वर बिच बणी रैहन्दा, तां तिस तांइ जरुरी है कि तदेइ ही जिन्दगी जिये जदेइ जिन्दगी मसीह यीशु जिन्दे थिये। "
1JN,2,7,"हे प्यारे विश्वासियों, मै तुसी जो कोई नोआ हुकम नी लिख्येया करदा है, पर से ही पुराणा हुकम जे शुरुआत का तुसी जो मिल्ले रा है। ए पुराणा हुकुम से ही वचन है जिस जो तुसी तां सुणेया थिया जां तुसी मसीह यीशु बिच विश्वास कित्ता थिया। "
1JN,2,8,"पर फिरी भी मै तुसी जो नौआ हुकम लिखदा, किजोकी ए सच्चाई पैल्ले मसीह बिच पाई गयी ते फिरी तुसी बिच भी पाई गे री है, किजोकी बुराई, न्याहरे सांइ मिटदी जाया करदी है, ते सच्चाई, रौशनी सांइ अवे चमकणा लगी पे री है। "
1JN,2,9,"जे कोई ए बोलदा कि मै सच्चाई बिच जिन्दगी जिया करदा है पर अपणे संगी विश्वासी कने बैर रखदा, से हल्ले तिकर बुराई बिच जिया करदा है। "
1JN,2,10,"जे कोई अपणे संगी विश्वासी कने प्यार रखदा, से सच्चाई बिच जिन्दगी जिया करदा है, ते तिस बिच इदेय कोई गल्ल नी हुंदी जे दुए मणुआं तांइ पाप करणे री वजह बणे। "
1JN,2,11,"पर जे कोई अपणे संगी विश्वासी कने बैर रखदा से मणु बुराई बिच जिन्दगी जिया करदा है, ते न्याहरे बिच है, ते नी जाणदा कि कुते जाया करदा है, किजोकी बुराई ने तिसेरी अख्खां बंद करी रखी री हिन। "
1JN,2,12,"हे बच्चेयों, मै तुसी जो इधेरे तांइ लिखदा की मसीह यीशु रे नां कने तुसी रे पाप माफ होए रे हिन। "
1JN,2,13,"हे बुजुर्ग लोक्कों, मै तुसी जो इधेरे तांइ लिखदा कि जे शुरुआत का है तिसजो तुसी जाणदे, हे जवानों मै तुसी हे इधेरे तांइ लिखदा कि तुसी ने तिस शैतान पर जीत हासिल कित्ते री है। हे बच्चेयों, मै तुसी जो इधेरे तांइ लिख्खेया कि तुसी पिता परमेश्‍वर जो जाणी गे रे हिन। "
1JN,2,14,"हे बुजुर्ग लोक्कों, मै तुसी जो इधेरे तांइ लिख्खेया कि जे शुरूआत का है तुसी तिसजो जाणी गे रे हिन, हे जवानों, मै तुसी जो इधेरे तांइ लिख्खेया करदा है कि तुसी ताकतवर हिन ते परमेश्‍वर रा वचन तुसी बिच बणी रैहन्दा, ते तुसी ने शैतान पर जीत हासिल कित्ते री है। "
1JN,2,15,"तुसी ना तां दुनिया कने, ते ना तां दुनिया री चिज्जां कने प्यार रखो, जे कोई दुनिया कने प्यार रखदा तां से पिता परमेश्‍वर कने प्यार नी करदे। "
1JN,2,16,"किजोकी जे किच्‍छ दुनिया बिच है, मतलब शरीर री इच्छा, ते अख्खां री इच्छा ते अपणी कमाई रा घमंड, से पिता परमेश्‍वर रे पास्से का नी पर दुनिया रे ही पास्से का है। "
1JN,2,17,"दुनिया ते तिसेरी चिज्जां री लालसा दोन्नों मिटणे वाली हिन, पर जे परमेश्‍वर री इच्छा रे हिसाब कने जिन्दगी जिन्दे, तिन्हा ने हमेशा तीकर बणी रैह्णा। "
