Book,Chapter,Verse,Text
ROM,1,1,"मैं पौलुस, जेड़ा यीशु मसीह दास ऐ, ते प्रेरित ओनें आसतै बुलाया गीया, ते परमेसर दे ओस शोभ समाचार आसतै परमेसर थमां चुनयां गीया ऐ "
ROM,1,2,"जेस दी पैलें गै परमेसर थमां पवित्र शास्त्र च, "
ROM,1,3,अपने पुत्र साडे प्रभु यीशु मसीह दे बारै च पविखवाणी कित्ता हा; ओ मानु आला लेखा तां दाऊद दे खांनदान चा पैदा ओया 
ROM,1,4,ते पवित्रता दी आत्मा आला लेखा मरें दें चां जींदे ओनें दे कारन शक्ति कन्नें परमेसर दा पुत्र अखया गिया ऐ 
ROM,1,5,"मसीह थमां असेंगी क्रपा ते प्रेरिताई परमेसर थमां मिली के ओदे नां दै कारन सारी जातीयें दे लोक विश्वास करीयै मसीह दी मनन, "
ROM,1,6,जिन्दे च तोस बी जेड़े रोम च रौंदे ओ यीशु मसीह दे ओनें लेई बलाये गेदे ओ। 
ROM,1,7,"ए चिट्ठी थूआडे सारे दे नां ऐ, जेड़े रोम शैर च परमेसर दे प्यारे न, ते पवित्र ओनें आसतै बलाये गेदे न; साड़े पिता परमेसर ते प्रभु यीशु मसीह थमां तुसेंगी क्रपा ते शान्ति मिलदी रवै। "
ROM,1,8,"पैलें आंऊँ थूआड़े सारे दे लेई यीशु मसीह दै जरियै अपने परमेसर दा शुकर करना ऐं, गी के प्रभु यीशु च थूआड़े विश्वास दी चर्चा सारी दुनिया च उआ करदी ऐ "
ROM,1,9,"परमेसर जेसदी सेवा आंऊँ अपनी पूरी आत्मा कन्नें ओदे पुत्र दा शोभ समाचार प्रचार करने दे बारै च करना ऐं, उवै मेरा गवाह ऐ, के आंऊँ तुसेंगी अपने प्रार्थना च केस चाली लगातार याद करदा रौना ऐं "
ROM,1,10,"ते लगातार अपनी प्रार्थनाए च अर्ज करना ऐं, के किसै बी चाली थूआड़े कोल औने दा मेरा सफ़र परमेसर दी मरजी कन्नें कामजाब ऊऐ "
ROM,1,11,"किके आंऊँ थूआडे कन्नें मिलने दी इच्छया करना ऐं, गी के आंऊँ तुसेंगी कोई आत्मिक शीश दियां जेस कन्नें तोस विश्वास च मजबूत ओई जाओ; "
ROM,1,12,"मतबल ए, के आंऊँ थूआडे बेच आईयै थुआडे कन्नें ओस विश्वास थमां जेड़ा मेरे च, ते थूआडे चै, एक दुए कोला दलेरी पां। "
ROM,1,13,"ए मेरे विश्वासी प्राओ, आंऊँ चांना के तोस ए जानो के मै बार-बार थूआडे कोल औना सोचया, के जियां मिगी गैर यहूदी च फल मिलया, इयां गै थुआडे च बी मिलै, लेकन ऊन तकर रुका दा रिया। "
ROM,1,14,"आंऊँ यूनानीयें ते दुई पाषें आलें दा, ते सुलझें दे ते बिना सुलझें लोकें दा कर्जदार आं। "
ROM,1,15,"एसकरी, आंऊँ तुसेंगी बी जेड़े रोम शैर च राैंदे ओ, शोभ समाचार सुनाने लेई अपने मन कोला त्यार आं। "
ROM,1,16,"किके आंऊँ शोभ समाचार सनानें लेई शरमिन्दा नेई ओंदा, एसलेई के यीशु मसीह दा शोभ समाचार अर एक विश्वास करने आलें आसतै, पैलें तां यहूदी, ते पी यूनानी दे लेई, मुक्ति आसतै परमेसर दी शक्ति ऐ। "
ROM,1,17,"किके सुसमचारें च परमेसर दी तार्मिकता विश्वास क्न्ने ते बश्वास लेई प्रकट ओंदी ऐ; जियां पवित्र शास्त्र च लिखे दा ऐ, “तरमी मनुक्ख विश्वास कन्नें जिन्दा रौग।” "
ROM,1,18,"परमेसर दा गुस्सा तां उनें लोकें दी सारी अपक्ति ते अतर्म ऊपर सोर्ग चा परकट ओंदा ऐ, जेडे सच्च गी अतर्म कन्नें दबाई रखदे न। "
ROM,1,19,"ता करी के परमेसर दे बारै च ज्ञान उन्दे मने च परकट ऐ, किके परमेसर ने उन्दे ऊपर परकट कित्ता ऐ। "
ROM,1,20,"किके परमेसर दे अन दिखे गोण, मतलव मेशा दी शक्ति ते ओदा अपना सभाह, दुनिया गी बनाने दै बेलै कोला ओदे कम्में दे जरिये दिखने च ओदे न, ता करी उन्दे कोल कोई बहाना नेई। "
ROM,1,21,"एस कारन के परमेसर गी जानने ऊपर बी उनें परमेसर दे काबल बड़ाई ते शुकर नेई कित्ता, सगुआं गलत बचार करन लगे, इत्थें तकर के उन्दा निर्बुध्दी मन न्हेरा ओई गीया। "
ROM,1,22,"ओ अपने आप गी बुध्दिमान अखीयै मुर्ख बनी गै, "
ROM,1,23,"ते उनें नां मरने आले परमेसर दी मैमा गी नाश ओनें आले मनुक्ख, पैंछीयें, चौंऊ खुरें आले, ते पुञां चलने आले जीबें गी मूरत आला लेखा बदली दित्ता। "
ROM,1,24,"एसकरी परमेसर ने उनेंगी उन्दे मन दी इच्छें दै मताबक अनैतिक कम करन लेई छुड़ी दीता, के ओ अप्पुं बिचें बुरे कम्में कन्नें अपनी जींदु दा बेआदर करन। "
ROM,1,25,"किके उनें परमेसर दी सच्चाई गी बदलीयै चूठ च बदली दित्ता, ते सृष्टि दी अराधना ते सेवा कित्ती,नां के ओस सृष्टिकर्त्ता दी जेडा मेशा तन्न ऐ, आमीन। "
ROM,1,26,"एसकरी परमेसर ने उनेंगी नीच खुआशें दे अथ्थ बेच छुड़ी दित्ता; इत्थें तकर के उन्दी जनांनियें बी सेई सभाह दे बर्ताओ गी ओस दे बेच जेडा सेई कम करने दै खलाफ ऐ, बदली दित्ता। "
ROM,1,27,"इयां गै मडदें बी जनांनियें दे कन्नें सेई कम दा बर्ताओ छुड़ियै अप्पुं चें मस्त ओईयै मुकान लगे, ते मडदें,मडदें दे कन्नें गलत कम करयै अपने ओस गलत कम दी सेई सज़ा मिली। "
ROM,1,28,"जेलै उनें परमेसर गी जानना नेई चाया, एसकरी परमेसर ने बी उनेंगी उन्दे नीच मन दे मताबक छुडी दीता, के ओ पैडे कम करन, "
ROM,1,29,"ओ अर चाली दी अतार्मिकता, दुष्टता, ते लालच, बैर बरोध कन्नें परोई गै, ते सारी एर्षा, अत्या, चगड़े,ते छल, ते पैड़ी अरक्तें कन्नें परी गै, ओ चुगली करने आले, "
ROM,1,30,"गपाँ मारने आले, निंदया करने आले, परमेसर कन्नें नफरत करने आले,अप्पुं लड़ाई लेने आले, कमंड करनेआले, मानी, पैडे-पैडे कम्में दी जोयनां बनानें आले, मा-प्यों दा उक्म नेई मनने आले, "
ROM,1,31,"बेबकुफ, विश्वास त्रोड़ने आले, प्यार ते दिया कोला दूर न, ते बेदन नेई करने आले ओई गै। "
ROM,1,32,"ओ तां परमेसर दी ए विधि जांनदे हे के ऐसे-ऐसे कम करनेआले मौत दी सज़ा दे काबल न, तां बी पी ओ अप्पुं गै ऐसे कम करदे न, लेकन करने आलें ऊपर बी खोश ओदे न। "
ROM,2,1,"एस आसतै ए दोष लाने आले, तू कोई कि नेई ओगा, तू दोषी ऐं; किके जेस गल्ल च तू दुए ऊपर दोष लाना ऐं, उसै गल्ल च तू अपने आप गी बी दोषी खुआना ऐं, एसकरी के तू जेड़ा दोष लाना ऐं, अप्पुं उवै कम करना ऐं। "
ROM,2,2,ते अस जांनदे न के ऐसे-ऐसे कम करने आले ऊपर परमेसर तर्फुं ठीक-ठीक सज़ा दा उक्म ओंदा ऐ। 
ROM,2,3,"ए मनुक्ख, तू जेडा ऐसे-ऐसे कम करने आले ऊपर दोष लाना ऐं, ते अप्पुं गै उवै कम करना ऐं; के ए जानना ऐ के तू परमेसर दी सज़ा दे उक्म कोला बची जागा? "
ROM,2,4,"के तू ओदी पलाई, ते सेंन करने दी शक्ति, ते स्बर करने आला तन्न गी तोच्छ जानना ऐं? के ए नेई समझदा के परमेसर दी पलाई तुगी मन फराव गी सखांदी ऐ? "
ROM,2,5,"पर तू अपनी कठोरता ते जिद्दी मन दै मताबक ओदे गुस्सै दे देन लेई, जेदे च परमेसर दा सच्चा न्याय परकट ओग, अपने लेई गुस्सा कमा करना ऐं। "
