Book,Chapter,Verse,Text
2CO,1,1,"पौलुस थमां जेड़ा परमेसर दी मर्जी क्न्ने मसीह यीशु दा प्रेरित ऐ, ते मसीह प्रा तीमुथियुस थमां परमेसर दी ओस कलीसिया दे नां, जेडी कुरिन्थुस शैर च ऐ, ते साडे अखाया दे लाकें दे सारें पवित्र लोकें दे नां; "
2CO,1,2,साड़े पिता परमेसर ते प्रभु यीशु मसीह थमां तुसेंगी क्रपा ते शान्ति मिलदी रवै। 
2CO,1,3,"साडे प्रभु यीशु मसीह दे पिता, ते परमेसर दा शुकर ऊऐ, जेड़ा क्रपा दा पिता, ते अर चाली दी शान्ति दा पिता ऐ। "
2CO,1,4,"ओ साडे सारें संगटें च शान्ति दिंदा ऐ; तां जे अस ओस शान्ति दे कारन जेडी परमेसर असेंगी दिंदा ऐ, उनेंगी बी शान्ति देइ सकचै, जेडे कुसे केसम दे संगट च ओंन। "
2CO,1,5,"किके जियां अस मसीह दे दुखें च मते शामल ओनयां न, उयां गै साडी शान्ति बेच बी मसीह थमां मते शामल ओनयां न। "
2CO,1,6,"जेकर अस संगट पोगनयां न, तां ए थुआडी शान्ति ते मुक्ति आसतै ऐ; ते जेकर असेंगी शान्ति मिलदी यै, तां ओ थुआडी शान्ति आसतै ऐ; जेस दे असर कन्नें तोस सवर दे कन्नें उनें संगटें गी जरी लेंदे ओ, जिनेंगी अस बी जरनयां न। "
2CO,1,7,"ते साडी आस थूआड़े बारै च पक्की ऐ; किके अस जाननयां न, के तोस जियां साडे दुखें च शामल ओ, उयां गै शान्ति च बी शामल ओ। "
2CO,1,8,"ए मसीह विश्वासी प्राओ, अस नेई चानयां के तोस साडे ओस संगट थमां अनजांन रवो, जेड़ा आसीया दे लाकें च साडे ऊपर पिया; के अस इनें पारे बोझ कन्नें दबोई गेदे हे, जेड़ा साडे बर्दाश कोला बार हा, इत्थें तकर के अस जीनें दी मेंद बी छुड़ी बैठे दे हे। "
2CO,1,9,"लेकन असें अपने मन च समझी लेता हा, के असें मरी जाना ऐ, तां बी असें अपना परोसा ओस परमेसर च रखया जेडा मोदें गी जिन्दा करदा ऐ। "
2CO,1,10,"उसै असेंगी मौत दे इनें बड्डे संगट थमां बचाया, ते बचाग; ते ओस थमां साडी ए आस ऐ, के ओ अगें बी असेंगी बचांदा रौग। "
2CO,1,11,"ते तोस बी मिलियै प्रार्थना च साडी मदद करगे, के जेड़ा वरदान मतें सारें थमां असेंगी मिलया, ओदे कारन मते लोग साडी बक्खी दा शुकर करन। "
2CO,1,12,"किके अस अपनी अन्तर आत्मा दी एस गवाई ऊपर कमण्ड करनयां न, के दुनिया च ते ख़ास करीयै थूआड़े बेच साडा चाल चलन परमेसर दे काबल ऐसी पवित्र ते सच्चाई कन्नें हा, जेड़ा इन्सान दी अक्ल कन्नें नेई लेकन परमेसर दी क्रपा दै कन्नें हा। "
2CO,1,13,"अस तुसेंगी ओर केछ नेई लिखदे, सेर्फ ऊवै जेड़ा तोस पढ़दे जां समझदे बी ओ, ते मीकी आस ऐ के, खीरी तकर बी समझदे रौगे। "
2CO,1,14,"जियां थुआडे चा किन्नें गै मन्नी लेता ऐ, के अस थूआड़े कमण्ड दा कारन ओ, उयां गै तोस बी प्रभु यीशु दे वापस औने दे देन साडे आसतै कमण्ड दा कारन बनगे। "
2CO,1,15,"इसै परोसे कन्नें आंऊँ चांना ऐं, के पैलें थूआड़े कोल अवां; के तुसेंगी एक ओर दान मिलै; "
2CO,1,16,"मै ए सोचा हा के थूआड़े कोला आईयै मकिदुनिया दे लाकें गी जां, ते पी मकिदुनिया दे लाकें थमां थूआड़े कोल अवां, ते तोस मीकी यहूदीया दे लाकें आली बखी दूर तकर पजागे। "
2CO,1,17,"एस आसतै मै ए जेडी इच्छा कित्ती ही तां के मै चलाकी दसी? जां जे करना चांना ऐं के शरीर दै मताबक करना चांना ऐं, के आंऊँ गल्ल च आं, आं बी करां ते नां, नां बी करां? "
2CO,1,18,"लेकन परमेसर मानदार ऐ, के साडे ओस वचन च जेड़ा थूआड़े कन्नें आखया आं, ते नां दुऐं नेई पाए जंदे। "
2CO,1,19,"किके परमेसर दा पुत्र यीशु मसीह जेस दा साडे थमां मतलब मेरे ते सिलवानुस ते तीमुथियुस थमां थूआड़े बेच परचार ओया, मसीह यीशु च आं ते नां दुऐं नेई हे; लेकन ओदे च आं गै आं ओई। "
2CO,1,20,"किके परमेसर दे जिन्नें वायदे न, ओ सारे मसीह च आं दे कन्नें न। इसै आसतै ओदे थमां आमीन बी ओई, के साडे थमां परमेसर दी मैमा ऊवै। "
2CO,1,21,"ते जेडा असेंगी थूआड़े थमां मसीह च पक्का करदा ऐ, ते जेस ने साड़ा अभिषेक कित्ता ओ उवै परमेसर ऐ, "
2CO,1,22,जेस ने साडे ऊपर मोर बी लाई दित्ती ऐ ते पेशगी च आत्मा गी साड़े मन च दित्ता। 
2CO,1,23,"आंऊँ परमेसर गी गवाह करयै बोलाना ऐं, के आंऊँ परतीयै कुरिन्थुस शैर च एस आसतै नेई आया, के मीकी थूआड़े ऊपर तरस औंदा हा। "
2CO,1,24,"ए नेई, के अस विश्वास दे बारै च थूआड़े ऊपर राज जताना चानयां न; लेकन थूआड़े नन्द च मददगार ओं, किके तोस विश्वास कन्नें गै मजबूत रौंदे ओ। "
2CO,2,1,मै अपने मन च इयै तै करी लेते दा हा के पी थूआड़े कोल दुखी करने गी नेई अमां। 
2CO,2,2,"किके जेकर आंऊँ तुसेंगी दुखी करां, तां मीकी नन्द देने आला कोन ओग? सेर्फ उवै जीसी मै दुखी कित्ता? "
2CO,2,3,"ते मैं इयै गल्ल तुसेंगी एस आसतै लिखी, के कुतै ऐसा नेई ऊवै, के मेरे आैने ऊपर, जींदे थमां मीकी नन्द मिलना चाइदा, आंऊँ उन्दे कोला दुखी ओई जां; किके मीकी थूआड़े सबनी ऊपर एस गल्ल दा विश्वास ऐ के जेड़ा मेरा नन्द ऐ, ऊवै थुआडे सबनी दा बी ऐ। "
2CO,2,4,"बड़े संगट,ते मन दे दोख क्न्ने मै बडै रोई-रोई तुसेंगी लिखया हा एस आसतै नेई के तोस दुखी ओई जाओ, लेकन एस आसतै के तोस ओस बड्डे प्यार गी जानी लिओ, जेड़ा मीकी थूआड़े कन्नें ऐ। "
2CO,2,5,"जेकर कुसै दुखी कित्ता ऐ, तां मीकी गै नेई बरन (के ओदे कन्नें मती सकती नेई करां) थूडा-थूडा तुसें सबनी गी बी दुखी कित्ता ऐ। "
2CO,2,6,"ऐसे मनुक्ख आसतै ए सज़ा जेडी विश्वासी प्रांऐं बिचा मतें सारें दित्ती, ओ मती ऐ। "
2CO,2,7,"एस करी एस थमां ए पला ऐ के ओस दा पाप माफ़ करो; ते तसल्ली दियो, ऐसा नेई ऊवै के मनुक्ख विश्वास थमां पडकी जा। "
2CO,2,8,"एस करी आंऊँ थूआड़े कन्नें अर्ज करना ऐं, के उसी अपने प्यार दा सबूत दसो। "
2CO,2,9,"किके मै एस आसतै बी लिखया हा, के तुसेंगी परखी लियां, के तोस मेरी सारी गल्लें गी मनने लेई त्यार,ओ जां नेई। "
2CO,2,10,"जेस दा तोस केछ माफ़ करदे ओ उसी आंऊँ बी माफ़ करना ऐं, किके मै बी जे केछ माफ़ कित्ता ऐ, जेकर कित्ता ओग, तां थूआड़े कारन मसीह दी जगै च ओइयै माफ़ कित्ता ऐ। "
2CO,2,11,"के शतान दी साडे ऊपर चलाकी नेई चलै, किके अस ओस दी चलाकीयें थमां अनजांन नेई। "
2CO,2,12,"ते जेस लै आंऊँ मसीह दा शोभ समाचार, सनाने आसतै त्रोआस दे शैर च आया, ते प्रभु ने मेरे लेई एक मौका खोली दित्ता, "
2CO,2,13,"तां मेरे मन च चैन नेई मिलया, एसकरी के मै अपने मसीह प्रा तीतुस गी नेई दिखया; एस आसतै त्रोअास शैर दे वश्वासीयें शा विदा ओईयै आंऊँ मकिदुनिया शैर गी चली गिया। "
2CO,2,14,"लेकन परमेसर दा शुकर ऊयै, जेड़ा मसीह च मेशा असेंगी जै दी ख़ुशी च लेई फिरदा ऐ, ते अपने ज्ञान दी खशबु साडे थमां अर जगै फलांदा ऐ। "
2CO,2,15,किके अस परमेसर दे कोल मसीह आला लेखा उनें मुक्ति पानें आले ते नाश ओनें आलें दौनी आसतै मसीह दी खशबु ओं। 
2CO,2,16,"किन्नें आसतै तां मरने दे जोग मौत दी खशबू, ते किन्नें आसतै जीनें दे जोग जीनें दी खुशबु, ते पला इनें गल्लें दे जोग कोन ऐ? "
2CO,2,17,"किके अस उनें मतें सारें आला लेखा नेई, जेडे परमेसर दे वचन च मलावट करदे न; लेकन मन दी सच्चाई कन्नें, ते परमेसर तरफुं परमेसर दी आज़री समझीयै मसीह च बोलनयां न। "
2CO,3,1,के अस पी अपनी बड़याई करन लगी पे? जां असें बाकी लोकें साईं शफारशें दियां चिठ्ठीयां थूआड़े कोल आननियां जां लेनयां न? 
2CO,3,2,"साडी शफारश दी चिठ्ठी तोस गै ओ, जेडी साडे एर्दें ऊपर लिखी गेदी ऐ, ते उसी सारे मनुक्ख पनछानदे ते पढ़दे न। "
2CO,3,3,"ए परकट ऐ, के तोस मसीह थमां मिली दी पत्री ओ, जीसी असें सेवकें आला लेखा लिखया, ते जेडी स्याई कन्नें नेई लेकन जिन्दे परमेसर दी आत्मा कन्नें, पत्थर दी पट्टीयें ऊपर नेई, लेकन एर्दें दे मास रूपी पट्टीयें ऊपर लिखी ऐ। "
2CO,3,4,अस मसीह थमां परमेसर ऊपर ऐसा गै परोसा करनयां न। 
2CO,3,5,"ए नेई, के अस अपने आप थमां एस काबल ओ, के अपनी तरफुं कुसे गल्ल दा बचार करी सकचै, लेकन साडी काबलता परमेसर थमां ऐ, "
2CO,3,6,"जेस ने असेंगी नमे बायदे दे सेवक ओनें दे काबल बी कित्ता, छडे बोलने आले सेवक नेई बरन आत्मा दे; किके मूसा दे कनून दे मताबक बोल मारदा ऐ, लेकन परमेसर दी आत्मा मेशा दी जिन्दडी दिन्दी ऐ। "
2CO,3,7,"जेकर मौत दा ए कनून जेस दे अखर पत्थ्तरें ऊपर लिखे गेदे हे, इत्थें तकर मैमा योकत ओए, के मूसा दे मुह ऊपर दी तेज लो दे कारन जेडी घटदी बी जंदी ही, इस्राएली ओदे मुंह ऊपर नज़र नेई पाई सकदे हे, "
2CO,3,8,ते आत्मा दा बायदा ओर बी तेज लोई आला कि नेई ओग? 
2CO,3,9,"किके जेलै दोषी बनाने आला बायदा बड़ा गै शक्ति आला हा, तां तरमी बनाने आला बायदा ओर बी शक्ति आला कि नेई ओग? "
2CO,3,10,"ते जेड़ा मैमा आला हा, ओ बी ओस तेज लोई दे कारन जेड़ा ओस थमां जादै शक्ति आला हा, केछ बड़ा शक्ति आला नेई निकलया। "
2CO,3,11,"किके जेलै ओ तेज जेड़ा कटदा जन्दा हा, तां ओ जेड़ा टिका दा रौग ओर बी बड़ा शक्ति आला कि नेई ओग? "
2CO,3,12,"एस करी ए जेई आस रखीयै अस दलेरी कन्नें बोलनयां न, "
2CO,3,13,"ते मूसा आला लेखा नेई, जेस ने अपने मुंह ऊपर पड़दा पाए दा हा तांजे इस्राएली लोक ओस घटने आली लोई दे एन्त गी नेई दीखन। "
2CO,3,14,"लेकन उनें अपने एर्दें कठोर करी दिते, किके अज तकर पराना नियम पढ़दे बेलै उंदे एर्दें ऊपर उवै पड़दा पेदा रौंदा ऐ, लेकन ओ मसीह च चुकी लित्ता जन्दा ऐ। "
2CO,3,15,"ते अज तकर जेलै कुते मूसा दी कताब पढ़ी जन्दी ऐ, तां उंदे एर्दें ऊपर पड़दा पेदा रौंदा ऐ। "
2CO,3,16,"लेकन जेलै कुते उंदा एर्दें प्रभु यीशु आली बक्खी फिरग, ओस बेलै ओ पड़दा अटी जाग। "
2CO,3,17,प्रभु तां आत्मा ऐ; ते जिथें कुते प्रभु दा आत्मा ऐ उत्थें कनून थमां अजादी ऐ। 
2CO,3,18,"लेकन जेलै साडे सारें दे उगडे दे मुंह थमां प्रभु दी ओ तेज लो एस चाली परकट ओंदी ऐ, जेस चाली शीशे च, तां प्रभु थमां जेड़ा ओ आत्मा ऐ, अस उसै तेज लोई आला लेखा थूडे-थूडे करयै बदलदे जनयां न। "
2CO,4,1,"एस करी जेलै साडे ऊपर परमेसर दी ऐसी दिया ओई, के असेंगी ए प्रचार दी सेवा मिली, तां अस इम्त नेई छुडदे। "
2CO,4,2,"लेकन असें शर्म दे गोप्त कम्में गी त्यागी दित्ता, ते नां चलाकी कन्नें चलनयां, ते नां परमेसर दे वचन च मलावट करनयां न; लेकन सच्चाई गी परकट करियै, परमेसर दे सामने अर एक मनुक्ख दी अन्तर आत्मा च अपनी पलाई बठानयां न। "
2CO,4,3,"लेकन जेकर साडे शोभ समाचार ऊपर पड़दा पेया ऐ, तां ए नाश ओनें आलें आसतै गै पेदा ऐ। "
