Book,Chapter,Verse,Text
COL,1,1,"पौलुस थमां, जो परमेसर दी मरजी कन्नें मसीह यीशु दा प्रेरित ऐ, ते प्रा तीमुथियुस थमां, "
COL,1,2,मसीह च उनें पवित्र ते वश्वासजोग प्राऐं दे नां जेड़े कुलुस्से शैर च रौंदे न; साडे पिता परमेसर कोला तुसेंगी क्रपा ते शान्ति आसल ओंदी रवै। 
COL,1,3,"अस थूआड़े लेई लगातार प्रार्थना करीयै, अपने प्रभु यीशु मसीह दे पिता,मतलब परमेसर दी शुक्रगुजारी करनयां न। "
COL,1,4,"किके असें सुन्या ऐ, के मसीह यीशु उपर थूआडा विश्वास ऐ, ते सारें पवित्र लोकें कन्नें प्यार करदे ओ, "
COL,1,5,"ओस आस कित्ती दियां चीजें दै कारन जेड़ीयां थूआड़े आसतै सोर्ग च रखियां गेदीयां न, जिन्दा बयान तोस ओस शोभ समाचार दी सच्चाई दे वचन च सुनी चुके दे ओ, "
COL,1,6,"जेड़ा थूआड़े कोल पुजया ऐ, ते जियां ओस शोभ समाचार दा फल पूरी दुनिया च,बददा जा करदा ऐ; उयां गै जेस देन थमां तुसें ए समाचार सुनयां, ते सच्चाई कन्नें परमेसर दी क्रपा गी पंछानया ऐ,थूआडे च बी ईयां गै बददा जन्दा ऐ। "
COL,1,7,"उसै शिखया गी तुसें साडे कन्नें सेवा करने आले इपफ्रास कोला सिखया, जेड़ा साडे लेई मसीह दा वश्वासजोग सेवक ऐ। "
COL,1,8,ओस ने थूआड़े प्यार गी जेड़ा पवित्र आत्मा च ऐ साडे उपर परकट कित्ता। 
COL,1,9,"एस लेई जेस देन असें थूआडे बारै च सुनया ऐ, असें बी थूआड़े लेई ए प्रार्थना ते अर्ज करना नेई छुडी के तोस सारे आत्मिक ज्ञान ते समझ समेत परमेसर दी मरजी दी पंछान च परपुर ओई जाओ, "
COL,1,10,"तां जे थूआडा सारा चाल-चलन प्रभु दे योग उवै, ते ओ थूआडे उपर सारें कम्में च खोश उवै, ते थूआड़े अर चाली दे पले कम्में दा फल लगै, ते तोस परमेसर दी पंछान च बददे जाओ, "
COL,1,11,"ते ओदी मैमा दी शक्ति दै मताबक अर चाली दी शक्ति कन्नें तकड़े ओदे जाओ, इत्थें तकर के खुशी कन्नें अर चाली च धीरज ते सबर दसी सको, "
COL,1,12,"ते पिता परमेसर दा शुक्र करदे रबो, जेस ने असेंगी एस जोग बनाया के लोई च पवित्र लोकें दै कन्नें परमेसर दी जैदाद च शामल ओचै। "
COL,1,13,"कीके ओसने असेंगी गै सानु शतान दे न्हेरे दी ताकत चा छुडायै अपने प्यारे पुत्र दे राज च साडा दाखला कराया, "
COL,1,14,"असेंगी मसीह दे लहू कन्नें छुटकारा, मतलब पापें दी माफ़ी ओंदी ऐ, "
COL,1,15,पुत्र तां नेई दिखने आले परमेसर दा रूप ते सारी सृष्टि च जेठा ऐ। 
COL,1,16,"किके ओदे च सारियां चीजां बनाई गेईयां, सोर्ग दियां ओंन जां तरती दियां, दिखने आलियां जां अनदिखयां, के सिंहासन, के राज, के प्रधानताएं, के अख्त्यार, सारियां चीजां उसै थमां ते उसै लेई सेर्जी गेईयां न। "
COL,1,17,"मसीह सारी चीजें च पैला ऐ, ते सारियां चीजां ओदे च टिकी दियां रौंदीयां न। "
COL,1,18,"उवै जेंद, मतलब कलीसिया दा सेर ऐ; मसीह गै शुरुआत ऐ, ते मोड़दें चा जिन्दा ओनें आलें च जेठा के सारीयें गल्लें च मसीह गै प्रधान बनें। "
COL,1,19,"किके पिता परमेसर दी खुशी एदे च ऐ के ओदे च परमेसर दी सारी परपूरी वास करै, "
COL,1,20,"ते ओदे सुल्ली उपर रुडे दे खून थमां मेल-मलाप करयै, सारियें चीजें दा मसीह थमां अपने कन्नें मेल करी लै, पवें ओ तरती दियां ओंन, पवें सोर्ग दियां। "
COL,1,21,तोस जेड़े पैलें बगाने हे ते अपने बुरे सलूक थमां मन छा परमेसर दे बैरी हे; 
COL,1,22,"परमेसर ने ऊन मसीह दी शारीरिक जेंद च मौत थमां थूआडा बी मेल करी लेता तांजे तुसेंगी अपने सामने पवित्र ते बेधाग, ते बेकसुर बनाईये आजर करै। "
COL,1,23,"जेकर तोस मसीह पर विश्वास दी मनैद उपर टिके दे रौगे, ते ओस शोभ समाचार दी आस गी जिसी तुसें सुने दा ऐ नेई छुड़ो, जेसदा प्रचार अम्बर दे थल्ले दी सारी सृष्टि दे लोकें च कित्ता गीया, ते जेसदा आऊँ पौलुस सेवक बनया। "
COL,1,24,"ऊन आऊँ उनें दुखें दै कारन जेड़े मै थूआड़े आसतै चले खुशी मनानां ऐं, जेड़े थूआडे आसतै दोख चलना ऐं, मसीह जेंद दी खात्र अपनी जेंद च उनें दुखें गी पुरा करना,मतलब कलीसिया आसतै; "
COL,1,25,"जेस दा आऊँ परमेसर दे ओस बंधोबस्त दै मताबक सेवक बनया, जेड़ा थूआड़े लेई मिगी सौम्पया गीया, तां जे आऊँ परमेसर दे वचन दा पूरा-पूरा प्रचार करां। "
COL,1,26,"मतलब ओस पेद गी जेड़ा पराने बेलें ते पीढ़ियें थमां गोप्त च रिया, लेकन ऊन ओदे पवित्र लोकें उपर परकट किते दा ऐ। "
COL,1,27,"जिन्दे उपर परमेसर ने परकट करना चाया, के उनेंगी जानकारी उवै के दुई जातीयें च ओस पेद दी मैमा दा मोल्ल के ऐ, ते ओ ऐ, के मसीह जेड़ा मैमा दी आस ऐ थूआड़े च रौंदा ऐ। "
COL,1,28,"जेसदा प्रचार करयै अस अर एक मनुक्ख गी खबरदार करनयां न ते सारे ज्ञान कन्नें अर एक मनुक्ख गी सखानयां न, के अस अर एक मनुक्ख गी मसीह च सेध्द करियै पेश करचै। "
COL,1,29,"ते ईसै लेई आऊँ मसीह दी ओस शक्ति दै मताबक जेड़ी मेरे च अपनी शक्ति दै कन्नें असर पांदी ऐ, तन मन लाईयै मेंनत बी करना ऐं। "
COL,2,1,"आऊँ चानां ऐं के तोस जानी लियो,के थूआड़े ते उन्दे लेई जेड़े लौदीकिया शैर च न, ते उनें सबनी लेई जिन्नें मेरा शारीरिक मुँह नेई दिखया, आऊँ कियां मेंनत करना ऐं, "
