Book,Chapter,Verse,Text
2PE,1,1,"आऊँ, शमौन पतरस, जेड़ा यीशु मसीह दा सेवक ते प्रेरित ऐं, तुसेंगी लिखै करना। आऊँ सबनी गी लिखै करना ऐं जेड़ा साडे कोल एक गै किमती विश्वास ऐ, जेड़ा यीशु मसीह, साडे परमेसर ते उद्धारकर्ता थमां असेंगी दिता गेदा विश्वास ऐ,जेड़ा असेंगी परमेसर कन्नें सेई बनांदा ऐ। "
2PE,1,2,आऊँ प्रार्थना करना ऐं के परमेसर तुसेंगी ओर मती जादै क्रपा ते शान्ति दै जियां के तोस परमेसर ते यीशु साडे प्रभु दे ज्ञान च बददे जंदे न। 
2PE,1,3,"परमेसर ने, अपनी शक्ति थमां, असेंगी ओ सब केछ देई ओडे दा ऐ जेड़ा असें पक्ति आली जींदडी जिनें आसतै चाईदा जेड़ी परमेसर गी खोश करै। ए ओई सकदा ऐ किके अस परमेसर गी जांननयां न ते ओ उवै जेस ने असेंगी अपनी मैमा ते अच्छे चाल चलन थमां अपने लोकें साईं बलाया ऐ। "
2PE,1,4,"ए ऐसे वायदे न जेड़े तुसेंगी जींदडी दियां बुरीयां ते गलत इच्छ्यां थमां बचनें आसतै काबल बनांदे न,जेड़े लोक मसीह च विश्वास नेई करदे,ओ करना चांदे न ते अपने परमेसर दे सभाव च पागीदार ओना चांदे न। "
2PE,1,5,"किके तोस अप्पुं परमेसर दी कुदरत कन्नें पागी ओनें आसतै ओ-ए बी कित्ता जाई सकदा ऐ, ईसी पिछली कविता कन्नें जोड़ने आसतै। तुसें मसीह च सेर्फ विश्वास गै नेई करना चाईदा, तुसें मेशा ओ करने दी कोष्ट करनी चाईदी,जे केछ दुऐं आसतै अच्छा ऐ। तुसें सेर्फ ईयै गै नेई करना चाईदा जेड़ा अच्छा ऐ,तोस ऐसे लोक बनो जेड़े बुद्धिमानी क्न्ने सलूक करना जांनदे न। "
2PE,1,6,"तुसें सेर्फ अपने आप गी गै नेई काबू करना चाईदा, तुसें मसिवत दै बेच बी सबर रखना चाईदा। तुसें नां सेर्फ सबर रखना चाईदी, तुसें एस तरीके कन्नें बी जिनां चाईदा जेस कन्नें परमेसर खोश ते ओदा आदर बी उवै। "
2PE,1,7,"तुसें सेर्फ एस चाली च गै नेई रौनां चाईदा जेड़ा परमेसर गी खोश ते ओदा आदर करदा ऐ, तुसें अपने आप कन्नें अपने टबरे आला लेखा सलूक ते प्रेम करना चाईदा। "
2PE,1,8,"जेकर ए सारियां चीजां थूआड़े च ऐंन ते बददीयां बी जा करदियां न, तां ओ साडे प्रभु यीशु मसीह दे ज्ञान च थूआड़े आसतै फायदामन्द ते थूआड़े च बदनें दी मदद करगन। "
2PE,1,9,"किके जिन्दे च ए गल्लां नेई, ओ अन्नां ऐ ते तुन्दला दिखदा ऐ, ते अपने पिछले पापें छा शोध्द ओनें गी पूली बैठा ऐ। "
2PE,1,10,"अपने आप गी ते दुए लोकें गी दसने लेई चंगी चाली सलूक करने लेई बी खूब मेंनत करो के परमेसर ने सच्च गै तुसेंगी चुनें दा ऐ। जेकर तोस ऐसा करदे, तां पक्के परमेसर कोला लग्ग नेई ओगे, "
2PE,1,11,"ते एदे कन्नें गै परमेसर थूआडा आदर कन्नें सभागत करग जिथें यीशु मसीह, जेड़ा साडा प्रभु ते साडा उद्धारकर्ता ऐ, मेशा आसतै राजा आला लेखा राज करगे। "
2PE,1,12,"आऊँ तुसेंगी इनें मामलें दै बारै च बड़ी बारी जाद कराना चांना ऐं,बेछक तोस इनेंगी पैलें दे गै जांनदे ओ ते मजबूती कन्नें यकीन करदे के ए गल्लां सच्च न। "
2PE,1,13,"मिगी पता ऐ के जेलै आऊँ अजां तकर जिंदा ऐं, तां उन्दे बारै च लगातार थूआड़े कन्नें ए गल्लां सुनांदे रौनां ठीक ऐ, तां जे तोस उनेंगी पुली नेई जायो। "
2PE,1,14,"किके आऊँ जाननां के आऊँ तौला गै मरने आला ऐं, किके साडे प्रभु यीशु मसीह ने मिगी साफ़ दसी दिते दा ऐ। "
2PE,1,15,"एस आसतै आऊँ तुसेंगी ए गल्लां सनानें आसतै बड़ी मेंनत करै करना ऐं, तां जे तोस मेरे मरने दे बाद इनेंगी जाद रखी सकगे। "
2PE,1,16,"जेलै असें प्रेरितें तुसेंगी साडे प्रभु यीशु मसीह दी शक्ति ते ओदे वापस औने दै बारै च सनाया,तां अस तुसेंगी केछ बनावटी कानीयां नेई दसै करदे हे। एदे लावा, असें उसी अपनी अखीं कन्नें दिखया हा। "
2PE,1,17,"अस ओस पवित्र पाड़ उपर ओदे कन्नें हे जेस लै उसी परमेसर पिता थमां आदर ते मैमा दिती गेई ही। ओस बेलै, मान मैमामेयें परमेसर,थमां ए बाज अखदे ओई आई, ए मेरा अपना प्यारा पुत्र ऐ, जेस उपर आऊँ खोश ऐं! असें खोद सोर्ग चा औने आली एस वाज गी सुनया हा। "
2PE,1,18,"अस ए बी जांननयां न के मसीह दै बारै च पविख्ब्क्तें जेड़े लेख, ओ बड़े सच्चे न, ते ए सबूत दिंदे न के असें तुसेंगी ओदी वापसी दै बारै च के सखाया हा। तुसें ओदे लेखें गी चंगी चाली सुनना चाईदा, किके न्हेरे च बलदा दीपक लोकें गी सेई तरीके दिखने गी मदद करदा ऐ, ए लेख तुसेंगी ए समझने दी मदद करगन के ए सच्च ऐ। साडे प्रभु यीशु मसीह दे वापस औने तकर तुसें इनें लेखें गी चंगी चाली सुनना चाईदा। ओस दा औना नमें देन दे सबेरे आला लेखा लो आंनग, ते ओ सबेरे दे तारे आला लेखा ओग। ओस बेलै ओदी लो थूआड़े दिलें च चमकग ते परमेसर गी थूआड़े अगें साफ़ परकट करग। "
2PE,1,19,लेकन ए जरूरी ऐ के तोस समझो के शास्त्तें च थूआड़े थमां पढ़े गेदे पविख्व्क्तें दे लेख सेर्फ पविख्ब्क्तें दे अपने बचार नेई ऐंन। 
2PE,1,20,किके कोई बी पविख्वानी मनुक्खे थमां नेई ओई। लेकिन पवित्र आत्मा ने लोकें दे दिलें च अल चल मचाई किके उनें परमेसर थमां आए दे संदेश गी बोलया हा। 
2PE,2,1,"ठीक उसै चाली, जियां चुठे पविख्ब्कता मते पैलें लबदे हे,उयां गै चुठी शिखया देने आले थूआड़े बेच लबगन। ओ चुठी शिखयें दा विश्वास करगन। उनें मसीह गी अपना प्रभु मननां बी एन्कार करी दिते दा ऐ जेड़ा उंदा मालक ऐ। एस चाली ओ अपने आप गी नाश करी देगन। "
2PE,2,2,"लोक उन्दी चुठी शिखया गी दिखीयै, गलत तरीके दै मताबक चलगन। ऐसा करने कन्नें सच्चे रसते दी निंदया ओई जाग। "
2PE,2,3,"ओ चुठी शिखया देने आले लालची ओगन,ते ओ तुसेंगी लोभ आसतै बनी-बनायां कानीयां सुनाईयै तोखा देगन। परमेसर ने मते पैलें थमां दा तय करी लेते दा ऐ के ओ उनेंगी सज़ा दै ते परमेसर ऐसा करने आसतै त्यार ऐ। ओ पकै चाली उनेंगी नाश करी देग। "
2PE,2,4,"परमेसर पाप करने आले सोर्गदूतें गी सज़ा देने लेई नेई रुकया, बलके उनेंगी नरक च न्हेरे दे कुंणढें च सुट्टी दिते दा, तां जे ओ न्याय दे देन दा एन्तज़ार करदे रौन जेस दे ओ अक्कदार न। "
2PE,2,5,परमेसर ने पैले योग दी दुनिया गी बी नेई बक्शया बरन अतरमी लोकें दै उपर बड्डा जल-प्रलय पेजया ते जेलै तार्मिकता दा प्रचार नूह थमां कराया लेकन नूह ते ओदे टबरे दे सत जनें बचाए हे। 
2PE,2,6,"ते तोस ए बी जानदे ओ के परमेसर ने सदोम ते अमोरा दे शैरें च रौने आलें गी सज़ा देईयै अग्गी कन्नें फुकी दिता हा,ते ए एक मसाल बनाई दिती के औने आले अतरमी लोकें कन्नें के वितग। "
2PE,2,7,ते तरमी लूत कि जेड़ा अतरमीयें दे गंदे चाल-चलन कन्नें बड़ा दुखी हा उन्दे बिचा उसी छडकारा दित्ता। 
2PE,2,8,"किके ओ तरमी लूत उनें बुरे लोकें दै बेच रौंदे ओई,ते उन्दे अतर्म दे कम्में गी दिखी-दिखी ते सुनी-सुनीयें अर एक देन अपने सच्चे मन च दुखी ओंदा हा। "
2PE,2,9,तां परमेसर पक्तें गी परिख्या चा कढना ते अतरमीयें दी सज़ा न्याय दे देन तकर रखना बी जांनदा ऐ। 
2PE,2,10,"ख़ास करीयै उनेंगी जेड़े अशोद्ध खुआशें आसतै जिंदु दे पापी सवाव दै मताबक चलदे,ते परमेसर दे अख्त्यार गी तोछ समझदे न ओ टीठ ते अठीले न,ते उच्चे औदे आलें सोर्गदूतें गी पला-बुरा आखने लेई नेई डरदे न। "
2PE,2,11,"लेकिन तां बी सोर्गदूत जेड़े शक्ति ते बड्डी शक्ति च उन्दे कोला बड्डे हे, प्रभु दै सामने उनेंगी बुरा-पला अखीयै दोष नेई लांदे हे। "
2PE,2,12,"लेकिन ए चुठी शिखया देने आले जंगल दे बेकाबू डंगरें आला लेखा न, ओ अपने सवाव दै मताबक चलदे न ते उनेंगी पकडीयै मारने आसतै गै जिनें गल्लें गी ओ नेई जांनदे उंदा दोष लांदे न,ते डंगरें आला लेखा नाश ओई जागन। "
2PE,2,13,उनेंगी नाश दी मजदूरी नाश गै मिलग ओ देन दपैरी पोग-पलास करीयै थूआड़ी तामें च शामल ओईयै अपनी संगति च दाग ते कलकिंत बनी जंदे न। 
2PE,2,14,"उन्दियें अखीं च कंजरपन बसी गेदा ऐ,ते ओ पाप करने थमां नेई रुकी सकदे। ओ सीधे मन आलें गी फसेरी लेंदे; उन्दे मन गी लालच करने दा वयास ओई गेदा ऐ; ओ पापी जाति दे बच्चे न। "
2PE,2,15,"ओ सीधे रसते गी छुडीयै पड़की गेदे न,ते बओर दे पुत्र बिलाम दा रसता पकड़ी लेते दा ऐ, जेस ने अतर्म दी मजदूरी गी प्यारा समझया हा। "
2PE,2,16,"लेकिन ओदे अतर्म दै बारै च चेडकया,इथें तकर के अबोल गदही ने मनुक्ख दी बोली च ओस पविख्ब्कते दे पागलपन छा रोकया। "
2PE,2,17,"ए चुठी शिखया देने आले सुके कूएँ,ते आँधी दे डुआए दे बदल न,उन्दे लेई मेशा दा बड्डा न्हेरा त्यार करीयै रखे दा ऐ। "
2PE,2,18,"ओ बेकार ते कमण्ड परी दियां गल्लां बोलदे न। ते लोकें गी अखदे तोस अपनी जिंदु थमां बशर्म कम करी सकदे ओ, किके ओ अप्पुं गै करै करदे न ते लोकें गी पाप करने आसतै तोखा दिंदे न, जेड़े पड़कें बिचा ऊन गै निकले न। "
2PE,2,19,"ओ उनेंगी अजाद करने दा वायदा ते करदे लेकन अप्पुं बुरे रीती-रवाजें दे गलाम आला लेखा न,किके जेड़ा मनुक्ख जेस गल्लें छा आंरी जंदा ऐ,ओ ओदा गलाम बनी जंदा ऐ। "
2PE,2,20,"जेलै ओ यीशु मसीह गी अपना प्रभु ते उद्धारकर्ता पंछानीयें दुनिया दे लोकें दी दुष्टता थमां बची जंदे न,ते पी उन्दे च फसीयै आंरी जंदे तां उन्दी अगली आलत पैली थमां ओर बी खराब ओई जंदी ऐ। "
2PE,2,21,"उन्दे आसतै ए पला ओंदा के ओ तार्मिकता दे रसते गी नेई जांनदे,किके ओ जानीयै ओस उक्म गी मननें थमां पीछें अटी जंदे,जेड़ा उनेंगी सौंपया गेदा हा। "
2PE,2,22,"ए दुऐं कहावतां उन्दे आसतै सेई बोंदियां न,जियां कुता अपनी उलटी गी ते नलाई दी सूरनी दवरी चिकड च चली जंदी ऐ। "
2PE,3,1,"ए प्यारे दोस्तो, ऊन आऊँ तुसेंगी दुई चिठ्ठी लिखै करना ऐं,ए दुऐं चिठ्ठीयां थूआड़े मन च केछ गल्लां जाद कराने आसतै लिखै करना ऐं,जिनेंगी तोस पैलें थमां जांनदे ओ। "
2PE,3,2,"आऊँ तुसेंगी उनें गल्लें दा चेता कराना चांना,जेड़ीयां पवित्र पविखवक्तें थमां बोलियां गेईयां ते जेड़ा साडे प्रभु ते उद्धारकर्ता दा उक्म प्रेरितें थमां दिता गिया हा। "
2PE,3,3,"सारें कोला पैलें जानी लियो,के खीरी दे दिनें च हसा-मखौल करने आले लोक औगन,जेड़े अपनी जिंदु दी खुआशें दै मताबक चलगन। "
2PE,3,4,"ओ आखगन, “यीशु मसीह दा औने दा बायदा कुथें गिया? किके जदुं दे साडे बजुर्ग मरी गेदे,सब केछ उयां गै चलै करदा, जियां सृष्टि दे शुरू थमां हा।” "
2PE,3,5,"ओ जानी-बुझीयै पुली गै, के मते योग पैलें परमेसर ने अम्बर गी बनाया ते तरती बी जल बीचा बनाई ते जल उपर केंम ऐ। "
2PE,3,6,इसै जल कन्नें एस बेलै दी दुनिया दे लोक पानी च डूबीयै नाश ओइ गै। 
2PE,3,7,"लेकिन एस बेलै दे अम्बर ते तरती अग्गी कन्नें फुकने आसतै रखे गेदे न,ओ अपक्ति लोकें दै न्याय ते नाश ओनें आसतै रखे गेदे न। "
2PE,3,8,"ए प्यारे दोस्तो, एस एक गल्ल गी नेई पुल्यो,परमेसर दी नज़र च एक देन जार देन दै बराबर,ते जार देन एक देन दै बराबर ऐ। "
2PE,3,9,"परमेसर अपने बायदे गी पूरा करने गी चेर नेई करदा,जियां किनें लोक समझदे के ओ चेर करदा ऐ; लेकन थूआड़े बारै च सबर करदा ऐ,ते नेई चांदा के कोई नाश ओई जा,लेकन सबनी गी तोवा करने दा मौका मिलै। "
2PE,3,10,"लेकिन प्रभु दा औना चोर आला लेखा ओग, जियां चोर बिना सूनादे औंदा ऐ,ओस देन अम्बर बड़ी गरजन दी बाज कन्नें लोपत ओई जाग; ते अम्बर दियां शक्तियां सूरज,चन्न ते तारे अग्गी कन्नें नाश किते जागन ते तरती ते ओस उपर किते दे अर चाली दे कम्में दा न्याय कित्ता जाग। "
