Book,Chapter,Verse,Text
1JN,1,1,"ओस जींदडी दे वचन दे बारै च जेड़ा शुरू थमां हा, जिसी असें सुनया, ते जिसी अपनी अखीं कन्नें दिखया, मतलब जिसी असें त्यान कन्नें दिखया ते अथ्थें कन्नें छुत्ता। "
1JN,1,2,"(ए जींदडी तरती उपर परकट ओई, ते असें उसी दिखया, ते ओदी गवाई दिनयां न, ते तुसेंगी ओस मेशा दी जींदडी दा समाचार सनानयां न जेडा पिता परमेसर दे कन्नें हा ते साडे उपर परकट ओया।) "
1JN,1,3,"जेड़ा केछ असें यीशु दे बारै च दिखया ते सुनाया ऐ ओदा समाचार तुसेंगी बी दिनयां न, एसकरी के तोस बी साडे कन्नें पागीदार ओ; ते साडी पागिदारी पिता परमेसर दै कन्नें, ते ओदे पुत्र यीशु मसीह दे कन्नें ऐ। "
1JN,1,4,"ते ए गल्लां अस एसकरी लिखनयां न, के साड़ा नन्द पूरा ओई जा। "
1JN,1,5,"जेडा समाचार असें यीशु थमां सुनया, ते तुसेंगी सुनानयां न, ओ ए ऐ; के परमेसर लो ऐ ते ओदे च केछ बी न्हेरा नेई। "
1JN,1,6,"जेकर अस अखने न, के ओदे कन्नें साड़ी संगति ऐ, ते पी न्हेरे च चलचे, तां अस चुठे आं ते सच्चाई उपर नेई चलदे; "
1JN,1,7,"पर जेकर जियां परमेसर लोई च ऐ, उयां गै अस बी लोई च चलचे, तां एक दुए कन्नें संगति रखदे आं, ते ओसदे पुत्र यीशु मसीह दा खून साडे सारे पापें थमां शोध्द करदा ऐ। "
1JN,1,8,"जेकर अस अखचै, के साडे च केछ बी पाप नेई, तां अपने आप गी तोखा दिन्दे आं, ते साडे च सच्चाई नेई। "
1JN,1,9,"जेकर अस अपने पापें गी मन्नी लेचै, तां ओ साडे पापें गी माफ़ करने, ते साडे सारे अतर्म थमां शोध्द करने लेई वश्वासयोग ते तर्मी ऐ। "
1JN,1,10,"जेकर अस अखचै के असें पाप नेई कित्ता, तां परमेसर गी चूठा मननयां न, ते ओसदा वचन साडे च नेई ऐ। "
1JN,2,1,"ए मेरे प्यारे बच्चयो, आऊँ ए गल्लां तुसेंगी एस लेई लिखना ऐं, के तोस पाप नेई करो; ते जेकर कोई पाप करै, तां पिता परमेसर थमां साड़ा एक मददगार ऐ, मतलब यीशु मसीह जेडा तर्मी ऐ। "
1JN,2,2,"ते उवै साडे पापें दी जगै साड़े आसतै प्राशचत उया, ते सेर्फ साडे गै नेई, मतलब सारी दुनिया दे पापें आसतै बी। "
1JN,2,3,"जेकर अस ओसदे उक्म गी मनगे, तां एदे छा अस जानी लेगे के अस उसी जानी गेया। "
1JN,2,4,"जेड़ा कोई ए आखदा ऐ, “आऊँ उसी जानी गीया ऐं,” ते ओदे उक्में गी नेई मनदा, ओ चूठा ऐ; ते ओस च सच्चाई नेई। "
1JN,2,5,"लेकन जेड़ा कोई परमेसर दे वचन गी मन्नें, ओदे च सचमुच परमेसर दा प्यार सेद्द ओया ऐ। असेंगी एस थमां पता चलदा ऐ, के अस ओदे च न; "
1JN,2,6,"जेड़ा कोई ए आखदा ऐ, के आऊँ ओदे च बना रौना ऐं, उसी चाईदा ऐ के अप्पुं बी इयां गै जीऐ जियां यीशु मसीह जींदा हां। "
1JN,2,7,"ए प्यारो, आऊँ तुसेंगी कोई नमा उक्म नेई लिखदा, लेकन ओ पुराना उक्म जेडा शुरू च तुसेंगी मिलया ऐ; ए पुराना उक्म ओ वचन ऐ, ओ बचन मतलब यीशु मसीह उपर जेडा विश्वास कित्ता हा। "
1JN,2,8,"पी बी आऊँ तुसेंगी नमा उक्म नेई लिखदा ऐ, ते ए मसीह च ते थूआड़े च सच्चा लगदा ऐ; किके न्हेरा मिटदा जा दा ऐ ते सच्चाई दी लों ऊन चमकन लगी ऐ। "
1JN,2,9,"लेकन जेड़ा कोई ए आखदा ऐ, के आऊँ लोई च चलना ऐं; ते अपने विश्वासी प्रा कन्नें बैर करदा दा ऐ, ओ ऊन तकर न्हेरे बेच गै रौंदा ऐ। "
1JN,2,10,"जेड़ा कोई अपने प्रा कन्नें प्यार करदा ऐ, ओ लोई च रौंदा ऐ, ते ठोकर नेई खाई सकदा। "
1JN,2,11,"लेकन जेड़ा कोई अपने प्रा कन्नें बैर करदा ऐ, ओ न्हेरे च ऐ, ते न्हेरे च चलदा ऐ, ते नेई जानदा के कुत्थें जा करदा ऐ, किके न्हेरे ने ओस दियां अखीं अन्नीयां करी दितीयां न। "
1JN,2,12,"ए बच्चयो, आऊँ तुसेंगी एस करी लिखना ऐं, के यीशु मसीह दे नां कन्नें थूआड़े पाप माफ़ ओए। "
1JN,2,13,"ए पिताओ, आऊँ तुसेंगी एस करी लिखना ऐं, के जेड़ा शुरू थमां ऐ, तोस उसी जांनदे ओ। ए जवानो, आऊँ तुसेंगी एसकरी लिखना ऐं, के तुसें ओस दुष्ट शतान उपर जय पाई दी ऐ; ए बच्चयो, आऊँ तुसेंगी एस करी लिखना ऐं, के तोस पिता परमेसर गी जानी गेदे ओ। "
1JN,2,14,"ए पिताओ, आऊँ तुसेंगी एसकरी लिखना ऐ, के जेड़ा शुरू थमां ऐ तोस उसी जानी गेदे ओ। ए जवानो, आऊँ तुसेंगी एस करी लिखना ऐ, के तोस तकडे ओ, ते परमेसर दा वचन थूआड़े च बना रौंदा ऐ, ते तुसें ओस दुष्ट शतान उपर जय पाई दी ऐ। "
1JN,2,15,"तोस नां ते दुनिया कन्नें ते नां दुनीया दी चीजें कन्नें प्यार करो। जेकर कोई दुनिया कन्नें प्यार करदा ऐ, ते ओदे च पिता परमेसर दा प्यार नेई ऐ। "
1JN,2,16,"किके जेड़ा केछ दुनिया च ऐ, मतलब जिंदु दी खुआश, ते अखीं दी खुआश, ते कमण्ड दी खुआश, ऐ चीजां पिता परमेसर दी थमां नेई, लेकन दुनिया थमां न। "
1JN,2,17,"दुनिया ते ओदियां खुआशां दमै नाश ओदे जन्दे न, लेकन जेड़ा परमेसर दी मर्जी उपर चलदा ऐ, ओ मेशा बना रौग। "
1JN,2,18,"ए बच्च्यो, ए खीरी दा बेला ऐ, ते जियां तुसें सुनया ऐ, के मसीह दा वरोधी औने आला ऐ, ओदे आला लेखा ऊन बी मते मसीह वरोधी उठी खडोते न; एदे थमां अस जानदे न, के ए खीरी दा बेला ऐ। "
1JN,2,19,"मसीह दा वरोध करने आले निकले तां साडे बिचा गै न, लेकन साडे बिचा नेई हे; उनें कलीसिया गी छुड़ी दिता,एस करी, किके जेकर ओ साडे बिचा ओदे, तां साडे कन्नें रौंदे; लेकन निकली तां एस करी गै के ए परकट उवै, के ओ सब साडे बिचा नेई ऐंन। "
1JN,2,20,"ते थूआडा तां ओस पवित्र थमां अभिषेक ओया ऐ, ते तोस सारी सच्चाई जांनदे ओ। "
1JN,2,21,"मै तुसेंगी एसकरी नेई लिखया, के तोस सच्चाई गी नेई जांनदे, लेकन एस करी के उसी जांनदे ओ, एस करी के कोई चूठ, सच्चाई थमां नेई। "
1JN,2,22,"चूठा कोन ऐ? ओ, जेड़ा यीशु दे मसीह ओनें दा एन्कार करदा ऐ; ते मसीह दा वरोधी उवै गै, जेड़ा पिता परमेसर दा ते पुत्र दा एन्कार करदा ऐ। "
1JN,2,23,"जेड़ा कोई पुत्र दा एन्कार करदा ऐ ओदे कोल पिता परमेसर बी नेई जेड़ा पुत्र गी मनी लेनदा ऐ, ओदे कोल पिता परमेसर बी ऐ। "
1JN,2,24,"जे केछ तुसें शुरू थमां सुनया ऐ उवै थुआडे च बना रवै जेड़ा तुसें शुरु थमां सुनया ऐ,जेकर ओ थुआडे च बना रवै, तां तोस बी पुत्र च,ते पिता परमेसर च बने रौगे। "
1JN,2,25,ते जेस दा परमेसर ने साडे कन्नें वायदा कित्ता ओ असेंगी मेशा दी जींदडी दिंदा ऐ। 
1JN,2,26,"मै ए गल्लां तुसेंगी उन्दे बारै च लिखीयां न, जेडे तुसेंगी गलत शिखया कन्नें पुआँदे न; "
1JN,2,27,"लेकन थुआडा ओ अभिषेक, जेडा प्रभु यीशु मसीह थमां कित्ता गीया, थूआड़े च बना रौंदा ऐ; ते तुसेंगी एदी लोड नेई के कोई तुसेंगी सिखा, लेकन जियां ओ अभिषेक जेडा ओस थमां कित्ता गिया तुसेंगी सब गल्लां सखांदा ऐ, ते ए सच्चा ऐ, ते चूठा नेई; ते जियां ओसने तुसेंगी सखाया ऐ इयां गै तोस ओदे च बने रौंदे ओ। "
1JN,2,28,"ए बच्च्यो, मसीह च बने दे रवो, के जेस लै ओ परकट ओग, तां असेंगी इम्त थूवै, ते अस ओदे आैने उपर शर्मिदा नेई ओचै। "
1JN,2,29,"जेकर तोस जांनदे ओ, के मसीह तर्मी ऐ, तां ए बी जांनदे ओ, के जो कोई तर्म दा कम करदा ऐ, ओ परमेसर दा बच्चा ऐ। "
1JN,3,1,"दिखो, पिता परमेसर ने साडे के जियां प्यार कित्ता ऐ, के अस परमेसर दे बच्चे अखे जाचै; ते अस ऐन बी। एस करी दुनिया असेंगी नेई जानदी, किके ओसने उसी बी नेई जानया। "
1JN,3,2,"ए प्यारो, ऊन अस परमेसर दे बच्चे न, ते ऊन तकर ए परकट नेई ओया, के अस के केछ ओगे। इनां जानदे न, के जेस लै यीशु मसीह परकट ओगन तां अस बी ओदे आला लेखा ओगे, किके अस उसी उयां गै दिखगे जियां ओ ऐ। "
1JN,3,3,"ते जेड़ा कोई मसीह उपर ए आस रखदा ऐ, ओ अपने आप गी उयां गै पवित्र करदा ऐ जियां ओ पवित्र ऐ। "
1JN,3,4,"जेड़ा कोई पाप करदा रौंदा ऐ, ओ परमेसर दे कनून दा वरोध करदा ऐ; ते पाप तां परमेसर दे कनून दा वरोध ऐ। "
1JN,3,5,"ते तोस जांनदे ओ, के यीशु मसही एसकरी करी आया के पापें गी अपने उपर चुकी लै; ते ओदे च कोई पाप नेई। "
1JN,3,6,"जेड़ा कोई ओदे च बने दा रौंदा ऐ, ओ पाप नेई करदा; जेड़ा कोई पाप करदा ऐ, ओनें नां गै मसीह गी दिखया ऐ ते नां उसी जानया ऐ। "
1JN,3,7,"ए प्यारे बच्च्यो, कुसै दे पुआने च नेई आयो। जेड़ा तर्म दे कम करदा ऐ, उवै मसीह आला लेखा तर्मी ऐ। "
1JN,3,8,"जेड़ा कोई पाप करदा ऐ, ओ शतान थमां ऐ, किके शैतान शुरू थमां पाप करदा आया ऐ। परमेसर दा पुत्र एसकरी आया करे शतान दे कम्में गी नाश करै। "
1JN,3,9,"जेड़ा कोई परमेसर दा बच्चा ऐ,ओ पाप करदा नेई रौंदा; किके परमेसर दी जान ओदे च बनी दी रौंदी ऐ, ते ओ पाप करी गै नेई सकदा, किके परमेसर थमां जमया ऐ। "
1JN,3,10,"एदे कोला परमेसर दे बच्चे ते शतान दे बच्चे लबदे न; जेड़ा कोई तर्म दे कम नेई करदा, ओ परमेसर थमां नेई, ते नां ओ जेड़ा अपने प्रा कन्नें प्यार नेई करदा। "
1JN,3,11,"किके जेड़ा समाचार तुसें शुरू थमां सुनया, ओ ए ऐ, के अस एक दुए कन्नें प्यार करचै; "
1JN,3,12,"ते आदम दा पुत्र कैन आला लेखा नेई बनयो, जेड़ा ओस दुष्ट शतान थमां हा, ते जेनें अपने प्रा दी अत्या कित्ती। ते ओदी अत्या केस कारन कित्ती? एस कारन के ओदे कम पैडे हे, ते ओदे प्रा दे कम तर्म दे हे। "
1JN,3,13,"ए विश्वासी प्राओ, जेकर दुनियां दे लोक थूआड़े कन्नें बैर करदे न तां रांन नेई ओयो। "
1JN,3,14,"अस जांनदे आं, के अस मौत बिचा निकलीयै जींदडी बेच पूज्जे दे न; किके अस विश्वासी पराऐं कन्नें प्यार करने न। जेड़ा प्यार नेई करदा, ओ मौत दी आलात च रौंदा ऐ। "
1JN,3,15,"जेड़ा कोई अपने प्रा कन्नें बैर करदा ऐ, ओ अत्या करने आला ऐ; ते तोस जांनदे ओ, के कुसै अत्या करने च मेशा दी जींदडी नेई रौंदी। "
1JN,3,16,"असें प्यार एदे थमां जानया, के यीशु मसीह ने साडे लेई अपने प्राण देई दिते; ते असें बी विश्वासी पराऐं लेई प्राण देना चाईदे। "
1JN,3,17,"लेकन जेस कुसै कोल दुनिया दी तान दौलत उवै, ते ओ अपने प्रा गी जरूरत च दिखियै ओदे उपर तरस नेई खाना चा, ते ओदे च परमेसर दा प्यार कियां बनी रेई सकदा ऐ? "
1JN,3,18,"ए मेरे प्यारे बच्च्यो, अस वचन ते जीभ थमां गै नेई, लेकन कम ते सच्चाई थमां प्यार करचै। "
1JN,3,19,"अस जेलै एक दुजे कन्नें प्यार करगे, एदे छा गै अस जानगे के अस सच्चाई दे आं; ते जेस गल्ल च साड़ा मन असेंगी कसुरबार समझग, ओदे बारै च अस परमेसर दे सामने अपने-अपने मन गी थमी सकगे; "
