Book,Chapter,Verse,Text
COL,1,1,ऐह पत्री पौलुस री तरफा थऊँ हा जैड़ा प्रमात्मैं री इच्छा सितै मसीह यीशु रा चुणुरा प्रेरित हा सो विस्वासी भाई तिमुथियुस सोगी मिलीकरी तियां मणु तांयै लिखु करदा। 
COL,1,2,जैड़ै कुलुस्सियों शहर री कलीसिया रै विस्वासी हिन; ईन्दै पिता प्रमात्मां थऊँ मसीह यीशु मन्ज तुसिओ अनुग्रह अतै शान्ती मुळदी रेय्आ। 
COL,1,3,अहै तुसु तांई हर रोज प्रार्थना करीके अपणै प्रभु यीशु मसीह रै पिता मतलब कि प्रमात्मैं रा धन्यवाद करदै हिन। 
COL,1,4,क्ओकि अहै हुणुरा हा कि मसीह यीशु पुर तुन्दा विस्वास हा अतै तुहै प्रमात्मैं रै सबी मणु सोगी प्‍यार रखदै हिन। 
COL,1,5,तुन्दा विस्वास अतै प्‍यार ऐसा उम्मीद पर निर्भर जैड़ी तुसु तांई स्वर्गा मन्ज रखुरी हा जठेरी चर्चा तुहै मसीह रै सचै सुसमाचार रै वचना मन्ज हुणी चुकुरै हिन। 
COL,1,6,"ऐह सुसमाचार जैडा तुसु बलै आ थू पुरै संसारा मन्ज फैलु करदा थू अतै मणु विस्वास करू करदै थियै, तियां ही जियां तुहै पैहली बरी प्रमात्मैं रै सच्चाई अतै अनुग्रह रै बारै मन्ज समझुरा थू। "
COL,1,7,"तसेरी ही शिक्षा तुहै इन्दै प्यारे विस्वासी भाई इपफ्रास थऊँ सिखुरी हा, जैडा असु तांई मसीह रा विस्वासयोग्य सेवक हा। "
COL,1,8,"तिनी ही असिओ दसु कि तुन्दा प्‍यार होरी तांयै कैतना हा, जैडा पवित्र आत्मा तुसिओ दितुरा। "
COL,1,9,ठेरैतांये जैस दिन थऊँ ऐह हुणु ता अहै लगातार तुसु तांयै प्रार्थना अतै विनती करदै हिन। अहै ऐह प्रार्थना करदै हिन कि प्रमात्मैं री आत्मा तुसिओ अक्ल अतै समझ दी सका ताकि तुहै प्रमात्मैं री ईच्‍छा जो पुरी तरह समझी सकन। 
COL,1,10,"ताकि तुन्दा चाल-चलन प्रभु रै मुताबक भोआ ता तुसु प्रमात्मैं जो हर तरीकै खुश करी सकणा। तुहै हर किस्‍मां रै भलै कम करदै रेय्आ, अतै प्रमात्मैं रै ज्ञान मन्ज बढ़दै गाणा। "
