Book,Chapter,Verse,Text
3JN,1,1,"ऐह पत्री यूहन्‍ना री तरफा थऊँ हा जैडा विस्वास मन्ज स्याणा हा, अऊँ ऐह पत्री अपणै प्यारे मित्र गयुस जो लिखु करदा जैस सितै अऊँ सचा प्‍यार करदा। "
3JN,1,2,"मेरै प्यारे मित्र, अऊँ ऐह प्रार्थना करदा हा कि, जिआं तू आत्मिक उन्‍नति करु करदा तियां ही तू सबी गल्ला मन्ज उन्‍नति करा अतै भला चंगा रेय्आ। "
3JN,1,3,जैहणै साथी विस्वासी मिन्जो बल्लै आये अतै तिऐं तेरै बारै मन्ज ऐह दस्सु की तु बफादारी सोगी सच्चाई रै अनुसार जिऊ करदै हिन ऐह हुणी करी अऊँ बड़ा खुश भुआ। 
3JN,1,4,जैहणै भी अऊँ ऐह हुणदा हा कि जैड़ै मणु मेरै बच्चै सांईये हिन सो प्रमात्मैं री सच्चाई रै अनुसार जिन्दगी जिऊ करदै हिन सो मिन्जो बड़ै खुश करी दिन्दै हिन। 
3JN,1,5,मेरै प्यारे मित्र तैंई इन्दै विस्वासी साथी जैड़ै सफर करीके प्रचार करदै हिन अतै जिन्या मणु जो तू ना जाणदा तंयारी भी तैंई बफादारी सोगी बड़ी मदद करूरी हा। 
3JN,1,6,तिन्यै ऐठीआ री कलीसिया जो तेरै प्रेम भरी मित्रता रै बारै मन्ज दसुरा हा। तू ऐसै शिक्षक री मदद करदा रैह जैत सोगी प्रमात्मां खुश भून्दा हा। 
3JN,1,7,क्ओकि सो तैस यीशु रै वचना रा प्रचार तांये निकळुरै हिन अतै सो अविस्वासी थऊँ कोई मदद ना लैन्दै हिन। 
3JN,1,8,ठेरैतांये असिओ इन्या मणु री मदद करना चहिन्दी हा ताकि सो जैड़ा सच्चाई जो फैलाणै रा कम करू करदै हिन अहै भी तिन्या सोगी सहभागी भूच्ची सकन। 
3JN,1,9,मैंई अपणी पत्री मन्ज तुन्दै इलाकै री कलीसिया रै विस्वासी तांये कुछ लिखुरा थू पर दियुत्रिफेस जैड़ा मेरी लिखुरी गल्ला पुर ध्यान ना दिणा चाहन्दा क्ओकि सो अप्पु कलीसिया रा अगुवा बनणा चाहन्दा हा। 
3JN,1,10,पर जैहणै मूँ ईणा तैहणै मूँ साफ तरीकै तसेरै तियां बुरै कमां रै बारै मन्ज जैड़ै सो करू करदा अतै जैड़ा झूठ सो इन्दै बारै मन्ज बल्लू करदा तठेरै बारै मन्ज गल करनी हा। ऐतना ही ना पर सो तिन्या सफर करीके प्रचार करनै बाळै शिक्षक जो कलीसिया मन्ज इणा ना दिन्दा अतै होरी मणु जो भी तंयारी मदद करनै थऊँ मना करदा। अतै अगर कोई तंयारी मदद करना चाहन्दा ता सो तिन्या जो कलीसिया थऊँ बाहर कड़ड़ी दिन्दा। 
3JN,1,11,"मेरै प्यारे मित्र, बुराई तांये ना, पर भलाई रै पिचो चलणै बाळै बणा। जैडा भलाई करदा सो प्रमात्मैं री कनारी थऊँ हा पर जैडा बुराई करदा तिनी प्रमात्मैं जो ना जाणदा। "
3JN,1,12,"देमेत्रियुस रै बारै मन्ज कलीसिया मन्ज सब मणु बलदै हिन कि सो अक्क खरा मणु हा क्ओकि सो सच्चाई रै अनुसार जिन्दा हा, अहै भी ऐह जाणदै हिन कि सो अक्क खरा मणु हा। "
3JN,1,13,अऊँ तिजो मता कुछ लिखना ता चाहन्दा थू पर सियाई अतै कलम सितै ना लिखणा चाहन्दा। 
3JN,1,14,मिन्जो उम्मीद हा कि मूँ तिजो सोगी बड़ी तोळै ही मुळना ता असु आमणै-सामणै गल-बात करलै। 
3JN,1,15,अऊँ प्रार्थना करदा हा कि प्रमात्मैं री तरफा थऊँ तिजो शान्ती मुलदी रेय्आ। ऐठीआ रै विस्वासी मित्र तिजो नमस्कार करदै हिन तैड़ीआ रै विस्वासी मित्रा जो नां लैई-लैई करी इन्दी तरफा थऊँ नमस्कार बल्ली दिन्यै। 
