Book,Chapter,Verse,Text
LUK,1,1,"हे जनाब थियुफिलुस, घणखरयां माणसां नै म्हारै बिचाळै घटी बात्तां का ब्यौरा लिखण की कोशिश करी सै। "
LUK,1,2,"सरूआत तै ए जो यीशु मसीह की सेवकाई म्ह साथ थे अर वे बाद म्ह वचन के सेवक बणगे, उननै ए आँखां देक्खी बात म्हारे ताहीं बताई। "
LUK,1,3,"इस करकै हे जनाब थियुफिलुस, मन्नै भी यो ठीक लाग्या के उन सारी बात्तां का सारा हाल सरू तै आच्छी दाहूं परख कै, उननै तेरै खात्तर क्रमानुसार लिखूँ "
LUK,1,4,"के तू या जाण ले के वो बात जिनकी तन्नै शिक्षा पाई सै, वो सच्ची सै। "
LUK,1,5,"यहूदिया परदेस कै राजा हेरोदेस कै बखत म्ह अबिय्याह कै टोळ म्ह जकरयाह नाम का एक याजक था, अर उसकी घरआळी का नाम एलीशिबा था, अर दोन्नु हारुन की पीढ़ी के थे। "
LUK,1,6,"वे दोन्नु परमेसवर कै स्याम्ही धर्मी थे, अर प्रभु कै सारे हुकम अर नियमां पै बेखोट चालण आळे थे। "
LUK,1,7,"पर उनकै कोए भी ऊलाद कोनी थी, क्यूँके एलीशिबा बाँझ थी, अर वे दोन्नु ए बूढ़े थे। "
LUK,1,8,"एक दिन मन्दर म्ह जिब याजक के काम की बारी जकरयाह के टोळ की आई, तो वो परमेसवर कै स्याम्ही पूजा करण खात्तर ओड़ै मौजूद था, "
LUK,1,9,तो याजकां की रीत कै मुताबिक उसकै नाम की चिट्ठी लिकड़ी के प्रभु कै मन्दर म्ह जाकै धूप जळावै। 
LUK,1,10,धूप जळाण कै बखत माणसां की भीड़ बाहरणै आँगण म्ह प्रार्थना करै थी। 
LUK,1,11,उस बखत प्रभु का एक सुर्गदूत धूप की मंढही कै सोळी ओड़ खड्या दिख्या। 
LUK,1,12,जकरयाह देखकै घबराग्या अर घणा डरग्या। 
LUK,1,13,"पर सुर्गदूत उसतै बोल्या, “हे जकरयाह, डरै ना, क्यूँके परमेसवर नै तेरी प्रार्थना सुणली सै, अर तेरी घरआळी एलीशिबा तेरै खात्तर एक बेट्टा जाम्मैगी, अर तू उसका नाम यूहन्ना धरिये। "
LUK,1,14,"वो तेरे ताहीं तो आनन्द अर खुशी देवैएगा, साथ म्ह भोत से माणस भी उसकै जन्म तै राज्जी होवैगें। "
LUK,1,15,"क्यूँके वो प्रभु कै स्याम्ही घणा महान् होगा, अर वो ना ए कदे मदिरा, नशीली चीज पीवैगा, अर अपणी माँ की कुख तै ए पवित्र आत्मा तै भर ज्यागा। "
LUK,1,16,अर इस्राएल के भोत से माणसां के मन प्रभु परमेसवर की ओड़ मोड़ देवैगा। 
LUK,1,17,"यूहन्ना एलिय्याह नबी की आत्मा अर सामर्थ म्ह भरा होगा, अर वो परमेसवर के राह नै तैयार करैगा, वो माँ-बाप का मन बाळकां की ओड़ मोड़ देवैगा। हुकम ना मानण आळे अधर्मियाँ की सोच नै धर्मियाँ की सोच म्ह बदल देवैगा।” "
LUK,1,18,"जकरयाह नै सुर्गदूत तै बुझया, “इस बात का मै किस तरियां बिश्वास करुँ? के यो म्हारे गेल होवैगा, क्यूँके मै तो बुढ़ा सूं, अर मेरी घरआळी भी बूढ़ी होरी सै।” "
LUK,1,19,"सुर्गदूत नै उसतै जबाब दिया, “मै जिब्राईल सूं, जो परमेसवर कै आग्गै खड्या रहूँ सूं, अर मै तेरै तै बात करण अर सुसमाचार देण खात्तर भेज्या सूं। "
LUK,1,20,"अर देख्ये जिब ताहीं ये बात पूरी ना हो लेंगी, तू गूँगा रहैगा अर बोल न्ही पावैगा इस खात्तर कै तन्नै मेरी बात्तां का बिश्वास न्ही करया, जो अपणे बखत पै पूरी होंगी।” "
LUK,1,21,"बाहर जकरयाह की बाट देक्खण आळे माणस अचम्भे म्ह पड़गे, कै उसनै मन्दर म्ह इतनी वार क्यूँ लाग्गी। "
LUK,1,22,"जिब वो बाहर आया, तो उन ताहीं बोल न्ही पाया आखर वो जाणगे कै उसनै मन्दर म्ह कोई दर्शन पाया सै, अर वो उन ताहीं इशारे करता रह्या, अर गूँगा होग्या। "
LUK,1,23,"जिब उसकी याजकीय सेवा कै दिन पूरे होए, तो वो यरुशलेम नगर नै छोड़ अपणे घरां चल्या गया। "
LUK,1,24,"कई दिनां पाच्छै उसकी घरआळी एलीशिबा गर्भवती होग्यी, अर पाँच महिन्ने तैई अपणे आपनै या कहकै ल्हकोए राख्या, "
LUK,1,25,"उसनै अपणे आप तै कह्या, प्रभु नै इन दिनां म्ह दया की मेहर करकै मेरै खात्तर इसा करया सै, “के माणसां के बीच म्ह मेरा अपमान दूर हो।” "
