Book,Chapter,Verse,Text
MAT,1,1,"एह़ यीशु मसीह दे पूर्वजां दे नां हन, जेह्ड़े अब्राहम कने दाऊद राजे दे वंशे दे थे। "
MAT,1,2,"अब्राहमे ते इसहाक, इसहाके ते याकूब, याकूबे ते यहूदा कने तिसदे भाऊ पैदा होये, "
MAT,1,3,"यहूदा कने तिसदिया लाड़िया तामारा ते फिरिस कने जोरह, फिरिसे ते हिस्रोन, कने हिस्रोने ते एराम पैदा होएया, "
MAT,1,4,"एरामे ते अम्मीनादाब, अम्मीनादाबे ते नहशोन, कने नहशोने ते सलमोन पैदा होएया, "
MAT,1,5,"सलमोने कने तिसदिया लाड़िया राहाबा ते बोअज, बोअजे कने तिसदिया लाड़िया रूता ते ओबेद, कने ओबेदे ते यिशै पैदा होएया। "
MAT,1,6,"कने यिशै ते दाऊद राजा, कने दाऊद राजे ते सुलेमान तिसा जणासा ते पैदा होएया जेह्ड़ी पैहल्ले उरिय्याह दी लाड़ी थी। "
MAT,1,7,"सुलेमाने ते रहबाम, रहबामे ते अबिय्याह, कने अबिय्याह ते आसा पैदा होएया, "
MAT,1,8,"आसा ते यहोशाफात, यहोशाफाते ते योराम, कने योरामे दा पोतरू उज्जियाह पैदा होएया, "
MAT,1,9,"उज्जियाह ते योताम, योतामे ते आहाज, कने आहाजे ते हिजकिय्याह पैदा होएया, "
MAT,1,10,"हिजकिय्याह ते मनश्शिह, मनश्शिहे ते आमोन, कने आमोने ते योशिय्याह पैदा होएया। "
MAT,1,11,"इस्राएली लोकां जो कैदी बणाई नैं बेबीलोन देसे जो लेई जाणे ते पैहल्ले योशिय्याह दे पोतरू यकुन्याह, कने तिसदे भाऊ पैदा होये। "
MAT,1,12,"तिन्हां लोकां जो कैदी बणाई नैं बेबीलोन देसे च पजाणे ते बाद यकुन्याह ते शालतिएल, कने शालतिएल ते जरूब्बाबिल पैदा होएया, "
MAT,1,13,"जरूब्बाबिले ते अबीहूद, अबीहूदे ते इल्याकीम, कने इल्याकीमे ते अजोर पैदा होएया, "
MAT,1,14,"अजोरे ते सदोक, सदोके ते अखीम, कने अखीमे ते इलीहूद पैदा होएया, "
MAT,1,15,"इलीहूदे ते इलियाजार, इलियाजारे ते मत्तान, कने मत्ताने ते याकूब पैदा होएया, "
MAT,1,16,"याकूबे ते यूसुफ पैदा होएया, जेह्ड़ा मरियमा दा लाड़ा था कने मरियमा ते यीशु जिसियो मसीह भी ग्लांदे हन पैदा होएया। "
MAT,1,17,"इस तरीके नैं अब्राहमे ते दाऊदे तिकर चौदा पीढ़ियाँ होईयां, कने दाऊदे ते बेबीलोन देसे जो कैदी होई नैं पजाणे तिकर चौदा पीढ़ी, कने कैदी होई नैं बेबीलोने जो पजाणे दे बग्ते ते लेई नैं मसीह तिकर चौदा पीढ़ियाँ होईयां। "
MAT,1,18,"यीशु मसीह दा जन्म इआं होएया, कि जाह़लू तिसदी माँ मरियमा दी मंगणी यूसुफे सौगी तां होई गेई, अपर तिन्हां दा ब्याह होणे ते पैहल्ले ई सैह़ पवित्र आत्मा दिया तरफा ते गर्भवती होई। "
MAT,1,19,"यूसुफ जेह्ड़ा मरियमा दा होणे आल़ा लाड़ा था, सैह़ इक्क धर्मी माणु था कने तिसा जो बदनाम नीं करणा चांह़दा था, एह़ सोची करी तिन्नी तिसा जो चुपचाप छड्डी दैणे दा बचार कित्ता। "
MAT,1,20,"जाह़लू सैह़ इन्हां गल्लां जो सोचा ई करदा था, तां परमात्मे दा सुअर्गदूत तिसियो सुपणे च दुस्सी नैं ग्लाणा लग्गा, “हे यूसुफ। दाऊद राजे दे वंश, हुण तू अपणिया होणे आल़िआ लाड़िया मरियमा जो अप्पु अल्ल रखणे ते मत डर, क्जोकि जेह्ड़ा तिसादे पेटे च ऐ, सैह़ पवित्र आत्मा दिया तरफा ते ऐ। "
MAT,1,21,सैह़ जागत जम्मगी कने तू तिसदा नां यीशु रखेयां क्जोकि सैह़ अपणे लोकां दा तिन्हां दे पापां ते उद्धार करगा।” 
MAT,1,22,"एह़ सब कुच्छ इसतांई होएया कि जेह्ड़ा वचन परमात्मे भविष्यवक्ता दे जरिये ग्लाया था, सैह़ पूरा होयैं, "
MAT,1,23,"“दिक्खा, इक्की कुआरिया कुड़िया गर्भवती होणा कने इक्क जागत जम्मणा, कने तिसदा नां इम्मानुएल रखेया जांगा,” जिसदा मतलब ऐ, परमात्मा अहां सौगी। "
MAT,1,24,ताह़लू यूसुफ निंदरा ते जागी करी प्रभु दे सुअर्गदूते दे हुक्मे मताबक अपणिया होणे आल़िआ लाड़िया जो अप्पु अल्ल लेई आया। 
MAT,1,25,"कने जाह़लू तिकर मरियमा जागते जो जन्म नीं दित्ता ताह़लू तिकर यूसुफैं तिसा सौगी लाड़ा-लाड़ी आल़ा रिस्ता नीं रखेया, कने जाह़लू जागत पैदा होएया, तां तिन्नी तिसदा नां यीशु रखेया। "
MAT,2,1,"हेरोदेस राजा जाह़लू यहूदिया प्रदेसे च राज करा दा था, ताह़लू बैतलहम ग्रांऐ च यीशुये दा जन्म होएया, तां पूरब दिसा ते कई ज्योतषी यरूशलेम सैहरे च आई नैं पुछणा लग्गे। "
MAT,2,2,"कि “यहूदियां दा होणे आल़ा राजा जिसदा जन्म होएया, सैह़ कतांह ऐ, क्जोकि अहां पूरब दिसा च तारा दिख्या, जेह्ड़ा तिसदे जन्मे दे बारे च दस्सदा ऐ, कने अहां तिसदी अराधना करणा आएयो हन।” "
MAT,2,3,एह़ सुणी नैं हेरोदेस राजा कने तिस सौगी यरूशलेम सैहरे दे सारे लोक डरी गै। 
MAT,2,4,"ताह़लू तिन्नी लोकां दे सारे प्रधान याजकां कने सास्त्री माणुआं जो कठ्ठेरी नैं पुछया, “मसीह दा जन्म कतांह होणा चाइदा?” "
MAT,2,5,"तिन्हां तिस नैं ग्लाया, “यहूदिया प्रदेसे दे बैतलहम ग्रांऐ च,” क्जोकि भविष्यवक्ता मीका दे जरिये पवित्रशास्त्रे च लिख्या ऐ: "
MAT,2,6,"“हे बैतलहम ग्रांऐ च बसणे आल़े लोको, तुहां च जेह्ड़े यहूदा प्रदेसे च हन, यहूदा दे अधिकारियां च तुहां कुस भी तरीके नैं लोक्के नीं हन, क्जोकि तुहां ते इक्क अधिपति निकल़गा, जेह्ड़ा मेरी प्रजा इस्राएल देसे दे लोकां दी रखवाल़ी करगा।” "
MAT,2,7,"ताह़लू हेरोदेस राजैं ज्योतिषियां जो डोल कित्ते सद्दी नैं तिन्हां ते पुछया कि तारा ठीक कुस बग्तैं दुस्सेया था, "
MAT,2,8,"कने राजैं एह़ ग्लाई नैं तिन्हां जो बैतलहम ग्रांऐ जो घल्लेया, “जाई नैं तिस जागते दे बारे च ठीक-ठीक पता करा। कने जाह़लू तिसदा पता लग्गी जांगा तां मिन्जो आई नैं दस्सा तांजे मैं भी तित्थु आई नैं तिसदी अराधना करैं।” "
MAT,2,9,"सैह़ राजे दी गल्ल सुणी नैं चली गै, कने जेह्ड़ा तारा तिन्हां पूरब दिसा च दिख्या था सैह़ तिन्हां दे गांह-गांह चलेया, कने जित्थु जागत था तिस घरे ऊपर पुज्जी नैं रुकी गेआ। "
MAT,2,10,तिस तारे जो दिक्खी नैं सैह़ बड़े खुस होये। 
MAT,2,11,"कने तिन्हां तिस घरैं पुज्जी नैं तिस जागते जो तिसदिया मांऊ मरियमा सौगी दिख्या कने सिर झुकाई नैं जागते जो प्रणांम कित्ता, कने अपणा-अपणा झोल़ु खोली नैं तिसियो सोन्ना, मुर्र कने लोबान भेंट चढ़ाई। "
MAT,2,12,"ताह़लू सुपणे च एह़ चतौणी पाई नैं कि हेरोदेस राजे अल्ल भिरी बापस मत जांदे, सैह़ दूये रस्ते ते अपणे देसे जो चलिये। "
MAT,2,13,"ज्योतिषियां दे जाणे ते बाद परमात्मे दे इक्की सुअर्गदूतैं सुपणे च यूसुफे जो दुस्सी नैं ग्लाया, “उठ! इस जागते जो कने इसदिया मांऊ जो लेई नैं मिस्र देसे जो नठ्ठिया। कने जाह़लू तिकर मैं तिज्जो नीं ग्लांगा, ताह़लू तिकर औत्थू ई रेह्आं, क्जोकि हेरोदेस राजा इस जागते जो तोपा दा ऐ, कि इसियो मरवाई दैं।” "
MAT,2,14,"तिसी बग्त सैह़ राती उठी नैं जागते कने तिसदिया मांऊ जो लेई नैं मिस्र देसे जो चली गेआ, "
MAT,2,15,"कने हेरोदेस राजे दे मरने तिकर यूसुफ जागते कने अपणिया लाड़िया मरियमा सौगी तित्थु रेह्आ। इसतांई कि सैह़ वचन जेह्ड़ा परमात्मे भविष्यवक्ता दे जरिये ग्लाया था पूरा होयैं, “मैं अपणे जागते जो मिस्र देसे ते सद्दी लेआ।” "
MAT,2,16,"जाह़लू हेरोदेस राजे जो पता लग्गा, कि ज्योतिषियां तिस नैं धोखा कित्ता, तिसी बग्त सैह़ गुस्से च भरोई गेआ। कने ताह़लू तिन्नी लोकां जो घल्ली नैं ज्योतिषियां दे ठीक-ठीक दस्सेयो बग्ते मताबक बैतलहम ग्रांऐ च कने तिसदे अक्खै-बक्खे दियां जगांह च जेह्ड़े दूँ साल्लां दे कने तिसते लोक्के जागत थे सैह़ सारे मरवाई दित्ते। "
MAT,2,17,"ताह़लू जेह्ड़ा वचन यिर्मयाह भविष्यवक्तैं ग्लाया था, सैह़ पूरा होईया: "
MAT,2,18,"“रामाह सैहरे च इक्क बड़ा भरी दुख कने रोणे दा हल्ला सुम्मेयां; राहेल अपणे जागतां तांई रौआ दी थी, कने चुप नीं होणा चांह़दी थी, क्जोकि सैह़ हुण इस संसारे च नीं रेहयो थे।” "
MAT,2,19,"जाह़लू हेरोदेस राजा मरी गेआ, तां परमात्मे दे सुअर्गदूतैं मिस्र देसे च यूसुफे जो सुपणे च दुस्सी नैं ग्लाया, "
MAT,2,20,"“उठ, जागते कने तिसदिया मांऊ जो लेई नैं इस्राएल देसे जो चली जा, क्जोकि जेह्ड़े जागते देयां प्राणा लैणां चांह़दे थे, सैह़ मरी गियो हन।” "
MAT,2,21,"सैह़ उठेया, कने जागते कने तिसदिया मांऊ जो सौगी लेई नैं इस्राएल देसे च आई गेआ। "
MAT,2,22,"अपर एह़ सुणी नैं कि अरखिलाउस अपणे बुढ़े हेरोदेस राजे दिया जगाह यहूदिया प्रदेसे पर राज करा दा ऐ, तित्थु जाणे ते डरेया। भिरी सुपणे च परमात्मे ते चतौणी सुणी नैं गलील प्रदेसे जो चली गेआ। "
MAT,2,23,"कने नासरत नांऐ दे सैहरे च जाई बसेया, तांजे सैह़ वचन पूरा होयैं, जेह्ड़ा भविष्यवक्तां दे जरिये ग्लाया था। “सैह़ नासरी नांऐ ते जाणेयां जांगा।” "
MAT,3,1,तिन्हां दिनां च यूहन्ना बपतिस्मा दैणे आल़ा आई नैं यहूदिया प्रदेसे दिया सुनसाण जगाह च एह़ प्रचार करणा लग्गा; 
MAT,3,2,"“मने बदला, क्जोकि सुअर्गे दा राज्ज नेड़े आई गेआ ऐ।” "
MAT,3,3,"एह़ सैई ऐ, जिसदे बारे च यशायाह भविष्यवक्तैं ग्लाया था, “सुनसाण जगाह च इक्क हक्कां पाणे आल़े दी उआज़ सुम्मां दी, कि प्रभु तांई लोकां देयां मनां जो त्यार करा, कने अपणे आप्पे जो सुधारा।” "
MAT,3,4,"यूहन्ना ऊँटे दे बाल़ां दे कपड़े बणाई नैं लगांदा था, कने अपणे लक्के च चमड़े दा पटका बन्नी रखदा था। कने सैह़ टिड्डियां कने जंगली मखीर खांदा था। "
MAT,3,5,"ताह़लू यरूशलेम सैहरे दे कने सारे यहूदिया प्रदेसे दे, कने यरदन नदिया दे अक्खै-बक्खे दी सारी जगांह दे लोक तिस अल्ल आईये। "
MAT,3,6,कने तिन्हां अपणे-अपणे पापां जो मन्नी नैं यरदन नदिया च यूहन्ने ते बपतिस्मा लेआ। 
MAT,3,7,"जाह़लू तिन्नी मते फरीसी कने सदूकी माणुआं जो बपतिस्मे तांई अप्पु अल्ल ओंदे दिख्या, तां तिन्हां नैं ग्लाणा लग्गा, “हे सर्पे साइआं जेहरिलै लोको, तुहां जो कुणी दस्सी दित्ता कि परमात्मे दे ओणे आल़े कोपे ते नठा? "
MAT,3,8,इसतांई खरे कम्म करी नैं सबूत देआ कि तुहां सच्च बिच्च अपणा मन पापां ते बदली लेआ ऐ। 
MAT,3,9,"कने अपणे-अपणे मने च एह़ मत सोचा कि ‘अहां तां अब्राहमे दे वंशे दे हन, तां अहां बची जाणा।’ क्जोकि मैं तुहां नैं ग्लांदा ऐ, कि परमात्मा इन्हां पत्थरां ते भी अब्राहमे तांई औलाद पैदा करी सकदा ऐ। "
MAT,3,10,"हुण गल्ल इआं कि परमात्मा हर इक्की जो जेह्ड़ा मने जो नीं बदलणा चांह़दा, तिसियो सज़ा दैणे तांई बिलकुल त्यार ऐ। ठीक तिंआं ई जिंआं कि कुआड़ी रूखां दियां जड़ा पर रखियो ऐ, इसतांई जेह्ड़ा-जेह्ड़ा रूख खरा फल़ नीं दिंदा, सैह़ बड्डी करी अग्गी च फूकेया जांदा ऐ। "
MAT,3,11,"“मैं तां तुहां जो पांणिये च मने बदलणे दा बपतिस्मा दिंदा ऐ, अपर जेह्ड़ा मेरे बाद ओणे आल़ा ऐ, सैह़ मिन्जो ते बड़ा सामर्थी ऐ। मैं तिसदियां जुतियां चुकणे जोग्गा भी नीं ऐ, अपर सैह़ तां तुहां जो पवित्र आत्मा कने अग्गी नैं बपतिस्मा दिंगा। "
MAT,3,12,"तिसदा छज तिसदे हत्थे च ऐ, कने सैह़ अपणेयां खेतां जो खरे कित्ते साफ करगा, कने अपणिया कणका दे दाणेयां जो पेड़ूये च किठ्ठा करगा, अपर भूये जो तिसा अग्गी च जेह्ड़ी कदी भी बुझदी नीं फूकी दिंगा।” "
MAT,3,13,तिस बग्त यीशु गलील प्रदेसे ते यरदन नदिया कनारे यूहन्ने अल्ल बपतिस्मा लैणां आया। 
MAT,3,14,"अपर यूहन्ना एह़ ग्लाई नैं तिसियो रोकणा लग्गा, “मिन्जो तां तेरे हत्थे ते बपतिस्मा लैणे दी जरूरत ऐ, कने तू मिन्जो अल्ल आया?” "
MAT,3,15,"यीशुयैं तिसियो एह़ जवाब दित्ता, “हुण तां इआं ई होणा दे, क्जोकि अहां जो इस तरीके नैं परमात्मे दिया इच्छा जो पूरा करणा ठीक ऐ।” ताह़लू तिन्नी तिसदी गल्ल मन्नी लेई। "
MAT,3,16,"कने यीशु बपतिस्मा लेई नैं झट पांणिये ते बाहर आया, कने दिक्खा तिस तांई सुअर्ग खुली गेआ, कने तिन्नी परमात्मे दिया आत्मा जो कबूतरे साइआं लौदें कने अपणे ऊपर ओंदे दिख्या। "
