Book,Chapter,Verse,Text
1TH,1,1,"मैं पौलुस कने सिलवानुस कने तीमुथियुस अहां थिस्सलुनीकियों दी कलीसिया जो एह़ चिठ्ठी लिखदे हन, जेह्ड़े पिता परमात्मे कने यीशु मसीह च हन: मैं प्रार्थना करदा ऐ, कि तुहां जो अनुग्रह कने सांति मिलदी रैंह्। "
1TH,1,2,"अहां अपणिया प्रार्थना च तुहां जो याद करदे कने सदा तुहां सबना दे बारे च परमात्मे दा धन्यावाद करदे हन, "
1TH,1,3,"अहां हमेसा ई पिता परमात्मे दे सामणै तुहां दे बसुआसे दे कम्म, कने प्यारे दी मेहनत, कने अहां दे प्रभु यीशु मसीह च तुहां दी आसा दा सबर याद करदे हन। "
1TH,1,4,"हे मेरे प्यारे साथी बसुआसियो, परमात्मे दे प्यारे लोको, अहां जाणदे हन, कि तुहां जो परमात्मे अपणे लोक होणे तांई चुणी लेआ ऐ। "
1TH,1,5,"क्जोकि अहां दे प्रभु यीशु मसीह दा सुसमाचार तुहां अल्ल ना सिर्फ ग्लाणे ते ई नीं, अपर पवित्र आत्मा दिया सामर्थी नैं, कने बड़े बसुआसे सौगी पुज्जया ऐ; जिंआं तुहां जाणदे हन, जाह़लू अहां तुहां सौगी थे, अहां तुहां दे भले दी खातर तुहां बिच्च कदेई ज़िन्दगी जीत्ती। "
1TH,1,6,"तुहां तिसा बड़िया मुसीबता च, पवित्र आत्मा दे जरिये मिलियो खुसिया सौगी वचनां जो मन्नी करी अहां दी कने प्रभुये साइआं ज़िन्दगी जीणा लग्गे। "
1TH,1,7,जिसदा नतीजा एह़ होएया कि तुहां मकिदुनिया प्रदेस कने अखाया प्रदेसे दे सारे बसुआसियां तांई इक्क मिसाल बणी गै। 
1TH,1,8,"तुहां दे जरिये घल्लेया गेआ परमात्मे दा वचन ना सिर्फ मकिदुनिया प्रदेस कने अखाया प्रदेसे च सणाया गेआ, कने बधदा गेआ, अपर तुहां दा बसुआस जेह्ड़ा परमात्मे पर ऐ, तिसदी एह़ चर्चा हर जगाह च फैली गेई, कि इसदे बारे च अहां जो ग्लाणे दी जरूरत ई नीं पेई। "
1TH,1,9,"क्जोकि सैई अप्पु ई अहां दे बारे च ग्लांदे हन, कि जाह़लू अहां तुहां अल्ल आये, तां तुहां अहां दा सुआगत कितणे आदरे नैं कित्ता; कने एह़ भी कि कुस तरीके नैं तुहां मूर्तियां ते दूर होई नैं परमात्मे पास्से फिरे तांजे जिन्दे कने सच्चे परमात्मे दी सेवा करन। "
1TH,1,10,"कने हुण तुहां तिसदे पुत्तरे दा सुअर्गे ते बापस ओणे दा इन्तजार करदे रेह्आ जिसियो परमात्मे मरेयां ते जिन्दा कित्या, मतलब यीशु मसीह जो, जेह्ड़ा अहां जो ओणे आल़े कोपे ते बचांदा ऐ। "
1TH,2,1,"हे प्यारे साथी बसुआसियो, तुहां अप्पु ई जाणदे हन, कि अहां दा तुहां अल्ल औणां फायदेमंद होएया, "
1TH,2,2,"जिंआं तुहां अप्पु ई जाणदे हन, कि पैहल्ले अहां फिलिप्पी सैहरे च दुख झेलेया कने बुरा बर्ताब होणे दे बाद भी परमात्मैं अहां जो इतणी हिम्मत दित्ती, कि अहां परमात्मे दा सुसमाचार तुहां दे लाक्के च भारी बरोध दे होणे दे बावजूद भी तुहां जो सणाई सकन। "
1TH,2,3,"क्जोकि अहां दी सिक्षा ना धोखे दी ऐ कने ना गलत इरादे दी, कने ना ठग बाजी दी ऐ। "
1TH,2,4,"अपर जिंआं परमात्मैं अहां जो इस जोग्गा समझी करी सुसमाचार दित्या ऐ, इसतांई अहां माणुआं जो नीं, अपर अहां दे मना जो परखणे आल़े परमात्मे जो खुस करणे तांई सिक्षा दिंदे हन। "
1TH,2,5,"एह़ तुहां जाणदे हन, कि ना तां अहां दियां गल्लां च हेरा फेरी थी, कने ना तां अहां तुहां ते कुच्छ पाणे तांई लालच कित्ता, इन्हां गल्लां तांई परमात्मा गवाह ऐ कि अहां सैदय लोक नीं थे। "
