Book,Chapter,Verse,Text
JAS,1,1,"मैं याकूब जेह्ड़ा परमात्मे दा कने प्रभु यीशु मसीह दा दास एह़ चिठ्ठी तिन्हां बारांह गोत्रां जो लिखदा ऐ, जेह्ड़े संसारे च तितर-बितर होई नैं रैंह्दे हन, मेरा तिन्हां जो नमस्कार। "
JAS,1,2,"हे मेरे प्यारे साथी बसुआसियो, जाह़लू तुहां हर किस्मां दियां परीक्षां च पोन, तां इन्हां परीक्षां जो बड़िया खुसिया दी गल्ल समझा। "
JAS,1,3,"क्जोकि तुहां जाणदे हन, कि जाह़लू तुहां दा बसुआस परखेया जांदा ऐ, तां तुहां बड़े सबरे नैं परमात्मे पर बसुआस रखी नैं परीक्षां जो झेलदे हन। "
JAS,1,4,"अपर तुहां जो हर किस्मां दियां परीक्षां च सबर करणा सीखणा चाइदा, कि तुहां आत्मिकता च पक्के कने सिद्ध होई जान, कने तुहां दे सभावे च कने चाल-चलणे च कोई कमी ना रैंह्। "
JAS,1,5,"अपर जे तुहां च कुसी जो बुद्धिया दी कमी होयैं, तां सैह़ परमात्मे ते प्रार्थना करी नैं मंगे, जेह्ड़ा बिना कुच्छ ग्लाये खुसिया नैं दिंदा ऐ; कने परमात्मा सबना जो दिंदा ऐ। "
JAS,1,6,"अपर जाह़लू तुहां परमात्मे ते मंगदे हन, तां बसुआसे नैं मंगा, कने कुच्छ शक मत करा, क्जोकि शक करणे आल़ा समुंदरे दिया तिसा लैहरा साइआं ऐ, जेह्ड़ी हौआ नैं चलदी कने उछल़दी ऐ। "
JAS,1,7,"ऐदेया माणु एह़ ना समझैं कि मिन्जो प्रभु ते कुच्छ मिलगा, "
JAS,1,8,"सैह़ माणु दोगला ऐ, कने अपणियां सारियां गल्लां च पक्का नीं ऐ,। "
JAS,1,9,"बसुआसी भाऊ जेह्ड़े गरीब हन, तिन्हां जो एह़ सोची करी खुस होणा चाइदा, कि सैह़ परमात्मे तांई खास हन, "
JAS,1,10,"कने जेह्ड़े अमीर हन, तिन्हां जो अपणिया दीनता च खुस होणा चाइदा, तिन्हां दी अमीरी जंगली फूले साइआं खत्म होई जांगी। "
JAS,1,11,"क्जोकि सूरजे घरूंदे ई तेज धूप पोंदी ऐ कने घाऐ जो सकाई दिंदी ऐ, कने तिन्हां दे फूल कने पत्तर झड़ी जांदे हन, कने तिन्हां दी सुन्दरता खत्म होई जांदी ऐ। इस तरीके नैं अमीर माणु भी अपणे ज़िन्दगी दे कम्मां च नठ्ठ-भज्ज करदे-करदे धूड़ी च मिल्ली जांगा। "
JAS,1,12,"धन ऐ सैह़ माणु, जेह्ड़ा परीक्षा च पक्का रैंह्दा ऐ, क्जोकि सैह़ परीक्षा च सफल होई नैं सदा दी ज़िन्दगिया दा सैह़ मुकट पांगा जेह्ड़ा वादा परमात्मे अपणे प्यार करणे आल़ेआं नैं कित्या ऐ। "
JAS,1,13,"जाह़लू कुस्की दी परीक्षा होयैं, तां सैह़ एह़ ना ग्लां, “कि मेरी परीक्षा परमात्मे दे पास्से ते हुंदी ऐ।” क्जोकि ना तां परमात्मे जो कोई परीक्षा च पाई सकदा ऐ, कने ना सैह़ अप्पु कुसी जो परीक्षा च पांदा ऐ। "
JAS,1,14,"अपर हर माणु अपणियां बुरिआं इच्छां च पेई करी कने फसी करी, अप्पु ई परीक्षा च पोंदा ऐ। "
JAS,1,15,"भिरी बुरी इच्छा मने च पैदा होई नैं पापे जो जन्म दिंदी ऐ, कने पाप जाह़लू बधी जांदा ऐ, तां इसदा नतीजा सदा दी मौत्त ऐ। "
JAS,1,16,"हे प्यारे साथी बसुआसियो, धोखे च मत रेह्आ। "
JAS,1,17,"क्जोकि हर इक्क खरा वरदान कने हर इक्क बड़ा उत्तम दान परमात्मे दे पास्से ते मिलदा ऐ, जेह्ड़ा जोतियां दा पिता ऐ। कने परमात्मा हमेसा इक्को देहया ई ऐ, कने सैह़ ढोरे साइआं नीं बदलदा। "
JAS,1,18,"तिन्नी अपणिया इच्छा दे मताबक अहां जो सच्चाई दे वचनां दे जरिये नौई ज़िन्दगी दित्तियो ऐ, तांजे अहां सारियां चीज्जां च जेह्ड़ियां परमात्मे बणाईयां हन तिन्हां च खास होन, जिंआं फसला दा पैहल्ला फल़ खास हुंदा ऐ। "
JAS,1,19,"हे प्यारे साथी बसुआसियो, एह़ गल्ल तुहां जाणी लेआ; हर इक्क माणु सुणने तांई तौल़ करणे आल़ा कने ग्लाणे च सबर रखणे आल़ा कने गुस्से च देर करणे आल़ा होयैं, "
JAS,1,20,"क्जोकि जाह़लू इक्क माणु गुस्सा करदा ऐ, तां सैह़ धार्मिकता दे कम्म नीं करदा, जेह्ड़ा परमात्मा तिसते चांह़दा ऐ। "
JAS,1,21,"इसतांई सारे मनां दे मैल कने बैर बरोधां दी बढ़तिया जो दूर करी नैं, परमात्मे दे वचनां जो नम्रता नैं मन्नी लेआ, जेह्ड़ा मने च रखेया ऐ सैई तुहां दे प्राणा दा उद्धार करी सकदा ऐ। "
JAS,1,22,"अपर परमात्मे दे वचनां दा पालण करणे आल़े बणा, कने सिर्फ सुणने आल़े ई नीं जेह्ड़े अपणे आप्पे जो धोखा दिंदे हन। "
JAS,1,23,"क्जोकि जेह्ड़ा कोई वचनां जो सुणने आल़ा होयैं कने तिन्हां पर चलणे आल़ा ना होयैं, तां सैह़ तिस माणु साइआं ऐ जेह्ड़ा अपणा असली चेहरा सीशे च दिक्खदा ऐ। "
JAS,1,24,कि सैह़ अपणे आप्पे जो दिक्खी नैं चली जांदा कने बड़ी तौल़ी भुल्ली जांदा ऐ कि मैं कदेया था। 
JAS,1,25,"अपर जेह्ड़ा माणु परमात्मे दे वचनां जो जेह्ड़े पापां ते अजादी दिंदा ऐ, तिसियो ध्याने नैं सिखदा कने सुणदा ऐ, सैह़ माणु अपणे कम्मे च इसतांई आसीष पांगा कि तिसियो सुणी करी भुलदा नीं अपर तिंआं ई तिसदा पालण करदा भी ऐ। "
JAS,1,26,"जे कोई अपणे आप्पे जो परमात्मे दा भक्त समझैं, कने अपणिया जीभा पर लगाम ना दैं, अपर अपणे मने जो धोखा दैं, तां तिसदी भक्ति बेकार ऐ। "
JAS,1,27,"अहां दे पिता परमात्मे दे सामणै सुद्ध कने सच्ची भक्ति एह़ ऐ कि अनाथां कने बिधवां दे दुखां च तिन्हां दा ख्याल रखन, कने अपणे आप्पे जो संसारे दे बुरे कम्मां ते बचाई करी रखन। "
JAS,2,1,"हे प्यारे साथी बसुआसियो, तुहां अहां दे महिमायुक्त प्रभु यीशु मसीह दे चेले हन, इसतांई तुहां च भेदभाव ना होयैं। "
JAS,2,2,"जरा सोचा जे इक्क माणु सोन्ने दे छल्ले कने छैल़ कपड़े पैहनी करी तुहां दिया कलीसिया च औयें, कने इक्क गरीब भी मैल्ले कुचैले कपड़े पैहनी करी औयें, "
JAS,2,3,"तां तुहां तिस छैल़ कपड़े आल़े जो दिक्खी नैं ग्लान, “कि तुहां ऐत्थु खरिया जगाह च बैठा,” कने तिस गरीबे जो ग्लान, “तू ऐत्थु खड़ोई रैह्,” या “मेरे पैरां अल्ल थल्लैं बैठ।” "
JAS,2,4,तां क्या तुहां ऐत्थु भेदभाव नीं कित्ता कने बुरा बचार करी नैं न्याय करणे आल़े नीं होये? 
JAS,2,5,"हे प्यारे साथी बसुआसियो, सुणा। क्या परमात्मैं इस संसारे दे गरीबां जो नीं चुणेया कि सैह़ बसुआसे च अमीर, कने तिस राज्जे दे अधिकारी बणन, जेह्ड़ा वादा परमात्मे तिन्हां नैं कित्ता ऐ, जेह्ड़े तिस नैं प्यार रखदे हन? "
JAS,2,6,अपर तुहां तिस गरीबे दी बेज्जती कित्ती। क्या अमीर लोक तुहां पर जुल्म नीं करदे कने क्या सैई तुहां जो घसीटी-घसीटी कचेहरियां जो नीं लेई जांदे? 
JAS,2,7,"क्या सैह़ यीशु मसीह दे नांऐ दी निंदा नीं करदे, जेह्ड़ा म्हान नां तुहां दी पणछैण ऐ? "
JAS,2,8,"भिरी भी जे तुहां पवित्रशास्त्रे दे वचनां मताबक, “तू अपणे प्ड़ेसिये नैं अपणे साइआं प्यार रख,” सच्च बिच्च तिस राज व्यबस्था जो पूरी करदे हन, तां खरा ई करदे हन। "
JAS,2,9,अपर जे तुहां भेदभाव करदे हन तां पाप करदे हन; कने व्यबस्था तुहां जो दोसी बणादी ऐ। 
JAS,2,10,क्जोकि जेह्ड़ा कोई पूरिया व्यबस्था दा पालण करदा ऐ अपर इक्की भी हुक्मे जो नीं मनदा ऐ तां सैह़ सारियां गल्लां च दोसी बणदा ऐ। 
JAS,2,11,"इसतांई कि जिन्नी एह़ ग्लाया, “तू ब्यभिचार मत करणा।” कने तिन्नी एह़ भी ग्लाया, “तू हत्या मत करणा,” इसतांई जे तैं ब्यभिचार तां नीं कित्ता, अपर हत्या कित्ती तमी तू व्यबस्था जो नीं मन्नणे आल़ा बणेया। "
JAS,2,12,"तुहां तिन्हां लोकां साइआं वचन ग्ला, कने तिंआं ई कम्म भी करा, जिन्हां दा न्याय परमात्मे दे वचनां मताबक हुंगा, जेह्ड़े पापां ते अजादी दिंदे हन। "
JAS,2,13,"क्जोकि जिन्नी दया नीं कित्ती, तिसदा न्याय होणे पर कोई दया नीं होणी। दया न्याय पर जयवंत होई ऐ। "
JAS,2,14,"हे प्यारे साथी बसुआसियो, जे कोई ग्लां कि मिन्जो प्रभु यीशु मसीह च बसुआस ऐ अपर सैह़ खरे कम्म नीं करदा ऐ, तां इसते क्या फायदा? क्या ऐदेया बसुआस कदी तिसदा उद्धार करी सकदा ऐ? "
JAS,2,15,"जे कोई बसुआसी भाऊ या बैह्णी अल्ल पैहनणे जो कपड़े कने खाणे जो कुच्छ नीं होयैं, "
JAS,2,16,"कने तुहां च कोई तिन्हां नैं ग्लां, “तुहां खुस होई नैं जा, गरम-गरम कपड़े पैहना, कने पेट भरी खा,” अपर जेह्ड़ियां चीज्जां सरीरे तांई जरूरी हन सैह़ तुहां तिन्हां जो ना दैंन, तां क्या फायदा? "
JAS,2,17,"तिंआं ई बसुआस भी, जे खरे कम्मां सौगी ना होयैं तां अपणे सभावे च मरेया ऐ। "
JAS,2,18,"जे कोई ग्लांदा ऐ, “कि तिज्जो अल्ल बसुआस ऐ कने मैं खरे कम्म करदा ऐ,” अपर मैं ग्लांदा ऐ, तू अपणा बसुआस मिन्जो खरे कम्मां ते बगैर तां दस्स; कने मैं अपणा बसुआस अपणे खरे कम्मां दे जरिये तिज्जो दस्सगा। "
JAS,2,19,तिज्जो बसुआस ऐ कि इक्को ई परमात्मा ऐ; कने तू खरा करदा ऐ। अपर दुष्टआत्मां भी बसुआस रखदियां कने कमदियां हन। 
JAS,2,20,"हे मूर्ख माणुआ, क्या तिज्जो एह़ भी नीं पता कि खरे कम्म कित्ते बगैर बसुआस बेकार ऐ? "
JAS,2,21,"क्या अहां दा पूर्वज अब्राहम अपणे खरे कम्मां दिया बज़ाह ते धर्मी नीं बणेया, जाह़लू तिन्नी वेदिया पर अपणे जागते इसहाके जो चढ़ाया? "
JAS,2,22,"तां तैं दिक्खी लेआ कि बसुआसैं तिसदे खरे कम्मां सौगी मिल्ली नैं असर दस्सेया ऐ, कने खरे कम्मां ते बसुआस सिद्ध होएया। "
JAS,2,23,"कने पवित्रशास्त्रे दा एह़ वचन पूरा होएया, “अब्राहमे परमात्मे पर बसुआस कित्ता, कने इस बसुआसे दिया बज़ाह ते सैह़ धर्मी बणेया,” कने सैह़ परमात्मे दा मित्र कैहलाया। "
JAS,2,24,"इसी तरीके नैं तुहां दिक्खी लेआ कि माणु सिर्फ बसुआसे ते ई नीं, अपर खरे कम्मां सौगी भी धर्मी बणदा ऐ। "
JAS,2,25,"तिंआं ई राहाब वैश्या भी, जाह़लू तिन्नै संदेसा दैणे आल़ेआं जो अपणे घरैं च रैहणे जो जगाह दित्ती, कने तिन्नै तिन्हां जो दुश्मणा ते बचाणे तांई दूये रस्ते ते घल्ली दित्ता, तां क्या सैह़ खरे कम्मां दिया बज़ाह ते धर्मी नीं बणी? "
JAS,2,26,"तां इसी तरीके नैं सरीर आत्मा बगैर मरेया ऐ, तिंआं ई बसुआस भी खरे कम्मां बगैर मरेया ऐ। "
JAS,3,1,"हे मेरे प्यारे साथी बसुआसियो, कलीसिया च मतेआं जो गुरू नीं बणना चाइदा, क्जोकि तुहां जाणदे हन, कि परमात्मा अहां सखाणे आल़ेआं दा सक्तिया नैं न्याय करगा। "
JAS,3,2,"अहां सारे ग्लाणे च मती बरी गलती करी जांदे हन; अपर जेह्ड़ा कोई ग्लाणे च गलती नीं करदा सैई तां सिद्ध माणु ऐ, कने सैह़ सारे सरीरे जो अपणे बसे च करी सकदा ऐ। "
JAS,3,3,"जाह़लू अहां घोड़ेयां जो अपणे बसे च करणे तांई तिन्हां दे मुँऐ च लगाम लगांदे हन, तां अहां तिन्हां दे सारे सरीरे जो अपणे बसे च भी करी सकदे हन। "
JAS,3,4,"दिक्खा, समुंदरी जाह्ज भी, हलांकि बड़े बड्डे हुंदे हन, कने तेज हौआ नैं चलाये जांदे हन, तमी इक्क छोटी देहई पतवारा दे जरिये चलाणे आल़ा माँझी अपणिया इच्छा मताबक तिसियो घुमाई दिंदा ऐ। "
JAS,3,5,"तिंआं ई जीभ भी सरीरे दा इक्क छोटा देहया अंग ऐ कने सैह़ बड्डी-बड्डी डींगा मारदी ऐ। दिक्खा किंआं, थोड़ी देहई अग्गी नैं कितणे बड्डे बणे च अग्ग लग्गी जांदी ऐ। "
JAS,3,6,"जीभ भी इक्क अग्गी साइआं ऐ; जीभ अहां दे सरीरे दा इक्क अंग ऐ, जेह्ड़ा बड़ा बुरा होई सकदा ऐ, कने पूरे सरीरे पर कलंक लगाई सकदी ऐ, कने पूरिया ज़िन्दगिया च भी अग्ग लगाई सकदी ऐ, कने जीभ नरके दिया अग्गी च अप्पु जल़दी रैंह्दी ऐ। "
JAS,3,7,"हर किस्मां दे जंगली जानवर, उडणे आल़े पंछी, कने पेटे दे भार चलणे आल़े जानवर, कने पाणी आल़े जानवर माणु जाति दे बसे च होई सकदे हन कने होई भी गियो हन, "
JAS,3,8,"अपर जीभा जो कोई भी माणु बसे च नीं करी सकदा; सैह़ इक्क ऐदई बल़ा ऐ जेह्ड़ी कदी रुकदी ई नीं, सैह़ सर्पे दे जैहरे साइआं नकसान दैणे आल़ी ऐ। "
