Book,Chapter,Verse,Text
COL,1,1,"हांऊँ पौलुसे री तरफा न ज़ो परमेश्वरै री मर्जी न यीशु मसीह रा प्रेरित सा, होर विश्वासी भाई तीमुथियुसा री तरफा न, "
COL,1,2,"मसीह न तिन्हां पवित्र होर बशाह केरनु आल़ै विश्वासी भाई रै नाँ ज़ुण कुलुस्से शैहरा न रौहा सी, आसरा पिता परमेश्वर तुसाबै अनुग्रह होर शान्ति देंदा रौहै। "
COL,1,3,"ज़ैबै आसै तुसरी तैंईंयैं प्रार्थना केरा सी, आसै आपणै प्रभु यीशु मसीह रै पिता परमेश्वरा रा धन्यवाद केरा सी। "
COL,1,4,"किबैकि आसै शुणु सा, कि तुसै मसीह यीशु पैंधै बशाह केरा सी, होर सैभी पवित्र लोका सैंघै झ़ुरी रखा सी। "
COL,1,5,"तेसा आश केरु हुन्दीं चिजा री तैंईंयैं ज़ुण स्वर्गा न आसरी तैंईंयैं रखी सा, ज़ुणिरै बारै न तुसै तेई खुशी रै समादा री सच़ाई बै वचना न शुणु सा, ज़ुण तुसा हागै पुजू सा। "
COL,1,6,"होर ज़ैण्ढा दुनिया न फ़ोल भी आंणा सा, होर बढ़दा रौहा सा, तैण्ढै ज़ुणी रोज़ा न फेटे तुसै सौ शुणु, होर तुसै सच़ाई समझ़ी सा कि परमेश्वर दया सैंघै तिन्हां लोका रै पाप माफ़ केरा सा ज़ो मसीह पैंधै बशाह केरा सी। तुसा न बी ऐण्ढा केरा सा। "
COL,1,7,"तेइरी ऐ शिक्षा तुसै आसरै प्यारे सैंघी इपफ्रास न सिखी सा, ज़ुण आसरी तैंईंयैं मसीह रा विश्वासयोग्य सेवक सा। "
COL,1,8,तेइयै आसाबै होरी लोका री तैंईंयैं तुसरै प्यारा रै बारै न दसू सा ज़ो कि पवित्र आत्मै तुसाबै धिना सा। 
COL,1,9,"तैबै ज़ुणी ध्याड़ै न आसै ऐ शुणु सा, आसै प्रार्थना केरदै लागै सी कि परमेश्वरा री आत्मा तुसाबै ज्ञान होर समझ़ दै ताकि तुसै तेइरी मर्जी न पूरी तैरहा समझ़ी सकलै । "
COL,1,10,"ताकि तुसै ऐण्ढै तैरहा बर्ताव केरा ज़ुणी सैंघै परमेश्वरा रा आदर होआ सा, होर तुसै हर तैरहै न परमेश्वर खुश केरना, कि तुसै लगातार सैभी किस्मा रै शोभलै कोम केरा, होर परमेश्वरै री पछ़ियाणा न बढ़दै रौहा। "
COL,1,11,"होर तेइरी महिमा री शक्ति मुताबक सैभी तैरहै री सामर्था री बजहा न बलवन्त होंदै जा, ताकि तुसै धीरज होर खुशी सैंघै आपणै दुःखा बै सौही सकलै। "
COL,1,12,"होर पिता परमेश्वरा रा धन्यवाद केरदै रौहा, ज़ुणियै तुसै विरासता न साँझ़ा केरनै री लायक बणाऊ सा, ज़ो तेइयै स्वर्गा रै राज्य न आपणै लोका री तैंईंयैं त्यार केरू सा । "
COL,1,13,किबैकि तेइयै आसै शैताना रै वशा न खोलिया आपणै प्यारे बेटै रै राज्य न आसै आंणै। 
COL,1,14,आपणै बेटै री बलि द्वारा परमेश्वरै आसाबै छुटकारा धिना सा मतलब पापा री माफी मिला सा। 
COL,1,15,"कोई बी परमेश्वरा बै हेरी नी सकदा, पर ज़ैबै तेइरा बेटा एक आदमी बणु, ता तेइयै लोका पैंधै परमेश्वरा बै प्रगट केरू होर परमेश्वरै ज़ो किछ़ बणाऊ सा तेथा पैंधै तेइरा बड़ा अधिकार सा। "
