Book,Chapter,Verse,Text
1TI,1,1,"हांऊँ पौलुस ऐ चिट्ठी लिखदा लागा सा, हांऊँ आसरै उद्धारकर्ता परमेश्वर होर मसीह यीशु रै हुक्मा न मसीह यीशु रा प्रेरित सा, ज़ुणिन आसै आश केरा सी । "
1TI,1,2,"हांऊँ ऐ चिट्ठी तीमुथियुसा बै लिखा सा। तुसै मेरै बेटै सांही सी किबैकि तुसै मसीह न बशाह केरा सी ज़ैण्ढै हांऊँ केरा सा। हांऊँ प्रार्थना केरा सा कि पिता परमेश्वर होर आसरै प्रभु यीशु मसीह री तरफा न तुसाबै अनुग्रह, दया होर शान्ति मिलदी लोड़ी रौही। "
1TI,1,3,हांऊँ तुसाबै फिरी बोला सा कि ज़ैण्ढा मैं मकिदुनिया प्रदेशा बै ज़ाँदी घेरै तौभै समझ़ाऊ ती कि इफिसुस शैहरा न रौहिया तिन्हां झ़ूठी शिक्षा देणु आल़ै बै हुक्म देआ कि ते झ़ूठी शिक्षा देणा बन्द केरै। 
1TI,1,4,होर तिन्हां बेकारा री कहाणी होर बड़ै खानदाना पैंधै मन हेरी लाँदै ज़ुणिन कि बैंहस होआ सा; होर ऐण्ढी गैला लोका बै परमेश्वरा पैंधै एक बशाह री ज़िन्दगी जिणै न मज़त नैंई केरदी । 
1TI,1,5,"तुसाबै ऐण्ढै केरनै री तैंईंयैं मेरै बोलणै रा मकसद ऐ सा कि सैभ विश्वासी प्यारा सैंघै भौरना ज़ो च़ोखै मन, शोभलै विचार होर निष्कपट बशाह न एज़ा सा। "
1TI,1,6,झ़ूठी शिक्षा देणु आल़ै ऐ सैभ गैला केरना बन्द केरी सा सिर्फ़ बेकारा री गैला केरा सी। 
1TI,1,7,होर ऐ झ़ूठी शिक्षा देणु आल़ै शास्त्री सांही बणना ता चाहा सी पर ज़ो ते दुज़ै बै सिखाणै री कोशिश हो केरा सी होर दृढ़ता सैंघै बोला सी पर सच़ी न नैंई समझ़दै। 
1TI,1,8,आसै जाँणा सी कि बिधान शोभला सा अगर एथा रा सही रीति न इस्तेमाल केरा सी। 
1TI,1,9,"आसै जाँणा सी कि बिधान तिन्हां लोका बै काबू केरनै री तैंईंयैं नैंई धिना ती ज़ो परमेश्वरा बै खुश केरा सी, पर बिधाना बै चोड़नू आल़ै, अपराधी, भक्तिहीन लोका होर पापी बै काबू केरनै री तैंईंयैं। ऐ दुष्ट होर बुरै लोका री तैंईंयैं, होर खूनी री तैंईंयैं ज़ुणियै आपणै आमा-बापू भी मकाणै। "
1TI,1,10,"व्यभिचारी, पुरूषगामी, लोका बै दासा रै रूपा न बेच़णू आल़ै, झ़ूठै होर झ़ूठी कसम खाँणु आल़ै होर खरै उपदेशै रै बरोधी री तैंईंयैं। "
1TI,1,11,ऐ शिक्षा खुशी रै समादै रै बारै न सा ज़ो धन्य परमेश्वरा री महिमा रै बारै न गैला केरा सा। परमेश्वरै दुज़ै बै दसणै री तैंईंयैं सौ खुशी रा समाद धिना। 
1TI,1,12,होर हांऊँ आपणै प्रभु यीशु मसीह रा ज़ुणियै मुँभै सामर्थ धिनी सा धन्यवाद केरा सा कि तेइयै हांऊँ विश्वासयोग्य समझ़िया आपणी सेवै री तैंईंयैं ठहराऊ। 
1TI,1,13,"हांऊँ ता एक विश्वासी बणनै न पैहलै मसीह रै बारै न निन्दा केरनु आल़ा, विश्वासी बै सताणू आल़ा होर तिन्हां बै नुकसान देणु आल़ा ती, तैबै भी मैं मसीह न बशाह नैंई केरू होर तैबै मुँभै समझ़ नैंई आऊ कि ज़ो हांऊँ केरदा लागा ती सौ गलत ती। एथा बजहा न मसीहै मूँ पैंधै दया केरी। "
1TI,1,14,होर आसरै प्रभुऐ मुँभै लगातार आपणा अनुग्रह रिहाऊ। तेइयै मुँभै बशाह होर प्यार धिना किबैकि हांऊँ तेई सैंघै एक बणाऊ। 
1TI,1,15,"ऐ गैल सच़ी सा होर हर तैरहा न मनणै लायक सा कि, मसीह यीशु आसा पापी रा उद्धार केरनै री तैंईंयैं दुनिया न आऊ, ज़ुणीन कि सैभी न बड़ा पापी हांऊँ सा। "
1TI,1,16,"पर मूँ पैंधै एथै री तैंईंयैं दया हुई कि मूँ सैभी न बड़ै पापी न यीशु मसीह आपणी पूरी सहनशीलता रिहाला कि ज़ुणा लोका तेई पैंधै हमेशा री ज़िन्दगी री तैंईंयैं विश्वास केरलै, तिन्हरी तैंईंयैं हांऊँ एक आदर्श बणनू। "
1TI,1,17,"ऐबै सनातन राज़ा, अविनाशी अनदेखै, सौ सच़ा होर ऐकै परमेश्वर सा तेइरा आदर होर महिमा ज़ुग-ज़ुग होंदै रौहली। आमीन। "
1TI,1,18,"ओ बेटा तीमुथियुस, तिन्हां भविष्यवाणी रै मुताबक ज़ो पैहलै तेरै बारै न केरूईदी ती हांऊँ ऐ हुक्म सौंपा सा कि तू तिन्हरै मुताबक शोभली लड़ाई लड़दा रौह, "
1TI,1,19,किछ़ लोकै आपणै शोभलै विचारा रा नाँह केरू ज़ुणिरी बजहा न ते ऐबै मसीह न बशाह नैंई केरदै। 
1TI,1,20,तिन्हां मौंझ़ै न हुमिनयुस होर सिकन्दर सी ज़ो मैं शैताना बै सौंपै कि ते परमेश्वरा री निन्दा केरना नी सीखलै। 
1TI,2,1,"ऐबै हांऊँ तुसाबै सैभी न पैहलै ऐ बोला सा कि, अर्ज़ा होर प्रार्थना, निवेदन होर धन्यवाद सैभी मांहणु री तैंईंयैं केरिलै। "
1TI,2,2,राज़ा होर होरा सैभी री तैंईंयैं प्रार्थना केरा ज़ो अधिकारा न सी ताकि ते आसाबै शान्ति होर सुरक्षा न रौहणै रै लायक बणालै ताकि आसै परमेश्वरा री आराधना केरी सकै होर हमेशा होरी सैंघै सही बर्ताव केरी सकलै। 
1TI,2,3,ऐण्ढी प्रार्थना सही सा होर आसरै मुक्तिदाता परमेश्वरा रै ज़रियै स्वीकार केरिया सा । 
1TI,2,4,"सौ ऐ चाहा सा कि, सैभी मांहणु री मुक्ति होली होर ते सच़ाई बै शोभली तैरहा पछ़ियाणलै। "
1TI,2,5,किबैकि परमेश्वर एकै सा होर परमेश्वर होर मांहणु रै बिच़ा न भी एकै बिचवाई सा ज़ो यीशु मसीह सा। 
1TI,2,6,मसीहै पाप होर मौऊती री शक्ति न सैभी लोका बै छ़ुड़ाणै री तैंईंयैं आपणै आपु बै धिना; ताकि ठीक बौगता न तेइरी गुआही देइली। 
