Book,Chapter,Verse,Text
3JN,1,1,हांऊँ यूहन्ना मण्डली रा अगुवा ऐ चिट्ठी प्यारे गयुसा तौभै लिखदा लागा सा ज़ुणी सैंघै हांऊँ सच़ी झ़ुरी केरा सा। 
3JN,1,2,"ओ प्यारे, मेरी ऐ प्रार्थना सा कि ज़ैण्ढी तू आत्मिक उन्नति केरदा लागा सा, तैण्ढी तू हर गैला न उन्नति केरला होर भला चँगा रौहला। "
3JN,1,3,"किबैकि ज़ैबै किछ़ सैंघी विश्वासीयै एज़िया तेरी तेसा सच़ाई रै बारै न गुआही धिनी, ज़ुणी पैंधै तू सच़िऐ च़ला सा, ता हांऊँ बड़ा खुश हुआ। "
3JN,1,4,मुँभै एथा न बड़ी होर खुशी नी ऑथि कि हांऊँ शुणनू कि मेरै शोहरू सच़ाई पैंधै च़ला सी। 
3JN,1,5,"ओ प्यारे, ज़ैबै भी तू आसरै सैंघी मसीह री तैंईंयैं कोम केरै होर परदेशी री तैंईंयैं भी ता, विश्वासयोग्यता सैंघै केरा। "
3JN,1,6,"इन्हां मौंझ़ै न किछ़ लोका मण्डली सामनै तेरी झ़ुरी री गुआही धिनी ती; अगर तू तिन्हां बै तेसा रीतिऐ विदा केरला ज़ौस रीतिऐ परमेश्वरै रै लोकै री तैंईंयैं सही सा, ता शोभला होंणा। "
3JN,1,7,किबैकि ऐ लोक यीशु मसीह री गैला रा प्रचार केरनै री तैंईंयैं च़ोहू पासै सफ़र केरा सी होर होरी ज़ाति न किछ़ नी लेंदै। 
3JN,1,8,"आसाबै ऐण्ढै लोका री मज़त केरनी चेहिऐ ताकि आसै तेइरा हिस्सा बणी सकै, ज़ो ते सच़ाई बै फैलाणै री तैंईंयैं केरदै लागै सी। "
3JN,1,9,"मैं मण्डली री तैंईंयैं किछ़ लिखू ती; पर दियुत्रिफेस ज़ो तिन्हां न बड़ा बणना चाहा सा, आसाबै ग्रहण नी केरदा। "
3JN,1,10,"ज़ैबै हांऊँ ऐनु ता मूँ तेइरै कोमै री ज़ो सौ केरदा लागा सा, याद दिलाणी कि, सौ आसरै बारै न बुरी-बुरी गैला बका सा होर एथा न सन्तुष्ट नी होंदा होर आपु सैंघी विश्वासी बै ग्रहण नी केरदा होर ज़ो ग्रहण केरना चाहा सी तिन्हां बै नाँह केरा सा होर मण्डली न खोला सा। "
3JN,1,11,"हे प्यारे, तिन्हां लोका रा मता मना ज़ो बुरै कोम केरा सी, पर तिन्हां लोकै रै उदाहरण मना ज़ो शोभलै कोम केरा सी, अगर कोई शोभला कोम केरा सा, ता ऐ रिहा सा कि सौ परमेश्वरा रा शोहरू सा। अगर कोई बुरै कोम केरा सा ता ऐ रिहा सा कि सौ परमेश्वरा बै नी ज़ाणदा। "
3JN,1,12,मण्डली न हर कोई बोला सा कि देमेत्रियुस एक शोभला मांहणु सा सौ सच़ाई रै मुताबक ज़ीआ सा होर आसै भी बोला सी कि सौ एक शोभला मांहणु सा होर तू जाँणा सा कि आसरी गुआही सच़ी सा। 
3JN,1,13,"मूँ तौभै बोहू किछ़ लिखणा ती, पर स्याही होर कलमा सैंघै लिखणा नी च़ाँहदा। "
3JN,1,14,"पर मुँभै आशा सा कि तौ सैंघै छ़ेकै मिलणू। तैबै आसा आमनै-सामनै गलबात केरनी, "
3JN,1,15,"हांऊँ प्रार्थना केरा सा कि परमेश्वर तौभै शान्ति दै। औखलै मसीह सैंघी तौभै नमस्कार केरा सी, होर तौखलै मसीह सैंघी बै नाँ लेइया नमस्कार बोली। "
