Book,Chapter,Verse,Text
TIT,1,1,हुंह पल़सी लिखा एसा च़िठी ताह तितुसा लै। हुंह आसा परमेशरो टैहलू और मसीहा ईशूओ शधाणूं। हुंह आसा तिन्नें विश्वासा मज़बूत करदअ छ़ाडअ द ज़ुंण परमेशरै आप्पू लै आसा छ़ांटै दै और तिन्नां मसीहे बारै शुची शिक्षा सखाऊंदअ। ताकि तिंयां तेही ज़िन्दगी ज़िऊए ज़ेता करै परमेशर खुश हआ। 
TIT,1,2,"एतो नतिज़अ हआ इहअ कि तिन्नां आसा परमेशरा संघै सदा ज़िऊंणें आशा किल्हैकि परमेशर ज़ुंण कधि निं झ़ुठअ बोलदअ, तेऊ आसा एऊ संसारै बणांणैं का पैहलै करार की दी कि तेऊए छ़ांटै दै लोग रहणैं सदा ज़िऊंदै। "
TIT,1,3,एभै किअ परमेशरै ऐबै ठीक मोक्कै दी खुशीओ समाद हाम्हां लै प्रगट और हाम्हैं खोज़ा एता हर ज़ैगा। म्हारै उद्धार करनै आल़ै परमेशरै सभाल़ी मुल्है अह ज़िम्मैंबारी। तेऊ दैनअ मुल्है अह हुकम कि हुंह तेऊ लै एऊ कामां करे। 
TIT,1,4,हुंह लिखा ऐहा च़िठी तितुसा लै। तूह आसा मुल्है मेरै शोहरू ज़िहअ किल्हैकि तूह करा मसीहा दी विश्वास ज़िहअ हुंह करा। म्हारै बाप्पू परमेशर और म्हारै उद्धार करनै आल़ै प्रभू ईशू मसीहा का आसा मेरी एही अरज़ कि ताल्है लोल़ी तेऊओ जश और शांती सदा हुई। 
TIT,1,5,"हुंह आअ त ताह क्रेतै टापू दी एते तैणीं छ़ाडी कि तूह बाकी रही दी गल्ला सधेरे, और ज़िहअ मंऐं बोलअ तेते साबै हर नगरी दी विश्वासी मंडल़ी लै सैणैं छ़ांटे। "
TIT,1,6,मंडल़ीए सैणें लोल़ी नर्दोश ज़िन्दगी हुई। सह लोल़ी आपणीं लाल़ी लै भरोस्सैमंद हुअ और तेऊए शोहरू-माठै लोल़ी विश्वासी होए और आपणैं आम्मां बाप्पूए हर गल्ला मना और तिन्नों लोल़ी सोभी मांझ़ै भलअ नांअ हुअ। 
TIT,1,7,"किल्हैकि ज़ुंण मंडल़ीओ सैणअ आसा सह आसा परमेशरे घरो भढारी। तेऊ लै आसा ईंयां गल्ला ज़रूरी कि सह लोल़ी नर्दोश हुअ, सह नां हठी और नां धखी का रोश करनै आल़अ लोल़ी हुअ। सह नां शराबी और नां हर बगत च़िखणैं आल़अ लोल़ी हुअ और नां सह ढबै-धेल्लैओ लाल़च़ करनै आल़अ लोल़ी हुअ। "
TIT,1,8,"तेऊ लोल़ी आपणैं घरै एछणैं आल़ै पाहुंणैंओ अदर किअ, सह लोल़ी इहअ ज़ुंण होरी लोगा लै भलअ करनअ च़ाहा। सह लोल़ी सोभी गल्ला दी सबर करनै आल़अ और धर्मीं हुअ। सह लोल़ी इहअ पबित्र हुअ ज़हा सोभै मना, तेऊ लागा आपणैं दिले भाअ हर बगत आपणैं बशै डाहणैं। "
TIT,1,9,"तेऊ लागा तिन्नां सत्ता दी पाक्कअ विश्वास करनअ ज़ुंण हाम्हैं आसा खोज़ी दी और तेते ई साबै आपणीं ज़िन्दगी बी ज़िऊए, ताकि तेऊ भाल़ी करै होर लोग बी तेही ई ज़िन्दगी ज़िऊए और ज़ै कुंण एऊ साबै ज़िन्दगी नांईं च़ाहंदै तिंयां बी लोल़ी समझ़ाऊई ज़ाणैं। "
TIT,1,10,"हुंह बोला इहअ एते तैणीं कि कई लोगा करनअ शुची शिक्षो बरोध, ज़ुंण बाझ़ी मतलबे गल्ला सखाऊआ और होरी लै धोखअ दैआ। ईंयां इहै आसा खासकर तिन्नां लोगा मांझ़ा का ज़ुंण अज़ी बी यहूदी बधान मना और होरी विश्वासी लै खतैर करना लै बोला। "
TIT,1,11,इना इहै लोगा रोक्का विश्वासी मांझ़ै एही शिक्षा दैणैं का। किल्हैकि एही गलत शिक्षा करै करा तिंयां कई घरो विश्वास बरैबाद। तिंयां करा इहअ एते तैणीं कि लोग तिन्नां लै ढबै दैए। 
TIT,1,12,"तिन्नां ई मांझ़ै आसा क्रेतै टापू का एक मणछ ज़ुंण तिन्नों गूर आसा, तेऊ बोलअ इहअ, “क्रेतै टापुए लोग बोला हर बगत झ़ुठअ। तिन्नों बभार आसा बणें पशू ज़िहअ। तिंयां आसा नज़ाहणै और तिन्नां लोल़ी खाणां लै हर बगत खास्सअ।” "
TIT,1,13,क्रेतै लोगे बारै ईंयां गल्ला आसा शुची बोली दी। इना लोगा सखाऊ काठअ बणीं करै ताकि तिंयां मसीहा ईशूए बारै शुची शिक्षा दी विश्वास करे 
TIT,1,14,और तिंयां यहूदी लोगे कथैया काहाणीं दी और तिन्नां मणछे गल्ला दी धैन नां दैए ज़ुंण सत्ता का कबाता हआ पेठै दै। 
TIT,1,15,"ज़ै कुंण पाप करनअ नांईं च़ाहे और पाप करने सोठ नांईं आथी, तै आसा तेऊ मणछा लै सोभै गल्ला भली। पर ज़ै कुंण बूरअ आसा और ईशू दी विश्वास नांईं करदअ, तेऊए साबै निं किछ़ै च़ीज़ शुची आथी किल्हैकि तिन्नें मन और सोर आसा दुहै भ्रष्ट हुऐ दै। "
TIT,1,16,"तिंयां झ़ुठी शिक्षा दैणैं आल़ै बोला इहअ कि हाम्हां का आसा परमेशरो थोघ, पर तिन्नें काम और बभारा करै जा थोघ लागी कि तिन्नां का निं परमेशरो थोघ आथी। किल्हैकि तिंयां आसा च़िल़्हखरै और इहै ज़ुंण परमेशरो हुकम नांईं मंदै। तिंयां निं कोई भलअ करी सकदै। "
TIT,2,1,"पर तितुस, तूह दैऐ विश्वासी लै हर बगत एही शिक्षा ज़ुंण सत्ते साबै आसा। "
TIT,2,2,"प्रोढै मणछा लै बोल कि हर बगत रहणअ आपणैं काबू दी, तिन्नां लागा आपणअ बभार इहअ डाहणअ कि होर लोग तिन्नों अदर करे और राम्बल़अ बभार करे। तिन्नां लागा परमेशरा दी पाक्कअ विश्वास डाहणअ। होरी संघै डाहणीं शुची झ़ूरी और इना सोभी गल्ला करा च़ाऐ कठण किल्है निं होए। "
TIT,2,3,प्रोढी बेटल़ी लै बोल इहअ तिन्नों बभार लोल़ी सोभी साबै इहअ हुअ ज़ेता करै परमेशरो अदर हआ। तिंयां निं होरीए बारै बूरअ बोल़णैं आल़ी लोल़ी हुई। पर तिन्नें लोल़ी होरी का भली गल्ला सखाऊई। 
TIT,2,4,इनै प्रोढी बेटल़ी लोल़ी ज़ुआन बेटल़ी ईंयां गल्ला सखाऊई कि आपणैं लाल़ै और शोहरू-माठै संघै डाहणीं झ़ूरी। 
TIT,2,5,"इनै प्रोढी बेटल़ी लोल़ी ज़ुआना का इहअ बी सखाऊअ कि हर बगत रहणअ आपणैं काबू दी और आपणैं मर्धा छ़ाडी निं होरी मर्धा संघै छ़ोतली हणअ, आपणैं घरै करनअ राम्बल़अ काम, होरी लै करनी झींण और आपणैं मर्धे मनणी हर गल्ला। तिन्नैं लोल़ी ईंयां सोभै गल्ला की ताकि कुंण परमेशरे बैणो ठठअ नां बणांए। "
TIT,2,6,"इहै ई ज़ुआना मर्धा बी कर समझ़ाऊई, कि सोभी गल्ला दी रहणअ हर बगत आपणैं काबू दी। "
TIT,2,7,हर बगत करनै तंऐं भलै काम। ताकि ताह भाल़ी करै होर बी तिहै ई भलै काम करे। तेरी शिक्षा दी लोल़ी नित-पत्त और धैन मन हुअ। 
TIT,2,8,तेरी शिक्षा लोल़ी हर बगत एही शुची हुई ज़ेता लै कुंण बूरी निं बोली सके। ताकि ज़ुंण तेरै ईशू मसीहा लै कामों बरोध करे तिंयां हणैं शर्मिंदै किल्हैकि तिंयां निं म्हारै बारै किछ़ै गलत बोली सकै। 
TIT,2,9,ज़ुंण विश्वासी गुलाम आसा तिन्नां सखाऊ इहअ कि आपणैं मालके शुणनी हर गल्ला। तिन्नां लै बोल तिहअ करना लै ज़ेता करै तिन्नें मालक खुश होए और तिन्नें कामें बारै निं तिन्नां संघै हठल़दै लागणअ। 
TIT,2,10,तिन्नां लै बोल कि धख बी च़ोरी च़लाकी निं करनी पर तिन्नैं रहणअ आपणैं मालका लै भरोस्सैमंद। ताकि लोग तिन्नों भलअ सभाब और ज़ुंण बी तिंयां काम करा भाल़े और लोग तेतो अदर करे ज़ेता हाम्हैं म्हारै उद्धार करनै आल़ै परमेशरे बारै सखाऊआ। 
TIT,2,11,विश्वासी सखाऊ इहअ ई किल्हैकि परमेशरै किअ आपणअ जश प्रगट कि सह च़ाहा सोभी मणछा तिन्नें पापा का बच़ाऊंणअ और अह आसा तिन्नां लै दान। 
TIT,2,12,एऊ जशा करै सखाऊआ परमेशर हाम्हां का कि हाम्हैं तिहअ बभार नां करे ज़ेता करै परमेशर खुश निं हंदअ तिहअ बभार करे ज़ेता करै परमेशर खुश हआ और संसारे च़िज़ा लै च़ाहा डाहणीं छ़ाडे। पर एऊ जुगै हाम्हैं धर्म और भगती डाही बभार करे ज़ेता करै शुझिए कि हाम्हैं करा परमेशरो अदर। 
TIT,2,13,"हाम्हैं तैहा महान धैल़ी न्हैल़ै लागै दै ज़ेते हाम्हां आशा आसा। अह आसा सह धैल़ी ज़ेभै ईशू मसीहा ज़ुंण म्हारअ महान परमेशर और उद्धार करनै आल़अ आसा, सह आपणीं सारी महिमां दी पृथूई लै फिरी एछणअ। हाम्हां लागा तेते ई साबै आपणअ बभार डाहणअ। "
TIT,2,14,"तेऊ मसीहा दैनी म्हारी तैणीं आपणीं ज़िन्दगी, ताकि सह हाम्हां म्हारै सोभी पापा का आज़ाद करी और हाम्हां शुचै करे ताकि हाम्हैं तेऊए आपणैं खास लोग होए। ज़ुंण भलै ई भलै काम च़ाहा करनै। ( ) "
TIT,2,15,"तिमुतुस, हुंह च़ाहा इहअ कि तूह तिधी क्रेतै रहणैं आल़ै विश्वासी लै इना गल्ला सखाओए ज़ुंण मंऐं ताखा खोज़ी। आपणैं लोगा लै दै इना गल्ला करना लै हैअ, ज़िधी ज़रूरी आसा तिधी समझ़ाऊ तिन्नां। ताह आसा इहअ करनैओ हक। एसा गल्लो डाहै धैन कि सोभी लोल़ी तेरअ अदर किअ। "
TIT,3,1,"तितुस, ज़ेतरअ हई सके आपणैं सोभी विश्वासी का फरेऊ राज़ और तिन्नें हाकमो अदर करनअ और हाम्हां लागा तिन्नों हुकम मनणअ और हर साबै भलै कामां करना लै तैर रहणअ। "
TIT,3,2,"कोहिए बारै निं बूरअ बोल़णअ, नां लोगा संघै हठल़दै लागणअ, तम्हैं करै तेभै बी सबर ज़ेभै लोग तिहअ करे ज़ेता लै तम्हैं राज़ी निं हंदै। सोभी लोगा संघै डाहणअ हर बगत नरम बभार। "
TIT,3,3,हाम्हां लागा अह गल्ल आद डाहणीं कि एक बगत त इहअ बी कि हाम्हैं बी तै तिन्नां लोगा ज़िहै ऐडै ज़ुंण अज़ी मसीहा दी विश्वास निं करदै। हाम्हैं निं परमेशरे गल्ला मंदै तै। हाम्हैं बी तै धोखै दी पल़ै दै। हाम्हैं करा तै कबल्लै बूरै काम करना लै आपणअ बगत बरैबाद और हाम्हैं रहा तै तिहअ करदै लागी ज़ेता म्हारी देही च़ाहा ती। हाम्हैं बी च़ाहा तै तिन्नां गल्ला ज़ुंण होरी का आसा। हाम्हैं पज़ेरा तै होरीए दिलै आप्पू लै नफरत और हाम्हैं करा तै एकी दुजै संघै ज़ीद। 
TIT,3,4,पर तज़ी बी रहैऊई म्हारै उद्धार करनै आल़ै परमेशरै हाम्हां लै आपणीं झींण और तेऊ की हाम्हां लोगा लै झ़ूरी। 
TIT,3,5,"ता तेऊ किअ म्हारअ उद्धार। अह निं म्हारै धर्में कामां करी करै हुअ, पर अह हुअ तै कि तेऊ की हाम्हां लै झींण। परमेशरै दैनी हाम्हां लै नऊंईं ज़िन्दगी। तेऊ धोऐ हाम्हैं भितरा का और म्हारै पाप किऐ दूर और हाम्हैं बणांऐं तेऊ नऊंऐं साबै बभार करनै आल़ै। तेऊ किअ इहअ हाम्हां दी पबित्र आत्मां पाई करै। "
TIT,3,6,परमेशरै दैनी हाम्हां लै पबित्र आत्मां बाझ़ी मोलै कि सह हाम्हां दी बडी शगती संघै काम करे किल्हैकि ईशू मसीहा मूंअ म्हारै पापा लै म्हारअ उद्धार करनै आल़अ हणें तैणीं। ( ) 
TIT,3,7,परमेशरै किअ इहअ तै कि सह आपणैं जशा करै हाम्हां आप्पू संघै धर्मीं बणांए और हाम्हैं बी तेऊए लुआद बणीं सके और हाम्हां तेऊ संघै सदा लै ज़िन्दगी भेटे ज़ेते हाम्हैं आशा आसा। 
TIT,3,8,"ईंयां गल्ला आसा शुची बोली दी ज़ुंण मंऐं ताल्है एभै बोली। हुंह च़ाहा इहअ कि तूह दैए विश्वासी लै इना गल्ला सखाऊंणा लै खास धैन। ज़ुंण परमेशरा दी विश्वास करा, तिंयां भलै काम करना लै हर बगत धैन डाहे ज़ुंण भलै और सोभिए फाईदे आसा। "
TIT,3,9,"पर नथोघी हठ, यहूदी पित्तरे लाम्मी बही पिछ़ू हठ, झ़गल़ै और मुसा गूरे बधाना मनणें बारै हठल़णैं का रहै दूर। ईंयां एही गल्ला हआ बगत बरैबाद करनै आल़ी और एता करै निं ताह किछ़ै फाईदअ हणअ। "
TIT,3,10,ज़ुंण मंडल़ी दी फूट पाआ तेऊ लै दै एकी बारी चतैनगी कि इहअ करनअ छ़ाड। ज़ै ताखा इहअ शुझिए कि सह आसा अज़ी बी तिहअ ई करदअ लागअ द ता तेऊ लै दै दुजी बारी चतैनगी। तेखअ निं तेऊ दी होर बगत बरैबाद करी। 
TIT,3,11,"ताखा जाणअ थोघ लागी कि इहै आसा सत्ता का कबाता पेठै दै, और तिन्नें पाप करा एसा गल्ला पाक्की कि तिंयां आसा दोशी। "
TIT,3,12,"मुंह छ़ाडणैं अरतीमास या तुखिकुस क्रेतै टापू लै ताह सेटा लै, ता मुंह सेटा लै करै निकूपुलिस नगरी तैणीं एछणें कोशिश, किल्हैकि मंऐं आसा इहअ सोठअ द कि मुंह काटणै हिंऊंदे धैल़ै तिधी। "
TIT,3,13,"ज़ेभै जेनास नांओं बकील और दुजअ अपूलोस नांओं तिन्नें हांढा दी आजू निखल़े, तिन्नां लै करै मज़त ज़ेतरी की थारै भलै हई सका। तिन्नां लै दैऐ तिन्नें ज़रूरतीए सोभै गल्ला ताकि तिन्नें हांढा दी आजू किछ़ू गल्ले काम्मी नां पल़े। "
TIT,3,14,"सिधअ इहअ ई निं, तूह रहअ विश्वासी लै एही शिक्षा दैंदअ लागी कि हाम्हां लागा हर भलै काम करनै ज़रूरी शिखल़णै ताकि सोभिए गरज़ा पूरी होए। ताकि तिंयां नकाम्मीं ज़िन्दगी नां ज़िऊए। "
TIT,3,15,"इधी ज़ेतरै बी विश्वासी मुंह संघै आसा, तिंयां दैआ तम्हां लै राज़ी-खुशी और तिन्नां सोभी भाई-बैहणी लै बी दैऐ राज़ी-खुशी ज़ुंण आपणअ संघी विश्वासी समझ़ी हाम्हां लै झ़ूरी करा। हुंह करा प्राथणां कि परमेशरो जश लोल़ी तम्हां लै हुअ। तथास्तू। "
