Book,Chapter,Verse,Text
JUD,1,1,"हांऊँ यहूदा एस चिठ्ठी जो लिखी करहा। हांऊँ यीसू मसीहा रा सेऊआदार होर याकूबा रा छोटा भाई आ। परमेसरे जिन्हा लोका जो आपणे गास विस्वास करणे रे कठे सादिरे, हांऊँ तिन्हा लोका जो ये चिठ्ठी लिखी करहा। बापू परमेसर तुस्सा किन्हें प्यार करहा होर यीसू मसीहा रे ज्रीए तुस्से सुरक्षित ऐें। "
JUD,1,2,"हांऊँ प्रार्थना करहा कि परमेसर तुस्सा जो बौह्त सारा अनुग्रह, सांति होर प्यार देंदा रहे। "
JUD,1,3,"हे लाडले भाईयो होर बैहणो, हालांकि हांऊँ मना ले चाहां था कि परमेसरा ले आस्सा जो मिलणे वाले उद्धारा रे बारे मन्झ तुस्सा जो लिखूं जेसरे आस्से सभ साझी ऐें, पर ऐबे मैं ये जरूरत मैहसूस किती कि हांऊँ तुस्सा जो इधी कठे लिखूं कि तुस्से हिम्मत पाई किन्हें सच्चे उपदेसा रा बचाव करी सको, परमेसरे आस्सा जो ये सच्चाई आपणे पवित्र लोका रे कठे एक बारी ही देई दितिरी जेस्सा कधी नी बदलना। "
JUD,1,4,"क्यूंकि यीसू मसीह पर विस्वास करणे रा ढोंग करणे वाले कुछ लोक तुस्सा री कलीसिया किन्हें जुड़ी गईरे। ये परमेसरा री इज्जत नी करदे होर गलत उपदेस दें कि आस्से लुचपन करी सके, क्यूंकि परमेसर आस्सा रे पाप माफ़ करी देआ। स्यों प्रभु यीसू मसीहा रा इनकार करहा ऐें जो आस्सा रा एक ऐें प्रभु होर माल्क आ। बौह्त टैम पैहले पवित्र सास्त्रा मन्झ लिखिरा था कि परमेसर आस्सो सजा देआ। "
JUD,1,5,"हालांकि तुस्से इन्हा सच्ची गल्ला जो जाणांहे पर हांऊँ सिर्फ तुस्सा जो याद कुराणा चाहां। परमेसरे इस्राएली लोका जो मिस्र देसा री गुलामी ले छुड़ाई किन्हें बाहर लेई आया, पर बादा मन्झ परमेसरे तिन्हा सभी जो, जिन्हें तेस पर भरोसा नी रखेया बियाबान जंगला मन्झ ही मुकाई दिते। "
JUD,1,6,"याद रखा परमेसरे केस तरीके से तिन्हा स्वर्गदूता जो सजा दिती, जो आपणे हका ले खुस नी थे, बल्की तिन्हें तिन्हा जो मिलिरे औहदे भी छाडी दिते, परमेसरे इन्हा दूता जो नह्यारे वाली जगहा मन्झ अनंत सांगला किन्हें बान्ही किन्हें रखिरा, जेस जो कोई तोड़ी नी सकदा, ताकि तेस महान न्याय रे ध्याड़े तिन्हारा न्याय कितेया जाये। "
JUD,1,7,"इन्हा इस्राएली लोका होर स्वर्गदूता साहीं याद रखा कि सदोम होर गमोरा होर तेसरे ओरले परले सैहरा मन्झ रैहणे वाले लोका किन्हें क्या हुईरा था। स्यों लोक व्यभिचारी हुई गईरे थे होर हर प्रकारा रे नजायज यौन रिस्ते मन्झ पई गईरे थे, इधी कठे परमेसरे स्यों आगी किन्हें मारी दिते, होर ये झूठे उपदेस देणे वाले रे कठे एक चेतावनी की तिन्हा जो भी अनंतकाला री आगी ले सजा मिलणी। "
JUD,1,8,"ठीक इंहां ईं ये लोक जो यीसू मसीह पर विस्वास करणे रा ढोंग करहे, स्यों दावा करहे परमेसरे तिन्हो दर्सना मन्झ जाहिर कितिरा कि लुचपन करी किन्हें स्यों आपणे सरीरा जो असुद्ध करी सक्हा ऐें, होर तिन्हो केसी रे हका मन्झ रैहणे री जरूरत नी, होर स्यों महिमामय स्वर्गदूता रे बारे मन्झ बुराई करी सक्हा ऐें। "
JUD,1,9,"पर प्रधान स्वर्गदूत मीकाईले भी इन्हा ढोंगीया साहीं नी कितेया, जेबे सैताने मीकाईले मूसा नबी री ल्हासा दबाणे रे बारे मन्झ बैहस किती कि, कुण तेस जो दबाई सक्हा, तेबे मीकाईल जो इन्हा सभी ले ज्यादा हक रखा तिन्हें सैताना किन्हें बुरा भला बोली किन्हें दोस नी लगाया। एता रे बजाय तिन्हें सिर्फ ये बोल्या कि, “प्रभु तुजो झिड़के।” "
JUD,1,10,"पर ये लोक जिन्हा गल्ला जो नी समझ्दे, तेता रे बारे मन्झ बुरा-भला बोल्हा ऐें। होर जिन्हा गल्ला जो स्यों समझे होर जिन्हा गल्ला जो स्यों नासमझ जानवरा साहीं स्वभावा ले ही करहा ऐें, इन्हा पाप भरी गल्ला करणे ले ही स्यों आपणे आपा रा नास करी करहा ऐें। "
