Book,Chapter,Verse,Text
1TH,1,1,"इऐ चिट्ठी पौलुस और सिलवानुस और तीमुथियुसा री तौरफा कु आ। आमै इऐं चिट्ठी थिस्सलुनीकियों री कलिसिया लै लिखी ई, ज़ो बाब परमेश्‍वर और प्रभु यीशु मसीहा दी ई। परमेश्‍वरा री तौरफा कु तुमुलै बौड़ी दया और शान्ति मिलदै थाका लागी। "
1TH,1,2,"आमै आपणी प्राथना दी तुमु याद कौरी और सौदा तुमु सौभीऊ रै बारै दी परमेश्‍वरा रौ धन्यबाद कौरी ई, "
1TH,1,3,"आमै सौदा आमारै बाब परमेश्‍वरा काऐ तुमारै विश्वासा रै काम, प्यारा री मैहनत और आमारै प्रभु यीशु मसीहा दी तुमारी आशा री सौबर याद कौरी ई। "
1TH,1,4,"ओ मैरै प्यारै साथी विश्वासिउओ, परमेश्‍वरा रै प्यारै लोगुओ, आमै ज़ाणी ई कि तुमै परमेश्‍वरै आपणै लोग हुणा लै च़ुनै औन्दै ई "
1TH,1,5,"कैलैकि आमारै प्रभु यीशु मसीह री खुश-खौबरी तुमु काऐ ना सिरफ बोलीयौ, पर पवित्र आत्मा री शक्ति और बौड़ै विश्वासा कौरीऐ पौउंच़ौ आ। तुमै ज़ाणाई कि ज़ेबी आमै तुमु आइलै थै ता आमुऐ तुमारै भौलै लै तुमु माझ़िऐ किणी ज़िन्दगी जीई आ। "
1TH,1,6,"तुमै बौड़ी मुसीबता दी, पवित्र आत्मा री खुशी आइलै, वचन मानियौ आमारी और आमारै प्रभु री ज़िणी ज़िन्दगी ज़िउंदै लागै। "
1TH,1,7,ज़ेथरौ नौतिज़ौ इणौ हुऔ कि तुमै मकिदुनीया और अखाया रै सारै विश्वासिउ लै मिसाल बौणै। 
1TH,1,8,"तुमारै ज़ौरिऐ भेज़ौ औन्दौ परमेश्‍वरा रौ वचन ना सिरफ मकिदुनीया और अखाया परदेशा दी शुणाऔ, पर परमेश्‍वरा माथै ज़ो तुमारौ विश्वासा आ तेथरी खौबर भी सारी ज़ागाह दी फैअली गोई आ, कि आमुकै औज़ौ कुछ़ बोलणै री ज़रुरता ना पौड़ी। "
1TH,1,9,"कैलैकि सै आपु ई आमारै बारै दी बोलाई कि ज़ेबी आमै तुमु काऐ आशै ई ता तुमुऐ आमारौ स्वागत किणी इज़्ज़ती कौरी कियौ आ। और इणौ भी कि तुमै किणै मूर्ती पुज़णै कु दूर हुइयौ परमेश्‍वरा भिलै फिरेई, ताकी ज़िउंदै और सौच़्च़ै परमेश्‍वरा री सेवा कौरा। "
1TH,1,10,"और परमेश्‍वरा रौ छ़ोहरु सौरगा माथा कु वापिस आशणै रौ इन्तज़ार कौरदै थाकौ लागी ज़ुण परमेश्‍वरै मौरै औन्दै मांझ़िआ कु ज़िउंदौ कियौ आ, मतलब कि यीशु ज़ुण आमु हुणै वाल़ै फैसलै कु बौच़ावा सा। "
1TH,2,1,"ओ मैरै प्यारै साथी विश्वासिउओ, तुमै आपु ई ज़ाणाई कि आमारौ तुमु काऐ आशणौ फाइदा रौ काम हुऔ आ, "
