Book,Chapter,Verse,Text
HEB,1,1,"पैहलै जुगा दी परमेश्‍वरै बाब-दादा कु मोकती बारै और अलग-अलग तरिकै कौरीऐ भविष्यवक्तु रै ज़ौरिऐ बुशै लाई, "
HEB,1,2,पर इऊं आखरी दीनु दी आमुकु छ़ोहरु रै ज़ौरिऐ बुशै लाई। परमेश्‍वरै आपणै छ़ोहरु रै ज़ौरिऐ सारी सृष्टी चाणी और सेऊ सारी चीज़ैऊ रौ हक्क्कदार चाणौ। 
HEB,1,3,सेऊ छ़ोहरु ई परमेश्‍वरा री महिमा रौ प्याशौ आ और सेऊ छ़ोहरु हर तरिकै कु तेसी ज़िणौ आ। और सेऊ आपणी शक्ति रै वचना कौरी सारी सृष्टी मज़बूत चाणी छ़ाड़ा आ। सेऊ लोगु रै पाप धोइयौ उंच़ी ज़ागाह माथै परमेश्‍वरा री सुल़टी भिलै बोशौ। 
HEB,1,4,"एथीलै परमेश्‍वरै छ़ोहरु कै इणौ नाऊं दैऔ ज़ो सौरगदूतु कु भौरी उंच़ौ आ, ज़ासरै ज़ौरिऐ आमै इणौ देखी कि छ़ोहरु तिउंकु भौरी महान आ। "
HEB,1,5,"कैलैकि परमेश्‍वरै आपणै केज़ै भी सौरगदूतु लै केबी भी इणौ नाईं बोलौ कि, “तू मैरौ छ़ोहरु ई,” आज़ हाऊं पौगड़ौ कौराऊ कि तू मैरौ छ़ोहरु ई। और तौंइऐ तिणीऐ इऐ बूश कासी सौरगदूता लै नाईं बोली कि, “हाऊं तेसरौ बाब बौणा ऊ, और तू बौणा ई मैरौ छ़ोहरु।” "
HEB,1,6,"और ज़ेबी परमेश्‍वरै आपणौ महान छ़ोहरु इऐं दुनिया दी भेज़ौ, ता सेऊ बोला आ, “परमेश्‍वरा रै सारै सौरगदूत तेसरी महिमा कौरा।” "
HEB,1,7,"और सौरगदूता रै बारै दी इणौ बोला आ, “सेऊ आपणै दूतु लै बागुरा ज़िणै, और आपणै सेवक आगी रौ ज़ौहरा ज़िणौ चाणा आ।” "
HEB,1,8,"पर छ़ोहरु रै बारै दी बोला आ, “ओ परमेश्‍वर तेरी राज़गाद्दी जुगा-जुगा झ़ांऊ रौआ आ। धार्मिकता आइलै तू आपणै राज़्य माथै राज़ कौरा ई। "
HEB,1,9,"तांइऐ आच़्छ़ै कामा कु प्यार और बुरै कामा कु नफरत छ़ाड़ी। एथरी वज़ाह कु हाऊं, तैरै परमेश्‍वरै, तैरै साथीऊ कु बौड़ियौ खुशी रै तेला कौरी तैरौ अभिषेक कियौ।” "
HEB,1,10,"और पवित्रशास्त्र भी बोला आ कि, “ओ प्रभु, सौभी कु पैहलै तांइऐ धौतरी चाणी, और सौरग तैरै हाथा री कारीगरी आ। "
HEB,1,11,"सै ता नाश हुणै ई। पर तू सौदा लै रौआ ई, और सै सारै जुड़कै ज़िणै पुराणै हुआई। "
HEB,1,12,"और तू तिऊं च़ादरु भाशीऐ मेटा ई, और सै जुड़केऊ भाशीऐ बौदल़िआई पर तू केबी ना बौदलिंदौ और तू केबी भी खातम नाईं औन्दौ।” "
HEB,1,13,"और परमेश्‍वरै सौरगदूतु मांझ़िऐ कु कासी लै केबी नाईं बोलौ कि, “तू मेरी सुल़टी भिलै इज़्ज़ता री ज़ागाह दी बोश, ज़ेबी झ़ांऊ कि हाऊं तैरै दुश्मनु तैरै वशा दी ना कौरु।” "
HEB,1,14,"का सारै सौरगदूत सेवा टहल कौरना लै छ़ांटी ऐन्दी आत्माऐं नाईं, कि सै तिउंरी सेवा कौरा ज़ो छ़ुटकारौ पाइणै वाल़ेई? "
HEB,2,1,"एथीलै आमुकै ज़ो खुशी री खौबर मिली आ तेथ माथै भौरी ध्यान दैणौ च़ांई, कैलैकि इणौ ना च़ांई थौ हुऔ कि आमै सौच़्च़ाई री बाटा कु पोरु भौटका। "
HEB,2,2,"कैलैकि यहुदी लोगुऐ तिऊं नियमा माथै विश्वास कियौ ज़ो परमेश्‍वरै सौरगदूतु रै ज़ौरिऐ मुसा लै दै थै। ज़ेबी सै सौच़्च़ै साबित हुऐ ता हर गुनाह और हुकम नाईं मानणै वाल़ेऊ लै परमेश्‍वरै सौज़ा देई, "
HEB,2,3,ता आमै पा किणै बौच़ी सौकी अगर आमै एस महान छ़ुटकारै री बेइज़्ज़ती कौरुलै? एस महान छ़ुटकारै रै बारै दी आमुकै प्रभु यीशु रै ज़ौरिऐ पौतौ लागौ आ। और च़ेलै ज़ुणीऐ सारेऊ कु पैहलै सेऊ शुणौ आमु माथै पौगड़ौ कियौ कि एऊ सौच़्च़ौ आ 
HEB,2,4,"और साथाई परमेश्‍वरै भी आपणी इच़्छ़ा रै मुताबिक निशाण, और नोखै काम, और कई रौंगा रै शक्ति वाल़ै काम, और पवित्र आत्मा रै वरदान बाण्डणा रै ज़ौरिऐ एथरी गवाही दैंदै थाकौ लागी। "
HEB,2,5,परमेश्‍वरै तिंया आशणै वाल़ी धौतरी रौ हक्क्क सौरगदूतु कै नाईं बल्कि प्रभु यीशु कै दैऔ आ। इऐ सेई धौतरी आ ज़ासरी आमै बुशै लाइंदै ई लागै औन्दै। 
HEB,2,6,"पवित्रशास्त्र एकी ज़ागाह दी इणी गवाही दिया आ कि, “आदमी का सा, कि तू तेस याद कौरा? या आदमी री सन्तान का सा, ज़ासरौ तू ध्यान छ़ाड़ा? "
HEB,2,7,"ताइंऐ सै शक्ति दी सौरगदूतु कु थोड़ौ कम कियौ। ताइंऐ तिउंलै राज़ै ज़िणी बौड़ाई और इज़्ज़त देई, और तेसलै आपणै हाथा रै कामा माथै हक्क्क दैऔ। "
HEB,2,8,"परमेश्‍वरै सारौ कुछ़ आदमी रै वशा दी कौरी ऐरौ आ।” एथीलै ज़ैबै तिणीऐ सारौ कुछ़ तिउंरै वशा दी कौरी ऐरौ, ता तिंउऐ कुछ़ भी नाईं छ़ाड़ौ, ज़ो तिउंरै वशा दी नाईं हुऔ, पर सौच़्च़ाई इऐ आ कि आमै आज़ भी सब कुछ़ लोगु रै वशा दी नाईं देखदै। "
HEB,2,9,"पर आमै यीशु ज़ो सौरगदूता कु थोड़ै बौगता लै कुछ़ ई कम की ऐरौ थौ, मौउता रै दु:ख उठाउणै री वज़ाह कु बौड़ाई और इज़्ज़ता रौ ताज़ भिड़ौ औन्दौ देखी ई। ताकि परमेश्‍वरा री बौड़ी दया कौरी सेऊ हर एक आदमी लै मौरा। "
HEB,2,10,"कैलैकि परमेश्‍वरै सारौ कुछ़ चाणौ और सारौ कुछ़ तेसी रौ आ, तेसकै इणौ ई आच़्छ़ौ लागौ कि ज़ेबी सेऊ भौरी लोगु बौड़ाई दी पौउंच़ावा, ता तिंउरै छ़ुटकारै लै बाट त्यार कौरीयौ तेथी दी तिउंरी अगुवाई कौरा। "
HEB,2,11,"कैलैकि ज़ुण लोगु तिउंरै पापा कु शुद्ध कौरा आ और ज़ो लोग पापा कु शुद्ध कौरीया ई, तिऊं सारेऊ रौ बाब एका सा, एथीलै यीशु तिउंलै आपणै भाई-बौइणी बोलणा लै नाईं शौरमिंदौ। "
HEB,2,12,"और यीशु परमेश्‍वरा लै बोला आ, “हाऊं आपणै लोगु कै बोलाऊ कि ताऐं मुलै केतरै भौलै काम किऐ ई, आराधना री खुंबल़ी मांझ़िऐ हाऊं तेरी महिमा कौराऊ।” "
HEB,2,13,"और तौंइऐ सेऊ बोला आ, “हाऊं तेस माथै भरोसौ छ़ाड़ाऊ।” और तौंइऐ इणौ बोला आ, “इदै हाऊं तिऊं लोगु आइलै ऊ ज़ो परमेश्‍वरै ई मुकै दैऔ औन्दै।” "
HEB,2,14,"कैलैकि ज़ासलै परमेश्‍वर आपणै लोग बोला आ, सै इन्सान ई, यीशु मसीह हर तरिकै दी आमु ज़िणौ बौणौ और दुनिया दी आशौ, ताकि तेसरी मौउता रै ज़ौरिऐ शैतान ज़ासकै मौउता माथै हक्क्क आ नाष हुआ। "
HEB,2,15,"और ज़ेती मौउता रै डौरा कु ज़िन्दगी भर गुलामी दी थै फौसै औन्दै, यीशु तिऊं पोरु छ़ुड़ावा। "
HEB,2,16,कैलैकि यीशु ता सौरगदूतु नाईं पर अब्राहम रौ वंश सौंभाल़ा सा। 
HEB,2,17,"एज़ी वज़ाह कु तेसलै च़ांई थौ, कि सारी बुशु दी दुजै लोगु ज़िणै बौणा। ज़ासकु सेऊ तिऊं बुशु दी ज़ो परमेश्‍वरा आइलै मेल छ़ाड़ा सा, एक दया कौरणै वाल़ौ और विश्वासा रै लायक परधान याजक बौणा ताकि लोगु रै पापा लै माफी मांगा। "
HEB,2,18,"कैलैकि ज़ेबी यीशुऐ परिक्षा री हालता दी दुःख उठाऔ, ता सेऊ तिउंरी भी मज़द कौरी बौल़ा सा, ज़ासरी परिक्षा हुआ सा। "
HEB,3,1,"एथीलै ओ साथी विश्वासिउओ, तुमै ज़ो सौरगा दी तेसकु मिलणा लै ई औटाऐ औन्दै, तेस माथै ध्यान कौरौ ज़ुण प्रेरित और परधान याजक यीशु माथै ज़ास आमै मानी ई। "
HEB,3,2,"ज़िणौ मुसा परमेश्‍वरा रै सारै घौरा दी विश्वास वाल़ौ रौ थौ, तिणी ई यीशु भी आपणै छ़ांटणै वाल़ै परमेश्‍वरा लै विश्वासा रै लायक रौऔ। "
HEB,3,3,"पर यीशु मुसा कु एती बौड़ियौ बौड़ाई रै लायक सौमझ़ौ आ, ज़ेती कि घौरा रौ चाणनै वाल़ौ घौरा कु बौड़ियौ इज़्ज़ता रै लायक आ। "
HEB,3,4,"कैलैकि हर एक घौरा रौ कोई ना कोई चाणनै वाल़ौ हुआ सा, पर ज़ुणिऐ सारौ कुछ़ चाणौ सेऊ परमेश्‍वर आ। "
HEB,3,5,"मुसा ता परमेश्‍वरा रै सारै घौरा दी सेवका ज़िणौ विश्वासा रै लायक रौऔ, कि ज़ो बुशै शुणाउणै वाल़ी थी, तिऊं री गवाही दिया। "
HEB,3,6,"पर मसीह छ़ोहरु ज़िणौ परमेश्‍वरा रै घौरा रौ हक्क्कदार आ, और सेज़ौ घौर आमै आपु ई, अगर आमै मज़बूत विश्वास और आशा आखरी झ़ाऊं मज़बुती कौरी थांबी छ़ाड़ी लै। "
HEB,3,7,"एथीलै ज़िणौ परमेश्‍वरै आपणी आत्मा रै ज़ौरिऐ बोला आ, “अगर आज़ तुमै परमेश्‍वरा री बाच़ शुणौ, "
HEB,3,8,"ता आपणै मन काठौ नाईं कौरौ, ज़िणौ तुमारै स्याणेउऐ तिऐं सुनसान ज़ागाह दी इम्तहाना रै बौगतै बगावत की थी। "
HEB,3,9,तिऐ तुमारै स्याणेउऐ चालिस साला झ़ांऊ मैरै महान काम देखणै बासीऐ भी धौमकी देइयौ हाऊं पौरखौ ऊ। 
HEB,3,10,"एज़ी वज़ाह कु हाऊं सेज़ै बौगतै रै लोगु कु नाराज़ रौऔ, और बोलौ, ‘तिंउऐ हाऊं नाईं अपणाऔ, और ज़ेज़ै काम कौरणै रौ हुकम मुइंऐ तिउंलै दैऔ आ, सै नाईं मानै।’ "
HEB,3,11,"तैबै मुंइऐ रोशा दी आशीयौ कसम खाई कि, ‘सै मैरै आरामा री ज़ागाह दी नाईं आशी बौल़दै।’ ” "
HEB,3,12,"ओ साथी विश्वासिउओ, च़ोकसिऐ रौऔ कि तुमु मांझ़िऐ इणौ बुरौ और अविश्वासी नाईं च़ांई हुऐ, ज़ो तुमु ज़िउंदै परमेश्‍वरा कु दूर कौरा सा। "
HEB,3,13,"हर दिन एकी दुजै सौमझ़ाउंदै लागी रौऔ ज़ेबी झ़ांऊ तुमुकै मौकौ, इणौ नाईं च़ांई हुऔ, कि तुमु मांझ़िऊ कु कोई आदमी पापा रै ज़ाल़ा दी आशीयौ काठौ बौणा। "
HEB,3,14,अगर आमै आखरी झ़ाऊं मज़बुती आइलै आपणै पैहलै विश्वास थांबी छ़ाड़ी ई ता आमै मसीह रै साज़ी बौणी ई। 
HEB,3,15,"ज़िणौ पवित्रशास्त्रा दी आ लिखौ औन्दौ, “अगर तुमै आज़ तेसरी बाच़ शुणौ, ता आपणै ज़िऊ काठै ना कौरौ, ज़िणौ कि रोश दिलाउणै रै बौगतै कियौ थौ।” "
HEB,3,16,"भौलौ, कुणी लोगुऐ परमेश्‍वरा री बाच़ शुणियौ भी तेस आइलै बगावत की आ? का तिऊं इस्राइलिउऐ नाईं, ज़ुण मुसा रै ज़ौरिऐ मिस्रा कु आज़ाद हुऐ थै? "
HEB,3,17,"और सेऊ चालिस बौरशा झ़ांऊ कास लोगु कु रोशुई रौऔ? का तिंऊ कु नाईं, ज़ुणिऐ पाप कियौ, और तिउंरी लाशै सुनसान ज़ागाह दी पौड़ी रौई? "
HEB,3,18,"और परमेश्‍वरै कास आइलै कसम खाई, कि तुमै मैरै आरामा रै दिनै दी नाईं आशी बोलदै? सिरफ तिऊंकु ज़ुणिऐ हुकम ना मानौ। "
HEB,3,19,"एथीलै आमै देखी ई, कि सै अविश्वासा री वज़ाह कु आरामा री ज़ागाह दी नाईं आशी बौल़ै। "
HEB,4,1,"परमेश्‍वरा रै आरामा री ज़ागाह दी डेऊणै रौ वायदौ इबी झ़ांऊ आ। ता आमु खौबरदार रौउणौ च़ांई, कि तुमु मांझ़िऐ कु कोई भी लोग अयोग्य ना बौणा कि तिऐ ना डेई सौका। "
HEB,4,2,कैलैकि आमुकै भी तिऊं इस्राइली लोगु ज़िणौ खुशी री खौबर शुणाई। पर तिऊं लोगु लै शुणै औन्दै वचना कु कोई फाइदौ ना हुऔ। कैलैकि तिऊं लोगुऐ वचन विश्वासा आइलै ना अपणाऔ। 
HEB,4,3,"पर एथीलै आमुऐ, ज़ुणिऐ परमेश्‍वरा रै वचना माथै विश्वास कियौ आ, तिऐं आरामा री ज़ागाह दी डिआई। ज़िणौ तिऊं ओरीऊ लै परमेश्‍वरै बोलौ, “मुंइऐ आपणै रोशा दी कसम खाई कि, ‘सै मैरै आरामा री ज़ागाह दी नाईं आशी बौल़दै।’ ” हालांकी धौतरी रै बौणनै रै बौगता कु तेसरै काम पुरै हुई गौऐ थै। "
HEB,4,4,"कैलैकि सातवै दिना रै बारै दी पवित्रशास्त्रा दी इणौ आ लिखौ औन्दौ कि, “परमेश्‍वरै सातवै दिनै आपणै सारै काम खातम कौरीयौ आराम कियौ।” "
HEB,4,5,"आमुऐ इणौ भी पौड़ौ कि, “सै मैरै आरामा री ज़ागाह दी नाईं आशी बौल़दै।” "
HEB,4,6,"ता इऐ बूश पाक्की आ कि कुछ़ लोगु लै आरामा री ज़ागाह दी आशणै री आबै भी खुली आज़ादी आ, और ज़ासकै तेसरी खुशी री खौबर पैहलै शुणाई आ सै हुकम ना मानणै री वज़ाह कु आरामा री ज़ागाह दी नाईं आशी बौल़ै, "
HEB,4,7,"एथीलै सेऊ केज़ौ खास दिन ठहराइयौ एती दिना बासिऐ दाऊदा री किताबी दी तेसलै “आज़ कौ दीन” बोला सा। ज़िणौ पैहलै बोलौ, “अगर आज़ तुमै तेसरी बाच़ शुणा लै, ता आपणौ मन काठौ ना कौरौ।” "
HEB,4,8,"अगर यहोशु इस्राइलिऊ परमेश्‍वरा रै वायदै रै मुताबिक आरामा री ज़ागाह दी निआं, ता तेथ बासिऐ दुजै दिनै री बुशै नाईं हुआ थी। "
HEB,4,9,एथीलै इणौ ज़ाणौ कि परमेश्‍वरा रै लोगु लै इबी भी सातवै दिना रौ आरामा बाकी आ। 
HEB,4,10,"कैलैकि ज़ुण तेसरै आरामा दी डेवै, तिणीऐ भी परमेश्‍वरा ज़िणै आपणै काम पुरै कौरीयौ आराम कियौ आ। "
HEB,4,11,"एथीलै आमुऐ तिऐं आरामा री ज़ागाह दी डेऊणै री कोशिष च़ांई कौरणी, किऐ इणौ ना च़ांई हुऔ कि कोई आदमी तिऊं ज़िणै हुकम ना मानियौ पोरु लोटा। "
HEB,4,12,"कैलैकि परमेश्‍वरा रौ वचन ज़िउंदौ और असरदार आ, सेऊ केज़ी भी दुई धारी वाल़ी तलवारा कु भी पोइनौ आ। और प्राण और आत्मा, गांठ-गांठ और गुदै-गुदै अलग कौरीयौ आर-पार छ़ोपा और मौना रै सोच़ और विच़ार पौरखा। "
HEB,4,13,"दुनिया री कोई भी च़ीज़ परमेश्‍वरा कु च़ोरुई ऐन्दी नाईं आसती। पर तेसरी आखिऊ काऐ सारी च़िज़ै खुली और पौगड़ी ई, तेसकै आमुऐ लेखौ जा दैणौ। "
HEB,4,14,"यीशु ज़ुण सौरगा दी डैऔ, मतलब परमेश्‍वरा रौ छ़ोहरु यीशु, सेऊ आमारौ परधान याजक आ। ता आशौ, आमै आपणौ विश्वास ज़ो आमै मानी ई काठै कौरी थांबी छ़ाड़ी। "
HEB,4,15,"कैलैकि आमारौ इणौ परधान याजक नाईं ज़ो आमारी कमज़ोरी दी आमु आइलै दुखी ना हुई बौल़ा। पर सेऊ सारी बुशा दी आमु ज़िणौ ता पौरखुऔ, तैबै भी सेऊ बिण पापा रौ निकल़ौ। "
HEB,4,16,"एथीलै आशौ, आमै हिम्मत कौरीयौ परमेश्‍वरा रै काऐ डेई, ज़ुण बौड़ी दया कौरीऐ आ भौरुऔ औन्दौ तैबै परमेश्‍वर आमु माथै दया और किरपा देखावा, और ज़ुण ज़रुरता रै बौगता दी आमारी मज़द कौरा। "
HEB,5,1,"हर एक परधान याजक लोगु मांझ़िऐ कु छ़ांटिया आ, और लोगु लै तिऊं बुशु रै बारै दी ज़ो परमेश्‍वरा कु मेल छ़ाड़ा, मानौ औन्दौ कि भेंट और पापा री बौल़ी कौरदै थाका लागी। "
HEB,5,2,"कैलैकि सेऊ आपु ई कमज़ोरी रै वशा दी आ एथीलै सेऊ बिणा औकली वाल़ै, और भुलै भौटकै औन्दै लोगु आइलै कौंउल़िऐ आच़्छ़ौ बर्ताव कौरी सौका। "
HEB,5,3,"परधान याजक हुणै रै नातै तेसलै ज़ुरुरी आ कि, ज़िणौ लोगु लै तिणौ ई आपुलै भी पापा री बौल़ी च़ौड़ावा। "
HEB,5,4,"इऐ इज़्ज़ती री ज़ागाह कोई आपु कु नाईं निंदौ, ज़ेबी झ़ांऊ कि हारुना ज़िणौ परमेश्‍वरा री तौरफा कु छ़ांटिया नाईं लौ। "
HEB,5,5,"तिणौ ई मसीहै भी परधान याजक बौणनै री बौड़ाई आपु कु नाईं कौरी, पर तेसलै तिणीऐ देई, ज़ुणिऐ तेसलै बोलौ थौ, “तू मैरौ छ़ोहरु ई, आज़ हाऊं पौगड़ौ कौराऊ कि, हाऊं तैरौ बाब ऊ।” "
HEB,5,6,"एथीलै इणी ई सेऊ दुजै ज़ागाह दी भी बोला कि, “तू मलिकिसिदका री रीती माथै सौदा लै याजक आ।” "
HEB,5,7,"यीशुऐ धौतरी दी रौइणै रै बौगता दी ज़ोर-ज़ोरै, औटाई-औटाइयौ और लेरी-लेरीयौ परमेश्‍वरा कु ज़ो तेस मौउता कु बौच़ाई सौका थौ, प्राथना और औरज़ की, और भौक्ती री वज़ाह कु तेसरी शुणी। "
HEB,5,8,"हालांकि यीशु परमेश्‍वरा रौ छ़ोहरु थौ, तैबै भी तिणीऐ दुःख उठाई-उठाइयौ हुकम मानणौ शिखौ, "
HEB,5,9,"और पाकौ बौणीयौ, आपणै सारै हुकम मानणै वाल़ेउ लै सौदा छ़ुटकारै री वज़ाह हुई गौ, "
HEB,5,10,और तेसलै परमेश्‍वरा री तौरफा कु मलिकिसिदका री रीती माथै परधान याजका री ज़ागाह मिला। 
HEB,5,11,"एथरै बारै दी आमुऐ भौरी का बुशै लाइणी ई, पर इउंरौ सौमझ़ाउणौ भी कठिण आ, कैलैकि तुमै उंच़ौ शुणदै लागी गौऐ ई। "
HEB,5,12,"सौच़्च़ी इबी झ़ाऊं ता तुमु गुरु बौणनौ च़ांई थौ। पर तुमुकै ता इबी भी कास इणै आदमी री ज़ुरत आ, ज़ुण तुमुकै दुजी बारै परमेश्‍वरा री शिक्षा री पैहली बुशै शिखावा। तुमै ता इणै हुई गौऐ आ कि तुमुलै नाज़ा रै बौदल़ै इबी झ़ांऊ दूध ई च़ांई। "
HEB,5,13,"दूध पिणै वाल़ै लोल़डेऊ लै ता धार्मिक्ता री शिक्षा री पैहच़ाण नाईं औन्दी, कैलैकि सेऊ ता लोल़डौ आ। "
HEB,5,14,"पर नाज़ बौड़ेऊ लै आ, ज़ासरी ज्ञाना री सौमझ़ भ्यास कौरदै-कौरदै भौलै-बुरै दी भेद कौरणै दी पाकै हुई गोई आ। "
