Book,Chapter,Verse,Text
2PE,1,1,हाऊं शमौन पतरस ज़ुण यीशु मसीह रौ दास और प्रेरित ऊ तुमुलै लिखाऊ। हाऊं तिऊं सारेऊ लै लिखा ज़ुणिऐ आमारै परमेश्‍वर और छ़ुटकारै देणै वाल़ै यीशु मसीह री धार्मिकता रै ज़ौरिऐ आमु ज़िणौ किमत्ती विश्वास पाऔ आ। 
2PE,1,2,"हाऊं प्राथना कौराऊ कि ज़िणौ तुमै परमेश्‍वर और आमारै प्रभु यीशु रै ज्ञाना दी बौड़दै लागै औन्दै, ता परमेश्‍वर तुमुलै ज़ादै कु ज़ादी बौड़ी दया और शान्ति दिया। "
2PE,1,3,"परमेश्‍वरै आपणी शक्ति रै ज़ौरिऐ आमुकै भौक्ती वाल़ी ज़िन्दगी ज़िउणा लै सै सारी च़िज़ै देई गोई, ज़ेथकु सेऊ खुश औआ आ। इणौ हुई सौका आ कैलैकि आमै ज़ाणी ई परमेश्‍वरा सा सेऊ ज़ुणिऐ आमै आपणी महिमा और सदगुणा रै ज़ौरिऐ आमै आपणै लोगु औणा लै औटाऐ ई। "
2PE,1,4,"ज़ेथरै ज़ौरिऐ तिणीऐ आमुलै भौरी किमती और महान वायदौ दैऔ आ। ताकि आमै दुनिया री बुरी इच़्छ़ा कु बौच़ा, ज़ो लोगु नाष कौरा सा, और परमेश्‍वरा रै स्वभाव दी शामिल औआ। "
2PE,1,5,"एज़ी वज़ाह कु तुमै पाक्कौ कौरौ कि तुमै ना सिरफ मसीह माथै विश्वास कौरदै पर आच़्छ़ी ज़िन्दगी ज़िउंदै भी लागै औन्दै। तुमै सिरफ तेसी ना कौरौ ज़ो आच़्छ़ौ आ, पर तुमै इणै आदमी बौणौ ज़ुण ज़ाणा सा कि किणी सौमझ़दारी कौरी च़ांई बरताव कौरणौ। "
2PE,1,6,"तुमुकै ना सिरफ सौमझ़दारी रौ पौतौ च़ांई हुऔ, बल्कि आपु माथै काबु भी छ़ाड़ौ। ना सिरफ आपु माथै काबु पर मुसीबता दी सौबर च़ांई छ़ाड़णी। ना सिरफ सौबर, बल्कि तुमु इणी ज़िन्दगी च़ांई ज़िउणी ज़ेथ कौरी परमेश्‍वर खुश औआ सा। "
2PE,1,7,और ना सिरफ इणी ज़िन्दगी ज़िउणी पर आपु मांझ़िऐ भाईच़ारौ छ़ाड़ौ। और ना सिरफ आपु मांझ़िऐ भाईच़ारौ पर सारै लोगु आइलै भी प्यारा कौरौ। 
2PE,1,8,"अगर तुमु दी इऐ गुण मौज़ूद ई और तुमु दी इऐ गुण बौड़दै ई लागै औन्दौ, ता एथरी वज़ाह कु तुमै आमारै प्रभु यीशु मसीह रै ज्ञाना दी निकामै और निष्फल नाईं औन्दै। "
2PE,1,9,"कैलैकि ज़ासदी इऐ बूशै नाईं, सेऊ शेड़ौ आ, ज़ुण धुन्धलौ देखा आ, और सेऊ आपणै पुराणै पापा कु शुद्ध हुणौ बिसरी गौ आ। "
2PE,1,10,"एज़ै कारणै ओ मैरै प्यारै साथी विश्वासिउओ, तुमै आपुकै और दुजै लोगु कै देखाउणा लै औज़ौ भी आच़्छ़ै तरिकै कौरीऐ बरताव कौरणै री कोशिष कौरौ कि परमेश्‍वरै सौच़्च़ी ई तुमै चुनै ई और तुमै आपणै लोग औणा लै औटाऐ ई। अगर तुमै इणौ कौरा ई ता तुमै पाक्कैऐ केबी भी परमेश्‍वरा कु अलग नाईं औणै। "
