Book, Chapter, Verse, Text
"JHN","1","1","सृष्टिया ते बौहत पैहले बचन था, कने बचन परमेशरा सौगी था, कने बचन इ परमेशर था।"
"JHN","1","2","सै सृष्टिया ते बौहत पैहले परमेशरा रे सौगी था।"
"JHN","1","3","दुनियां री हर इक चीज़ परमेशरे तिसरे जरिये बणाई, कने येढ़ी कोई चीज नीं सै जे परमेशरे तिसते बगैर बणाई।"
"JHN","1","4","ये सैई वचन आ तिने जे हरेक प्राणिये जो जीवन दित्या कने सै अहां पर परमेशरा रिया सच्चाईया जो तियां प्रगट कराँ जियां जे ज्योति अन्धकारा रियां चीज़ां जो प्रगट कराँ इ।"
"JHN","1","5","लोक नीं चाहन्दे भई तिन्हांरियां बुराईयां सामणे आओ, ठीक तियां इ तियां जे अन्धकार बुराई, पर तियां जे अन्धकार ज्योतिया जो नीं दबाई सकदा तियां इ दुष्ट तिसरिया ज्योतिया ने भरीरे माहणुये जो परमेशरा री सच्चाई सामणे ल्यौणे ते नीं रोकी सकदा।"
"JHN","1","6","परमेशरा रा भेज्जिरा इक माहणु आया तिसरा नौं जे यूहन्ना था।"
"JHN","1","7","सै गवाह बणीने आया भई सै लोकां जो ज्योतिया रे बारे च गवाही देई सक्को, ताकि सारे लोक तिसरे जरिये तिस पर विश्वास करी सक्को।"
"JHN","1","8","सै अप्पूँ त ज्योति नीं था, पर तिसरी गवाही देणे खातर आईरा था सै जे ज्योतिया साई आ।"
"JHN","1","9","सच्ची ज्योति इस संसारा च औणे औल़ी थी सै जे हर इक माहणुये जो अपणे ज्ञाना च चमकांई।"
"JHN","1","10","यनिके सै, सै जे ज्योतिया साई आ संसारा ची था, कने संसार कने तिसरी हरेक चीज़ तिसरी ही बणाईरी, पर लोकें फेरी भीं तिस्सो नीं पछयाणया।"
"JHN","1","11","सै अपणयां लोकां च आया काँह्भई तिन्हांजो तिने रचीरा था, पर तिन्हें बी तिस्सो ग्रहण नीं कित्या।"
"JHN","1","12","पर जितणयां जे तिस्सो ग्रहण कित्या, तिने तिन्हांजो परमेशरा री सन्तान हुणे रा अधिकार दित्या, यनिके तिन्हांजो सै जे तिस पर विश्वास रखां ये।"
"JHN","1","13","तिसरे अन्दर नांत खानदानी खून था, नां तिसरे जमणे च माता-पिता री कोई योजना थी, कने नांई मर्दा री कोई इच्छा थी, पर परमेशरा री इच्छा थी।"
"JHN","1","14","कने वचन शरीरा रा रूप लेईने आया; तिने अनुग्रह कने सच्चाईया ने भरी ने अहांरे बिच बास कित्या, कने अहें तिसरी येढ़ी महिमा देक्खी, तेढ़ी जे पिता रे इकलौते पुत्रा री महिमा हुआं इ।"
"JHN","1","15","यूहन्ने तिसरे बारे च गवाही दित्ती, कने जोरा ने बोल्या, “येई हाया सै, तिसरा जे मैं बखान कित्या भई सै जे मेरे बाद तुहांजो प्रचार करने आई कराँ, सै सामर्था च माहते बधी नेआ, काँह्भई सै माहते पैहले था।”"
"JHN","1","16","तिस रिया दया री परिपूर्णता ते अहें सब्बीं आशीषां पर आशीष पाई।"
"JHN","1","17","अहांजो व्यवस्था देणे औल़ा मूसा था, पर अनुग्रह कने सच्चाई परमेशरे अहांजो यीशु मसीह रे जरिये दस्से।"
"JHN","1","18","परमेशरा जो किने बी कदीं नीं देक्खया, इकलौता पुत्र सै जे मसीह यीशु आ, तिसरा जे पिता ने बड़ा गैहरा रिस्ता, तिने इ अपणे पिता जो अहां सब्बीं पर परगट कित्या।"
"JHN","1","19","यूहन्ने री गवाही येई, भई ताहली जे यहूदी अगुवेयां यरूशलेम ते याजकां कने लेवियां जो तिसते ये पुछणे खातर भेज्या भई “तू कुण आ?”"
"JHN","1","20","इस खातर तिने तिन्हांने सच्च बोल्या कने साफ गलाईत्या, भई “हऊँ मसीह नीआं।”"
"JHN","1","21","फेरी तिन्हें यूहन्ने ते पुच्छया, “जे तू मसीह नींआ तां सच्च क्या? क्या तू एलिय्याह भविष्यवक्ता?” तिने जबाब दित्या, “नां, हऊँ सै नीआं।” यहूदियें इक होर स्वाल कित्या, “तां क्या तू सै भविष्यवक्ता?” तिने जबाब दित्या “नां।”"
"JHN","1","22","तां तिन्हे तिसते पुच्छया, “फेरी तू हाया कुण? अहांजो दस्स ताकि तिन्हें जे अहांजो तुहांरे बारे च पता करने भेजीरा, अहें तिन्हाजो जबाब देई सक्को।”"
"JHN","1","23","तिने गलाया, तियां जे यशायाह भविष्यवक्ते गलाईरा, “हऊँ तिस साई आ सै जे येढ़िया जगह च प्रचार करी राँ तित्थी जे तिसरी अवाज़ कोई नीं सुणो: भई परमेशरा रे औणे खातर खुद अप्पूँजो तियां त्यार करा तियां जे किसी खास माहणुये रे औणे खातर लोक रस्ता त्यार कराँ ये।”"
"JHN","1","24","ये लोक फरीसियें भेज्जीरे थे।"
"JHN","1","25","तिन्हे तिसते ये स्वाल पुच्छया, भई “जे नां तू मसीह आ, न एलिय्याह, कने नांई सै भविष्यवक्ता, तां फेरी लोकां जो बपतिस्मा कजो देआं?”"
"JHN","1","26","तिन्हांजो जबाब देन्दे हुये यूहन्ने गलाया, “हऊँ त पाणिये ने बपतिस्मा देआं, पर तुहांरे बिच इक माहणु खड़ीरा तिस्सो जे तुहें नीं जाणदे।"
"JHN","1","27","यनिके ये सैई हाया तिस जे मेरते बाद तुहांजो प्रचार करना, हऊँ तिसरे मुकावले किछ बी नींआ, सै इतणा खास आ भई हऊँ इक्की सेवका रा सब्बीं ते छोट्टा काम्म तिस खातर करना चाओ, तां बी लायक नींआ।”"
"JHN","1","28","ये गल्लां यरदन नदिया रे पार बैतनिय्याह नगरा च हुईयां, तित्थी जे यूहन्ना बपतिस्मा देआं था।"
"JHN","1","29","दुज्जे दिन तिने यीशुये जो अपणी तरफ औन्दे देक्खीने गलाया, “देक्खा, ये परमेशरा रा मेमना सै जे संसारा रा पाप अपणे ऊपर लेई जां।"
"JHN","1","30","ये सैई आ तिसरे बारे च मैं गलाया था, ‘इक माहणु तिस जे मेरे बाद तुहांजो प्रचार करना सै सामर्था च माह्ते बी बड्डा, काँह्भई सै माह्ते पैहले था।’"
"JHN","1","31","हऊँ खुद तिस्सो पछयाणदा बी नीं था भई सै मसीह था, पर इस खातर हऊँ पाणिये ते बपतिस्मा देन्दा हुआ आया भई इस्राएल रे लोक तिस्सो जाणी लो।”"
"JHN","1","32","फेरी यूहन्ने ये गवाही दित्ती : “मैं आत्मा जो कबूतरा साई स्वर्गा ते उतरदे देक्खया, कने सै तिस पर टिकिग्या।"
"JHN","1","33","हऊँ त तिस्सो पछयाणदा बी नीं था, भई सै मसीह था, पर तिने जे मिन्जो पाणिये ते बपतिस्मा देणे जो भेज्जीरा, तिने इ माहने गलाया, ‘तिसरे ऊपर जे तू आत्मा जो औंदे कने टिकदे देक्खो, सैई पवित्र आत्मा ते बपतिस्मा देणे औल़ा।’"
"JHN","1","34","कने मैं देक्खया, कने हऊँ तुहाँजो सच्च बोलां भई येई परमेशरा रा पुत्र आ।”"
"JHN","1","35","दुज्जे दिन फेरी यूहन्ना कने तिसरे चेलयां चते दो लोक खड़ीरे थे,"
"JHN","1","36","कने तिने यीशुये जो सामणे जान्दे हुये देक्खया कने गलाया, “देक्खा ये परमेशरा रा मेमना।”"
"JHN","1","37","ताहली जे तिन्हे दुईं चेलयां तिस्सो येढ़ा गलान्दे हुये सुणया तां सै यीशुये रे पिच्छे चली पे।"
"JHN","1","38","कने ताहली जे यीशुये मुड़ीने देक्खया भई सै पिच्छे आई कराँ ये तां तिने तिन्हाते पुच्छया, “तुहांजो क्या चाहिन्दा?” तिन्हे तिसजो जबाब दित्या, “गुरु जी, तुहांरा रैहणे रा ठकाणा किति आ?”"
