Book, Chapter, Verse, Text
"2TH","1","1","हऊँ पौलुस, ये चिट्ठी सिलवानुस कने तीमुथियुस रिया मददा ने थिस्सलुनीकी नगरा रे विश्वासियां जो लिखीराँ, सै जे अहांरे पिता परमेशर कने प्रभु यीशु मसीह रे।"
"2TH","1","2","अहांरे पिता परमेशर कने प्रभु यीशु मसीह तुहांजो अनुग्रह कने शान्ति देओ।"
"2TH","1","3","अहांरे साथी विश्वासियो, तुहांरे खातर अहांजो लगातार परमेशरा रा धन्यवाद करना चाहिन्दा, कने ये ठीक बी आ, काँह्भई मसीह च तुहांरा विश्वास बौहत बधदा जाया राँ, कने तुहांरा प्यार इक्की दुये रे प्रति बधदा जाया राँ।"
"2TH","1","4","इस खातर अहें खुद परमेशरा रिया कलीसियां रे विश्वासियां रे बिच तुहांरे बारे च घमण्ड कराँ ये, हलाँकि तुहें सताव कने दुखां रा अनुभव कराँ ये, फेरी बी तुहें लगातार धीरजा ने सैंये कने तुहें मसीह यीशुये पर बी विश्वास कराँ ये।"
"2TH","1","5","ये सब ये साबित कराँ भई परमेशरा रा न्याय सही आ कने इसरा नतीजा ये हुणा भई तुहें परमेशरा रे राज्जा रे लायक हुणे, तिस खातर जे तुहें दुख बी सैया राँये।"
"2TH","1","6","काँह्भई परमेशर रे खातर सही आ भई सै तिन्हांजो बी पीड़ा देओ सै जे तुहांजो पीड़ा देआंये।"
"2TH","1","7","कने तुहें सै जे पीड़ा सैयां राँये कने अहांजो बी तिस चैन देणा। ये तिस वगत हुणा ताहली जे प्रभु यीशुये अपणे सामर्थी दूतां सौगी, भड़की रिया अग्गी च स्वर्गा ते प्रगट हुणा,"
"2TH","1","8","कने सै जे परमेशरा जो नीं पछयाणदे कने अहांरे प्रभु यीशुये रे खुशखबरिया जो ग्रहण नीं करदे तिन्हाजो तिस सजा देणी।"
"2TH","1","9","सै प्रभुये रिया मौजूदगिया ते हमेशा खातर लग हुई जाणे कने तिसरिया तेजोमय सामर्था च भागी नीं हुणे, कने तिस तिन्हांजो अनन्त विनाशा री सजा देणी।"
"2TH","1","10","ये तिस दिन हुणा, ताहली जे प्रभुये अपणे पवित्र लोकां ते महिमा पाणे कने सब विश्वास करने औल़यां ते आदर पाणे खातर फेरी भीं औंणा; कने तुहां बी तिन्हांरे बिच हुणा काँह्भई तुहें अहांरे सन्देशा पर विश्वास कित्या।"
