Book, Chapter, Verse, Text
"2CO","1","1","मै पौलुस परमेश्‍वर री मर्जी कने मसीह यीशु रा प्रेरित है। ते असां रे विश्वासी भ्याल तीमुथियुस कने कुरिन्थुस शहर बिच परमेश्‍वर री कलीसिया जो ते अखाया प्रदेश रे परमेश्‍वर रे सारे लोक्कां जो ए चिठ्ठी लिख्खेया करदा है।"
"2CO","1","2","असां रे स्वर्ग बिच रैह्णे वाले पिता परमेश्‍वर अते प्रभु मसीह यीशु रे पास्से का तुसी सारेयां जो अनुग्रह अते शांती मिलदी रे।"
"2CO","1","3","असां रे प्रभु यीशु मसीह रे पिता ते परमेश्‍वर रा शुकर करदे, जे दया रा पिता है, ते हमेशा असां जो तसल्ली दिंदे।"
"2CO","1","4","से असां री हर मुसीबत बिच असां जो तसल्ली दिंदे, ताकी असी भी तिन्हा लोक्कां जो तसल्ली देई सकण जे मुसीबत बिच हिन, जिय्यां परमेश्‍वर ने असां जो तसल्ली दित्ती।"
"2CO","1","5","किजोकी असी जिन्ना जादा मसीह यीशु तांइ जुल्म सैह्‍ंदे, परमेश्‍वर तिन्ना ही जादा मसीह यीशु रे जरिये असां जो तसल्ली दिंदे।"
"2CO","1","6","असी इस उम्मीद बिच जुल्म सहन करदे कि जिय्यां परमेश्‍वर ने असां जो तसल्ली दित्ती, तिय्यां ही तिन्हा ने तुसी जो भी तसल्ली दैणी। से तसल्ली मिलणे री वजह कने तुसी भी बड़े सबर कने तिन्हा जुल्म जो सेइ लैणा जिन्हा जो असी भी सहन करेया करदे हिन।"
"2CO","1","7","तुसी तांइ असां जो पूरी उम्मीद है, किजोकी असी जाणदे कि जिय्यां तुसी असां रे जुल्म बिच साझी हुन्दे, तिय्यां ही असां री तिस आस बिच भी तुसी साझी होणा जे परमेश्‍वर ने असां जो दैणी।"
"2CO","1","8","हे मेरे संगी विश्वासियों, असी ए चांह्दे कि तुसी तिन्हा जुल्मां रे बारे बिच जाणो, जे असां जो एशिया प्रदेश बिच झेलणा पे, तित्ते असी असां री सैह्‍णे री ताकत का केई जादा तकलीफ बिच फसी गे थिये, इत्ते तक कि असां रे जिन्दे बचणे री भी कोई उम्मीद नी बची थी।"
"2CO","1","9","बल्कि असी ए मन्नी लेया थिया कि अवे असां जो मारी दित्ता जाणा, पर आखिरकार असी अप्पु रा भरोसा छड्डी करी परमेश्‍वर पर ही पुरे तरिक्के कने भरोस्सा रख्खेया जे मरे रे लोक्कां जो भी जिन्दा करी दिंदे।"
"2CO","1","10","तिन्हा ने असां जो मौत रे बड़े बड्डे खतरे का बचाया, ते अग्गे भी बचाणा। असां ने तिन्हा पर आस रख्खे री है, कि तिन्हा ने असां जो बचांदे रैह्णा।"
"2CO","1","11","तुसी जो भी प्रार्थना करी असां री मदद करणा चाएदी, ताकी मते लोक असां रे पास्से का तिन्हा आशीषां तांइ परमेश्‍वर रा शुकर करण जे परमेश्‍वर ने असां जो मती प्रार्थनां जो सुणी करी दित्ते री हिन।"
"2CO","1","12","किजोकी असी अपणे विवेक री इस गवाई पर असी पुरी बुड़ख कने बोलदे कि असी अपणे हर काम्म-काज बिच परमेश्‍वर री दित्ते री पवित्रता ते सच्चाई कने जिन्दगी जिन्दे, खासतौर पर जां असी तुसी कने थिये। असी अपणी इन्सानी समझ पर नी पर परमेश्‍वर रे अनुग्रह पर निर्भर रैहन्दे।"
"2CO","1","13-14","असी तुसी जो से ही लिखदे जे तुसी पढ़ी ते समझी सकदे। हालांकी अब्बे तुसी असां री गल्लां जो पुरे तरिक्के कने नी समझी पांदे, पर असां जो आस है कि तुसी असां री गल्लां जो पुरे तरिक्के कने समझणा। ताकी मसीह यीशु रे हटणे रे बेल्ले तुसी असां पर तिन्ना ही गर्व करी सको, जिन्ना असां जो तुसी पर है।"
"2CO","1","15","अवे जां मै जाणदा कि तुसी घट-बध ही समझी पाया करदे हिन, इधेरे तांइ मै तुसी का आणा चाह्‍ंदा ताकी मेरा तुसी का दुबारा आणे री वजह कने तुसी जो दुगणी आशीष मिल्ले।"
"2CO","1","16","अते मै ए सोच्चेया कि मकिदुनिया प्रदेश जो जांदे बेल्ले तुसी कने मिली करी जां, अते फिरी मकिदुनिया प्रदेश का हटदे बेल्ले तुसी का दुबारा आ, अते तुसी मेरे जो यहुदियां प्रदेश बिच पुजणे तीकर मेरी किच्‍छ मदद करो।"
"2CO","1","17","मेरा मन पुरे तरिक्के कने तयार थिया कि ए ही योजना होणी। मै तुसी कदी “हां” ते कदी “ना” नी थिया बोलदा। मै दुनिया रे लोक्कां सांइ योजना नी बणांदा।"
"2CO","1","18","जिय्यां परमेश्‍वर विश्वासयोग्य हिन, तिय्यां ही असां री गल्लां हमेशा ही सच हुंदी।"
