Book, Chapter, Verse, Text
"3JN","1","1","मै युहन्ना, जे कलीसिया रा बुजुर्ग है, अपणे प्यारे दोस्त गयुस जो ए चिठ्ठी लिख्खेया करदा है, जिस कने मै सच्चा प्यार करदा।"
"3JN","1","2","हे मेरे प्यारे दोस्त, मेरी प्रार्थना है कि जिय्यां तू मसीह यीशु बिच विश्वास करणे बिच मजबूत बणेया करदा है, तिय्यां ही तू शरीर बिच भी मजबूत बणी रे ते तेरे कने ठीक चिज्जां हुंदी रे।"
"3JN","1","3","किजोकी मै बड़ा खुश होया जां किच्‍छ संगी विश्वासियां ने तेरे बारे बिच दस्सेया कि तू किन्नी ईमानदारी कने परमेश्‍वर री गल्लां जो मन्नी करी जिन्दगी जिंदा।"
"3JN","1","4","मेरे तांइ इसका जादा होर कोई खुशी री गल्ल नी हुंदी जां मै सुणदा कि जिन्हा जो मै अपणे बच्चेयां सांइ मनदा से परमेश्‍वर री गल्लां जो मन्नी करी जिन्दगी जिया करदे हिन।"
"3JN","1","5","हे मेरे प्यारे भाई, तैं संगी विश्वासियां री मदद तांइ बड़ा किच्‍छ कित्ते रा है, ते तैं तिन्हा लोक्कां री भी मदद कित्ती जिन्हा जो तू जाणदा नी।"
"3JN","1","6","तिन्हा बिच किच्‍छ विश्वासियां ने कलीसिया रे विश्वासियां जो तेरे बारे बिच दस्से रा है कि तू संगी विश्वासियां कने किन्ना जादा प्यार करदा। अवे मै तेरे जो बोलदा कि जां से लोक कुसकी जगह बिच सफर करणे तांइ जांदे तां तेरे जो तिन्हा लोक्कां री तिन्हेरी जरूरत री चिज्जां देई करी मदद करदे रैह्णा चाएदा किजोकी इस कने परमेश्‍वर खुश हुंदे।"
"3JN","1","7","किजोकी से मसीह यीशु रे संदेश रा प्रचार करणे तांइ सफर पर निकली पेय रे हिन अते से मसीह यीशु बिच विश्वास ना करणे वाले लोक्कां का कोई मदद नी लिंदे।"
"3JN","1","8","इधेरे तांइ असी विश्वासी मणुआं जो इदेय मणुआं जो अपणे घरे रूकाई करी ते तिन्हेरी जरूरत री चिज्जां देई करी तिन्हेरी मदद करणी चाएदी ताकी असी भी तिन्हेरे सच्चाई रे संदेश जो सुनाणे रे कम्म रे हिस्सेदार बणी सकण।"
"3JN","1","9","मै पैल्ले भी तुसी री कलीसिया रे विश्वासियां जो इक्क चिठ्ठी लिख्खी थी। पर दियुत्रिफेस ने मेरी गल्लां जो मनणे का इन्कार करी दित्तेया किजोकी से हमेशा का अप्पु ही कलीसिया रा मुखिया बनणा चाह्‍ंदा।"
"3JN","1","10","इधेरे तांइ जा मै आणा तां मै साफ तौर पर कलीसिया रे मणुआं जो ए दसणा कि से क्‍या करेया करदा है। से सिर्फ असां रे खिलाफ झूठी-झूठी गल्लां बोल्ली करी असां पर इल्जाम लांदा कि असी गलत कम्म करदे, ते सिर्फ इन्ना ही नी पर जां असां रे संगी विश्वासियां उत्ते जांदे तां से तिन्हा जो भी अपणे इत्ते आणे का टाली दिंदा ते जे लोक तिन्हा विश्वासी लोक्कां जो अपणे घरे रुकाणे चाह्‍ंदे से तिन्हा जो भी मना करदा ते तिन्हा जो कलीसिया का भी बाहर करी दिंदा।"
"3JN","1","11","हे मेरे प्यारे दोस्त, बुरे कम्म करणे वाले लोक्कां सांइ नी पर भलाई रे कम्म करणे वाले लोक्कां सांइ बणो। जां कोई भलाई रे कम्म करदा तां तिस कने पता चलदा कि से परमेश्‍वर रा बच्चा है। पर जां कोई बुरे कम्म करदा तां तिस कने पता चलदा कि से परमेश्‍वर जो नी जाणदा।"
"3JN","1","12","कलीसिया बिच सारे लोक बोलदे कि दिमेत्रियुस खरा मणु है किजोकी से परमेश्‍वर रे सच्चे संदेश रे हिसाब कने चलदा। ते असी भी बोलदे कि से खरा मणु है ते तू ए जाणदा कि असां री गवाई सच्ची है।"
"3JN","1","13","होर भी मती सारी गल्लां हिन जे मै तुसी जो दसणा चाह्‍ंदा पर मै तुसी जो से गल्लां इय्यां चिठ्ठी बिच लिख्खी करी नी बोलणा चाह्‍ंदा।"
"3JN","1","14","मै चाह्‍ंदा कि तित्ते तुसी का आई करी तुसी कने आमणे सामणे गल्ल करां, ताकी असी अप्पु-मिते खुशी मणाई सकण।"
"3JN","1","15","मै प्रार्थना करदा कि परमेश्‍वर तुसी जो शांती दे। इत्ते रे तेरे सारे विश्वासी दोस्त तिज्जो तेरे जो सलाम बोल्लेया करदे हिन। तित्ते रे हर इक्क विश्वासी दोस्त जो असां रा सलाम देयां।"
