Book, Chapter, Verse, Text
"MRK","1","1","परमेसर दे पुत्र यीशु मसीह दा शोभ समाचार दा मुन्ड।"
"MRK","1","2","जियां यशायाह पविखवक्ता दी कताब च लिख्या ऐ, “देख्ख, आऊँ अपने दूत गी तेरे अग्गें पेजना ऐं, जेड़ा तेरे लेई लोकें गी तयार करग।"
"MRK","1","3","सनसांन जगहे च एक बलाने आले दी बाज सनाई दे करदी ऐ के प्रभु लेई औने दा रस्ता तयार करो। ते ओसदी सेडकां सीधीयां करो।”"
"MRK","1","4","यूहन्ना आया, जेडा सनसांन जगहे च पवित्रशनांन दिंदा, ते पापें दी माफ़ी लेई मन फेरनें दे पवित्रशनांन दा प्रचार करदा हा।"
"MRK","1","5","सारे यहूदीया दे, ते यरूशलेम दे सारे रौने आले निकलीयै ओदे कोल आई गै, ते उनें अपने-अपने पापें गी मनीयै यरदन नदी च ओदे कोला पवित्रशनांन लीता।"
"MRK","1","6","यूहन्ना ऊंट दे रोएं दे कपड़े पांदा ते लाक च चमड़े दा परनां बन्नीयै रखदा हा ते त्रिडियाँ ते जंगली मखीर खाया करदा हा।"
"MRK","1","7","ते यूहन्ना ए प्रचार करदा हा, “मेरे कोला बाद ओ औने आला ऐ जेड़ा मेरे थमां शक्ति आला ऐ आऊँ एस योग नेईयै के चुकी ऐ ओसदे जूतें दे तस्में खोलां।"
"MRK","1","8","मैं तां तुसेंगी पानी कन्नें पवित्रशनांन दीता ऐ, पर ओ तुसेंगी पवित्र आत्मा कन्नें पवित्रशनांन देग्ग।”"
"MRK","1","9","उनें धयाडें च यीशु ने गलील दे नासरत जगै चा आईयै, यरदन नदी च यहुन्ना थमां पवित्रशनांन लेया"
"MRK","1","10","ते जेसलै ओ पानी च निकलियै उपर आया तां फोरन ओसने सोर्ग गी खुलदे ते आत्मा गी कबूतर दे रूप च अपने उपर उतरदे दिखया।"
"MRK","1","11","ते सोर्ग चा ए वाज आई, “तुं मेरा प्यारा पुत्र ऐं, तेरे ऊपर आऊँ बड़ा खोश ऐं।”"
"MRK","1","12","पी आत्मा ने फोरन उसी सनसांन जगै आले पासेगी पेजया।"
"MRK","1","13","ते जगंल च चाली देन तकर शतान ने ओदी परिख्या लेई; ते ओ जंगली जानबरें दै कन्नें रिया, ते सोर्गदूत ओदी सेवा करदे रे।"
"MRK","1","14","यहुन्ना गी पड़काये जाने दै बाद यीशु ने गलील च आईयै परमेसर दे राज दा शोभ समाचार प्रचार कित्ता।"
"MRK","1","15","ते आखया, “बेल्ला पूरा ओया ऐ, ते परमेसर दा राज कोल आई गीया ऐ; मने गी फेरो ते शोभ समाचार उपर बश्वास करो।”"
"MRK","1","16","गलील दी चील दै कंढे-कंढे ज्न्दे मौकै, यीशु ने शमौन ते ओसदे प्रा अन्द्रियास गी चील च जाल सूटदे दिखया; किके ओ मछ्वारे हे।"
"MRK","1","17","ते यीशु ने उनेंगी आखया, “मेरै पीछैं चली आओ, ते आऊँ तुसेंगी मनुक्खें दे मछवारे बनागा।”"
"MRK","1","18","ओ फोरन अपने जालें गी सुट्टीयै ओदे पिछें आई गै।"
"MRK","1","19","ते केछ अगें बदियै, ओसने जब्दी दे पुत्र याकूब, ते ओदा प्रा यहुन्ना गी, किशतीयें ऊपर अपने जालें गी ठीक करदै दिखया।"
"MRK","1","20","ओसने फोरन उनेंगी बलाया ते ओ अपने प्यो जब्दी गी मजदूरें दै कन्नें किशती उपर छुड़ियै ओदे पिछें आई गै।"
"MRK","1","21","ते ओ कफरनहूम च आए, ते ओ तौले गै जुधिये दे बसां दे देन प्रार्थनाकार च जाईयै शिखया देना लगया।"
