Book, Chapter, Verse, Text
"JHN","1","1","सारे थमां पैले वचन हा, ते वचन परमेसर दे कन्नें हा, ते वचन परमेसर हा।"
"JHN","1","2","इयै शुरुआत च परमेसर दे कन्नें हा।"
"JHN","1","3","सब केश ओदे कोला गै पैदा ओया, ते जे केश पैदा ओया ऐ एस दे बीचा कोई बी चीज ओस दे बगैर पैदा नेई ओई।"
"JHN","1","4","ओस दे बीच जांन ही; ते ओ जांन मनुक्खें दी लो ही।"
"JHN","1","5","ते लो न्हेरे च चमकदी ऐ, पर न्हेरे ने उसी कबूल नेई कित्ता।"
"JHN","1","6","एक मनुक्ख परमेसर थमां पेजया जेस दा नां यूहत्रा हा।"
"JHN","1","7","ओ ए गवाही देने गी आया के लो दी गवाही दियै, तांजे, सब ओस थमां बश्वास लेई औन।"
"JHN","1","8","ओ अप्पुं ते, ओ लो नेई हा, पर ओस लोई दी गवाही देने आसतै आया हा"
"JHN","1","9","सच्ची लो जेड़ी अर एक मनुक्खें गी लो करदी ऐ, दुनियां च आैने आली ही।"
"JHN","1","10","ओ दुनिया च हा, ते दुनियां ओदे थमां गै पैदा ओई, ते दुनियां ने उसी नेई पंछानया।"
"JHN","1","11","ओ अपने कर आया ते ओस दें अपने उसी कबूल नेई कित्ता।"
"JHN","1","12","लेकन जिनें-जिनें उसी कबूल कित्ता, ओस ने उनेंगी परमेसर दे बच्चे ओनें दा अक्क दीता, मतलब उनेंगी जेड़े ओस दे नां उपर बश्वास करदे न"
"JHN","1","13","ओ नां तां खूने कन्नें, नां गै जिंदु दी मर्जी कन्नें, नां गै मनुक्खें दी मर्जी कन्नें, लेकन परमेसर थमां पैदा ओये।"
"JHN","1","14","ते वचन देहतारी ओया; ते अनुग्रह ते सच्चाई कन्नें परपुर ओइयै साड़े बीच बास कित्ता, असें ओस दी ऐसी मैमा दिखी, जियां पिता दे इको एक दी मेमा।"
"JHN","1","15","यूहन्ना ने ओदे बारै च गुआई दिती, ते पकारीयै आखया, “ए उवै ऐ, जेस दे बारै च मै तुसेंगी सनाया के जेड़ा मेरे बाद अवा करदा ऐ, ओ मेरे थमां बड्डा ऐ किके ओ मेरे कोला पैलें दा ऐ।”"
"JHN","1","16","किके ओसदी परपुर्ता बीचा असें सारें आसल कित्ता मतलब अनुग्रह दी परपूरी।"
"JHN","1","17","एसकरी के कनून तां मूसा थमां दिता गिया, लेकन अनुग्रह ते सच्चाई यीशु मसीह थमां दसेया गिया।"
"JHN","1","18","परमेसर गी कुसै कदें बी नेई दिखया, इकै एक पुत्र जेड़ा पिता दी गोदी च ऐ, ओस ने गै उसी परकट कित्ता।"
"JHN","1","19","यूहत्रा दी गुआई ए ऐ, के जेलै यहूदीयें यरूशलेम चा याजकें ते लेवियें गी ओदे कोल ए पूछन आसतै पेजया, “तू कोन ऐं?"
"JHN","1","20","तां ओसने मनी लेता ते मना नेई कित्ता, लेकन मनी लेता,आऊँ मसीह नेई ऐं”"
"JHN","1","21","ओस बेलै उनें उसी पूछया, तां पी कोन ऐं? के तू एलिय्याह ऐं? ओसने आखया, आऊँ नेई यें। तां के तू ओ पविखवक्ता ऐं? ओनें जवाब दीता, नेई।"
"JHN","1","22","ओस बेलै उनें उसी पूछया, ते पी तू कुन्न ऐं? तां जे अस अपने पेजने आलें गी जवाब देचै। तू अपने बारै च के आखना ऐ?"
"JHN","1","23","ओसने आखया, जियां यशायाह पविखवक्ता ने गलाया ऐ, आऊँ जंगलें च एक पकारने आले दी बाज ऐं के तोस प्रभु दा रस्ता त्यार करो।"
"JHN","1","24","ओ फरीसीयें थमां भेजे गेदे हे।"
"JHN","1","25","उनें उसी ए सुआल पूछया, “जेकर तू नां मसीह ऐं, ते नां एलिय्याह, ते नां गै ओ पविखवक्ता ऐं, ते पी पवित्रशनांन कि दीना ऐं?”"
"JHN","1","26","यूहन्ना ने उनेंगी आखया, “आऊँ तां तुसेंगी पानी कन्नें पवित्रशनांन दिना ऐं, लेकन थुआडे बेच मानु खडोते दा ऐ जीसी तोस नेई जांनदे।"
"JHN","1","27","मतलब मेरे थमां बाद औने आला ऐ, जेस दी नोक्क दा तस्मा खोलने दे आऊँ काबल नेई।”"
"JHN","1","28","ए गल्लां यरदन दे परली बक्खी बैतनिय्याह च ओइयां, जिथें यूहत्रा पवित्रशनांन दींदा हा।"
"JHN","1","29","अगलै धयाडै ओनें यीशु गी अपनी बक्खी औंदे दिखियै आखया, “दिख्खो, ए परमेसर दा लेल्ला ऐ जेड़ा दुनियां दा पाप चूकी लेई जंदा ऐ।"
"JHN","1","30","ए उवै जेस दे बारै च मैं गलाया हा, के एक मनुक्ख मेरे पीछें आवा करदा जेड़ा मेरे थमां आदरमान आला ऐ, किके ओ मेरे थमां पैलें दा ऐ।"
"JHN","1","31","ते आऊँ तां उसी पनछांनदा नेई हा, लेकन एसलेई आऊँ पानी कन्नें पवित्रशनांन दिंदा आया के ओ इस्राएल च परकट ओई जा।”"
"JHN","1","32","ते यूहन्ना ने ए गुआई दिती “मैं आत्मा गी कबूतर दे रूप च सोर्गा चा उतरदे दिखया, ते ओ ओस दे उपर रुकी गीया।"
"JHN","1","33","आऊँ तां उसी पनछांनदा नेई हा, लेकन जेस ने मिगी पानी कन्नें पवित्रशनांन देने गी पेजया, उसै मिगी आखया, जेस दे उपर तू आत्मा गी उतरदे ते ओदे उपर रुकदै दिखगा, ओ गै पवित्र आत्मा कन्नें पवित्रशनांन देने आला ऐ।"
"JHN","1","34","ते मैं दिखया, ते गुआई दिती ऐ के इयै परमेसर दा पुत्र ऐ।”"
"JHN","1","35","“अगलै धयाडै यूहत्रा ते ओदे चेलें बीचा दो मानु खड़ोते दे हे।"
"JHN","1","36","ते ओस ने यीशु उपर जेडा जा करदा हा दिखियै आख्या,दिख्खो ए परमेसर दा लेल्ला ऐ।”"
