Book, Chapter, Verse, Text
"EPH","1","1","मैं पौलुस जेड़ा परमेसर दी मर्जी कन्नें यीशु मसीह दा प्रेरित ऐ, उनें पवित्र ते यीशु मसीह च विश्वासी लोकें दे नां जेडे इफिसुस शैर च न,"
"EPH","1","2","ए मेरी प्रार्थना ए के साडे पिता परमेसर ते प्रभु यीशु मसीह थमां तुसेंगी क्रपा ते शान्ति मिलदी रवै।"
"EPH","1","3","साडे परमेसर ते प्रभु यीशु मसीह दे पिता दा शुक्र उवै, के परमेसर असेंगी मसीह च सोर्ग दी जगै च, सारी चाली दी आत्मिक आशीष दिती ऐ।"
"EPH","1","4","जियां ओस ने असेंगी दुनिया गी बनानें थमां पैलें मसीह च चुनी लेता के अस ओसदी नज़र च पवित्र ते बेकसुर ओचै।"
"EPH","1","5","ते अपने प्रेम च परमेसर अपनी मर्जी दी पली नीत दै मताबक असेंगी अपने आसतै पैलें दा चुनी लेता के यीशु मसीह थमां अस ओदे गोद लेते दे पुत्र ओचै।"
"EPH","1","6","के परमेसर दे ओस क्रपा दी मैमा दी स्तुति उवै, जेड़ी ओसने असेंगी अपने प्यारे पुत्र थमां मोफत च दिती।"
"EPH","1","7","असेंगी मसीह च ओदे खून थमां छुटकारा, मतलब पापें दी माफ़ी, परमेसर दी ओस क्रपा दे तन दे मताबक मिली ऐ,"
"EPH","1","8","परमेसर ने सारे ज्ञान ते अपनी समझ कन्नें मती सारी साडे उपर बरकतें दी बरखा ब्राई दी ऐ।"
"EPH","1","9","परमेसर ने अपनी मर्जी दा पेद, अपनी पले मकसद दै मताबक असेंगी ए दसया, जिसी मसीह ने अपने आप च पैलें गै करी लेता हा,"
"EPH","1","10","के परमेसर अपनी योजना दै मताबक,ओदा बेला पूरा ओनें उपर,जेड़ा केछ सोर्ग च ते तरती उपर ऐ, सब केछ ओ मसीह च एक करै।"
"EPH","1","11","मसीह च अस बी ओदी योजना कन्नें जेड़ा अपनी इच्छा दै मताबक सारा केछ करदा ऐ,पैलें देचुने दे ओदी बरास्त बनें।"
"EPH","1","12","के असें यहूदी गीं, जिनें पैलें दी गै मसीह उपर आस रखी दी ही, ओदी मैमा दी स्तुति दा कारन ओचै।"
"EPH","1","13","ते उसै च तोस बी, जेस लै तुसें सचाई दा बचन सुनया, जेड़ा थूआड़े उद्धार दा शोभ समाचार ऐ, ते जेस उपर तुसें विश्वास कित्ता, बायदा किते दे पवित्र आत्मा दी मोर लगी।"
"EPH","1","14","परमेसर ने अपनी पवित्र आत्मा असेंगी देने दे कारन, ओदे मुलें लिते दे लोकें दे छुटकारे आसतै साड़ी जायदाद दा बयाना ऐ, के ओस दी मैमा दी स्तुति उवै।"
"EPH","1","15","एस आसतै, आऊँ बी ओ विश्वास जेड़ा तोसें लोकें दा प्रभु यीशु उपर ऐ ते सारें पवित्र लोकें लेई प्रेम दा समाचार सुनीयें,"
"EPH","1","16","थूआड़े आसतै परमेसर दी मेशा शुक्रगुजारी करना नेई छुड़दा, ते अपनी प्रार्थना च तुसेंगी याद करदा रौना ऐं"
"EPH","1","17","ए मेरी प्रार्थना ऐ, के साडे प्रभु यीशु मसीह दा परमेसर जेड़ा मैमा दा पिता ऐ, तुसेंगी अपनी समझ दी आत्मा ते ज्ञान दी लो दियै,"
"EPH","1","18","आऊँ ए बी प्रार्थना करना ऐं, के थूआडे मन दी अखियां जगमग ओंन के तोस सच गी जानी लियो के साडे बलाए जानें दी आस के ऐ, ते पवित्र लोकें च ओस दी जायदाद दी मैमा दा तन कनया ऐ,"
"EPH","1","19","ते ओस दी शक्ति साडे लेई जेडे विश्वासी न, किन्नी बड्डी ऐ, ओस दी शक्ति दे असर दे ओस कम दै मताबक।"
"EPH","1","20","जेड़ा ओस ने मसीह दे बारै कित्ता, के उसी मरें बिचा ज़िंदा करियै सोर्ग दी जगें च अपनी सज्जी बखी बठाया;"
"EPH","1","21","ओस जगै च सब चाली दी प्रधानता ते अख्त्यार, ते शक्ति, ते राज दे, ते अर एक नां दे उपर, जेड़ा नां सेर्फ एस लोक च, लेकन आैने आले लोक च बी लिता जाग,"
"EPH","1","22","ते परमेसर ने सब अख्त्यार ओदे पैरें थलै करी दीता; ते उसी सारियें चीजें उपर उच्चा बनाईयै कलीसिया गी देई दीता।"
"EPH","1","23","कलीसिया ओसदी जेंद ऐ, ते मसीह उसै दी परपूरी ऐ, जेड़ा सारें च सारा केछ पूरा करदा ऐ।"
"EPH","2","1","पैलें ते तुसेंगी परमेसर कोला नवी जींदडी नेई मिली ही। किके अस अपने पराधें ते पापें दे कारन मरे दे हे"
"EPH","2","2","जींदे च तोस पैलें एस दुनिया दे लोकें दी रिती उपर, ते शतान गीं जेडा दुष्ट आत्मा मुखिय अम्बर दे अख्त्यार दे मुखीआ मतलब ओस आत्मा दै मताबक चलदे हे, जेड़ा ऊन बी उक्म नेई मनने आलें दे दिलें बेच कम करदा ऐ।"
"EPH","2","3","इंदे च अस बी सारे पैलें अपनी जिंदु दी खुआशें च देन जुगारदे हे, ते जेंद ते मन दी मर्जी पुरी करदे हे, ते दुए लोकें आला लेखा सवाव थमां गै परमेसर दे गुस्सै दी औलाद हे।"
"EPH","2","4","लेकन परमेसर जेड़ा दिया दा तनी ऐ, अपने ओस बड्डे प्यार दे कारन जेस कन्नें ओस ने साडे कन्नें प्यार कित्ता,"
"EPH","2","5","जेस लै अस पाप दे कारन मरे दे हे, तां असेंगी मसीह दे कन्नें ज़िंदा कित्ता परमेसर दी क्रपा कन्नें गै थूआडा उद्धार ओया ऐ,"
"EPH","2","6","ते मसीह यीशु च ओसदे कन्नें उच्चा कित्ता, ते सोर्ग दी जगें च ओदे कन्नें बठाया"
"EPH","2","7","के ओ अपनी ओस कृपा कन्नें जेड़ी मसीह यीशु च साडे उपर ऐ, आैने आलें बेलै च अपनी क्रपा दी अन गेनत तन दसै।"
"EPH","2","8","किके विश्वास थमां क्रपा कन्नें गै थूआडा उद्धार ओया ऐ; ते थूआड़े थमां नेई, बरन परमेसर दा दान ऐ,"
"EPH","2","9","ते नां कम्में दे कारन, ऐसा नेई उवै के कोई कमण्ड करै।"
