Book, Chapter, Verse, Text
"JAS","1","1","परमेसर दे ते प्रभु यीशु मसीह दे दास याकूब थमां उनें बारें गोत्रें गी जेड़े तितर-बितर ओइयै रौंदे न नमश्कार पुज्जे।"
"JAS","1","2","मसीह च मेरे प्राओं, जेसलें तोस कई केसम दी परिखीयें च पवो, तां ओस बेलै गी पूरी खुशी दी गल्ल समझो,"
"JAS","1","3","एसकरी तोस जानदे गै ओ,के थूआड़े बश्वास दी परख कित्ती जाने कन्नें सबर पैदा ओंदी ऐ।"
"JAS","1","4","लेकन तोस सारीयें गल्लें च सबर करना सिखो, तांजे तोस आत्मिकता च सयाने ते सेद्ध ओई जाओ, के थूआड़े बेच कुसै अच्छी गल्ल दी बी कमी नेई रवै।"
"JAS","1","5","लेकन जेकर थूआड़े बिचा कुसै गी दमाक दी कमी उवै तां परमेसर थमां मंगै, जेड़ा बगैर लामां दिते दै सबनी गी ख़ुशी कन्नें दिंदा ऐ, ते उसी दमाग दीत्ता जाग।"
"JAS","1","6","लेकन विश्वास कन्नें मंगो, ते केछ शक नेई करो; किके शक करने आला समुंद्र दी लैरें आला लेखा ऐ, जेड़ी अवा कन्नें रुढ़दी ते उछलदी ऐ।"
"JAS","1","7","ए जेया मनुक्ख ए नेई समझै के मीकी प्रभु थमां केछ मिलग"
"JAS","1","8","ओ मनुक्ख दों मनें च पेदा ऐ, ते अपनी सारीयें गल्लें च चैंचल ऐ।"
"JAS","1","9","विश्वासी दीन प्रा अपने उच्चे ओदे उपर कमण्ड करै ते खोश उवै के परमेसर ने ओदा आदर कित्ता ऐ।"
"JAS","1","10","ते मीर मानु अपनी दीनगी दी आलत उपर; किके ओ काह दे फोल्ल आला लेखा मुकी जाग।"
"JAS","1","11","किके सूरज चढ़दे गै कड़ाके दी तोप्प पौंदी ऐ ते का गी सकाई दिंदी ऐ, ते ओसदा फोल्ल चढ़ी जंदा ऐ, ते ओदी सुन्दरता मुकी जन्दी ऐ। इसै चाली मीर विश्वासी बी अपने रस्ते उपर चलदै-चलदै मिट्टी कन्नें मिली जाग।"
"JAS","1","12","तन्न ऐ ओ मनुक्ख, जेड़ा परिख्या च टिका रौंदा ऐ; किके ओ विश्वास च खरा निकलियै जिंदडी दा ओ मोकट पाग, जेसदा बायदा परमेसर ने अपने प्यार करने आलें कन्नें किते दा ऐ।"
"JAS","1","13","जेसलै कुसै दी परिख्या उवै, तां ओ ए नेई आखे के मेरी परिख्या परमेसर थमां ओंदी ऐ; किके नां गै बुरी गल्लें थमां परमेसर दी परिख्या ओई सकदी ऐ, ते नां गै ओ कुसै दी परिख्या अप्पुं करदा ऐ।"
"JAS","1","14","लेकन अर एक मनुक्ख अपनी गै दुष्ट इच्छै कोला खचोइयै ते फसीयै परखै च पोंदा ऐ।"
"JAS","1","15","पी इच्छया गर्भवती ओइयै पाप गी जन्म दिन्दी ऐ ते पाप जेस लै बदी जांदा ऐ तां मौत गी पैदा करदा ऐ।"
"JAS","1","16","ए मेरे प्यारे विश्वासी प्राओ, तोखा नेई खायो।"
"JAS","1","17","किके अर एक छैल वरदान ते अर एक बदीयै दान परमेसर पिता थमां उपर दा ऐ, ते लोईं दे पिता थमां मिलदा ऐ, जेस च नां ते कोई अदली-बदली ओई सकदी ऐ, ते नां अदल-बदल दै कारन ओस उपर न्हेरे दी छाऊं पौंदी ऐ।"
"JAS","1","18","ओस ने अपनी गै मर्जी कन्नें असेंगी सच्चाई दे वचन कन्नें जन्म दित्ता, तां जे अस ओस दी बनाई दियां चीजें बिचा पैले फल आला लेखा ओचै।"
"JAS","1","19","ए मेरे प्यारे विश्वासी प्राओ, ए गल्ल तोस जानी लियो; अर एक मनुक्ख सुननें आसतै तौला ते बोलने च आसता ते गुस्सै च ठणढा उवै,"
"JAS","1","20","किके मनुक्ख दा गुस्सा परमेसर दे तर्म गी पूरा नेई करी सकदा।"
"JAS","1","21","इसै आसतै सारी दिले दी मैल ते बददी बैर-पाव गी दूर करियै, ओस परमेसर दे वचन गी लीमी कन्नें लेई लियो जेड़ा दिले च राया गिया ते जेड़ा थूआड़े प्राणें गी बचाई सकदा ऐ।"
"JAS","1","22","लेकन परमेसर के वचन दा पालन करने आले बनो, ते सेर्फ सुननें आले गै नेई जेडे अपने आप गी तोखा दिंदे न।"
