Book, Chapter, Verse, Text
"REV","1","1","यीशु मसीह गी परमेसर ने दस्से दा प्रकाशितवाक्य, जेड़ा परमेसर ने एस लेई दीता के अपने दासें गी ओ गल्लां, ज़िंदा जल्दी ओना जरुरी ऐ दस्सै ते ओस्स ने अपने सोर्गदूत गी पेजियै ओदे थमां अपने दास यूहन्ना गी सुनाया,"
"REV","1","2","युहन्ना ने ओ सारा केश लिखया जेडा ओसने दिखया, मतलब ओ वचन जेडा परमेसर थमां आया ते ओ सारा केश जेडा यीशु मसीह ने आखया हा।"
"REV","1","3","परमेसर उनें सारें गीं अशीर्वाद देग जेडा एस पविख्वानी गीं थूआड़े लेई पढ़िऐ सनांदे न, ते ओ उनें सारे गीं शीर्वाद देग जेडा इसी सुनदे न ते मन्नदे न। किके ये चीजां तोल्लेंगें ओंगन।"
"REV","1","4","मैं, युहन्ना, ए तुसेंगी सत कलीसिया ते च विश्वासियें दे लिये लिख नां हाँ जेडा एशिया लाकें च रोंदे ए। मैं प्रार्थना करना हाँ के तुसेंगी परमेसर थमां क्रपा ते शान्ति मिलदी रवे। ओ परमेसर ए जेडा वक्त दी शुरुआत चां लेयिये अज्जे तकर ते मेशा दे लेई नी बदलदा ए; ते ओनें सत आत्मा थमां जेकी यां परमेसर दे सियासन दे कोल।"
"REV","1","5","ते यीशु मसीह थमां जेहड़ा बश्वास जुगा साक्षी ते मरें बिचा ज़िंदा ओनें आला पहिलोठा ते तरती दे राजां दा कीम ऐ, तुसें क्रपा ते शान्ति मिलदी रबे। ओ साडे कन्नें प्यार रखदा ऐ, ते उस्स ने अपने खून दे रहें असें पापें थमां छुड़ाया ऐ,"
"REV","1","6","ते असें एक राज ते अपने पिता परमेसर आसतै याजक बी बनाई दित्ता; उस्स दी गै मेमा ते पराक्रम जूगे जूगे ओंदी रबे। आमीन।"
"REV","1","7","दिखो, ओ बदलें कन्नें ओनें आला ऐ, ते अर एक उसी दिखग, ओदे मौत दे लेई जिम्मेदार लोक भी उसी अन्दे ओई दिख्गन। तरती च सारे लोक बड्डी बाज दे कन्नें रोनगें जदुं ओ उसी दिखन्गें। आमीन।"
"REV","1","8","सर्वशक्तिमान परमेसर आखदे न, “मैं अल्फा ते ओमेगा हाँ, मतलब, शुरुआत ते आखर हाँ। मैं ओ हाँ जेडा ए, जेडा मेशा हाँ, ते जेडा अजें आनेआला ए।”"
"REV","1","9","आऊँ यूहन्ना, मैं मसीह दे लेई ते परमेसर दे राज दे दोख दे लेई तुन्दा साथी हाँ ते उनें लोकें दे लेई दलेरी कन्नें सबर कन्नें कम लेनदा हाँ जेड़े उन्दे कन्नें रिश्ता रखदे न। मिग्गी पतमोस द्वीप दे लेई पेजा गिया हा, किके मैं परमेसर दे वचन दा प्रचार कित्ता ते यीशु दे सन्देश गीं दसने दे खातर।"
"REV","1","10","आऊँ प्रभु दे धयारे आत्मा च आई गिया, ते अपने पिच्छें तुरी दी बड्डी वाज ए आखदे सुनया,"
