Book, Chapter, Verse, Text
"LUK","1","1","श्रीमान थियुफिलुस जी, कईये मणुऐ यीशु री गल्ला रा जैड़ी कि असु मन्ज भच्छुरी थी, इतिहास लिखणै तांई ईन्दा साथ दितुरा।"
"LUK","1","2","जियां कि सो मणु जियें कि ईयां गल्ला जो पैहलै थऊँ ही अपणी हाख्री हेरूरा थू अतै सो वचना रै सेवक थियै, तियें ही ऐह सब गल्ला असु तिकर पुजाई"
"LUK","1","3","ता मिन्जो भी ऐह ठीक लगु कि ईयां सब गल्ला रा पुरा हाल ठीक-ठीक जाँच-परख करणै थऊँ वाद ही तियां जो अक्क-अक्क करीके तुसु तांई लिखूँ"
"LUK","1","4","ताकि तुहै जाणी लैन कि सो गल्ला जठेरी तुहै सिख लैऊरीआ सो कतूणी सच हिन।"
"LUK","1","5","ऐह तैस टैमां री गल्ल हा जैहणै यहूदिया परदेसा मन्ज राजा हेरोदेसा रा राज्य थू। ता तैड़ी अबिय्याह नां रै अक्की याजका री मण्ड़ळी मन्ज, जकरिया नां रा अक्क याजक थू। तसेरी घरावाळी रा नां इलीशिबा थू सो हारून नां रै अक्की याजका रै खानदाना थऊँ थी।"
"LUK","1","6","जकरिया अतै इलीशिबा प्रमात्मैं रै सामणै बड़ै ही धर्मी थियै, अतै तसेरी सभी आज्ञा अतै व्यवस्था पुर सिधै मना सितै चलदै थियै।"
"LUK","1","7","तंयारी कोई भी औलाद ना थी क्ओकि इलीशिबा बाँझ थी, अतै दोनों बुढै भी थियै।"
"LUK","1","8","अक्क दिन जकरिया अपणी मण्ड़ळी सोगी प्रमात्मैं रै सामणै याजकी कमाऊ करदा थू।"
"LUK","1","9","ता याजक मण्ड़ळी री रीति रै मुताबक तिन्यै सभी रै नां री पर्ची पाई अतै पर्ची जकरिया रै नां री निकळी कि सो प्रमात्मां रै मन्दरा मन्ज गिच्ची करी धूप बाळा।"
"LUK","1","10","धूप बाळणै रै टैमैं पूजा करनै बाळै मणु री सब मण्ड़ळी बाहर प्रार्थना करू करदी थी।"
"LUK","1","11","ता तसेरै सामणै प्रमात्मैं रा अक्क स्वर्गदूत धूप बाळणै बाळी जगहा री खब्बी कनारी प्रकट भुआ।"
"LUK","1","12","जकरिया तैसिओ हेरी करी विजकु अतै मना मन्ज डरना लगा।"
