Book, Chapter, Verse, Text
"EPH","1","1","ऐह पत्री पौलुस री तरफा थऊँ हा जैड़ा प्रमात्मैं री इच्छा अनुसार यीशु मसीह रा प्रेरित बनणै तांये चुणया गो। अऊँ ऐह पत्री तिन्या पवित्र मणु तांये लिखु करदा जैड़ै यीशु मसीह रै बफादार चेलै इफिसुस शहरा मन्ज रैहन्दै हिन।"
"EPH","1","2","अऊँ प्रार्थना करदा कि इन्दा पिता प्रमात्मां अतै प्रभु यीशु मसीह तुसु पुर अनुग्रह करा अतै तुसिओ अपणी शान्ती सोगी आशीष देय्आ।"
"EPH","1","3","इन्दै प्रभु यीशु रै पिता प्रमात्मैं रा धन्यवाद भोआ, कि तिनी असु जो मसीह मन्ज स्वर्गीय जगहा मन्ज सबी किस्‍मां रा आत्मिक अशीर्वाद दितुरा हा। क्ओकि अहै मसीह सोगी जुड़ी गच्छुरै हिन।"
"EPH","1","4","जिआं कि तिनी असु जो ऐस संसारा री शुरूआत थऊँ पैहलै ही चुणी लैऊरा, कि अहै तसेरै नेड़ै प्यारा मन्ज पवित्र अतै निर्दोष भून।"
"EPH","1","5","अतै प्रमात्मैं अपणी ईच्‍छा री सैहमती सितै असु जो अपणै तांई पैहलै थऊँ ही ठहराऊरा, कि यीशु मसीह री बजहा थऊँ अहै तसेरै गोद लैऊरै पुत्र भून। ऐह ही प्रमात्मां करना चाहन्दा थू जैतै सो खुश भूआ।"
"EPH","1","6","ठेरैतांये अहै प्रमात्मैं री स्तुति करदै हिन तैस महान अनुग्रह जो असु मणु जो दिणै तांये जैड़ै तसेरै प्यारे पुत्र रै हिन।"
"EPH","1","7","मसीह रै खूना रै बलिदान रै द्धारा असिओ इन्दै पापा थऊँ माफी अतै छुटकारा मुळू। प्रमात्मैं रा अनुग्रह कैतना महान हा जैड़ा तिनी असिओ दिता।"
"EPH","1","8","प्रमात्मैं असिओ अपणा सब ज्ञान अतै समझ बहुतायत सितै दिती हा।"
"EPH","1","9","प्रमात्मैं अबै असु पुर प्रकट करू हा तैस भेद री योजना रै बारै मन्ज जैड़ी मसीह सोगी सम्बन्धित हा ऐसी योजना जैत सितै सो अपणी इच्छा जो पुरी करी सका।"
"EPH","1","10","अतै योजना ऐह हा कि तैस ठीक टैमां पुर सब कुछ जो जैड़ा स्वर्गा मन्ज हा अतै जैडा कुछ धरती पुर हा मसीह रै अधीन करी दिणा।"
"EPH","1","11","अहै मसीह सोगी अक्क भूच्ची गै हिन असिओ प्रमात्मैं थऊँ मिरास मूळी हा क्ओकि तिनी असिओ पैहलै थऊँ चुणी लैऊ अतै सो अपणी योजना अनुसार सब कुछ पुरा करदा हा।"
"EPH","1","12","प्रमात्मैं रा मकसद ऐह थू कि अहै यहूदी जिन्यैं पैहलै यीशु मसीह पुर उम्मीद रखी सो प्रमात्मैं री स्तुति अतै महिमा री वजह बणन।"
"EPH","1","13","अबै तुहै गैर यहूदी भी सच्चाई जो हुणी लैऊ हा अर्थात सो सुसमाचार कि प्रमात्मां तुन्दा उद्धार करणै बाळा हा। जैहणै तुहै मसीह पुर विस्वास करू तिनी सावित करू कि तुहै तसेरै अपणै हिन जैहणै तिनी अपणी पवित्र आत्मा जो तुसिओ दिता जठेरा तिनी बडै पैहलै वायदा करूरा थू।"
"EPH","1","14","पवित्र आत्मा ऐसा गल्ला रा सवूत हा कि असु सो पाणा जैडा प्रमात्मैं अपणै मणु सोगी वायदा करूरा। ऐह असिओ भरोसा दुआन्दा कि प्रमात्मां अपणै मणु जो पुरी आजादी दिणिआ ठेरैतांये अहै प्रमात्मैं री महिमा री स्तुति करदै हिन।"
"EPH","1","15","प्रमात्मैं जैड़ा कुछ करू ठेरी बजहा थऊँ जैहणै थऊँ मैंई मसीह यीशु पुर तुन्दा विस्वास अतै प्रमात्मैं रै मणु रै प्रति तुन्दै प्रेम रै बारै मन्ज हुणु, हा,"
"EPH","1","16","अऊँ लगातार तुसु तांई प्रमात्मैं रा धन्यवाद करदा अतै अपणी प्रार्थना मन्ज याद करदा रैहन्दा।"
"EPH","1","17","अऊँ महिमा रा पिता अतै प्रभु यीशु रै प्रमात्मैं सोगी प्रार्थना करदा हा कि सो तुसिओ अपणी आत्मिक बुद्धि अतै प्रकाशन रा आत्मा देय्आ जैत सितै तुसै प्रमात्मैं जो पुरी रीति सोगी जाणी सकन।"
"EPH","1","18","अऊँ ऐह प्रार्थना करदा कि प्रमात्मां तुन्दै दिला तेज सोगी भरा अतै तुहै सो उम्मीद अतै सच्चाई जो समझन जैड़ी तिनी तियां जो दितुरी हा जियां जो तिनी हैदुरा हा। तसेरै पवित्र मणु जैड़ै तसेरी महिमा रै भण्ड़ार मन्ज अमीर हिन।"
"EPH","1","19","अऊँ ऐह भी प्रार्थना करदा कि तुहै ऐसा गल्ला जो जाणी लेय्आ कि प्रमात्मैं असु विस्वासी तांये कैतना अदभुत अतै शक्तिशाली सामर्थ रखुरा हा। ऐह सो ही अदभुत सामर्थ हा जैडा तिनी इस्तेमाल करू,"
"EPH","1","20","जैहणै तिनी मसीह जो मौत थऊँ जीयाऊ अतै स्वर्गा मन्ज अपणी सज्जी कनारी बहालु।"
"EPH","1","21","तैहा जगह मसीह सबी किस्‍मां री प्रधानता, अधिकार, सामर्थ, प्रभुता पुर राज्य करदा हा। सो ऐस लोक रै हरेक मणु पुर राज्य करदा अतै तैस इणै बाळै लोक रै हरेक पुर राज्य करना।"
"EPH","1","22","प्रमात्मैं सब कुछ मसीह रै अधीन करी दिता अतै तैस जो कलीसिया रै फायदै तांये सबी चीजा पुर शिरोमणि ठहराऊ।"
"EPH","1","23","कलीसिया तसेरी देह हा, जैतिओ मसीह रै द्धारा पुरा अतै परिपूर्ण करया गान्दा हा। जैडा की सब जगह सबी कुछ जो अपणी हजुरी सितै भरी दिन्दा हा।"
"EPH","2","1","अतै तिनी तुसु जो भी जिन्दा करू, जैड़ै कि अपणै अपराधा अतै पापा री बजहा थऊँ आत्मिक रूपा सितै मरूरै थियै।"
"EPH","2","2","तुहै भी पैहलै पाप मन्ज रैहन्दै थियै जियां बाकी संसार तैस शैतान रै हत्था मन्ज हा जैड़ा ऐस दुनिया री अनदेखी शक्ति रा सरदार हा, सो ही आत्मा तंयारै दिला मन्ज कम करदा जैड़ै प्रमात्मैं रै मुताबक ना चलदै थियै।"
"EPH","2","3","इआं सबी मन्ज अहै भी पैहलै अपणै जीवन जो इन्या ही बितान्‍दै थियै, अपणै पापी स्वभाव अतै इच्छा जो पुरा करदै थियै, असल मन्ज अहै भी सबी सांईये प्रमात्मैं रै क्रोध रै भागी थियै।"
"EPH","2","4","पर प्रमात्मां जैडा कि दया रा धनी हा अपणै तैस बड़ै प्यारा री बजहा थऊँ जैत सितै कि तिनी असु सितै प्‍यार करू,"
"EPH","2","5","जैहणै कि अहै अपराधा री बजहा थऊँ आत्मिक रूपा सितै मरूरै थियै ता असु जो मसीह सोगी जिन्दा करू। अनुग्रह सितै ही तुन्दा उद्धार भच्छुरा।"
"EPH","2","6","प्रमात्मैं असिओ मरूरै थऊँ जीयाऊ अतै यीशु मसीह सोगी स्वर्गीय जगह मन्ज बहाली दिता।"
"EPH","2","7","तिनी ऐह करू कि सो ईणैबाळै टैमां मन्ज दस्सी सका कि सो असु पुर कैतना ज्यादा दयालु हा, क्ओकि अहै मसीह यीशु सोगी जुडुरै हिन।"
"EPH","2","8","प्रमात्मैं पुर विस्‍वासा री बजहा थऊँ ही अनुग्रह सितै तुन्दा उद्धार भछुरा अतै ऐह तुन्दै कम्मा सितै ना बल्कि प्रमात्मैं रा दान हा।"
"EPH","2","9","उद्धार इन्दै भलै कर्मा री बजहा थऊँ निय्आ ताकि कोई ऐसा गल्ला पुर घमण्ड़ ना करा।"
"EPH","2","10","क्ओकि अहै तसेरी खास रचना हिन अतै मसीह यीशु मन्ज तियां भलै कमां तांई रचुरै हिन जिआं जो प्रमात्मैं पैहलै थऊँ ही असु जो करनै तांई तैयार करूरा हा।"
"EPH","2","11","ऐत तांई याद रखा कि तुहै जैड़ै जन्म थऊँ ही गैर यहूदी हिन तुन्दा यहूदी मणु मजाक उड़ान्दै थियै क्ओकि तुहै खतना ना करूरा थू पर तिन्ये करूरा थू। सो जैडा रवाज करदै हिन सो सिर्फ तंयारै शरीर तांये ही हा ना कि तंयारै दिला तांये।"
