Book, Chapter, Verse, Text
"COL","1","1","या चिट्ठी पौलुस अर म्हारे बिश्वासी भाई तीमुथियुस की ओड़ तै सै, जो परमेसवर की इच्छा तै मसीह यीशु का प्रेरित सै।"
"COL","1","2","मसीह म्ह उन पवित्र अर बिश्वासी भाईयाँ के नाम जो कुलुस्से नगर म्ह रहवै सै: म्हारा पिता परमेसवर थारे ताहीं अनुग्रह अर शान्ति देंदा रहवै।"
"COL","1","3","जिब हम थारै खात्तर बिनती करां सां, तो हम अपणे प्रभु यीशु मसीह के पिता, यानी परमेसवर का धन्यवाद करा सां।"
"COL","1","4","क्यूँके हमनै सुण्या सै के यीशु मसीह पै थारा बिश्वास सै, अर सारे पवित्र माणसां तै थम प्यार करो सों।"
"COL","1","5","जो बिश्वास अर प्यार इन बिश्वासी भाईयाँ कै धोरै सै, वो उस आस की बजह तै ए सै, जो थारे खात्तर सुर्ग म्ह धरी सै, जिसका वर्णन थमनै पैहले तै सुण राख्या सै। जिब माणस थारे धोरै आए अर यीशु मसीह का सुसमाचार थारे ताहीं सुणाया, जो के परमेसवर का वचन सै।"
"COL","1","6","जो थारै धोरै पोहचा सै, अर जिसा दुनिया म्ह यो नतिज्जा ल्याण लागरया सै अर दुनिया म्ह हरेक जगहां फैलण लागरया सै, उस्से तरियां जिस दिन तै थमनै उस ताहीं सुण्या अर या सच्चाई आच्छी तरियां समझी के परमेसवर मुफ्त म्ह उन माणसां का पाप माफ करै सै जो यीशु पै बिश्वास करै सै। थारै म्ह भी इसाए करै सै।"
"COL","1","7","उस्से की शिक्षा थमनै म्हारे गैल काम करणीये प्यारे इपफ्रास तै पाई, जो म्हारे खात्तर मसीह का बिश्वास लायक दास सै।"
"COL","1","8","उस्से नै म्हारे ताहीं पवित्र आत्मा के प्यार के बारें म्ह बताया सै, जो परमेसवर नै म्हारै ताहीं दिया सै।"
"COL","1","9","इस करकै जिस दिन तै हमनै यो सुण्या सै, हम भी थारे खात्तर सदा प्रार्थना करां सां। के थम परमेसवर का आत्मा थारे ताहीं आत्मिक ज्ञान अर समझ देवै, ताके थम उसकी इच्छा नै समझ सको।"
"COL","1","10","थारा बरताव इसा होणा चाहिए जिसा परमेसवर के माणसां का हो सै, ताके थम परमेसवर नै हरेक काम म्ह खुश कर सको, ताके थम सारी हाण भले काम करते रहों अर थम परमेसवर की पिच्छाण म्ह बढ़ते जाओ।"
