Book, Chapter, Verse, Text
"2TI","1","1","या चिट्ठी मुझ पौलुस की ओड़ तै सै, परमेसवर नै मेरे ताहीं मसीह यीशु का प्रेरित होण खात्तर चुण्या सै, ताके मै यो सन्देस प्रचार कर सकू, के परमेसवर नै अनन्त जीवन देण का वादा करया सै, जो यीशु मसीह पै बिश्वास करण तै मिलै सै।"
"2TI","1","2","मै तीमुथियुस ताहीं या चिट्ठी लिखूँ सूं, जिसतै म्ह प्यार करुँ सूं, अर मै प्रार्थना करुँ सूं, के पिता परमेसवर अर म्हारै प्रभु मसीह यीशु की ओड़ तै तन्नै अनुग्रह, दया अर शान्ति मिलदी रहवै।"
"2TI","1","3","मै परमेसवर का धन्यवाद करूँ सूं, जिसकी आराधना मै साफ अन्तरात्मा तै उस्से ढाळ करूँ सूं, जिस तरियां मेरे पूर्वज करे थे, मै अपणी प्रार्थनायां म्ह तन्नै दिन रात याद करूँ सूं।"
"2TI","1","4","मन्नै याद सै के जिब मन्नै थारे ताहीं छोड़ कै जाणा पड़ा था, तो थम मेरे खात्तर किस तरियां रोए थे। मै दिन-रात तेरै तै मिलण की लालसा राक्खूँ सूं, ताके आनन्द तै भर जाऊँ।"
"2TI","1","5","मन्नै तेरी माँ यूनिके का खरा बिश्वास भी याद सै, अर तेरी नानी लोइस का भी इसाए बिश्वास था, अर मन्नै पक्का बिश्वास सै के थारा भी बिश्वास उसाए होगा सै।"
"2TI","1","6","इस्से कारण मै तन्नै याद दुवाऊँ सूं के तू परमेसवर कै उस वरदान नै जो मेरै हाथ धरण कै जरिये तन्नै मिल्या सै प्रज्वलित करदे।"
"2TI","1","7","क्यूँके परमेसवर नै म्हारै ताहीं डरपोक न्ही बणाया, बल्के उसका आत्मा म्हारे मन मजबूत बणावै सै, जो म्हारे ताहीं दुसरयां तै प्यार करण म्ह मदद करै सै, अर म्हारे ताहीं अपणे आप पै काब्बू राखणा सिखावै सै।"
"2TI","1","8","इस करण म्हारै प्रभु यीशु मसीह के बारें म्ह लोग्गां ताहीं बताण म्ह शर्मिन्दा मत होओ, अर शर्मिन्दा होणा भी न्ही चाहिए, क्यूँके मै उसकी सेवा करण कै कारण जेळ म्ह सूं, इसके बजाये थारे ताहीं उस शक्ति का इस्तमाल करणा चाहिए जो परमेसवर थारे ताहीं देवै सै अर सुसमाचार कै खात्तर मेरै गेल्या दुखां नै सह ल्यो।"
"2TI","1","9","परमेसवर नै म्हारा उद्धार करया सै, अर म्हारे ताहीं पवित्र जीवन जीण खात्तर बुलाया सै। उसनै म्हारै ताहीं इस कारण कोनी चुण्या के हमनै आच्छे काम्मां करे सै, बल्के आपणी अनुग्रह अर इच्छा के मुताबिक चुण्या सै। उसनै मसीह ताहीं भेजकै म्हारे उप्पर अनुग्रह दिखाण की योजना दुनिया बणाण तै पैहले ए बणा ली थी।"
"2TI","1","10","पर इब म्हारै उद्धारकर्ता मसीह यीशु जाहिर होए, अर आपणी करुणा दिखाई, जिसनै मौत की शक्ति ताहीं हरा दिया अर म्हारे ताहीं सुसमाचार कै जरिये दिखाया के अनन्त जीवन का एक ए रास्ता सै।"
