Book, Chapter, Verse, Text
"ACT","1","1","हे थियुफिलुस, मैं अपणिया पैहल्लिया कताबा च तिन्हां सारियां गल्लां दे बारे च लिख्या ऐ, जिन्हां जो यीशु सुरू ते करदा कने सखांदा रेह्आ,"
"ACT","1","2","जाह़लू तिकर सैह़ परमात्मे दे जरिये सुअर्गे च चुकेया नीं गेआ। ताह़लू तिकर तिन्हां प्रेरितां जो जिन्हां जो यीशुयैं चुणेया था पवित्र आत्मा दे जरिये हुक्म दिंदा रेह्आ।"
"ACT","1","3","यीशुयैं अपणे दुख झेलणे कने मौत्ती दे बाद बड़े पक्केयां सबूतां नैं अपणे आप्पे जो जिन्दा दस्सेया, कने चाल़ियां दिनां तिकर सैह़ चेलेयां जो दुस्सदा रेह्आ, कने परमात्मे दे राज्जे दियां गल्लां करदा रेह्आ।"
"ACT","1","4","तिस बग्त जाह़लू सैह़ किठ्ठे थे, तिन्नी मिल्ली करी तिन्हां जो हुक्म दित्ता, “यरूशलेम सैहरे जो मत छड्डा, अपर मेरे पिता दे तिस वादे जो पूरे होणे दा इन्तजार करदे रेह्आ, जिसदी चर्चा तुहां मिन्जो ते सुणियो।"
"ACT","1","5","क्जोकि यूहन्ने तां पांणिये च बपतिस्मा दित्या ऐ, अपर थोड़ेयां दिनां बाद परमात्मा पवित्र आत्मा घल्लगा, तांजे जेह्ड़ा तुहां अंदर रैंह्।”"
"ACT","1","6","कने बादे च जाह़लू प्रेरित तिस नैं मिल्ले, भिरी तिन्हां यीशु ते पुछया, “हे प्रभु, क्या सैह़ बग्त आई रेह्आ कि तू इस्राएल देसे दा राज्ज जो अजाद करी नैं बापस लेयोंगा?”"
"ACT","1","7","तिन्नी तिन्हां नैं ग्लाया, “तिन्हां बग्तां या कालां जो जाणने दी जरूरत तुहां जो नीं ऐ, कि सैह़ गल्लां काह़लू हुंगिया, क्जोकि तिन्हां गल्लां जो पितैं अपणे हक्के च रखेया ऐ।"
"ACT","1","8","अपर पवित्र आत्मा तुहां पर ओंगा ताह़लू तुहां सामर्थ पांगे; कने तुहां यरूशलेम सैहर कने सामरिया प्रदेसे कने सारे यहूदिया प्रदेस च, कने पूरे संसारे च मेरे गवाह हुंगे।”"
"ACT","1","9","एह़ ग्लाई नैं तिन्हां दे दिक्खदे-दिक्खदे यीशु सुअर्गे जो चली गेआ, कने बदल़ां दिया बज़ाह ते सैह़ तिसियो दिक्खी नीं सके।"
"ACT","1","10","तिसदे जांदे बग्त जाह़लू सैह़ अम्बरे बक्खी दिक्खा दे थे, तां दिक्खा चाणचक दो माणु चिट्टेयां कपड़ेयां लाई करी तिन्हां अल्ल आई खड़ोते,"
"ACT","1","11","कने तिन्हां नैं ग्लाणा लग्गे, “हे गलीली माणुओ, तुहां क्जो खड़ोई करी अम्बरे बक्खी दिक्खा दे हन, ऐई यीशु जिसियो परमात्मा तुहां दे सामणै ते सुअर्गे जो चुक्की नैं लेई गेआ ऐ, जिस तरीके नैं तुहां तिसियो सुअर्गे च जांदे दिख्या ऐ, तिस ई तरीके नैं सैह़ भिरी ओंगा।”"
"ACT","1","12","एह़ सारियां गल्लां होणे ते बाद प्रेरित जैतून नांऐ दे प्हाड़े ते जेह्ड़ा यरूशलेम सैहरे दे नेड़े लगभग अधा मील दूर ऐ, यरूशलेम सैहरे जो बापस हटी आये।"
"ACT","1","13","जाह़लू सैह़ सैहरे च पुज्जे तां तिस कमरे दिया बोड़ी च गै, जित्थु पतरस कने यूहन्ना कने याकूब कने अन्द्रियास कने फिलिप्पुस कने थोमा कने बरतुल्मै कने मत्ती कने हलफई दा पुत्तर याकूब कने शमौन जेलोतेस कने याकूबे दा पुत्तर यहूदा रैंह्दे थे।"
