Book, Chapter, Verse, Text
"ROM","1","1","मैं पौलुस इसा चिठ्ठिया लिखा दा ऐ, जेह्ड़ा यीशु मसीह दा दास ऐ, कने प्रेरित होणे तांई परमात्मे दे जरिये चुणेया ऐ, कने तिस सुसमाचारे दा प्रचार करणे तांई लग्ग कित्या ऐ, जेह्ड़ा परमात्मे दे पास्से ते ऐ।"
"ROM","1","2","जिस सुसमाचारे तांई तिन्नी पैहल्ले ते ई अपणे भविष्यवक्तां दे जरिये पवित्रशास्त्रे च,"
"ROM","1","3","अपणे पुत्तर अहां दे प्रभु यीशु मसीह दे बारे च वादा कित्या था। सैह़ सरीरे मताबक तां दाऊद राजे दे वंशे ते पैदा होएया।"
"ROM","1","4","कने पवित्र आत्मा दिया सामर्थी नैं सैह़ मरेयां ते जिन्दा होई गेआ। इसते एह़ साबित होएया कि सैह़ परमात्मे दा पुत्तर ऐ, कने सैई यीशु मसीह अहां दा प्रभु ऐ।"
"ROM","1","5","मसीह दे जरिये मिन्जो अनुग्रह कने प्रेरित दी सेवकाई मिल्ली कि तिसदे नांऐ दिया बज़ाह ते सारी जातिआं दे लोक मसीह पर बसुआस करी नैं तिसदी मनन,"
"ROM","1","6","जिन्हां च तुहां भी यीशु मसीह दे होणे तांई सद्देयो हन।"
"ROM","1","7","एह़ चिठ्ठी रोम सैहरे दे तिन्हां सारेयां दे नां पर ऐ, जेह्ड़े परमात्मे दे प्यारे हन, कने पवित्र लोक होणे तांई सद्देयो हन, मैं प्रार्थना करदा ऐ, कि अहां दे पिता परमात्मा कने प्रभु यीशु मसीह दे पास्से ते तुहां जो अनुग्रह कने सांति मिलदी रैंह्।"
"ROM","1","8","पैहल्ले मैं तुहां सारेयां तांई यीशु मसीह दे जरिये अपणे परमात्मे दा धन्यावाद करदा ऐ, क्जोकि तुहां दे बसुआसे दी चर्चा सारे संसारे दे लोकां च होआ दी ऐ।"
"ROM","1","9","परमात्मा जिसदी सेवा मैं अपणे पूरे मने नैं तिसदे पुत्तरे दे सुसमाचार दे बारे च करदा ऐ, सैई मेरा गवाह ऐ, कि मैं तुहां लोकां जो अपणिया प्रार्थना च लगातार याद करदा रैंह्दा ऐ,"
"ROM","1","10","कने हर रोज अपणियां प्रार्थनां च विणती करदा ऐ, कि जे होई सकैं तां परमात्मे दिया इच्छा मताबक मैं तुहां नैं मिलणा औयें।"
"ROM","1","11","क्जोकि मैं तुहां नैं मिलणे दी बड़ी इच्छा करदा ऐ, तांजे मैं तुहां जो बसुआसे च मजबूत करणे तांई कोई आत्मिक वरदान दैं;"
"ROM","1","12","मेरा मतलब एह़ ऐ कि मैं तुहां बिच्च होई नैं तुहां सौगी तिस बसुआसे दे जरिये जेह्ड़ा मिन्जो च ऐ, कने तिस बसुआसे दे जरिये जेह्ड़ा तुहां च ऐ, इक्की दूये जो बसुआसे च मजबूत करदे रैह़न।"
"ROM","1","13","कने हे प्यारे साथी बसुआसियो, मैं नीं चांह़दा कि तुहां इसा गल्ला ते अणजाण रेह्आ कि मैं बार-बार तुहां अल्ल ओणे दी योजना बणाई, कि जिंआं मैं होरनी जातिआं च मसीह तांई चेले बणाये, तिंआं ई तुहां च भी बणन, अपर अह्ल्ली तिकर इसा योजना च रुकावट ओंदी रेई।"
"ROM","1","14","मैं यूनानी कने पखलियां भासां ग्लाणे आल़ेआं, कने अक्लमंदा कने वेअक्लेयां लोकां जो सुसमाचार सनाणे दा कर्जदार ऐ।"
"ROM","1","15","कने मैं तुहां लोकां जो भी जेह्ड़े रोम सैहरे च रैंह्दे हन, सुसमाचार सनाणे जो पूरा त्यार ऐ।"
"ROM","1","16","क्जोकि मैं पूरे मने नैं यीशु मसीह दे सुसमाचारे पर भरोसा रखदा ऐ। एह़ तिन्हां सबना दे उद्धारे तांई परमात्मे दी सामर्थ ऐ, जेह्ड़े इस च बसुआस करदे हन। सबना ते पैहल्ले यहूदी लोकां तांई भिरी होरनी जातिआं दे लोकां तांई भी।"
"ROM","1","17","क्जोकि तिस सुसमाचारे च परमात्मे दी धार्मिकता बसुआसे ते कने बसुआसे तांई प्रगट हुंदी ऐ, जिंआं पवित्रशास्त्रे च लिख्या ऐ, “सैह़ माणु जेह्ड़ा बसुआसे दे जरिये धर्मी बणेया ऐ, जिन्दा रैंह्गा।”"
"ROM","1","18","परमात्मे दा कोप सुअर्गे ते तिन्हां लोकां पर जेह्ड़े अभक्ति कने बुरे कम्म करदे हन प्रगट हुंदा ऐ, जेह्ड़े बुरे कम्मां करणे दे जरिये लोकां जो परमात्मे दिया सच्चाईया जो जाणने तांई रोकदे हन।"
"ROM","1","19","इसतांई कि परमात्मे दे बारे दा ज्ञान तिन्हां दे मनां च प्रगट ऐ, क्जोकि परमात्मैं अप्पु ई एह़ तिन्हां पर प्रगट कित्ता ऐ।"
"ROM","1","20","परमात्मे दी सदा दी सामर्थ कने तिसदे गुण नीं दिक्खे जाई सकदे, अपर इसा सृष्टिया जो बणाणे ते पैहल्ले ई तिन्नी दस्सी दित्ता, कि एह़ चीज्जां कुस साइआं हन, इसतांई तिन्हां लोकां अल्ल इसा गल्ला दे बारे च कोई भाना नीं ऐ, “कि अहां परमात्मे जो नीं जाणदे।”"
"ROM","1","21","ऐत्थु तिकर तिन्हां परमात्मे जो जाणी करी भी तिसियो इज्जत मान कने धन्यावाद नीं कित्ता, जिसदे सैह़ काबल ऐ, अपर वेबकूफी आल़िआं गल्लां सोचणा लग्गे, ऐत्थु तिकर कि तिन्हां तिंआं नीं सोचेया, जिंआं तिन्हां जो सोचणा चाइदा था।"
"ROM","1","22","सैह़ अपणे आप्पे जो अक्लमंद बणाई नैं मूर्ख बणी गै,"
"ROM","1","23","कने तिन्हां हमेसा जिन्दे रैहणे आल़े प्रतापी परमात्मे दिया महिमा जो छड्डी करी, नास होणे आल़े माणुआं, पंछियां, चिड़ियां, कने रैंगणे आल़े जन्तुआं दी मूर्तिया दी महिमा कित्ती।"
"ROM","1","24","इसा बज़ाह ते परमात्मैं तिन्हां जो तिन्हां दे मने दिया इच्छां दे मताबक बेसर्मी दे कम्मां तांई छड्डी दित्ता कि सैह़ अप्पु च बेसर्मी दे कम्मां च अपणे सरीरां दी बेइज्जती करन।"
"ROM","1","25","क्जोकि तिन्हां परमात्मे दी सच्चाईया जो बदली नैं झूठ बणाई दित्या, कने सृष्टिया दी अराधना कने सेवा कित्ती, कने ना कि तिसदी जिन्नी सारी सृष्टिया जो बणाया ऐ, जेह्ड़ा सदा महिमा दे काबल ऐ। आमीन।"
