Book, Chapter, Verse, Text
"TIT","1","1","मैं पौलुस जेह्ड़ा परमात्मे दा दास कने यीशु मसीह दा प्रेरित ऐ, तुहां जो एह़ चिठ्ठी लिखा दा ऐ। मैं परमात्मे दे चुणेयो लोकां दे बसुआसे जो मजबूत करणे तांई चुणेया ऐ, कने तिन्हां दी मदत करणे तांई तांजे सैह़ तिसा सच्चाईया जो जाणी करी ऐदई ज़िन्दगी जीन, जिसते परमात्मा खुस हुंदा ऐ।"
"TIT","1","2","तिसा सदा दी ज़िन्दगिया दिया आसा पर जिसदा वादा परमात्मैं जेह्ड़ा झूठ नीं ग्लाई सकदा, बड़ी पैहल्ले ते कित्या ऐ।"
"TIT","1","3","कने हुण ठीक बग्ते पर परमात्मे अहां पर सुसमाचारे जो प्रगट कित्या ऐ। अहां दे उद्धार करणे आल़े परमात्मे मिन्जो एह़ जिम्मेवारी दित्तियो ऐ, कने इस कम्मे जो करणे तांई हुक्म दित्या ऐ।"
"TIT","1","4","तीतुसे दे नां जेह्ड़ा बसुआसे च मेरा सच्चा पुत्तर ऐ; मैं प्रार्थना करदा ऐ, कि पिता परमात्मे कने अहां दे उद्धार करणे आल़े यीशु मसीह दे पास्से ते तिज्जो अनुग्रह कने सांति मिलदी रैंह्।"
"TIT","1","5","मैं इसतांई तिज्जो क्रेते टापूये च छड्डी करी आया था तांजे तू तित्थु अहां दे कम्मां जो पूरा करी सकैं, कने क्रेते टापू दे हर सैहरे च खास अगुऐ चुणैं जिंआं मैं तिज्जो करणे दा हुक्म दित्या ऐ।"
"TIT","1","6","अगुआ बेकसूर कने इक्की लाड़िया दा लाड़ा होणा चाइदा, जिसदे बाल-बच्चे बसुआसी होन, कने जिस पर लुचपण कने मनमर्जी दा दोस नीं लगेया होयैं।"
"TIT","1","7","क्जोकि अगुआ परमात्मे दा भण्डारी होणे दिया बज़ाह ते बेकसूर होणा चाइदा; ना जिद्द करणे आल़ा, ना गुस्सा करणे आल़ा, ना पियक्कड़, ना मारपीट करणे आल़ा, कने ना नीच कमाईया दा लालची होयैं,"
"TIT","1","8","अपर घरैं आएयो परोणेयां दी इज्जत करणे आल़ा, दूयेयां सौगी भलाईया करणे आल़ा, हर हालता च अपणे आप्पे पर काबू करणे आल़ा, सच्चा न्याय करणे आल़ा, पवित्र कने अपणिया इच्छा पर काबू करणे आल़ा होणा चाइदा।"
"TIT","1","9","तिसियो यीशु मसीह दे बसुआसे आल़े वचनां पर मजबूतिया सौगी भरोसा करणा चाइदा, जेह्ड़ा अहां सखाया था। तांजे सैह़ दूयेयां जो ठीक सिक्षा मन्नणे तांई हिम्मत देई सकैं, कने दूयेयां दिया गलतिया जो ठीक करी सकैं।"
"TIT","1","10","मैं एह़ तां ग्लांदा ऐ, क्जोकि मत्ते लोक खरिया सिक्षा दा बरोध करदे हन, जेह्ड़े बक-बक करणा कने दूयेयां जो धोखा दैणा सखांदे हन। खास करी नैं एह़ गल्ल तिन्हां यहूदी लोकां तांई साबित हुंदी ऐ, जेह्ड़े बसुआस करदे हन।"
"TIT","1","11","ऐदेयां लोकां जो सिक्षा दैणे दी इजाजत मत देआ, क्जोकि जाह़लू सैह़ ऐदई सिक्षा दिंदे हन, जेह्ड़ी तिन्हां जो नीं दैणी चाइदी, क्जोकि एह़ लोक सारे परवारां दा बसुआस नास करदे हन, सैह़ एह़ तां करदे हन कि पैसा हासल करी सकन।"
"TIT","1","12","क्रेते टापूये दा इक्क माणु, जिसियो सैह़ अक्लमंद समझदे हन, सैह़ ग्लांदा ऐ कि “क्रेते दे लोक सदा झूठे, बुरे जानवर, आलसी कने पेटू हुंदे हन।”"
"TIT","1","13","इन्हां लोकां दे बारे च एह़ गवाही सच्ची ऐ, इसतांई तिन्हां जो कड़ी चतौणी दिंदा रैह् तांजे सैह़ यीशु मसीह दी सच्ची सिक्षा पर बसुआस करन।"
"TIT","1","14","तुहां यहूदियां दी मनगढ़ंत काहणियां कने तिन्हां माणुआं दे हुक्मां पर मन नीं लगाणा, जेह्ड़े सच्चाईया ते भटकी गियो हन।"
"TIT","1","15","तिन्हां लोकां तांई सारियां चीज्जां खरियां हन, जिन्हां दे मनां च पापे आल़े बचार नीं हन। अपर तिन्हां लोकां तांई जेह्ड़े बुरे हन, कने बसुआस नीं करदे, कुच्छ भी खरा नीं ऐ, जेह्ड़ा सैह़ करदे हन।"
"TIT","1","16","सैह़ झूठे सिक्षक ग्लांदे हन कि अहां परमात्मे जो जाणदे हन, अपर अपणे कम्मां ते तिसदा इन्कार करदे हन। क्जोकि सैह़ घृणित कने हुक्मां नीं मन्नणे आल़े हन, कने कुसी खरे कम्मे जोग्गे नीं हन।"
"TIT","2","1","अपर तीतुस तिज्जो तांई एह़ जरूरी ऐ कि तू बसुआसियां जो यीशु मसीह दे बारे च सिर्फ सैई सिक्षां दे, जेह्ड़ियां सच्चियां हन।"
"TIT","2","2","स्याणे माणुआं जो अपणे आप्पे पर काबू रखणा, इज्जतदार बणना, कने अक्लमंदिया नैं जीणा सखा। तिन्हां अल्ल मजबूत बसुआस, प्यार कने सबर होणा चाइदा।"
