Book, Chapter, Verse, Text
"GAL","1","1","हुंह पल़सी ज़ुंण शधाणूं आसा, हुंह निं कसा मणछा बाखा या कसा मणछे बोलै शधाणूं आथी। पर हुंह आसा मसीहा ईशू और तेऊ परमेशरै शधाणूं छ़ांटअ द ज़ुंणी ईशू मरी करै भी ज़िऊंदअ किअ।"
"GAL","1","2","सोभै विश्वासी भाई-बैहण ज़ुंण मुंह संघै इधी आसा, हाम्हैं लिखी अह च़िठी गलाती लाक्के विश्वासी मंडल़ीए सोभी भाई-बैहणी लै।"
"GAL","1","3","म्हारै बाप्पू परमेशर और प्रभू ईशू मसीहा का आसा मेरी एही अरज़ कि तम्हां सोभी लोल़ी झींण और शांती सदा हुई।"
"GAL","1","4","मसीहा ईशू हुअ म्हारै बाप्पू परमेशरे मरज़ी करै म्हारै पापा लै बल़ीदान ताकि हाम्हां एऊ संसारे बूरै लोगा मांझ़ा का बच़ाऊए।"
"GAL","1","5","हुंह करा प्राथणां कि लोग लोल़ी परमेशरे स्तोती और बड़ाई लोल़ी जुगै-जुगै करदै रहै। तथास्तू।"
"GAL","1","6","मुंह हआ एसा गल्ले रहैनी कि ज़ुंणी परमेशरै तम्हैं मसीहे झींणा करै शादै, तेऊ का लागै तम्हैं एतरै छ़ेकै मुंह फरेऊई करै होरी खुशीए समादा दी विश्वास करदै ज़ेता लै कई इहअ बोला कि अह आसा खुशीओ।"
"GAL","1","7","असली खुशीओ समाद आसा एक्कै ई, पर गल्ल आसा एही कि कई लोग आसा इहै, ज़ुंण तम्हां डरैऊआ, और तिंयां च़ाहा मसीहे खुशीए समादा बगाल़णअ।"
"GAL","1","8","पर ज़ुंण खुशीओ समाद तम्हां का आसा खोज़अ द, ज़ै तम्हां लै स्वर्ग दूत बी तेऊ खुशीए समादा छ़ाडी किज़ै होर खुशीओ समाद खोज़े, परमेशरै लोल़ी तिन्नां लै शाप लाअ।"
"GAL","1","9","ज़िहअ हुंह तम्हां लै पैहलै बी आसा बोली मुक्कअ द, तिहअ ई बोला हुंह ऐबै भी कि ज़ुंण खुशीओ समाद तम्हां का मंऐं आसा खोज़अ द, तेऊ छ़ाडी ज़ै कुंण किज़ै होरी रंगो खुशीओ समाद खोज़ा ज़ुंण तेऊ खुशीए समादा संघै मेल़-ज़ोल़ नांईं खांदअ ज़ेता तम्हैं विश्वास करा, हुंह करा परमेशरा का अरज़ कि तेऊ लै दैऐ सज़ा।"
"GAL","1","10","हुंह निं असली दी मणछा खुश करदअ आथी लागअ द पर हुंह च़ाहा परमेशरा खुश करनअ। ज़ै हुंह अज़ी बी परमेशरा छ़ाडी मणछा खुश करदअ रहअ हंदअ, तै निं हुंह मसीहा प्रभूओ टैहलू हंदअ त।"
