Book, Chapter, Verse, Text
"3JN","1","1","हुंह मंडल़ीओ सैणअ युहन्ना लिखा एसा च़िठी ताह, मेरै पैरै साथी गयुसा लै। हुंह डाहा ताह संघै झ़ूरी किल्हैकि हाम्हैं आसा सत्ता दी।"
"3JN","1","2","ए मेरै पैरै साथी, मेरी आसा एही अरज़ कि ज़िहअ तूह विश्वासा दी बझ़दअ आसा लागअ द तिहअ ई लोल़ी तूह सोभी साबै बझ़दअ लागअ और तूह लोल़ी देही दी राज़ी-राम्बल़अ रहअ।"
"3JN","1","3","किल्हैकि ज़ांऊं होरी विश्वासी भाई खोज़अ मुखा कि तूह किहअ भरोस्सैमंद हई करै आसा तेऊ सत्ते साबै ज़िन्दगी ज़िऊंदअ, मुंह हुई इहअ शूणीं करै बडी भाई खुशी।"
"3JN","1","4","मुल्है निं एता का बडी होर किछ़ै खुशी आथी ज़ांऊं मंऐं इहअ शूणअ कि ज़ुंण मेरै लान्हैं ज़िहै आसा तिंयां आसा तेऊ सत्ते साबै ज़िन्दगी ज़िऊंदै लागै दै।"
"3JN","1","5","ए मेरै पैरै साथी, तंऐं की तिन्नां विश्वासी भाईए बडी भारी मज़त ज़ुंण खुशीए समादा खोज़णा लै हांढदै-फिरदै रहा। इधी तैणीं कि तंऐं की तिन्नां लै बी मज़त ज़ुंण तेरै भेतू-बछ़ैणूं नांईं बी तै।"
"3JN","1","6","ज़सरी तंऐं मज़त की तिन्नां मांझ़ै खोज़अ कई खोज़अ तेरै इधी मंडल़ीए विश्वासी का कि तूह संघी विश्वासीए केही खास्सी मज़त करा। ऐबै बोला हुंह ताल्है कि तूह रहअ आजू बी इना इहै विश्वासीए हर ज़रुरता लै मज़त करदअ लागी ज़ेभै तिंयां ताह सेटा का होरी ज़ैगा लै आजू डेओआ। किल्हैकि एता करै हआ परमेशर खुश।"
"3JN","1","7","किल्हैकि ईंयां लोग आसा हर ज़ैगा एते तैणीं हांढदै-फिरदै लागै दै कि प्रभूओ बैण सारै दी पुजे। तिंयां निं तिन्नां का किछ़ै मांगदै ज़ुंण विश्वासी निं आथी।"
"3JN","1","8","तैही लागा इने आपणैं घरै बशैल़ी हर गल्ले मज़त करनी, ज़िहअ करै हाम्हैं बी तिन्नां संघै तेऊ सत्ते बारै खोज़णा लै साझ़ू हई सके।"
"3JN","1","9","मंऐं दैनी ती पैहलै बी तेरी मंडल़ीए लोगा लै च़िठी लिखी पर दिऊतरिप्सै निं मेरी गल्ला मनी किल्हैकि सह च़ाहा कबल्लअ आप्पू ई मंडल़ीओ सैणअ रहणअ।"
"3JN","1","10","ज़ेभै हुंह एछणअ, ता मुंह खोज़णअ तेऊए बारै मंडल़ीए सोभी लोगा सम्हनै कि सह किज़ै करा। सह लाआ बूरी गल्ला बोली हाम्हां लै झ़ुठअ दोश, सिधअ एतरअ ता हुअ, सह निं खुशीए समादा खोज़णैं आल़ै हांढदै फिरदै विश्वासी आपणैं घरै मंदअ और ज़ुंण होर विश्वासी मनणअ च़ाहा तिन्नां काढा सह मंडल़ी का बागै।"
"3JN","1","11","ए मेरै पैरै साथीओ, ज़ुंण लोग बूरी गल्ला करा तिन्नें नकल निं करा। पर तिन्नां लोगा ज़िहअ करा ज़ुंण भलै काम करा। ज़ेभै कुंण भलै काम करा तेता करै शुझिआ कि सह आसा परमेशरे लुआद। ज़ेभै कुंण बूरै काम करा तेता करै जा शुझुई कि तेऊ का निं परमेशरो थोघ आथी।"
"3JN","1","12","मंडल़ी दी बोलअ सोभी कि दिऊतरिप्स आसा भलअ मणछ और तेऊए ज़िन्दगी आसा तेऊ सत्ते साबै। हाम्हैं बी बोला इहअ ई कि सह आसा भलअ मणछ। ताखा बी आसा थोघ कि हाम्हैं बोला शुचअ।"
"3JN","1","13","होर बी आसा कई गल्ला ज़ुंण हुंह ताल्है बोल़णअ च़ाहा, पर हुंह निं तिन्नां च़िठी दी लिखणअ च़ाहंदअ।"
"3JN","1","14","पर मुंह आसा आशा कि हुंह एछणअ ताह सेटा लै छ़ेकै और तेभै करनी मुंह तेरै सम्हनै गल्ला।"
"3JN","1","15","हुंह करा परमेशरा अरज़ कि सह ताल्है शांती दैए। इधी होर सोभै साथी भाई बी दैआ ताल्है राज़ी-खुशी और तिधे साथी भाई लै दैऐ सोभिओ नांअ लई करै राज़ी-खुशी। ()"
