Book, Chapter, Verse, Text
"REV","1","1","परमेशरै खोज़ी ईशू मसीहा का तिंयां गुप्त गल्ला ज़ुंण आजू पाक्कै दी आसा हणैं आल़ी, ताकि सह तिन्नां सेऊआ करनै आल़ै लै प्रगट करी सके। तेखअ दैनअ ईशू आपणअ स्वर्ग दूत आपणैं टैहलू युहन्ना सेटा छ़ाडी करै इना गल्लो समाद। ()"
"REV","1","2","मंऐं युहन्ना लिखी तिंयां सोभै गल्ला ज़ुंण मंऐं भाल़ी। हुंह खोज़ा एऊ लिखै दी परमेशरो बैण और तिन्नां शुची शिक्षा ज़ुंण ईशू मसीहा मुल्है प्रगट की।"
"REV","1","3","परमेशर दैआ तिन्नां सोभी लै बर्गत ज़ुंण इना प्रगट की दी गल्ला होरी लै पहल़ा और तेऊ दैणीं तिन्नां लै बर्गत ज़ुंण शूणां और मना। किल्हैकि ईंयां गल्ला आसा छ़ेकै हणैं आल़ी।"
"REV","1","4","हुंह युहन्ना लिखा एता तम्हां विश्वासी लै ज़ुंण एशिया लाक्कै साता मंडल़ी दी आसा। हुंह करा एही प्राथणां कि तम्हां लोल़ी परमेशरा का जश और शांती भेटी। सह आसा इहअ परमेशर ज़ुंण सदा तिहअ ई रहा, सह ज़ुंण आझ़ आसा, आझ़ा का पैहलै त और आजू बी रहणअ। तिन्नां साता आत्मां बाखा बी लोल़ी झींण और शांती भेटी ज़ुंण तेऊए राज़गादी सम्हनै आसा"
"REV","1","5","और ईशू मसीहा बाखा बी लोल़ी तम्हां सोभी झींण और शांती भेटी ज़ुंणी भरोस्सैमंद हई करै परमेशरो सत्त प्रगट किअ। अह आसा सह पैहलअ ज़ुंण मरी करै भी ज़िऊंदअ हुअ और सह आसा एऊ संसारे सोभी प्रैंदै राज़ करनै आल़अ। () सह आसा हाम्हां लै झणैल़ू और तेऊ बच़ाऊऐ हाम्हैं, तेऊ छ़ड़ैऊऐ हाम्हैं म्हारै पापा का आपणैं लोहू करै।"
"REV","1","6","तेऊ बणांऐं हाम्हैं इहै लोग ज़सरअ राज़अ परमेशर आप्पै आसा और तेऊ बणांऐं हाम्हैं आपणैं बाप्पू परमेशरा लै परोहित। तेऊओ ई अदर और राज़ लोल़ी जुगै-जुगै सदा लै रहअ। तथास्तू। ()"
"REV","1","7","भाल़ा, सह आसा बादल़ा संघै स्वर्गा का एछणैं आल़अ। सह शुझणअ सोभी मणछा का, ज़ुंणी तेऊ लै कील बरछ़ै बी बाहै तै तिन्नां का बी शुझणअ सह। पृथूईए सोभी लोगा पाणीं तेभै ज़ोरै-ज़ोरै लेरा ज़ेभै सह तिन्नां भाल़णअ। () तथास्तू।"
"REV","1","8","प्रभू परमेशर बोला इहअ, “आदी और अंत, हुंह आसा सह ई ज़ुंण आझ़ आसा, ज़ुंण आझ़ा का पैहलै त और आजू बी आसा एछणैं आल़अ, सर्वशक्तिमान।” ()"
"REV","1","9","हुंह आसा थारअ संघी विश्वासी भाई युहन्ना। हुंह आसा तम्हां संघै परमेशरे राज़ा दी मसीहा लै सबर डाही दुख ज़िरना लै साझ़ू ज़ुंण तिन्नां लै एछा ज़सरअ नातअ तेऊ संघै आसा। हुंह छ़ाडअ पतमुस टापू लै रोम राज़े मुखियै एक कैदी। किल्हैकि हुंह खोज़ा त परमेशरो बैण और ईशू मसीहो शुचअ समाद।"
"REV","1","10","इहअ हुअ कि एकी धैल़ै तै लागै दै हाम्हैं होरी विश्वासी संघै परमेशरे आराधना करदै और परमेशरे आत्मां किअ हुंह आपणैं बशै तेखअ शूणअ मंऐं आप्पू पिछ़ू कुंण मुल्है बोलदअ लागअ द। तेऊओ बोल आसा त इहअ कि ज़िहअ कुंण नाद बाज़दअ होए लागअ द।"
"REV","1","11","तेऊ बोलअ मुल्है इहअ, “ज़ुंण किछ़ तूह भाल़ा, तेता लिख कताबा दी और तेता छ़ाड साता विश्वासीए मंडल़ी लै, मतलब-इफिसुस, स्मूरना, पिरगमन, थुआथिरा, सरदीस और फिलेदीलफिया और लौदिकिया नगरीए मंडल़ी लै।”"
"REV","1","12","मंऐं दैनी पिछ़ू भाल़णीं ज़ुंण मुल्है बोलदअ त लागअ द, ज़ांऊं मंऐं पिछ़ू भाल़अ ता मुखा शुझुऐ सात सदीऐ ज़ल़ै दै।"
"REV","1","13","ता तिन्नां सदीऐ भाल़अ मंऐं एक मणछा ज़िहअ मांझ़ा-मांझ़ी खल़अ। मुखा शुझुअ सह इहअ कि तेऊ आसा खूरा तैणीं च़ोल़अ बान्हअ द और हिक्का दी आसा ज़ेही सुन्नें गाची बान्हीं दी। ()"
"REV","1","14","तेऊओ मूंड और शराल़ तै ज़ेही शेती ऊन, तिंयां ज़ाण्हिंआं तै ज़िहै हिंऊंआं ज़िहै शेतै च़मकदै लागै दै; और तेऊए आछी ती आगीए लुपल़ै ज़ेही। ()"
"REV","1","15","तेऊए खूर तै ज़िहै च़ोखै पितल़ा ज़िहै कि तेथ आसा आरनैं पाण दैनी दी, ज़ांऊं सह गल्ला करा त, तेऊए बोल करा तै एही छ़ेल़ ज़िहअ उछ़टअ पाणींओ छ़ो छ़ेल़ छ़ाडा। ()"
"REV","1","16","सह आसा इहअ सर्वशक्तिमान कि तेऊ तै आपणैं दैहणै हाथै सात तारै ढाकै दै और तेऊए खाखा का निखल़ा ती ज़ेही दुही बाखा तिछी तलबार, और तेऊओ मुंह त इहअ च़मकदअ लागअ द कि ज़िहअ सुरज़ दपहरै च़मका। ()"
"REV","1","17","ज़ांऊं मंऐं सह भाल़अ, ता तेऊए च़रणैं पल़अ हुंह मुल्दै ज़िहअ। तेखअ बोलअ तेऊ मुंह प्रैंदै आपणअ दैहणअ हाथ डाही करै, “डरै निं आथी, हुंह आसा आदी और अंत और हुंह आसा सह ज़ुंण सदा ज़िऊंदअ रहा।()"
"REV","1","18","“हुंह गअ त मरी और ऐबै भाल़, हुंह आसा जुगै-जुगै ज़िऊंदअ और मौते और सुरगे कुंज़ी आसा मुखा।()"
"REV","1","19","“तैही लिख तिन्नां सोभी गल्ला, ज़ुंण गल्ला तंऐं भाल़ी, और ज़ुंण गल्ला हंदी आसा लागी दी, और ज़ुंण गल्ला आजू हणैं आल़ी आसा।"
"REV","1","20","तिन्नां साता तारैओ भेद, ज़ुंण तंऐं मेरै दैहणै हाथै भाल़ै, और तिन्नां साता सुन्नें सदीएओ भेद। तिंयां सात तारै आसा साता मंडल़ीए स्वर्ग दूत और तिंयां सात सदीऐ आसा सात विश्वासीए मंडल़ी।”"
"REV","2","1","तेऊ बोलअ मुल्है इहअ बी “इफिसुस नगरी दी विश्वासी मंडल़ीए स्वर्ग दूता लै लिख इहअ समाद कि हुंह आसा सह ज़ुंणी सात तारै आपणैं खाणैं हाथै आसा ढाकै दै और सह ज़ुंण सात सुन्नें सदीऐ जैंदरी हांढा, हुंह बोला ताल्है इहअ,"
"REV","2","2","“मुखा आसा तेरै काम, मैन्थ, और तेरै सबर करनैओ थोघ; और इहअ बी आसा थोघ कि तूह निं बूरै लोगा भाल़ी सकदी; और ज़ुंण आप्पू लै शधाणूं बोला, पर तिंयां निं आथी, तिंयां परखै तंऐं और तिंयां निखल़ै झ़ुठै।"
"REV","2","3","तूह आसा सबर डाही मेरी तैणीं दुख ज़िरदी लागी दी और अज़ी बी आसा मुंह दी तेरअ भरोस्सअ पाक्कअ।"
"REV","2","4","“पर मुखा शुझुई ताह दी एही गलती कि तंऐं छ़ाडअ मुखा पैहलै ज़ेही झ़ूरी करनी।"
"REV","2","5","एसा गल्ला लै दैऐ धैन कि तंऐं किधी की च़ूक! आपणैं मना बदल़ और पैहलै ज़िहअ काम कर; ज़ै तूह मन नांईं फरेओए, तै च़कणअ मुंह ताह सेटा लै एछी करै तेरअ सदीअ तेसा ज़ैगा का पोर्ही।"
"REV","2","6","पर हाँ, एक गल्ल आसा ताखा ज़रूर कि तूह करा तिन्नां निकोले मणछे बूरै कामां का नफरत, ज़हा का हुंबी नफरत करा।()"
"REV","2","7","“ज़ै कुंण समझ़णअ च़ाहे तै दै एसा गल्ला दी धैन कि परमेशरे आत्मां मंडल़ी लै किज़ै बोला, ज़ुंण ज़िते तेऊ लै दैणअ मुंह ज़िन्दगीए बूटा का फल़ खाणां लै ज़ुंण स्वर्गै आसा।()"
"REV","2","8","“स्मूरना नगरी दी विश्वासी मंडल़ीए स्वर्ग दूता लै लिख इहअ समाद, “ज़ुंण आदी और अंत आसा, ज़ुंण मरी त गअ द और ऐबै आसा गअ द ज़िऊंदअ हई; सह बोला इहअ,()"
"REV","2","9","“‘मुखा आसा थोघ कि ताह भेटै खास्सै दुख और तूह आसा गरीब। पर तूह आसा दिला का असली दी सेठ। मुखा आसा तिन्नें बारै थोघ ज़ुंण आप्पू लै इहअ बोला कि तिंयां आसा परमेशरे छ़ांटै दै लोग, पर तिंयां निं आथी। तिंयां बोला तेरै बारै बूरी गल्ला, पर तिंयां आसा शैताने मंडल़ी दी साझ़ू।"
"REV","2","10","ज़ुंण दुख ताह भुगतणै, तेता का निं डरी, किल्हैकि भाल़ै, शैताना आसा तम्हां मांझ़ै कई लाऐ दै कैद खानै दी पाई ताकि तम्हां परखी सके; तम्हां लागणअ दसा धैल़ै सांगट ज़िरनअ, प्राण दैणैं तैणीं रहै विश्वासी बणीं, तै दैणअ मुंह ताल्है ज़िन्दगीओ मुगट।’()"
"REV","2","11","“ज़ै कुंण समझ़णअ च़ाहे तै दै एसा गल्ला दी धैन कि परमेशरे आत्मां मंडल़ी लै किज़ै बोला! ज़ुंण ज़िते तिन्नां लै निं दुजी मौतो दुख हणअ ज़ेभै खिरी परमेशरा न्याय करनअ।"
