Book, Chapter, Verse, Text
"TIT","1","1","हांऊँ पौलुस ऐ चिट्ठी लिखदा लागा सा ज़ो परमेश्वरा रा दास होर यीशु मसीह रा एक प्रेरित सा, हांऊँ परमेश्वरा रै चुनेदै लोका रै बशाह बै मजबूत केरनै होर तिन्हां बै यीशु मसीह री सच़ाई बै जाणनै री तैंईंयैं मज़त केरनै री तैंईंयैं चुनु सा ताकि ते ऐण्ढी ज़िन्दगी ज़ीलै ज़ुणी सैंघै परमेश्वरा रा आदर हो।"
"TIT","1","2","नतीज़ै रै तौरा पैंधै, ते हमेशा री तैंईंयैं परमेश्वरा सैंघै रौहणै री आश केरा सी किबैकि परमेश्वर ज़ो कैधी झूठ नैंई बोलदा, तेइयै दुनिया बनाणै न पैहलै वायदा केरू ती कि तेइरै लोका हमेशा री तैंईंयैं ज़िन्दै रौहणा।"
"TIT","1","3","पर ऐबै ठीक बौगता पैंधै परमेश्वरै ऐ खुशी रा समाद आसाबै प्रगट केरू, होर आसै ऐ सैभी बै प्रचार केरा सी। परमेश्वर आसरै उद्धार केरनु आल़ै तेइरी तैंईंयैं मुँभै कोम केरनै बै हुक्म देंदेआ ऐ ज़िम्मैबारी धिनी सा।"
"TIT","1","4","हांऊँ ऐ चिट्ठी तीतुसा बै लिखा सा। तुसै मेरै बेटै सांही सी किबैकि तुसै मसीह न बशाह केरा सी ज़ैण्ढै हांऊँ केरा सा। हांऊँ प्रार्थना केरा सा कि पिता परमेश्वर होर आसरै प्रभु यीशु मसीह री तरफा न तुसाबै अनुग्रह, दया होर शान्ति मिलदी लोड़ी रौही।"
"TIT","1","5","मैं तैबै तू क्रेता टापू न छ़ौड़ू ती, ताकि तू आसरै कोमा बै पूरा केरी सकलै तौखलै हर शैहरा न स्याणै बै नियुक्त केरी सकै, ज़ैण्ढै कि मैं तौभै केरनै बै बोलू ती।"
"TIT","1","6","ज़ो निर्दोष होर एकी लाड़ी रा लाड़ा होलै, ज़ुणिरै शोहरू बिश्वासी होलै, होर ज़ुणीन लुचपन होर हुक्म नी मनणै रा दोष नैंई होला।"
"TIT","1","7","किबैकि अगुवा बै परमेश्वरै रा भण्डारी होंणै री तैंईंयैं निर्दोष हुआ लोड़ी; न हठी, न झ़िक केरनु आल़ा, न पीणू आल़ा, न मारनू आल़ा, होर न नीच कमाई रा लोभी।"
"TIT","1","8","पर पाहुणच़ारी केरनु आल़ा, भलाई बै चाहणु आल़ा, सँयमी, न्याय केरनु आल़ा, पवित्र होर आपणै आपु बै बशा न केरनु आल़ा।"
"TIT","1","9","तेइबै इमानदारी सैंघै तेई सन्देशा रा पालन केरना चेहिऐ ज़ो विश्वासयोग्य सा होर ज़ो ऐई वचना न सहमत सा होर ज़ो लोकै तेइबै सिखाऊ सा। तेई आपणी खरी शिक्षा न दुज़ै री मज़त केरनी होर सच़ी शिक्षा रा बरोध केरनु आल़ै बै सही केरना।"
"TIT","1","10","हांऊँ ऐ बोला सा किबैकि बोहू सारै लोका खरी शिक्षा रै खिलाफ़ विद्रोह केरना ज़ो बकवास सिखा सी, होर ज़ो होरी बै धोखा देआ सी। खास केरिया ऐ किछ़ यहूदी री तैंईंयैं सच़ सा ज़ो विश्वासी बणै सी।"
"TIT","1","11","इन्हां लोका बै सिखाणै रा हुक्म मता देआ, ऐ लोका नीच कमाई री तैंईंयैं गलत गैला सिखाईया घौरै रै घौर बिगाड़ै सी।"
"TIT","1","12","क्रेती टापू रा एक मांहणु सा ज़ुणिबै ते बुद्धिमान मना सी, तेई बोलू, “क्रेतै टापू रै लोक हमेशा झूठ बोला सी। ते जंगली पशु सांही बर्ताव केरा सी। ते आलसी होआ सी होर हमेशा बोहू खाँणा खा सी।”"
"TIT","1","13","ऐ गैला क्रेतै लोका रै बारै न ऐबै भी सच़ सा, तैबै तिन्हां बै सखती सैंघै च़िताऊणी देआ, कि ते मसीह यीशु रै बारै सच़ी शिक्षा पैंधै बशाह केरलै।"
"TIT","1","14","होर यहूदिया री बेकारै री कहाणी होर तिन्हां मांहणु रै हुक्मा पैंधै मन मता लांदै, ज़ो सच़ाई न भट्टकी जा सी।"
"TIT","1","15","च़ोखै मांहणु री तैंईंयैं सैभ चिजा च़ोखी सी, होर अविश्वासी री तैंईंयैं किछ़ भी च़ोखा नैंई ऑथि पर तिन्हरी बुद्धि होर विचार दुऐ छ़ोतले सी।"
"TIT","1","16","ऐ झ़ूठी शिक्षा देणु आल़ै बोला सी, कि आसै परमेश्वरा बै जाँणा सी, पर आपणै कोमा न तेइरा इन्कार केरा सी, किबैकि ते बुरै होर हुक्म नी मनणु आल़ै सी: होर कोई शोभलै कोमा रै लायक नी ऑथि।"
"TIT","2","1","पर ज़ैण्ढै कि तेरी तैंईंयैं तीतुस तौभै विश्वासी बै सौऐ सिखाणा चेहिऐ ज़ो सच़ी शिक्षा रै लायक सा।"
"TIT","2","2","खापरै मर्दा, बै होशियार, गम्भीर होर संयमी होर तिन्हरा बशाह होर झ़ुरी होर धिरज पक्का हो।"
"TIT","2","3","ऐण्ढी तैरहा खापरी बेटड़ी रा बर्ताव ऐण्ढा हो कि ते ज़ो किछ़ भी केरली तेथा न परमेश्वरा रा आदर हो, ते दोष लाणु आल़ी होर पियक्कड़ नैंई; पर शौभली गैला सिखाणु आल़ी हो।"
"TIT","2","4","ताकि ते जुआन बेटड़ी बै सलाह देंदी रौहली, कि आपणै लाड़ै होर बाल-बच्चै सैंघै झ़ुरी रखली।"
"TIT","2","5","होर संयमी, पतिव्रता, घौरा रा कोम काज़ केरनु आल़ी, खरी होर आपणै-आपणै लाड़ै रै अधीन रौहणु आल़ी हो, ताकि परमेश्वरै रै वचनै री निन्दा नैंई लोड़ी हुई।"
"TIT","2","6","ऐण्ढी तैरहा तू ज़ुआन मर्दा बै भी समझ़ा कि ते सँयमी हो।"
"TIT","2","7","सैभी गैला न आपणै आपु बै खरै कोमै रा नमूना बणा; तेरी शिक्षा शोभली होर गम्भीर"
"TIT","2","8","होर ऐण्ढै खरा हुआ लोड़ी, कि कोई बुरा नैंई बोली सकला; ज़ुणी सैंघै कोई बरोधी आसा पैंधै दोष लाणै रा मौका नी पाईआ शर्मिन्दा होला।"
"TIT","2","9","विश्वासी ज़ो नोकर सी तिन्हां बै सिखा कि ते सैभ किछ़ केरै ज़ो तिन्हरै मालक तिन्हां बै केरनै बै बोलै । तिन्हां बै हर च़ीजा न खुश केरनै कोशिश केरा होर तिन्हां सैंघै बैंहस न केरै।"
"TIT","2","10","च़ोरी च़लाकी मता केरा; पर सैभी तैरहा न पूरै विश्वासी निकलै, कि ते सैभी गैला न आसरै उद्धारकर्ता परमेश्वरै री शिक्षा री शौभा बढ़ाऐ।"
"TIT","2","11","परमेश्वरै सैभी लोका बै बच़ाणै री तैंईंयैं एक बौत रिहाईया आपणा अनुग्रह रिहाऊ।"
"TIT","2","12","ऐई अनुग्रह रै ज़रियै परमेश्वर आसाबै याद दिला सा, कि आसै अभक्ति होर दुनिया री अभिलाषा न मन फेरिया ऐई ज़ुगा न संयमी होर धर्मा सैंघै भक्ति री ज़िन्दगी बितालै।"
"TIT","2","13","होर तेसा धन्य आशा री मतलब आपणै महान परमेश्वर होर उद्धारकर्ता यीशु मसीह री महिमा रै प्रगट होंणै रा इंतज़ार केरदै रौहा सी।"
"TIT","2","14","ज़ुणियै कि आसरी तैंईंयैं आपणा बलिदान केरु, कि आसाबै सैभी प्रकारै रै पापा न छुटकारा, होर च़ोखै केरिया आपणी तैंईंयैं एक ज़ाति बणाले ज़ो खरै कोम केरनै री बोहू इच्छा रखा सी ।"
"TIT","2","15","पूरै अधिकारा सैंघै इन्हां गैला बोलीत् होर समझाई होर सिखाँदै रौहित् कोई तुसै तुच्छ नी लोड़ी बुझ़ै।"
"TIT","3","1","विश्वासी बै याद कराई, कि हाकिम होर मुखिया रै अधीन रौहित्, होर तिन्हैं रै हुक्म मनीत, होर दुजै रै तैंईंयैं हर एक खरै कोमै री तैंईंयैं त्यार रौहित्।"
"TIT","3","2","कौसी बै बदनाम मतेई केरीत्; झ़गड़ालू नी होलै; पर दुज़ै लोका पैंधै दया रिहान्दा हो, होर सैभी मांहणु सैंघै बड़ी नम्रता सैंघै रौहला।"
"TIT","3","3","किबैकि आसै भी मसीह बणनै न पैहलै, निर्बुद्धि, होर हुक्म नी मनणु आल़ै, होर लोका न धोखा खाऐन्दै ती, होर हर किस्मा री इच्छा होर सुख विलासै री गुलामी न ती, होर जलस केरनै न ज़िंदगी ज़ीआ ती, नफरता न होर एकी दुज़ै न बैर डाह ती।"
"TIT","3","4","पर फिरी भी ज़ैबै आसरै उद्धारकर्ता परमेश्वरै री भलाई, होर मांहणु पैंधै तेइरा झ़ुरी प्रगट हुई।"
"TIT","3","5","ता तेइयै आसरा उद्धार केरु होर ऐ धर्मा रै कोमा रै बजहा न नैंई, ज़ो आसै आपु केरै सी। पर आपणी दया रै मुताबक परमेश्वरै आसाबै नोंऊँई ज़िन्दगी धिनी। तेइयै आसरै पाप आसा न दूर केरै होर आसाबै एक नोंऊँऐं तरीकै न जीणै लायक बणाऐ। तेइयै आपणी पवित्र आत्मा आसा आँध्रै रखिया ऐण्ढा केरू।"
"TIT","3","6","ज़ुण तेइयै आसरै उद्धारकर्ता यीशु मसीह रै ज़रियै आसा पैंधै बोहू बड़ी आशीष धिनी री सा।"
"TIT","3","7","ज़ुणिरी बजहा न आसै तेई रै अनुग्रह सैंघै धर्मी बणीया, हमेशा री ज़िन्दगी री आशा रै मुताबक वारिस बणै ।"
"TIT","3","8","ऐ गैल सच़ी सा ज़ो मैं तौभै बोलू, होर हांऊँ चाहा सा, कि तु इन्हां गैला रै बारै न हिम्मती सैंघै सिखा तैबै कि ज़ुणा परमेश्वरा बै मना सी, ते खरै-खरै कोमा न लागी रौहणै न ध्यान रखलै ऐ शिक्षा खरी, हौर मांहणु रै फाईदे री सी।"
"TIT","3","9","पर मुर्खता री बैंहसा न, होर खानदाना रै, होर बेकारा रै मुद्दे होर गैला, होर तिन्हां झ़गड़ै न, ज़ो बिधाना रै बारै न बचिया रौहै; किबैकि ते निष्फल होर बेकार सी।"
"TIT","3","10","ज़ो लोका मण्डली न फूट आंणा सी तिन्हां बै तौभै एक दुई बार चेताऊणी देणी चेहिऐ। तेथा न बाद तेई पैंधै ज़ादा बौगत बर्वाद मत केर।"
"TIT","3","11","ऐ ज़ाणिया कि ऐण्ढा मांहणु भटकुन्दा सा, होर आपणै आपा बै दोषी मनिया पाप केरदा रौहा सा।"
"TIT","3","12","मूँ तौ हागै अरतिमास या तूरखिकुसा बै क्रेतै टापू न भेजणै, ज़ैबै सौ तौखै पूजला ता तू मुँह हागै निकुपुलिस शैहरा न ऐणै री कोशिश केरीत् किबैकि मैं तौखै सर्दी न रौहणै रा फैसला केरू सा।"
"TIT","3","13","जेनास वकील होर अपुल्लोसा बै कोशिश केरिया आगै पजेरित्, होर हेर, तिन्हां बै कोई च़ीज़ा री कमी नैंई हुई लोड़ी।"
"TIT","3","14","आसरै लोका भी जरूरता बै पूरा केरनै री तैंईंयैं शोभले कोमा न लागी रौहणा सीखे, ताकि निष्फल न रौहै लोड़ी।"
"TIT","3","15","मूँ सैंघै औखलै सैभ विश्वासी तुसाबै नमस्कार केरा सी। आसरै सैंघी विश्वासी बै नमस्कार बोलीत् ज़ो आसा सैघै झ़ुरी रखा सी। हांऊँ प्रार्थना केरा सा कि परमेश्वरा रा अनुग्रह तुसा पैंधै हो।"
