Book, Chapter, Verse, Text
"JUD","1","1","हांऊँ यहूदा ऐ चिट्ठी तुसाबै लिखदा लागा सा। हांऊँ यीशु मसीह रा एक दास होर याकूबा रा होछ़ा भाई सा। हांऊँ तिन्हां बै लिखदा लागा सा, ज़ुण परमेश्वर पिते शाधै सी ज़ो तुसा सैंघै झ़ुरी केरा सी होर यीशु मसीह री रखवाली न तुसाबै सुरक्षा देआ सी।"
"JUD","1","2","हांऊँ प्रार्थना केरा सा कि परमेश्वर तुसाबै दया शान्ति होर झ़ुरी बहुतायता न दै।"
"JUD","1","3","हे मेरै प्यारे लोको, ज़ैबै हांऊँ तुसाबै तेई उद्धारा रै बारै न बड़ी मेहनता सैंघै लिखणै री कोशिश केरदा लागा ती, ज़ुणीन आसै सैभ सहभागी होंणा; ता मैं तुसाबै ऐ समझाणा ज़रूरी समझू कि तेई बशाह री तैंईंयैं पूरी कोशिश केरा ज़ो पवित्र लोका बै एकै बार सौंपू ती।"
"JUD","1","4","हे मेरै प्यारे लोको, हांऊँ तुसाबै लिखदा लागा सा किबैकि किछ़ अधर्मी लोक ज़ो यीशु मसीह पैंधै बशाह केरनै रा दिखावा केरा सी होर तुसा सैंघै जुड़िया सी। ते परमेश्वरा रा आदर नी केरदै होर ते झ़ूठी शिक्षा देआ सी कि परमेश्वर आसरै पाप माफ केरा सा, तैबै आसै पापी ज़िन्दगी ज़ी सका सी। ते यीशु मसीह रा नाँह केरा सी ज़ो आसरा एक सहारा सा होर आसरा मालक सा। बोहू पैहलै शास्त्र बोला सा कि परमेश्वरा ऐण्ढै लोका बै सज़ा देणी।"
"JUD","1","5","पर अगर तुसै सैभै गैला एकै बार ज़ाणी सी ता तैबै भी हांऊँ तुसाबै याद दिलाणा चाहा सा कि प्रभुऐ इस्राइली लोका बै मिस्र देशा न छुड़ाणै न बाद बशाह नी केरनु आल़ै नाश केरै।"
"JUD","1","6","फिरी ज़ैबै ज़ुणी स्वर्गदूतै आपणा औह्दा स्थिर नी रैखू, तेइयै ते भी भयानक रोज़ै रै न्याय री तैंईंयैं निहारै न ज़ो हमेशा री तैंईंयैं बन्धना न रखै सी।"
"JUD","1","7","होर भी याद केरा ज़ुणी रीतियै सदोम होर अमोरा होर तिन्हां औरलै-पौरलै नगर ज़ुणा इन्हां सांही व्यभिचारी हुऐ ती, होरी शरीरा रै पिछ़ै लागै ती, हमेशा री सज़ा न पौड़िया दृष्टाँत ठहरै सी।"
"JUD","1","8","तैण्ढी तैरहा ऐ अधर्मी लोक दावा केरा सी कि परमेश्वरै दर्शना न ऐ प्रगट केरू कि ते आपणै शरीरा बै पापी ज़िन्दगी न गन्दा केरी सका सी, कौसी बै तिन्हां पैंधै अधिकार केरनै रा हुक्म नी देणा होर ते महिमामय स्वर्गदूता रै बारै न बुरा बोला सी।"
"JUD","1","9","पर प्रधान स्वर्गदूत मीकाइलै ज़ैबै शैताना सैंघै मूसा भविष्यवक्तै री लाशा रै बारै न बैंहस केरी ता तेइबै बुरा भला बोलिया दोष लाणै री हिम्मत नी केरी बल्कि ऐ बोलू, प्रभु तौभै डाँटला।"
"JUD","1","10","पर ऐ अधर्मी लोका ज़ुणी गैला बै नी ज़ाणदै, तिन्हां बै बुरा भला बोला सी, पर ज़ुणी गैला बै नासमझ पशु सांही स्वभावा न ही जाँणा सी, तेथा न आपणै-आपु बै नाश केरा सी।"
