Book, Chapter, Verse, Text
"JHN","1","1","पुरे संसारा जो रचणे ले पैहले से था, जेस जो बचन बोल्या जाहाँ था, होर से परमेसरा साउगी था, होर से ई परमेसर था।"
"JHN","1","2","पैहले ले ही से परमेसरा साउगी था।"
"JHN","1","3","परमेसरे सभ कुछ तेसरे ज्रीए रच्या, होर जो कुछ रच्या गया, तेता मन्झा ले कोई भी चीज तेसरे बगैर नी रची गई।"
"JHN","1","4","से सारी जिन्दगीया रा सोता था, होर से ई आ जेह्ड़ा सभ माह्णुं जो जोती देआ।"
"JHN","1","5","होर जोत नह्यारे मन्झ चम्का ई; होर नह्यारा तेस जो नी बुझाई सकेया।"
"JHN","1","6","परमेसरे एक माह्णुं भेजेया जेसरा नांऊँ यहून्ना था।"
"JHN","1","7","से इधी कठे आया कि से जोती रे बारे मन्झ दसे, ताकि सभ तेसरी गुआही रे ज्रीए विस्वास करहे।"
"JHN","1","8","यहून्ना आपु ता जोती नी था, पर तेस्सा जोती रे बारे मन्झ गुआही देणे रे कठे आया।"
"JHN","1","9","होर से जे सच्ची जोती, हर एक माह्णुं जो प्रयासा देहां ईं संसारा मन्झ आऊणें वाली थी।"
"JHN","1","10","से आपणे ही संसारा मन्झ आया था, जेस जो परमेसरे तेसरे ज्रीए रच्या, पर एस संसारा रे लोके से नी पछयाणेया।"
"JHN","1","11","से आपणे ही लोका मन्झ आया होर तेसरे आपणे ही लोके से नी मन्नेया।"
"JHN","1","12","पर जिन्हें से मन्नेया, जो तेस पर विस्वास रख्हा ऐें, तिन्हें तिन्हा जो परमेसरा रे बच्चे हूंणे रा हक दितेया।"
"JHN","1","13","स्यों ना ता आपणे माऊ-बापू ले, ना सरीरा री इच्छा ले, ना लोका रे बच्चे जम्मणे री इच्छा ले, पर परमेसरा री इच्छा ले जम्मे।"
"JHN","1","14","होर परमेसरा रे बचने माह्णुं रा रूप धारण कितेया, होर अनुग्रह होर सच्चाई किन्हें भर्ही किन्हें आस्सा मन्झ डेरा कितेया, होर आस्से तेसरी एह्ड़ी महिमा देखी, जेह्ड़ी बापू रे एकलौते मह्ठे री।"
"JHN","1","15","यहून्ना बपतिस्मा देणे वाल्ऐ तेसरे बारे मन्झ गुआही दिती होर चिंगी किन्हें बोल्या कि, “ये से ई आ, जेसरे बारे मन्झ मैं बोलिरा था, ‘जेह्ड़ा मेरे बाद आऊणें वाल्आ आ, से मेरे ले भी बढ़ी किन्हें आ, क्यूंकि से मेरे ले पैहले जिउंदा था।’”"
"JHN","1","16","क्यूंकि तेसरे अनुग्रहा री भरपूरी ले आस्से सभीये अनुग्रहा पर अनुग्रहा हासल कितेया।"
"JHN","1","17","इधी कठे कि मूसा री व्यवस्था मूसा रे ज्रीए मिली, पर अनुग्रह होर सच्चाई प्रभु यीसू मसीहा रे ज्रीए पूजे।"
"JHN","1","18","परमेसरा जो केसिए कधी नी देख्या। पर एकलौते मह्ठे जो सच्च मुच परमेसर आ होर बापू रे सभी ले करीब आ, तिन्हें ई आस्सा जो परमेसर दसिरा।"
"JHN","1","19","यहून्ना बपतिस्मा देणे वाल्ऐ री गुआही ये ई कि जेबे यरुस्लेम सैहरा रे यहूदी लोका रे याजक होर लेवी घराने रा जो तेस ले ये पुछणे रे कठे भेज्या कि तू कुणहां?"
"JHN","1","20","होर तिन्हें साफ साफ बोली दिता कि, “हांऊँ से मसीह नी आ।”"
