Book, Chapter, Verse, Text
"COL","1","1","हांऊँ पौलुस, ये चिठ्ठी लिख्दा लगिरा। होर आस्सा रा विस्वासी भाई तिमिथियुस मेरे साउगी आ। परमेसरा री इच्छा ले ही हांऊँ मसीह यीसू रा चुणिरा चेला आ।"
"COL","1","2","हांऊँ ये चिठ्ठी कुलुस्स सैहरा रे मन्झ रैहणे वाले मसीह रे पवित्र होर सच्चे विस्वासी भाई बैहणा रे कठे लिखी करहा। हांऊँ प्रार्थना करहा कि आस्सा रा बापू परमेसर तुस्सा जो अनुग्रह होर सांति देंदा रहे।"
"COL","1","3","जेबे हमेसा आस्से तुस्सा रे कठे प्रार्थना करहे, आस्से आपणे प्रभु यीसू मसीह रे बापू यानि परमेसरा रा धन्यावाद करहा ऐें।"
"COL","1","4","क्यूंकि आस्से सुणिरा कि, तुस्से मसीह यीसू पर विस्वासा करहे, होर तुस्से सभ परमेसरा रे पवित्र लोका किन्हें प्यार करहे।"
"COL","1","5","तुस्सा रा ये प्यार होर विस्वास तेस आसा री वजहा ले आ, जो तुस्सा रे कठे स्वर्गा मन्झ रखिरा। तुस्से एस आसा रे बारे मन्झ पैहली बारी तेबे सुणेया जेबे तुस्से खुसी री खबरा री सच्चाई पर विस्वास कितिरा था।"
"COL","1","6","ये खुसी री खबर जिहां तुस्सा रे बीचा मन्झ सुणाई गई, तिहां ही संसारा रे कई देसा मन्झ सुणाई जाई करहा ई, होर बौह्त लोक तुस्सा साहीं मसीह पर विस्वास करेया करहा ऐें। होर पैहले ध्याड़े ले ही तुस्से तेस सच्ची खबरा जो पुरे तरीके किन्हें समझी गये कि, किहां परमेसरे बड़ा अनुग्रह करी किन्हे मसीह पर विस्वास करणे वालेया रे पापा जो माफ़ करी देआ।"
"COL","1","7","तुस्से आस्सा रे लाडले भाई होर सहकर्मी इपफ्रासा ले एसरे बारे मन्झ उपदेस सिखिरा। से आस्सा री वखा तुस्सा रे कठे मसीह रा सच्चा सेऊआदार आ।"
"COL","1","8","तिन्हें ई आई किन्हें आस्सो तेस प्यारा रे बारे मन्झ दसेया, जो पवित्र आत्मे तुस्सा सभी जो दितिरा; जेसरे ज्रीए तुस्से एक दूजे किन्हें प्यार करहा ऐ।"
"COL","1","9","इधी कठे जेस ध्याड़े ले आस्से तुस्सा रे बारे मन्झ सुणिरा आ, आस्से हमेसा तुस्सा रे कठे प्रार्थना होर विनती किती। आस्से प्रार्थना करहे कि परमेसरा री आत्मा तुस्सा जो ज्ञान होर समझा दे कि तुस्से तेसरी इच्छा जो पूरी तरहा समझी जाओ।"
"COL","1","10","ताकि तुस्से परमेसरा री इच्छा रे मताबक आपणी जिन्दगी जी सको। तेबे तुस्सा हर गल्ला मन्झ प्रभु खुस करणा। जेस ले तुस्सा हमेसा हर किस्मा रे भले काम करी सको, होर तुस्से हमेसा परमेसरा जो जाणने मन्झ बढ़दे जाओ।"
"COL","1","11","हांऊँ प्रार्थना करहा कि परमेसर आपणी महिमा री सक्ति रे मताबक तुस्से सभ किस्मा री सामर्था ले मजबूत करहे। ताकि जेबे तुस्से परेसानिया जो सहे तेबे हर तरहा ले धीरज होर सबर दसी सको। होर खुसी किन्हें भरी जाऊआ।"
"COL","1","12","होर बापू परमेसरा रा धन्यावाद करदे रहा, जिन्हें तुस्से एस लायक बणाए कि, तेस विरासता रे साझीदार हो, जो परमेसरे आपणे पवित्र लोका जो प्रयासे रे राज्य मन्झ देणे रे कठे त्यार कितिरा।"
"COL","1","13","क्यूंकि तिन्हें ई आस्सा जो सैताना री सक्ति ले छुड़ाई किन्हें आपणे लाडले मह्ठे रे राजा मन्झ लेई किन्हें आया।"
"COL","1","14","आपणे मह्ठे रे बलिदान रे ज्रीए परमेसरे आस्से छुड़ाए यानि आस्सा रे पाप माफ़ करी दिते।"
"COL","1","15","परमेसरा जो कोई नी देखी सकदा, पर जेबे तेसरा मह्ठा माह्णुं रे रूपा मन्झ आया ता तिन्हें संसारा रे लोका जो दसेया कि परमेसर केहड़ा आ, क्यूंकि ये मह्ठा तेस साहीं आ। होर परमेसरे जो कुछ बणाया तेता पर मह्ठे रा सभी ले ज्यादा अधिकार आ।"
"COL","1","16","क्यूंकि मसीह रे ज्रीए परमेसरे स्वर्गा होर धरती री सारी चीज़ा री रचना किती, हर एक देखी या अनदेखी चीज़ा री, होर सारी राजगद्दी, प्रभुता, प्रधानता, हक री भी रचणा किती, परमेसरे सारी चीजा तेसरे ज्रीए, तेसरे कठे बनाई गई ताकि संसारा रे लोक तेसरी बढ़ाई करहे।"
"COL","1","17","होर मसीह ई सभ चीजा बनाणे रे पैहले था, होर मसीह ही सभ चीजा जो एक साउगी बणाई रखा।"
"COL","1","18","मसीह ही कलीसिया रा मूंड आ; होर कलीसिया मसीह रा सरीर आ। से ई सुर्हू आ, होर मरिरे मन्झा ले जिउंदा हूंणे वाल्आ पैहला था; ताकि हर गल्ला मन्झ पैहली जगहा तेस जो ई मिले।"
"COL","1","19","क्यूंकि बापू परमेसरा री खुसी एता मन्झ ई कि मसीह मन्झ सारी चीजा री भरपूरी वास करहे।"
"COL","1","20","परमेसरे आपणा मह्ठा भेजेया जो खून बहाई किन्हें क्रूसा प्रयाल्हे मरेया, तेसरे मरणे रे ज्रीए परमेसरे सब चीज़ा किन्हें जो स्वर्गा होर धरती मन्झ ई तिन्हा साउगी आपणा मेल मिलाप कितेया।"
"COL","1","21","एक टैम था जेबे तुस्से बुरे कामा री वजहा ले परमेसरा ले लग थे होर तुस्सा रे मना मन्झ बैर था।"
"COL","1","22","परमेसरे आपणे मह्ठे मसीह रा माह्णुं रे रूपा मन्झ आऊणें होर क्रूसा प्रयाल्हे तेसरे मरणे रे ज्रीए तुस्सा साउगी भी मेल मिलाप करी लया ताकि तुस्सा जो आपणे साम्हणें पवित्र होर निस्कलंक होर बेकसूर बणाई किन्हें हाजर करहे।"
"COL","1","23","पर तुस्से मसीह रे विस्वासा री नींऊँआं पर मजबूत बणी रहो। तेस आसा नी छाडो जो तुस्सा जो खुसी री खबरा सुणने पर मिलिरी, जेसरा प्रचार सारे संसारा रे लोका रे कठे पुरे संसारा मन्झ कितिरा। होर हांऊँ पौलुस एस खुसी री खबरा जो सुणाणे रा सेऊआदार बणेया।"
"COL","1","24","एेबे हांऊँ खुस आ कि हांऊँ तुस्सा रे कठे दुःख सही सक्हा। होर इधी कठे भी खुस आ कि हांऊँ आपणे सरीरा मन्झ लगातार तिन्हा दुखा जो सहेया, जो मसीहे सहीरे थे। होर ये दुःख हांऊँ मसीह री कलीसिया रे कठे सहेया जो तेसरा सरीर आ।"
"COL","1","25","परमेसरे हांऊँ नियुक्त कितेया कि हांऊँ तुस्सा जो परमेसरा रे बचना जो पूरी तरहा समझाऊँ, होर एस वजहा ले ही हांऊँ कलीसिया रा सेऊआदार बणेया।"
"COL","1","26","परमेसरे आपणे बचना जो पुराणे जमाने ले होर पीढ़िया ले लुख्ही रैंहयां, पर एेबे तिन्हें से बचन परमेसरा रे पवित्र लोका पर जाहिर कितिरा।"
"COL","1","27","क्यूंकि परमेसर चाहाँ था कि तेसरे लोक ये जाणी ले कि मसीह रे धन होर महिमा तुस्सा गैर-यहूदी लोका रे कठे भी हाई। होर लुख्ही री गल ये ई कि मसीह तुस्सा मन्झ वास करहा। होर एता ले आस्सो येह हिम्मत मिली कि आस्सा तेसरी महिमा रे साझीदार हूंणा।"
"COL","1","28","आस्से सभी लोका मन्झ मसीह रे बारे मन्झ प्रचार करहे। परमेसरे जो ज्ञान दितिरा तेस ले आस्से हर एक माह्णुं जो स्खाहें होर चतन्न करहा ऐें, ताकि आस्से एस गल्ला जो पक्का करी ले कि जेबे स्यों परमेसरा रे साम्हणें खड़े हूंणा ता हर एक मसीह मन्झ सिद्ध विस्वासी हूंणे।"
"COL","1","29","एस कामा जो पुरे करणे रे कठे हांऊँ मेहनत होर संघर्स करहा। होर एह्ड़ा हांऊँ, मसीह रे एस बडी सामर्था री वजहा ले करहा, जो तिन्हें मुंजो दितिरी होर मेरे मन्झ काम करहा ई।"
"COL","2","1","हांऊँ चाहां कि तुस्से जाणी लो कि, हांऊँ कितनी कड़ी मेहनत करेया करहा। मेरी ये मेहनत तुस्सा रे कठे होर लौदिकिया सैहरा मन्झ रैहणे वाले लोका रे कठे, होर तिन्हा सभी रे कठे ई, जेह्ड़े जे मैं देखीरे भी नी ऐें।"
"COL","2","2","हांऊँ इधी कठे मेहनत करहा ताकि तुस्सा सभी जो आत्मिक रूपा ले होंसला मिले, होर तुस्से सभ प्यारा मन्झ किन्हें मिली जुली किन्हें रहो। हांऊँ चाहां कि तिन्हो पूरा भरोसा हो क्यूंकि तिन्हो बापू परमेसर रे गुप्त विचारा री पूरी समझ ई। होर ये गुप्त विचार मसीह आपु आ।"
"COL","2","3","होर तेस परमेसरा री सारे बुद्धि होर ज्ञाना रे सारे भण्डार लुख्ही रे।"
"COL","2","4","हांऊँ ये इधी कठे बोल्हा कि, कोई माह्णुं तुस्सा जो ललचाणे वाली मीठी-मीठी गल्ला बोली किन्हें तुस्सा जो धोखा नी दे कि, तुस्से तिन्हारे झूठे उपदेसा पर विस्वास करी लो।"
"COL","2","5","क्यूंकि अगर हांऊँ तुस्सा ले दूर आ, तेबे बी हांऊँ हमेसा तुस्सा सभी रे बारे मन्झ सोचदा रैहया कि जिहां हांऊँ तुस्सा वाले आ। हांऊँ ये जाणी किन्हें खुस हुहाँ कि तुस्से आपणी जिन्दगी सही ढंगा किन्हें जीया करहा ऐें, होर मसीह मन्झ तुस्सा रा विस्वास मजबूत आ।"
"COL","2","6","इधी कठे जिहां तुस्से मसीह यीसू जो प्रभु जाणी किन्हें मनी लईरा, तिहां ही मसीह मन्झ वास करणे वाले साहीं आपणी जिन्दगी जीया।"
"COL","2","7","मसीह मन्झ आपणे विस्वासा मन्झ मजबूती किन्हें स्थिर रहो, तिहां ही जिहां तुस्सा जो सखाईरा, ठीक तिहां ही जिहां एक डाल जमीना मन्झ जड़ पकड़ी किन्हें होर घर निऊँआ किन्हें मजबूत रैहया, होर तुस्से ज्यादा ले ज्यादा परमेसरा रा धन्यावाद करदे रैहया।"
"COL","2","8","चतन्न रैहया कि कोई भी तुस्सा जो आपणे झूठे होर बेकार उपदेसा ले धोखा नी दे, जो माह्णुंआं रे ज्ञाना रे मताबक आ। एह्ड़ा उपदेस माह्णुंआं री परम्परा होर संसारा री बिधिया रे मताबक आ, ना कि मसीह रे मताबक।"
"COL","2","9","एह्ड़ा नी हो कि तुस्से इन्हा लोका रे धोखे मन्झ आई जाये, क्यूंकि मसीह जेबे माह्णुं बणेया तेबे भी से पूरी रीती ले परमेसर था।"
"COL","2","10","मसीह सारी प्रधानता होर अधिकारा रा मुखिया आ। होर अगर तुस्से मसीह मन्झ ऐें, ता तुस्से तेस मन्झ भरपूर कितिरे।"
"COL","2","11","होर जेबे तुस्से मसीह पर विस्वास किया ता तुस्सा रा खतना माह्णुं ऐें नी कितेया (जिहां यहूदी लोक करहे थे) पर मसीह रे ज्रीए दितिरे खतने ले हुआ। ये खतना तुस्सा रे पाप रे स्वभावा जो दूर करहा।"
"COL","2","12","जेबे तुस्से बपतिस्मा लितेया ता मसीह साहीं दफनाए गये होर तुस्से मसीह साहीं जिउंदे भी किते गये। ये इधी कठे हुआ क्यूंकि तुस्से विस्वास कितेया कि परमेसरे आपणी सामर्था ले मसीह रे मरणे रे बाद तेस जो मरिरे मन्झा ले जिउंदा कितेया।"
"COL","2","13","होर परमेसरे तुस्से भी, मसीह साउगी जिउंदा करी दिते, जेबे तुस्से आपणे पापा मन्झ मरिरे थे, होर तुस्सा रे बुरे स्वभावा रा खतना नी हुईरा था। होर परमेसरे आस्सा रे सभ पापा जो माफ़ कितेया।"
"COL","2","14","एह्ड़ा लगा कि परमेसरे आस्सा रे पापा रे दोस पत्रा जो मटाई दितेया, जो आस्सा रे बरखलाफ लिखीरे थे, होर परमेसरे तेस दोस पत्रा जो पुरे तरीके किन्हें रद करी दितेया जेबे मसीह जो क्रूसा प्रयाल्हे मेखा किन्हें लटकाई दितेया था।"
"COL","2","15","होर परमेसरे दुस्ट ताकता रे प्रधानता होर अधिकारा जो हराई दितेया। क्रूसा प्रयाल्हे मसीह रे जीता रे ज्रीए तिन्हारा खुल्लम खुल्ला तमासा बणाया।"
"COL","2","16","इधी कठे एह्ड़ा नी हो कि तुस्से इन्हा लोका रे धोखे मन्झ आई जाये होर खाणे पीणे या साजा या नंऊँआं चाँद या अरामा रे ध्याड़े रे मनाणे रे कठे तुस्सा रा कोई फैसला ना करहे।"
"COL","2","17","क्यूंकि ये सारी व्यवस्था सिर्फ एक छाऊँआ साहीं ई, पर एस छाऊँ रा सच्चा मूल मसीहा आ।"
"COL","2","18","तिन्हा लोका रे धोखे ले बचा जो दीन हूंणे रा ढोंग करहे, होर स्वर्गदूता री अराधना करहे। स्यों डिंगा माराऐ कि आस्से दर्सन देखे। ये सारी गल्ला बेकार ई क्यूंकि एह्ड़े माह्णुंआं रे मन स्वार्थ इच्छा किन्हें भरीरा, होर स्यों बगैर वजहा घमंड करहे।"
"COL","2","19","एह्ड़ा माह्णुं मसीह री सच्ची खुसी री खबरा पर विस्वास करणा होर स्खाणा छाडी दितिरा। से मसीह जो सरीर रा मूंड आ। जिहां एक मूंड सारे सरीरा जो आपणे वसा मन्झ रखा, होर नसा होर जोड़ा जो गठी किन्हें रखी किन्हें तिन्हा जो पाला ईं, तिहां ही मसीह भी आपणे लोका जो आपणे वसा मन्झ रखा, ताकि स्यों सभ एक साउगी एक जुटा मन्झ रहे। होर एह्ड़े बढ़े, जिहां परमेसर चाहां कि स्यों बढ़दा जाये।"
"COL","2","20","इधी कठे कि तुस्सा रा पाप रा स्वभाव मसीह साउगी मरी गईरा, तुस्से एस संसारा री बापदादे रे बिधिया जो मन्ने री जरूरत नी। ता फेरी भी तुस्से इन्हा उपदेसा रा पालन किधियो करहे, जिहां जे संसारे तुस्से हाले भी आपणे वसा मन्झ रखिरा।"
"COL","2","21","कि “एता जो हाथ मत लगाऊआ, एता जो मत सुआदा, एता जो मत छुआ।”"
"COL","2","22","क्यूंकि ये सारी बिधिया माह्णुंआं रे हुक्मा होर उपदेसा रे मताबक ऐें। ये बिधिया तिन्हा सभ चीजा रे बारे मन्झ ऐें, जो इस्तेमाला मन्झ आऊंदे-आऊंदे बेकार हुई जाहें।"
"COL","2","23","ये बिधिया जो मनणा ज्ञाना री गल लगी सकी, क्यूंकि इन्हा जो पूरी करणे मन्झ मजबूत भक्ति, सुद्ध तरीके किन्हें आपणे आपा रा नांह, होर बौह्त गंभीर रूपा किन्हें सरीरा रा अनुसासना री जरूरत हुई, पर ये बिधिया केसी री मदद नी करदी कि, स्यों आपणी बुरी इच्छा जो आपणे वसा मन्झ करी सके।"
"COL","3","1","एह्ड़ा लगा कि जेबे परमेसरे मरिरे मन्झा ले भी जिउंदा कितेया ता तेस तुस्सा जो भी जिउंदे करणे, इधी कठे तिन्हा गल्ला जो पाणे री इच्छा रखा जो परमेसरे तुस्सा रे कठे स्वर्गा मन्झ रखीरी। जेथी मसीह परमेसरा रे सीधी तरफ बैठी किन्हें राज करहा।"
"COL","3","2","आपणा मन धरती री चीजा पर नी पर हमेसा स्वर्गा री चीजा पर ल्गाऊआ।"
"COL","3","3","ये एह्ड़ा कि जेबे मसीह तुस्सा रे कठे मरेया ता तुस्से, भी तेस साउगी मरी गये, होर एेबे अगे जो तुस्से मसीह साउगी परमेसरा री मौजूदगी मन्झ आत्मिक जिन्दगी जिहां ऐें, होर दूजे लोक इन्हा गल्ला जो नी देखी सकदे।"
"COL","3","4","मसीह री वजहा ले ही तुस्सा जो ये नौंईं जिन्दगी मिलिरी, होर जेबे तेस वापस एस संसारा मन्झ आऊंणा, तेबे तुस्से भी आई किन्हें तेसरी महिमा मन्झ साझी बणी जाणा।"
"COL","3","5","इधी कठे आपणे पाप रे स्वभाव ले जुड़ीरे बुरे कामा जो करणा छाडी देआ, जिहां कि व्यभिचार, असुद्धता, बुरी कामना, होर बुरी इच्छा। होर तुस्से केसी भी गल्ला रा लालच नी करहा क्यूंकि ये मूर्ति री पूजा करणे रे बराबर आ।"
