Book, Chapter, Verse, Text
"2TI","1","1","हाऊँ पौलुसा एस्सा चिठ्ठी जो लिखी करहा। परमेसरे चाहां कि हाऊँ यीसू मसीह रा चुणीरा चेला बणुं। तिन्हें हांऊँ इधी कठे चुणेया कि हांऊँ ये प्रचार करी सकूं कि मसीह साउगी एक हूंणे री वजहा ले परमेसरे आस्सो अनंत जिन्दगी देणे रा वादा कितिरा।"
"2TI","1","2","हे तिमिथियुस, हांऊँ ये चिठ्ठी तुजो लिखी करहा, होर हांऊँ तेरे किन्हें आपणे मह्ठे साहीं प्यार करहा। हांऊँ प्रार्थना करहा कि बापू परमेसर होर आस्सा रा प्रभु यीसू मसीह तुजो अनुग्रह, दया होर सांति देंदा रहे।"
"2TI","1","3","हांऊँ तेस परमेसरा रा धन्यावाद करहा, जेसरी मैं होर मेरे बापदादे जिन्हारी सेऊआ सुद्ध अंतरात्मा किन्हें कितिरी। राती ध्याड़ी जेबे भी हांऊँ प्रार्थना करहा, ता तुस्सा रे कठे याद करी किन्हें प्रार्थना करहा।"
"2TI","1","4","मुंजो याद आ कि जेबे हांऊँ तुजो छाडी किन्हें जाई करहा, ता तू किहां मेरे कठे आंसू ब्हाई किन्हें रोई करहा था, होर ऐबे हांऊँ तेरे किन्हें मिलणे रे कठे तरस्या करहा, ताकि खुसी किन्हें भरी जाऊं।"
"2TI","1","5","तेरी माऊ युनिके रे अंदर जो भरपूर विस्वास था से मुंजो याद आ, होर तेरी नानी लोईस रा भी तेह्ड़ा विस्वास था। होर मुंजो भरोसा आ कि से ई भरपूर विस्वास तेरे मन्झ भी हाया।"
"2TI","1","6","इधी कठे हांऊँ तुजो याद दिलाहां कि, तू परमेसरा रे तेस वरदाना जो, जो मेरे हाथ रख्णे ले तुजो मिलिरा तेस जो होर चमकाई दे।"
"2TI","1","7","क्यूंकि परमेसरे आस्सा जो, जो आत्मा दितिरी से आस्सो डरपोक नी बणान्दी; एता रे बजाय से आस्सा रे दिला जो मजबूत करी किन्हें होर मदद कर कि आस्से दूजे किन्हें प्यार करहे, होर आपणे गास काबू रखी सके।"
"2TI","1","8","इधी कठे प्रभु यीसू मसीह रे बारे मन्झ दूजेयो जो दसणे रे कठे सर्मिन्दा नी हो, होर एता रे कठे भी सर्मिन्दा नी हो कि तेसरी सेऊआ करणे री वजहा ले हांऊँ हाले भी जेल्हा मन्झ आ। एता रे बजाय परमेसर जो तुस्सा जो सामर्था देआ, तेता रे ज्रीए खुसी री खबरा रे सुनाणे रे कठे मेरे साउगी दुःख उठा।"
"2TI","1","9","परमेसरे ही आस्सा रा उद्धार कितेया, होर आस्से पवित्र जिन्दगी जीणे रे कठे सादे; होर तिन्हें आस्से आस्सा रे भले कामा री वजहा ले नी पर आपणी योजना रे मताबक सादेया। परमेसरे एस संसारा जो रचणे ले पैहले ही तय करी लितिरा था कि यीसू मसीह जो एस संसारा मन्झ भेजी किन्हें आस्सा पर आपणा ये अनुग्रह दसणा।"
"2TI","1","10","होर एेबे आस्सा रा उद्धारकर्ता मसीह यीसू आई गईरा होर आस्सा पर आपणा अनुग्रह दसिरा। तिन्हें मौता री सामर्था जो हराई दितेया, होर खुसी री खबरा रे ज्रीए ये जाहिर कितेया कि कधी नी खत्म हूंणे वाली जिन्दगी तक पूजणे रे एक रस्ता।"
"2TI","1","11","एस वजहा ले परमेसरे मुंजो खुसी री खबरा रा प्रचारक होर चुणिरा चेला नियुक्त कितिरा। ताकि हांऊँ अन्यजाति लोका जो सखाई सकूं।"
"2TI","1","12","होर एस वजहा ले ही हांऊँ एथी जेल्हा मन्झ दुःख सहन करी करहा, पर सर्मिन्दा नी हुन्दा, क्यूंकि हांऊँ मसीह जो जाणहां, जेस पर मैं भरोसा रखीरा कि, मसीह आपणे वापस आऊणें रे ध्याड़े तक तेस चीजा री रखवाली करी सक्हा, जो तिन्हें मुंजो सौंपी री।"
"2TI","1","13","जो सच्चे उपदेस तैं मेरे ले सुणीरे, तिन्हा जो आपणा उदाहरण बणाई किन्हें रख। विस्वास होर प्यारा किन्हें तू इन्हा उपदेसा जो पूरा कर क्यूंकि तू यीसू मसीह साउगी एक आ।"
"2TI","1","14","होर पवित्र आत्मा रे ज्रीए जो आस्सा मन्झ बस्सिरा, एस सच्चाई री रखवाली कर, जो तुजो सौंपी री।"
"2TI","1","15","तू जाणहां कि, आसिया रे ईलाके वाले कई विस्वासी लोके हांऊँ छाडी दितिरा, जिन्हा मन्झ फुगिलुस होर हिरमुगिनेस भाई ऐें।"
"2TI","1","16","भाई उनेसिफुरुसा होर तेसरे परिवारा पर प्रभु दया करहे, क्यूंकि से कई बार मेरे किन्हें मिलदे आया होर तिन्हें मेरी बौह्त मदद किती, होर एथी जेल्हा मन्झ आई किन्हें मेरे साउगी मिलणे रे कठे सर्मिन्दा नी हुआ।"
"2TI","1","17","पर जेबे से रोम सैहरा मन्झ आया, ता तिन्हें हांऊँ बड़ी कोसिस करी किन्हें तोप्या होर मेरे किन्हें मिलेया।"
"2TI","1","18","न्याय रे ध्याड़े प्रभु उनेसिफुरुस पर आपणी दया दसे! होर तुस्से आप्हुए जाणांहे कि इफिसुस सैहरा मन्झ रैहन्दे हुए तिन्हें मेरी कितनी मदद कितिरी।"
"2TI","2","1","इधी कठे हे मेरे मह्ठे तिमिथियुस, तू ये जाणी किन्हें आपणे आपा जो मजबूत कर कि, परमेसरे तुजो से अनुग्रह दितिरा, जो आस्सा रे मसीह यीसू साउगी एक हूंणे ले वजहा ले मिला।"
