Book, Chapter, Verse, Text
"2JN","1","1","हांऊँ यहून्ना एस्सा चिठ्ठी जो लिख्दा लगिरा। हांऊँ कलीसिया रा अगुवा आ। हांऊँ ये चिठ्ठी परमेसरा री चुणिरी तेस्सा बैहणा रे कठे होर तेस्सा रे बच्चे रे कठे लिख्या करहा। हांऊँ तुस्सा सभी किन्हें सच्चे प्यार रखा, हांऊँ ही नी स्यों सब लोक भी तुस्सा किन्हें प्यार रखे, जो सच्चाई जो जाणांहे।"
"2JN","1","2","आस्से तुस्सा किन्हें प्यार रखे क्यूंकि सच्चा उपदेस आस्सा रे दिला मन्झ वास करहा होर तेस हमेसा-हमेसा आस्सा रे साउगी रेहणा।"
"2JN","1","3","परमेसर बापू, होर तेसरा मह्ठा यीसू मसीह तुस्सा सभी जो, जो सच्चाई होर प्यार मन्झ जीहां ऐें, आपणा किरपा, होर अनुग्रह होर सांति दे।"
"2JN","1","4","हांऊँ बौह्त खुस हुएया, जेबे मैं सुणेया कि तुस्सा रे कुछ बच्चे आस्सा रे बापू परमेसरा रे बोलणे रे मताबक सच्चाई जो मनदे हुए आपणी जिन्दगी जो जियां करहे।"
"2JN","1","5","एेबे हे बैहण, हांऊँ तुस्सा ले अर्ज करहा कि, आस्से एक दूजे किन्हें प्यार रखे। ये कोई नंऊँआं हुक्मा नी, पर से ई हुक्मा जेस जो आस्से तेबे ले जाणांहे जेबे आस्से मसीह साउगी चलना सुर्हू कितेया था।"
"2JN","1","6","सच्चा प्यार से आ कि जेबे आस्से तेसरे हुक्मा जो मन्हें। जेबे आस्से मसीह साउगी चलना सुर्हू कितेया था तेबे तुस्से परमेसरा रे एस हुक्म सुणेंयां था कि तुस्सा जो हमेसा एक दूजे किन्हें प्यार करना चहिए।"
"2JN","1","7","ये गल्ला हांऊँ तुस्सा जो इधी कठे याद कुरायीं करहा क्यूंकि बौह्त लोक संसारा मन्झ निक्लिरे, जो आपणी झूठी उपदेसा किन्हें लोका जो धोखा दे। से बोल्हा कि यीसू मसीह एस संसारा मन्झ माह्णुं बणी किन्हें नी आईरा, एह्ड़ा बोलणे बाला मसीह रा व्रोधी आ जो लोका जो धोखा देआ।"
"2JN","1","8","चतन्न रैहया कि एह्ड़े लोक तुस्सा जो धोखा नी दे। जो मैहनत आस्से तुस्सा रे कठे कितिरी, से बेकार नी हुई जाओ; ताकि परमेसर तुस्सा जो तुस्सा री सेऊआ रा पूरा इनाम दे।"
"2JN","1","9","अगर कोई आदमी मसीह री सखाई री गल्ला जो नी मन्हां ईं किन्हें तेता मन्झ होरी गल्ला जो जोड़ी दे, ता से परमेसरा किन्हें जुड़ीरा नी आ। पर जो कोई आदमी मसीह री सखाई री गल्ला जो हमेसा मन्हा, ता से आस्सा रे बापू परमेसरा होर तेसरे मह्ठे यीसू मसीह साउगी भी जुड़ीरा।"
"2JN","1","10","अगर कोई माह्णुं तुस्सा वाले आये, होर से ये उपदेस तुस्सा जो नी स्खाये, तेस जो ना ता घरा मन्झ आऊणें देआ, होर तेस जो नमस्कार करी किन्हें तेसरा होंसला मत बढ़ाऊआ।"
"2JN","1","11","क्यूंकि जो कोई एह्ड़े आदमी जो होंसला देआ, ता जो बुरा काम से करी करहा तेता मन्झ ये भी साझी हुंहां।"
"2JN","1","12","मैं तुस्सा किन्हें होर गल्ला करणा चाहां, पर हांऊँ तिन्हा गल्ला जो एक एह्ड़ी चिठ्ठी मन्झ लिखणा नी चाह्न्दा। हांऊँ तुस्सा वाले आई किन्हें आम्हणें-साम्हणें गलबात करणा चाहां: तेबे आस्सा एक साउगी खुसी बनाणी।"
"2JN","1","13","परमेसरा री चुणिरी तुस्सा री बैहणा रे बाल बच्चे एथी ऐें, स्यों तुस्सा जो आपणा नमस्कार बोल्या करहा ऐें।"
