Book, Chapter, Verse, Text
"REV","1","1","एस कताबा मन्झ स्यों गल्ला ई जेसरा प्रकासन परमेसरे यीसू मसीह जो दितिरा। ताकि से आपणे सेऊआदारा जो स्यों लुख्ही री गल्ला जिन्हारा जल्दी हूंणा बौह्त जरूरी आ दसी सके। तेबे यीसूए आपणे स्वर्गदूता जो भेजेया कि, से इन्हा गल्ला जो तेसरे सेऊआदार यहून्ना जो दसी सके।"
"REV","1","2","यहून्ने से सभ कुछ लिख्या जो तिन्हें देखेया, यानि से खबर जेहड़ी परमेसरा ले आई, होर से सभ कुछ जो यीसू मसीहे बोल्या।"
"REV","1","3","धन्य ऐें से, जो एस भविस्यवाणी जो पढ़ी किन्हें दूजेया जो सुणाहें, होर स्यों भी धन्य ऐें, जो सुणहां ऐें, होर एता मन्झ लिखिरी गल्ला जो मन्हां ऐें, क्यूंकि ये गल्ला बौह्त जल्दी हूंणे वाली।"
"REV","1","4","हांऊँ यहून्ना एस चिठ्ठी जो लिखी करहा। हांऊँ ये चिठ्ठी सात कलीसिया रे तुस्सा विस्वासी लोका जो लिखी करहा, जो आसिया रे ईलाके मन्झ रैहया ई। हांऊँ प्रार्थना करहा कि परमेसर, होर सात आत्मा, तुस्सा जो आपणा अनुग्रह होर सांति देंदी रहे। ये परमेसर से ई आ, जो था, होर जो हाया, होर जो आऊणें वाल्आ आ। होर सात आत्मा स्यों ई जो परमेसरा री राजगद्दी रे साम्हणें रैहीं।"
"REV","1","5","हांऊँ प्रार्थना करहा कि यीसू मसीह भी तुस्सा जो आपणा अनुग्रह होर सांति देंदा रहे, जेसरी गल्ला भरोसे रे लायक ई। से ई आ, जो मरणे रे बाद जिउंदा हुआ, होर एस संसारा रे राजेया रा हाकम आ। से आस्सा किन्हें प्यार करहा, होर तिन्हें आपणी मौता रे ज्रीए आस्से पापा ले छुड़ाये।"
"REV","1","6","होर एस वजहा ले आस्से याजका रा एक परिवार बणी गईरे, जो आपणे परमेसर तेसरे बापू री सेऊआ करहे, होर तिन्हें आस्से एह्ड़े लोक बणाये जिन्हारा राजा परमेसर आ। इधी कठे यीसू मसीह जो महिमा होर सामर्थ जुग-जुग मिल्दी रहे। आमीन।"
"REV","1","7","सुणा, से बादला साउगी आऊणें वाल्आ आ। होर हर एकी माह्णुं से देखणा, बल्की जिन्हें जे से क्रूसा प्रयाल्हे भाले किन्हें कोती किन्हें मारी दितिरा था, तिन्हा भी से वापस आऊंदे हुए देखणा। होर धरती रे सारी जातिया रे लोका से देखणा, ता तिन्हा छाती पिटी-पिटी किन्हें रोणा। हां ये गल्ला पक्का हूणीं! आमीन।"
"REV","1","8","प्रभु परमेसर बोल्हा कि, “हांऊँ अल्फा होर ओमेगा यानि सुर्हूआत होर अंत हांऊँ ई आं। हांऊँ ई सर्वसक्तिमान आ, जो था, होर जो हाया, होर जो आऊणें वाल्आ आ।”"
"REV","1","9","हांऊँ यहून्ना तुस्सा रा विस्वासी भाई आ। यीसू मसीह साउगी एक हूंणे री वजहा ले हांऊँ दुःख सहन करहा, जिहां तुस्से भी करहे। हांऊँ परमेसरा रे राज्जा रा, जिहां कि तुस्से भी ऐ। होर मुंजो भी धीरज रखणा चहिए, जिहां कि तुस्से भी रखे। परमेसरा रे बचना रा प्रचार, होर मसीह रे सच्चे उपदेसा जो सुनाणे री वजहा ले कैदी बणाई किन्हें हांऊँ पतमुस टापू जो भेजी दितेया।"
"REV","1","10","तुआरा रे ध्याड़ा, जो प्रभु रा ध्याड़ा पवित्र आत्मा मेरे पर आई गई, होर मैं आपणे पीछे ले तुरही रे बाजे साहीं एक बड़ी भारी अवाज सुणी।"
"REV","1","11","होर तेस अवाजे मेरे किन्हें बोल्या, “जो कुछ तू देख्हा, तेस जो कताबा मन्झ लिखी किन्हें सात कलीसिया जो भेजी दे, इफिसुस सैहरा, स्मुरना, पिरगमुन, थुआतिरा, सरदीस, फिलेदेलफिया, लौदिकिया सैहरा मन्झ ई।”"
"REV","1","12","होर मैं पीछे मुहं फेरी किन्हें देखेया कि कुण मेरे किन्हें बोलदा लगीरा। जेबे मैं पीछे मुड़ी किन्हें देखेया ता मैं सोने री सात दीऊदानिया देखी।"
"REV","1","13","होर तेस्सा दीऊदानी रे बीचा मन्झ मैं माह्णुं साहीं सूझणे वाल्आ कोई देख्या। तिन्हें पैरा तक एक लम्बा चोगा पैहनी रा था, होर तिन्हें छाती पर सोने रा पट्टा बान्हिरा था।"
"REV","1","14","तेसरे मूंडा रे बाल चिटी ऊना साहीं, होर बर्फा साहीं चिटे थे। होर तेसरी हाखिया आगी री लपटा साहीं चमकी करहा ई थी।"
"REV","1","15","होर तेसरे पैर भट्टी मन्झ तपाए गईरे बढ़िया कांसे साहीं चमकी करहे थे। होर तेसरी अवाज तेज चलने वाली लैहरा री अवाज साहीं बड़ी भारी थी।"
"REV","1","16","होर तेसरे सीधे हाथा मन्झ सात तारे थे, होर तेसरे मुंहा ले एक तेज दोधारी तलवार बाहर निकल्या करहा ई थी। होर तेसरा मुंह एह्ड़ा चमक्या करहा था, जेह्ड़ा सूरज भरी धूपा रे टैमा मन्झ चमक्हा।"
"REV","1","17","होर जेबे मैं से देख्या, ता हांऊँ झटपट तेसरे पैरा पर पई गया होर मरिरे साहीं हुई गया। पर तिन्हें मेरे पर आपणा सीधा हाथ रखी किन्हें ये बोल्या कि, “डर मत, हांऊँ ही पैहला होर हांऊँ ही आखरी आ,"
"REV","1","18","होर हांऊँ ही आ, जो हमेसा रे कठे जिउंदा आ। हांऊँ मरी गईरा था, पर ऐबे जिउंदा हुई गईरा, होर जुग-जुग जिउंदा रेहणा। होर मौत होर पताल लोका री चाबिया मेरे वाले ई।”"
"REV","1","19","“इधी कठे जो कुछ तू देख्या करहा, यानि जो ऐबे गल्ला हुआ करहा ईं, होर जो गल्ला आऊणें वाले ध्याड़े मन्झ पक्का हूंणे वाली, इन्हा दुहीं गल्ला जो तू कताबा मन्झ लिखी ले।”"
"REV","1","20","इन्हा सात तारे रा जो तैं मेरे सीधे हाथा मन्झ देखिरे थे, होर तिन्हा सात सोने री दीऊदानिया एक गहरा मतलब आ, जो ऐबे मां तुस्सा जो दसणा, जो पैहले कधी भी जाहिर नी कितिरा था। स्यों सात तारे सात कलीसिया रे दूत ऐें, होर स्यों सात सोने री दीऊदानिया सात कलीसिया ई।"
"REV","2","1","तिन्हें मेरे किन्हें बोल्या कि, “इफिसुस सैहरा री कलीसिया रे दूत जो ये संदेस लिख कि: हांऊँ ई आ जिन्हें आपणे सीधे हाथा मन्झ सात तारे लईरे, होर हांऊँ सोने रे सात दीऊदानिया रे बीचा मन्झ चल्हा फिरहा। हांऊँ तुस्सा किन्हें ये बोल्हा कि:"
"REV","2","2","हांऊँ जाणहां कि तू क्या काम करहा, होर कितनी मैहनत करहा, होर ये भी कि तू मेरे पर विस्वास करणे री वजहा ले सबर रखी किन्हें दुःख सहन करा। हांऊँ जाणहां कि तू बुरे लोका रे झूठे उपदेसा जो नी झल्दा। होर जो लोक आपणे आपा जो चुणिरा चेला बोल्हा ऐें, पर सच्चे हाए नी, एह्ड़े लोका जो तैं परखिरा कि स्यों लोक झूठे।"
"REV","2","3","होर तू मेरे पर विस्वास करणे री वजहा ले सबर रखी किन्हें दुःख सहन करा। दुःख सहन करदे हुए भी तैं मेरी सेऊआ करणी नी छाडी।"
"REV","2","4","पर हांऊँ तेरे बरखलाफ ये बोलणा चाहां कि, तैं मेरे किन्हें पैहले साहीं प्यार करणा छाडी दितिरा।"
"REV","2","5","इधी कठे याद कर कि, तू किहाँ मेरे किन्हें पैहले प्यार करहा था, पर ऐबे तेह्ड़ा प्यार नी करदा। एस पापा जो करणा छाडी दे, होर पैहले साहीं मेरे किन्हें प्यार कर। होर अगर तू नी बधल्घा, ता मां तेरे वाले आई किन्हें तेरी दीऊदानी जेथी से थी, तेस जगहा ले हटाई किन्हें तुजो सजा देणी।"
"REV","2","6","पर हां, तेरे मन्झ ये खरी गल ता जरुर ई कि, तू निकुलइया लोका रे कामा ले बैर करहा, जिहां हांऊँ भी तिन्हारे कामा ले बैर करहा।"
"REV","2","7","जो मेरी गल्ला सुणदा लगीरा से बड़े ध्याना किन्हें सुणें कि आत्मा कलीसिया किन्हें क्या बोल्हा। जो लोक जीत हासिल करहे, मां तेस जो जिन्दगी देणे वाले डाला रा फल खाणे जो देणा जेह्ड़ा परमेसरा रे स्वर्गा रे बगीचे मन्झा आ।”"
"REV","2","8","तिन्हें मेरे किन्हें बोल्या, “होर स्मुरना सैहरा री कलीसिया रे दूत जो ये संदेस लिख कि: हांऊँ ही आ जो पैहला होर आखरी आ; हांऊँ मरी गईरा था पर एेबे जिउंदा हुई गईरा। होर हांऊँ तुस्सा किन्हें ये बोल्हा कि:"
"REV","2","9","हांऊँ जाणहां कि तैं दुःख सहन कितिरे होर तू गरीब आ, पर आत्मिक गल्ला मन्झ तू सच्चे अमीर आ। होर हांऊँ ये भी जाणहां कि जो लोक आपणे आपा जो परमेसरा रे चुणिरे लोक (यहूदी लोक) बोल्हे, पर स्यों हाये नी, स्यों तुस्सा री निंदा करहे। पर ये लोक सैताना री मंडली रे लोक ऐें।"
