Book, Chapter, Verse, Text
"MRK","1","1","एज़ी खुशी री खौबर यीशु मसीहा रै बारै दी आ, ज़ुण परमेश्‍वरा रौ छ़ोहरु आ। एज़ी खुशी री खौबर इणी शुरु हुई।"
"MRK","1","2","ज़िणौ भविष्यवक्ता री किताबी दी आ लिखौ औन्दौ कि परमेश्‍वरै आपणै छ़ोहरु लै इणौ बोलौ आ कि, “शुण! हाऊं ताऊं कु औगाड़िऐ आपणौ एक दूत भेज़ाऊ। सेऊ ताऊं कालै बाट त्यार कौरा सा।”"
"MRK","1","3","यशायाह भविष्यवक्तै इणौ थौ लिखौ औन्दौ कि, “शुनशान ज़ागाह दी एक आदमी री हाकै ई लागी औन्दी शुणिदै, ‘प्रभु कालै आशणा लै बाट त्यार कौरौ, ज़ो बिल्कुल साफ और सिधी आ।’ ”"
"MRK","1","4","तिऐं भविष्यवाणी पुरी कौरीयौ एक आदमी आशौ ज़ासरौ नाऊं यहुन्ना थौ। सेऊ यरदन नौईं पारभिलै बंज़र ज़मीना दी आशौ। और परचार कौरदै लागौ कि, “सारै लोग आपणै-आपणै पापा कु माफी पाइणा लै बुरै कामा कु मन बौदल़ौ और बपतिस्मौ निऔं।”"
"MRK","1","5","सारै यहुदा परदेशा रै लोग और यरुशलेम शहरा दी रौइणै वाल़ै सारै लोग यहुन्ना काऐ आशै, और आपणै-आपणै पाप मानियौ यरदन नौईं दी यहुन्ना कु बपतिस्मौ नियौं।"
"MRK","1","6","यहुन्ना ऊंटा रै बाल़ा रै चाणै औन्दै जुड़कै भिड़ा थौ, और कमरा दी भिड़ा थौ च़ामड़ा री गाची। यहुन्ना सिरफ थाड़ै और बौणा री माक्खी रौ मौ खा थौ।"
"MRK","1","7","यहुन्ना बोला थौ, “मुं बासिऐ ज़ुण आशणै वाल़ौ आ, ज़ो मुकु ज़ादौ शक्ति वाल़ौ आ। हाऊं ता एस लायक भी नाईं कि धौनी झ़ुकियौ तेसरै बुटा रै तौसमै खोलु।"
"MRK","1","8","हाऊं दिआऊ तुमुलै पाणी कौरीऐ बपतिस्मौ, पर सेऊ दिया तुमुलै पवित्र आत्मा कौरी बपतिस्मौ।”"
"MRK","1","9","सेज़ै बौगतै यीशु गलील परदेशा रै नासरत गाँवा कु आशीयौ यरदन नौईं काऐ डैऔ। तिऐ यहुन्ना लोगु लै बपतिस्मौ दैंदै थौ लागौ औन्दै। यीशुऐ भी यहुन्ना काऐ डेइयौ बपतिस्मौ निऔं।"
"MRK","1","10","ज़िणी ई यीशु पाणी मांझ़िआ कु खौड़ौ उठौ तिणी ई यीशुऐ सौरग दुई भिलै च़ीरिंदै देखौ और आपु माथै पवित्र आत्मा कबुतरा ज़िणौ उतुरदै देखी।"
"MRK","1","11","और सौरगा कु परमेश्‍वरा री हाक शुणुई कि, “तू मैरौ प्यारौ छ़ोहरु ई। हाऊं ताऊं देखीयौ भौरी खुश ऊ।”"
"MRK","1","12","खरकच़ार पवित्र आत्मै यीशु शुनशान ज़ागाह दी नियौं।"
"MRK","1","13","तिऐ यीशु खतरनाक छ़ोटै-छ़ोटै ज़ीव-जन्तु मांझ़िऐ चालिस दिना झ़ांऊ रौऔ। तिऐ शैतानै यीशु बुशु शुणाइयौ फसाउणौं और परखुणौ च़ाऔ, पर यीशुऐ तेसरी एक बूश भी नाईं मानी। तैबै प्रभु रै दूत सौरगा कु आशीयौ यीशु री सेवा कौरदै लागौ।"
"MRK","1","14","दख बौगतै बासिऐ राज़ै हेरोदेस अंतिपासै यहुन्ना पाकड़ियौ ज़ेला दी टाल़ौ, तैबै यीशु गलील परदेशा दी आशीयौ, परमेश्‍वरा री खुशी री खौबर शुणाउंदै लागौ।"
"MRK","1","15","यीशुऐ बोलौ, “बौगत पुरौ हुऔ परमेश्‍वरा रौ राज़ नज़दीक आशी गौ आ। आबै आपणै मन बौदल़ौ, और इंऐ खुशी री खौबरी माथै विश्वास कौरौ।”"
"MRK","1","16","ज़ेबी यीशु गलीला रै झ़िला रै डीका बाटीऐ थै डेउंदै लागौ औन्दै, तेबी यीशु कै शमौन और तेसरौ भाई आन्द्रियास दिशै। सै झ़ींवर थै। सै थै झ़िला दी ज़ाल़ा टाल़दै लागै औन्दै।"
"MRK","1","17","और यीशुऐ तिउंलै बोलौ, “मुं पिछ़ु आशौ। हाऊं तुमु लोगु मुं काऐ आणनै वाल़ै चाणाऊ।”"
"MRK","1","18","तैबै खरकच़ार तिऊं दुई भाईउऐ ज़ाल़ छ़ाड़ौ पोरु, आपु डेवै यीशु पीछ़ु।"
"MRK","1","19","यीशु तिदरा कु दख दूर डैऔ, तिऐ दिशै यीशु कै जबदी रै दुई छ़ोहरु याकूब और यहुन्ना। सै भी झ़ींवर थै। सै थै लागै औन्दै ज़ाल़ा गांठदै।"
"MRK","1","20","यीशुऐ सै खरकच़ार औटाऐ। तिंउऐ आपणौ बाब छ़ाड़ौ किश्ती दी मुंज़ुरदारु आइलै, और आपु डेवै यीशु पीछ़ु।"
"MRK","1","21","तेत बासिऐ यीशु आपणै च़ेलेऊ आइलै कफरनहूम गाँवा दी आशौ। तिऐ आशीयौ एक आराधनालय दी डैऔ, आरामा वाल़ै दिना दी। तिऐ शिक्षा दैंदै लागौ।"
"MRK","1","22","ज़ेती भी लोग थै तिऐ बोशै औन्दै, यीशु री शिक्षा शुणियौ सारै हैरान हुऐ। कैलैकि यीशु शिक्षा हक्क्का कौरीऐ दिया थौ। यीशु री शिक्षा यहुदी शास्त्री लोगु ज़िणी नाईं थी।"
"MRK","1","23","तिंया ताकै तिंया आराधनालय दी एक आदमी थौ, ज़ासदी बुरी आत्मा थी। तिऐं बुरी आत्मै हाकै मारीयौ बोलौ,"
"MRK","1","24","“ओ, नासरता रै यीशु! हाऊं ज़ाणाऊ कि तू कुण ई। तू परमेश्‍वरा री तौरफा कु भेज़ौ औन्दौ पवित्र ज़ौणौ ई। आमुकै ताऊं कु का काम आ? का तू आमु नाश कौरदै ई आशौ औन्दौ?”"
"MRK","1","25","यीशुऐ तिऐं बुरी आत्मा लै डांटियौ बोलौ, “च़ुटुक थाक! एस आदमी कु बाइरै निकुल़।”"
"MRK","1","26","तिऐं बुरी आत्मै सेऊ आदमी छ़ाटौ-बिछ़ांडौ और राड़ी मारीयौ, तेस आदमी छ़ाड़ियौ बाइरै निकल़ी।"
"MRK","1","27","ज़ेती भी तिऐ लोग थै सै हैरान हुऐ और आपु मांझ़िऐ चौपड़िंदै लागै कि “इऐ का बूश आ? इयौ यीशु हक्क्का कौरीऐ किणी शिक्षा दिया? इदरा झ़ांऊ कि बुरी आत्माऐं भी एसरौ हुकम पोरु माना ई।”"
"MRK","1","28","यीशु रै बारै दी खरकच़ार पुरै गलील परदेशा रै सारै मुलखा दी आगी बाशीऐ फैअली।"
"MRK","1","29","यीशु खरकच़ार आराधनालय कु निकल़ियौ याकूब और यहुन्ना आइलै शमौन और आन्द्रियासा सै घौरा दी डैऔ।"
"MRK","1","30","तिऐ शमौन री शाशु च़ाता ई बुखारा कौरीऐ भौरी बिमार थी। तिऊं घौरा रै लोगुऐ इऐ बूश खरकच़ार यीशु काऐ बोली।"
