Book,Chapter,Verse,Text
PHP,1,1,"ये चिट्ठी यीशु मसीह रे दास पौलुस और तीमुथियुसो री तरफा ते ए। आँऊ ये चिट्ठी फिलिप्पी नगरो रे रणे वाल़े परमेशरो रे सारे पवित्र लोक, अध्यक्ष और सेवका खे लिखणे लगी रा जो यीशु मसीह रे ए। "
PHP,1,2,म्हारे पिता परमेशर और प्रभु यीशु मसीह री तरफा ते तुसा खे कृपा और शान्ति मिलदी रओ। 
PHP,1,3,"आऊँ जेबे-जेबे तुसा खे याद करूँआ, तेबे-तेबे आपणे परमेशरो रा धन्यवाद करूँआ। "
PHP,1,4,"और जेबे कदी तुसा सबी खे प्रार्थना करूँआ, तो सदा खुशिया साथे बिनती करूँआ। "
PHP,1,5,कऊँकि तुसे पईले दिनो ते लयी कि आजो तक प्रभु यीशुए रे सुसमाचारो खे फैलाणे खे मेरे सहभागी रई रे। 
PHP,1,6,"और माखे एते गल्ला रा विश्वास ए कि परमेशरे जिने तुसा रे खरा काम शुरू करी राखेया, तेस ई से काम जेबे यीशु मसीह फेर वापस आऊणा तेस दिनो तक पूरा करना। "
PHP,1,7,"ये खरा ए कि आऊँ तुसा सबी खे एड़ा ई बिचार करुँ, कऊँकि आऊँ तुसा ते बऊत प्यार करूँआ और जेबे आँऊ जेला रे ए और सुसमाचारो री रक्षा खे और इजी खे सच साबित करने रे तुसे सब मां साथे कृपा रे शामिल ए। "
PHP,1,8,इदे परमेशर मेरा गवा ए कि जिंयाँ यीशु मसीह तुसा ते प्यार करोआ सच्ची आँऊ बी तिंयाँ ई तिना जेड़ा तुसा सबी ते प्यार करूँआ। 
PHP,1,9,"और आऊँ ये प्रार्थना करूँआ कि तुसा रा एकी दूजे ते प्यार, ज्ञान और पूरिया समजा साथे ओर बी बड़दा जाओ। "
PHP,1,10,तेबेई तुसे इना गल्ला खे परखणे रे जोगे ऊई जाओ कि कुण जी गल्ल करने खे खरी ए और मसीह रे फेर वापस आऊणे रे दिनो तक पवित्र और निष्कलंक बणे रे रओ। 
PHP,1,11,"और यीशु मसीह रे जरिए पैदा ऊणे वाल़े धार्मिकता रे कामा ते आपू खे परी लओ, जेते कि परमेशरो री महिमा और स्तुति ऊँदी रओ। "
PHP,1,12,"ओ प्यारे साथी विश्वासियो! आऊँ चाऊँआ कि तुसे ये जाणी लो कि मां पाँदे जो बीती रा, तिजी री बजअ ते बऊत सारे लोके सुसमाचारो पाँदे विश्वास कित्तेया। "
PHP,1,13,एथो तक कि कैसर राजे रे राज्य री सारी पल़टण और बाकि बचे रे सारे लोका सामणे ये आईगा रा कि आऊँ मसीह री खातर जेला रे कैद ए। 
