Book,Chapter,Verse,Text
LUK,1,1,"आदरणीय थियुफिलुस, ए सारी गल्लां जे असां रे बिच मझाटे बित्ती, तिन्हा जो लिखणे बिच मते लोक्कां ने कोशीश कित्ते री है। "
LUK,1,2,यीशु री सेवकाई री शुरुआत रे बारे बिच से ही गल्लां लिख्खी जे तिन्हा ने तिन्हा लोक्कां का सुणी जिन्हा ने ए सब किच्‍छ अपणी हाक्खि कने दिख्खेया थिया ते बाद बिच जे लोक मसीह रे सेवक भी बणी गे थिये। 
LUK,1,3,"मै भी इन्हा गल्लां रे बारे बिच ठीक तरिक्के कने जाँच-पड़ताल कित्ते री है, ते मेरे जो ए ही खरा लग्गेया कि मै ए सारी गल्लां तुसी जो क्रमनुसार लिख्खी करी भेज्जी देयां। "
LUK,1,4,मै ए सारा किच्‍छ इधेरे तांइ करेया करदा है ताकी तुसी जाणी सको कि ए सब गल्लां किन्नी सच्ची हिन जे तुसी लोक्कां का सुणी। 
LUK,1,5,"जां यहुदियां प्रदेश बिच राजा हेरोदेस रा शासन थिया, तां तित्ते जकरयाह नां रा इक्क पुरोत्त थिया जे पुरोत्तां रे इक्क दल बिच का थिया, जिस दल रा नां अबिय्याह याजक रे नां पर पेया थिया, अते जकरयाह ते तिसेरी लाड़ी रा नां इलीशिबा थिया ते से दोन्नों इस्राएल रे सबका पैल्ले पुरोत्त, हारून रे ‍खानदान री थी। "
LUK,1,6,"जकरयाह अते इलीशिबा परमेश्‍वर री नजरां बिच धार्मिक थिये, ते प्रभु रे सारे हुक्मा ते बिधियां पर चलणे वाले थिये। "
LUK,1,7,"पर इलीशिबा इक्क ओत्तर जनानी थी, इधेरे तांइ तिन्हेरी कोई औलाद नी थी, अते से दोई जणे बड़े सियाणे भी होई गे रे थिये। "
LUK,1,8,"इक्क दिन जां जकरयाह रे दल री बारी, मन्दिर बिच पुरोत्त रा कम्म करणे तांइ आई, अते से परमेश्‍वर री सेवा करणे तांइ तित्ते ही थिया। "
LUK,1,9,"तां पुरोत्तां रे चलाये रे रिवाज रे हिसाब कने पर्ची जकरयाह रे नां री निकली, कि से परमेश्‍वर रे मन्दिर बिच जाई करी धूप बाले। "
LUK,1,10,जां धूप बालणे री बारी आई तां झुण्ड रे सारे मणु कठी करी बाहर मन्दिर रे अंगण बिच प्रार्थना करणा लगे। 
LUK,1,11,"जकरयाह मन्दिर बिच ही थिया, कि तिस्सी बेल्ले परमेश्‍वर रा इक्क स्वर्गदूत धूप री बेदी रे सज्जे पासे आई खड़ा होया। "
LUK,1,12,"जकरयाह स्वर्गदूत जो दिख्खी करी बड़ा डरी गेया, जिय्यां कि तिसेरे प्राण निकलणा लगी पे रे होन "
LUK,1,13,"पर तिस्स स्वर्गदूत ने तिस जो बोल्लेया, जकरयाह, डरां मत! किजोकी परमेश्‍वर ने तेरी प्रार्थना सुणी लित्ती री है, अवे तेरी लाड़ी इलीशिबा ने, जे ओत्तर है, दुपराणी होणा, अते तिन्ने इक्क निक्के जो जमणा, अते तू तिस्स निक्के रा नां युहन्ना रख्खे, "
LUK,1,14,"तिसेरे पैदा होणे पर तिज्जो तां खुशी होणी ही, पर तिनिये मते लोक्कां री खुशी होणा, "
LUK,1,15,"किजोकी तिन्ने प्रभु री नजरां बिच महान मणु होणा, तिसजो दारू पीणा मना है, अते से पैदा होणे का पैल्ले ही पवित्रात्मा कने भरपूर होणा। "
LUK,1,16,तिन्ने इस्राएल रे मते मणुआं का तिन्हेरे पाप्पां का तौबा कराणी अते तिन्हा जो प्रभु-परमेश्‍वर रे पास्से हटाई लाणा। 
LUK,1,17,"तिन्ने एलिय्याह री आत्‍मा ते ताकत बिच भरपूर होई करी प्रभु रा रस्ता तयार करणा, तिन्ने माँ-प्यो जो अपणे निके-निकेयाँ कने प्यार करणा सिखाणा, अते अड़मण लोक्कां जो धार्मिक मणुआं री जिन्दगी जीणा सिखाणा ते तिन्हा परमेश्‍वर जोग्गि इक्क प्रजा बनणे तांइ तयार करणा। "
LUK,1,18,"तां जकरयाह ने स्वर्गदूत जो पुच्छेया, कि मै किय्यां मन्नी लेयाँ कि ए सब किच्‍छ जे तू बोल्लेया करदा है, सच होई जाणा? किजोकी, मै तां बड़ा सियाणा मणु है, अते मेरी लाड़ी भी सियाणी है। "
LUK,1,19,"तां स्वर्गदूत ने तिस्स जो बोल्लेया, मै जिब्राईल है, मै से स्वर्गदूत है, जे हर बेल्ले परमेश्‍वर रे सामणे खड़ा रैहन्दा मेरे जो परमेश्‍वर ने तेरे का इधेरे तांइ भेज्जेया कि ए शुभ संदेश मै तिज्जो दस्सि देयां। "
LUK,1,20,"पर दिख्ख, अब्बे मै जे किच्‍छ भी तिज्जो बोल्लेया, तिन्हा गल्लां पर तैं विश्वास नी कित्तेया, इधेरी तांइ अवे जां तांइ तेरा निक्का पैदा नी होई जान्दा, तां तांइ तैं जल्ला रैह्णा। "
LUK,1,21,"मन्दिर रे अंगण बिच खड़ित्ते रे सारे लोक जकरयाह रा बाहर आणे रा इतंजार करेया करदे थिये, ते हेरान होणा लग्गे कि तिसजो मन्दिर बिच इन्नि देर किजो लग्गेया करदी है। "
LUK,1,22,"फिरी जां से बाहर आया, तां तिसका किच्‍छ भी बोल्ली नी होया अते तिसेरी हरकतां जो दिख्खी करी मणु समझी गे, कि इन्ने मन्दिर बिच जाई करी जरूर परमेश्‍वर रा कोई दर्शन दिख्खया होणा। "
LUK,1,23,फिरी जिस बेल्ले जकरयाह रे मन्दिर बिच सेवा करणे रा बेल्ला पूरा होई गेया तां से अपणे घरे जो हटी गेया। 
LUK,1,24,"फिरी थोड़े रोज्जाँ बाद, इलीशिबा दुपराणी होई कने से पांज्ज महिन्ने तांइ मणुआं री नजराँ का दूर रेह्ई, "
LUK,1,25,मणुआं बिच मेरा अपमान दुर करणे तांइ परमेश्‍वर ने इनां दिनां बिच अपणी रहमत कने इक्क बड्डा कम्म कित्ते रा है। 
LUK,1,26,"एलीशिबा रे दुपराणी होणे रे छेम्मे महिन्ने अंदर परमेश्‍वर ने जिब्राईल स्वर्गदूत जो गलील शहर रे नासरत कस्बे बिच, "
LUK,1,27,"इक्क कुंवारी कुड़ी का भेजेया, तिस्स कुंवारी कुड़ी रा नां मरियम थिया, जिसेरी मंगणी यूसुफ नां रे इक्क मणु कने होये री थी, अते से दाऊद राज्जे रे ‍खानदान रा थिया। "
LUK,1,28,"जिब्राईल स्वर्गदूत मरियम का आई करी बोलणा लगेया, “नमस्कार, तेरे पर परमेश्‍वर ने बड़ी दया कित्ती, ते परमेश्‍वर तुसी कने हिन।” "
LUK,1,29,स्वर्गदूत री इस गल्ल का घबराई करी मरियम इस सोच्चा बिच पेई गई कि इसेरी इन्हा गल्लां रा क्‍या मतलब होई सकदा? 
LUK,1,30,"तां स्वर्गदूत ने मरियम जो बोल्लेया, डरां मत, किजोकी परमेश्‍वर री दया तेरे पर होये दी है। "
LUK,1,31,"अवे तैं दुपराणी होणा ते इक्क निक्के जो जमणा, जिसेरा नां तू यीशु रख्खेयां, "
LUK,1,32,"से निक्का बड़ा महान होणा अते तिस्स जो मणुआं ने परमप्रधान परमेश्‍वर रा निक्का मनणा अते होर तां होर, परमेश्‍वर ने तिस्स जो तिसेरे पुरखे दाऊद राज्जे सांइ राज्जा बनाणा, "
LUK,1,33,अते तिन्ने हमेशा तांइ याकूब रे ‍खानदान पर राज करणा जे इस्राएल देश है अते तिसेरा राज कदी भी नी मुकणा। 
LUK,1,34,"ए सुणी करी मरियम ने जिब्राईल स्वर्गदूत जो बोल्लेया, ए किय्यां होई सकदा, किजोकी मै तां कुंवारी ही है। "
LUK,1,35,"तां जिब्राईल स्वर्गदूत ने मरियम जो बोल्लेया, पवित्रात्मा ने तेरे पर उतरणा अते परमप्रधान परमेश्‍वर री ताकत ने तेरे पर छाँ करणी, अते से बच्चा जे तेरे का पैदा होणा, से पवित्र होणा, तिसजो परमेश्‍वर रा पुत्तर बोल्लेया जाणा, "
LUK,1,36,"होर तां होर, तेरी रिश्तेदार इलीशिबा, जिस जो सब मणु ओत्तर समझदे थिये, से भी दुपराणी होई गे री है कने तिस्स जो इस बेल्ले छेम्मा महीन लग्गे रा है। "
LUK,1,37,किजोकी परमेश्‍वर किच्‍छ भी करी सकदे। 
LUK,1,38,"फिरी मरियम ने बोल्लेया, दिख्ख, मै ता परमेश्‍वर री नौक्कर है तू जिय्यां बोल्लेया तिय्यां ही मेरे कने हो तां फिरी स्वर्गदूत तित्ते का चली गेया। "
LUK,1,39,थोड़े रोजां बाद मरियम यहुदियां नां रे इक्क पाह्डी ग्राँ बिच जकरयाह रे घरे जो गई। 
LUK,1,40,"अते तित्ते तिन्ने जकरयाह री लाड़ी, इलीशिबा जो प्रणाम कित्ती "
LUK,1,41,"अते इय्यां होया कि जिस बेल्ले मरियम ने इलीशिबा जो प्रणाम कित्ती, तिस्सी बेल्ले इलीशिबा रे पेट्टा बिच निक्का उटकी पेया, अते इलीशिबा पवित्रात्मा कने भरपूर गई, "
LUK,1,42,"अते से ऊच्ची अवाज बिच बोल्णा लगी, सारी जनानियां बिच तू धन्न है अते जिस निक्के जो तैं जमणा, से भी धन्न है। "
LUK,1,43,मै बड़ी भाग्गा वाली है कि मेरे प्रभु री माँ अप्पु चली करी मेरे कने मिल्णा मेरे घरे जो आई। 
LUK,1,44,"किजोकी जिय्यां ही तुसी ने मेरे जो प्रणाम बोल्लेया, तिय्यां ही मेरे पेट्टा बिच निक्का खुशी कने उटकी पेया। "
LUK,1,45,तु धन्न है किजोकी तैं प्रभु री गल्लां रा भरोसा कित्ता। 
LUK,1,46,"तां मरियम ने बोल्लेया, “मै अपणे परमेश्‍वर री बड़ाई करदी, "
LUK,1,47,"अते मेरी आत्‍मा मेरे छुटकारा दैणे वाले परमेश्‍वर का बड़ी भारी खुश है, "
LUK,1,48,"तिन्हा ने अपणी दासी रे निम्तेपन पर नजर रख्खि, कने अब्बे का लेई करी जुग-जुगान्तर री पीढ़ीयाँ ने मेरे जो बोलणा कि, तू तां बड़ी धन्न है, "
LUK,1,49,"किजोकी उस शक्तिसाली परमेश्‍वर ने मेरे तांइ बड़े बड्डे-बड्डे कम्म कित्ते रे हिन, तिन्हेरा नां पवित्र है, "
LUK,1,50,"अते तिन्हेरी दया उन्हा सबनी मणुआं पर है जे कि तिन्हेरा डर मन्दे, अते तिन्हा पर दया आणे वाली सारी पीढ़ीयाँ तांइ बणी रैह्‍णी, "
LUK,1,51,"परमेश्‍वर ने अपणी बड़ी ताकत कने बड्डे-बड्डे कम्म कित्ते रे हिन, अते जे अपणे दिल बिच घमंड री गल्लां सोचदे थिये, तिन्हा रा घमण्ड तोड़ी दित्ता। "
LUK,1,52,"तिन्हा ने ताकतवर मणुआं जो तिन्हेरे राज-पद का हटाई दित्ता, अते निम्ते मणुआं जो सम्मान दित्ता, "
LUK,1,53,"तिन्हा ने भुख्खेयां जो खरी खरी चिज्जां कने रजाया, पर अमीरां जो खाली हत्थ हटाई दित्तेया, "
LUK,1,54,"तिन्हा ने अपणे इस्राएली सेवकां री मदद कित्ती, कि अपणी दया याद करे, "
LUK,1,55,"जिय्यां कि तिन्हा ने असां रे पुरखे अब्राहम ते तिन्हेरे पुरे ‍खानदान कने वादा कित्तेया थिया,” "
LUK,1,56,मरियम कोई त्रै महिन्ने तांइ इलीशिबा कने रेई फिरी तिसेरे बाद से अपणे घरे जो चली गई। 
LUK,1,57,फिरी इलीशिबा रा लौकिणे रा बेल्ला आई गेया अते तिसेरे घरे इक्क मुडां पैदा होया। 
