Book,Chapter,Verse,Text
EPH,1,1,"मै पौलुस, जे परमेश्‍वर री मर्जी कने यीशु मसीह रा प्रेरित है इफिसुस री कलीसिया रे विश्वासियां जो ए चिठ्ठी लिख्खेया करदा है। "
EPH,1,2,तुसी जो असां रे पिता परमेश्‍वर अते मसीह यीशु रे पास्से का अनुग्रह ते शांती मिलदी रे। 
EPH,1,3,असां रे परमेश्‍वर ते यीशु मसीह रे पिता री महिमा हो किजोकी तिन्हा ने असां जो मसीह यीशु कने रिश्ता होणे री वजह कने स्वर्ग का हर तरिक्के री आत्मिक आशीषां दित्ती। 
EPH,1,4,दुनिया रे बणाए जाणे का पैल्ले ही परमेश्‍वर ने मसीह कने असां रा रिश्ता बनाणे रे जरिये चुणेया ताकी असी परमेश्‍वर रे सामणे पवित्र ते बेकसूर ठेहरे। 
EPH,1,5,किजोकी परमेश्‍वर ने असां जो प्यार कित्तेया ते तिन्हा ने फैसला कित्तेया कि तिन्हा ने असां जो मसीह यीशु रे जरिये गोद लेई लैणा। 
EPH,1,6,"परमेश्‍वर ने इय्यां इस तांइ कित्तेया ताकी तिन्हेरे महीमामय अनुग्रह तांइ तिन्हेरी बड़ाई करण, जिस जो तिन्हा ने असां लोक्कां जो मुफ्त बिच इधेरे तांइ दित्तेया किजोकी असां रा तिन्हेरे प्यारे पुत्तर कने रिश्ता है। "
EPH,1,7,"परमेश्‍वर ने असां जो मसीह रे खून बहाई करी कुर्बानी दैणे रे जरिये छुटकारा दित्ते रा है, जिसेरा मतलब ए है कि असां रे पाप माफ होई गे रे हिन किजोकी परमेश्‍वर रा अनुग्रह इन्ना महान है जे तिन्हा ने असां पर बड़ा जादा कित्ते रा है। "
EPH,1,8,जे महान अनुग्रह परमेश्‍वर ने अपणे बड़े ज्ञान ते समझ कने असां पर कित्तेया। 
EPH,1,9,"परमेश्‍वर ने अपणी इच्छा रा राज़ ठीक इराद्दे कने असां पर जाहिर कित्तेया, जे तिन्हा ने अप्पु मसीह यीशु रे जरिये स्थापित कित्तेया थिया। "
EPH,1,10,परमेश्‍वर री ए योजना है कि तिन्हेरे ठेहराए रे समय पर आसमान ते जमीन री सब चिज्जां जो मसीह यीशु रे हक बिच लेई आए। 
EPH,1,11,"अते परमेश्‍वर ने भी असां रा मसीह यीशु कने रा रिश्ता बनाणे रे जरिये असां जो तिन्हेरे अपणे लोक बणाया, किजोकी शुरूआत का ही तिन्हेरी ए योजना थी, ते परमेश्‍वर सब किच्‍छ अपणी इच्छा ते योजना रे हिसाब कन्ने करदे। "
EPH,1,12,परमेश्‍वर ने ए इधेरे तांइ कित्तेया ताकी असी यहुदी लोक जे मसीह बिच आस रखणे वाले पैल्ले लोक हिन तिन्हेरी महिमा ते बड़ाई करी सकण। 
EPH,1,13,ते तुसी कने भी से ही गल्ल होई। तुसी ने सच्चा शुभ संदेश सुणेया जे परमेश्‍वर रा संदेश है कि तिन्हा ने किय्यां तुसी जो बचाया। जां तुसी ने मसीह यीशु बिच विश्वास कित्ता तां परमेश्‍वर ने तुसी जो पवित्रात्मा दित्ता जे तिन्हा ने अपणे लोक्कां जो दैणे रा वादा कित्तेया थिया। पवित्रात्मा इक्क मौहर सांइ है जे ए दर्शांदी कि तुसी मसीह रे लोक हिन। 
EPH,1,14,"पवित्रात्मा असां तांइ बयाने सांइ भी है जे इस गल्ल री पुष्टि करदा कि परमेश्‍वर ने असां जो से विरासत भी दैणी जिसेरा तिन्हा ने वादा भी कित्ते रा है ते तिन्हा ने असां जो अपणे लोक बनाणे तांइ असां रा मुल भी चुकाए रा है, ताकी तिन्हेरी महिमा री बड़ाई हो। "
EPH,1,15,"इधेरे तांइ जिस बेल्ले का मै प्रभु यीशु बिच तुसी रे विश्वास अते सब पवित्र मणुआं तांइ तुसी रे प्यार रे बारे बिच सुणे रा है, "
EPH,1,16,"तिस बेल्ले का मै परमेश्‍वर जो तुसी तांइ शुकर करदा रैहन्दा, ते हमेशा तुसी जो अपणी प्रार्थना बिच याद करदा रैहन्दा। "
EPH,1,17,मै प्रार्थना करदा कि असां रे प्रभु यीशु मसीह रे महीमामय पिता परमेश्‍वर तुसी जो आत्मिक ज्ञान ते समझदे ताकी तुसी तिन्हा जो पुरी तरिक्के कने जाणी सको। 
EPH,1,18,"मै ए भी प्रार्थना करदा कि से तुसी जो सच्चाई जो पुरी तरिक्के कने समझणे बिच मदद करे ताकी तुसी जाणी सको तिन्हेरे असां जो सद्दणे री आस क्‍या है, ताकी तुसी जाणी सको कि से आशीषां किन्नी जादा महीमामय हिन जिन्हेरे दैणे रा वादा परमेश्‍वर ने अपणे लोक्कां कने कित्ते रा है। "
EPH,1,19,मै चाह्‍ंदा कि तुसी तिस महान ते बड्डी ताकत रे बारे बिच जाणो जे परमेश्‍वर ने असां तांइ रख्खे री है जे मसीह यीशु पर विश्वास करदे। 
EPH,1,20,जे कम्म परमेश्‍वर ने मसीह यीशु रे बारे बिच कित्तेया कि तिन्हा जो मरे रे लोक्कां बिच का जिन्दा करी के स्वर्ग बिच अपणे सज्जे पास्से बिठाई दित्ता। 
EPH,1,21,"तित्ते मसीह जो हर तरिक्के री प्रधानी, हक, ताकत, प्रभुता ते सारे पद रे उप्पर बिठाया जे ना सिर्फ इस दुनिया रे बिच है पर से पद आणे वाली दुनिया रे बिच भी होणा। "
