Book,Chapter,Verse,Text
JUD,1,1,"मै यहूदा जे मसीह यीशु रा सेवादार ते याकूब रा छोटा भ्याल है, तुसी लोक्कां जो ए चिठ्ठी लिख्खेया करदा है जिन्हा जो परमेश्‍वर ने तिन्हा बिच विश्वास करणे तांइ सद्दे रा है। परमेश्‍वर पिता तुसी जो प्यार करदे ते तुसी जो मसीह यीशु बिच सुरक्षित रखदे। "
JUD,1,2,"तुसी जो परमेश्‍वर रा अनुग्रह, प्यार ते शांती भरपुरी कने मिलदी रे। "
JUD,1,3,"मेरे प्यारे दोस्तों, मै तुसी जो तिस छुटकारे रे बारे बिच चिठ्ठी लिखणे री बड़ी कोशीश कित्ती जे असां जो परमेश्‍वर रे पास्से का मसीह यीशु रे जरिये मिल्ले रा है ते जिस बिच असी सारे हिस्सेदार हिन। पर अवे मै तुसी जो इस चिठ्ठी रे जरिये प्रोत्साहित करणा चाह्‍ंदा ताकी तुसी अपणे मसीही विश्वास बिच होर भी जादा मजबूत होणे री कोशीश करो। परमेश्‍वर ने अपणे लोक्कां जो ए विश्वास इक्क ही बारी तांइ देई दित्ते रा है, ते ए कदी बदली नी सकदा। "
JUD,1,4,मेरा तुसी जो ए चिठ्ठी लिखणे रा मकसद ए है कि किच्‍छ इदेय लोक तुसी लोक्कां बिच मझाटे मिली गे रे हिन जे मसीह यीशु बिच विश्वास करणे रा ढोंग करदे। से परमेश्‍वर रा आदरमान नी करदे ते से लोक ए सिखांदे कि परमेश्‍वर असां रे पाप्पां जो माफ करी दिंदे इधेरे तांइ असी अनैतिक जिन्दगी जी सकदे। से मसीह यीशु जो नक्कारदे जे असां रे मालिक ते प्रभु हिन। 
JUD,1,5,"हालांकी तुसी इन्हा सारी गल्लां जो समझी गे रे हिन, पर फिरी भी मै तुसी जो ए गल्लां चेत्ता कराणा चाह्‍ंदा कि प्रभु इस्राएल देश रे लोक्कां जो मिस्र देश री गुलाम्मी का छुटकारा देई करी लेई आया पर बाद बिच विश्वास ना करणे वाले जो बियाबान बिच मुकाई दित्तेया थिया। "
JUD,1,6,याद करो कि प्रभु ने किय्यां तिन्हा शैतान रे दूतां जो सजा दित्ती थी जे अपनी जिम्मेदारी जो नी निभाया पर इसेरे उलट तिन्हा ने अपणे तिस ओह्दे जो छड्डी दित्तेया जे परमेश्‍वर ने तिन्हा जो सौप्पेयां थिया। परमेश्‍वर ने इन्हा स्वर्गदूतां जो इक्क न्याहरी जगह बिच तिस दिन तीकर झंझिरां कन्ने बन्नी करी रख्खे रा है जां परमेश्‍वर ने तिन्हा जो गुन्हेगार ठैहराणा। 
JUD,1,7,ते ए भी याद करो कि सदोम ते अमोरा नां रे शहरां ते तिन्हेरे नेड़े-तेड़े रे शहरां कने क्‍या होया थिया। तित्ते रे लोक अनैतिक कम्मां बिच पेइ गे थिये ते हर तरिक्के री अश्लीलता रे कम्मां कने भरी गे रे थिये इधेरे तांइ परमेश्‍वर ने तिन्हा जो अग्ग कने तबाह करी दित्तेया। ए सारी गल्लां झुठ्ठे शिक्षकां तांइ इक्क चितौणी है कि तिन्हा जो भी हमेशा तीकर बलणे वाली अग्ग बिच तबाह कित्तेया जाणा। 
JUD,1,8,तिय्यां ही मसीह यीशु बिच विश्वास करणे रा ढोंग करणे वाले लोक ए दावा करदे कि परमेश्‍वर ने दर्शन देई करी ए बोलदे कि असी अनैतिक जिन्दगी जी करी अपणे शरीरां जो भिट्टा करी सकदे। से नी चाह्‍ंदे कि कोई तिन्हा पर हक जताए ते से लोक महीमामय स्वर्गदूतां रे बारे बिच गलत गल्लां बोलदे। 
JUD,1,9,"पर इत्ते तीकर कि प्रधान स्वर्गदूत मिकाईल ने इन्हा अभक्त लोक्कां सांइ कोई कम्म नी कित्तेया। जां शैतान मिकाईल कने बैह्स करेया करदा थिया कि तिन्हा दोन्नां बिच का कुण मूसा रे शरीर जो दब्बि सकदा। तां भी मिकाईल स्वर्गदूत ने इन्हा सबणी लोक्कां का जादा हक होणे रे बावजूद भी तिनिये शैतान जो गलत गल्लां नी बोल्ली, पर तिनिये ए बोल्लेया, “परमेश्‍वर तिज्जो झिड़के।” "
JUD,1,10,"पर मसीह बिच विश्वास करणे रा ढोंग करणे वाले ए लोक तिन्हा गल्लां रे बारे बिच पुठ्ठी-सिद्दी गल्लां बोलदे जिस जो से समझदे भी नी, ते जिन्हा चिज्जां जो से जाणदे ते कुदरती तौर पर जानवरां सांइ करदे से चिज्जां करणे री वजह कने ही बर्बाद भी होई जांदे। "
