Book,Chapter,Verse,Text
ACT,1,1,"ए थियुफिलुस, मैं पैली कताब उनें सारीयें गल्लें दै बारै च लिखी, जेडीयां यीशु शुरू थमां करदा ते सखांदा रिया "
ACT,1,2,"ओस देन तकर जेलै ओ उनें प्रेरितें गी जिनेंगी ओनें चुने दा हा, पवित्र आत्मा थमां उक्म देइयै सोर्ग च ऊपर चुकया नेई गिया, "
ACT,1,3,"ते यीशु दे दोख पोगने कोला बाद मते सारे पक्के सवुतें कन्नें अपने आप गी जिंदा दसया, ते चली देन तकर ओ उनेंगी लबदा रेया, ते परमेसर दे राज दियां गल्लां करदा रेया। "
ACT,1,4,"ते चेलें कन्नें मिलियै उनेंगी उक्म दित्ता, “यरूशलेम गी नेई छुड़ो, लेकन पिता दे ओस बायदे गी पूरा ओनें दा एन्तज़ार करदे रवो, जेस दी चर्चा तोस मेरे थमां सुनी चुकेदे ओ। "
ACT,1,5,"किके यूहन्ना ने तां पानी कन्नें पवित्रशनांन दित्ता ऐ, पर थूडे दिने दे बाद तोस पवित्र आत्मा कन्नें पवित्रशनांन पागे।” "
ACT,1,6,"एस आसतै उनें किट्ठे ओइयै ओस कन्नें पूछ्या, “ए प्रभु, के तोस ईसै बेलै इस्राएल दे राज दी पी सतापना करगे ओ?” "
ACT,1,7,"ओनें उंदे कन्नें आखया, “उनें बेलें जां कालें गी जानना, जिनेंगी पिता ने अपने अख्त्यार बेच रखा ऐ, तुसेंगी जानने दी जरुरत नेई। "
ACT,1,8,"लेकन जेस लै पवित्र आत्मा थूआड़े ऊपर औग ओस बेलै तोस शक्ति पागे; ते यरूशलेम ते सारे यहूदीया ते सामरिया लाकें च, ते तरती दे खीरी तकर लोकें च मेरे गवाह ओगे।” "
ACT,1,9,"ए आखीयै ओ उंदे दिखदे-दिखदे सोर्ग च चुकी लेता गिया, ते बदलें उसी उंदी अखीं थमां शपाई लेता। "
ACT,1,10,"ते ओदे जंदे बेलै जेलै ओ सोर्ग आली बखी दिखा दे हे, ओस लै दिखो, दो मनुक्ख चिट्टे कपड़े उंदे कोल आई खड़ोते, "
ACT,1,11,"ते उंदे कन्नें आखन लगे, “ए गलील जिले दे मनुक्खो, तोस कि खड़ोते दे सोर्ग आली बखी दिखा दे ओ? इयै यीशु, जेड़ा थूआड़े थमां सोर्ग गी चुकया गिया ऐ, जेस चाली तुसें उसी सोर्ग गी जंदे दिखया ऐ उयां गै ओ पी औग।” "
ACT,1,12,"ओस बेलै चेलें जैतुन नां दी पाड़ी थमां जेडी यरूशलेम दै कोल एक यहूदीयें दे बसां दे देन दै बराबर दूर ऐ, यरूशलेम गी बापस आए। "
