Book,Chapter,Verse,Text
3JN,1,1,"आऊँ यूहन्ना अगबें थमां ए चिठ्ठी ओस प्यारे गयुस दे नां लिखे करना, जेस कन्नें आऊँ सच्चा प्रेम करना ऐं। "
3JN,1,2,"ए प्यारे दोसत, मेरी ए प्रार्थना ऐ; के जियां तू आत्मिक तरक्की करै करना ऐ,उयां गै तू सारियें गल्लें च तरक्की कर,ते जिंदु च सेत्तमन्द रवो। "
3JN,1,3,"किके जेलै विश्वासी प्राऐं आईयै, तेरी ओस सचाई दी गुआई दीती, जेदे उपर सचें गै तुं चलना ऐं, तां आऊँ बड़ा गै खोश ओया। "
3JN,1,4,"मिगी एदे कोला बड्डी ओर कोई ख़ुशी नेई, के आऊँ सुनां, के मेरे आत्मिक बच्चे सचाई उपर चलदे न। "
3JN,1,5,"ए विश्वासी दोसत, तो मसीह प्राऐं आसतै बड़ी मदद कित्ती जेड़े मांनदारी कन्नें दूर-दूर जाईयै शोभ समाचार सनांदे हे, ते तो उन्दी मदद बी मांनदारी कन्नें कित्ती,जिनेंगी तुं नेई जानदा हा। "
3JN,1,6,"उनें कलीसिया दे सामने तेरे प्यार दी गुआई दिति ही। जेकर तू उनेंगी ईसै चाली विदा करगा जेस चाली परमेसर दे लोकें लेई वाजब ऐ, तां अच्छा करगा। "
3JN,1,7,"किके ओ ओस नां आस्ते निकले न, ते दुई जातीयें कोला केछ नेई लेंदे। "
3JN,1,8,"एस लेई ऐसे सेवकें दी परौनगी करना चाईदी, जेदे थमां अस बी उन्दे कन्नें सच्चाई दी सेवा दे ऐसे दार ओचै। "
3JN,1,9,"मै कलीसिया गी केछ लिखे दा हा; लेकन दियुत्रिफेस जेड़ा उन्दे च बड्डा बनना चांदा ऐ, ओस शिखया गी नेई मनदा। "
3JN,1,10,"एस करी आऊँ औगा, तां थूआड़े सामने ओदे किते गेदे सारे कम्में गी दसी देगा मतलब साडे उपर लाए दे चुठ्ठे लजामें गी ते इनां गै नेई ओ अप्पुं बी खोश नेई ओंदा ते वश्वासियें दा सुआगत नेई करदा,ते उनेंगी जेड़े सुआगत करना चांदे न, उनेंगी मनां करदा ते कलीसिया चा बार कढ़ी दिंदा ऐ। "
3JN,1,11,"ए प्यारे दोसत, बुराई दै पिच्छें नेई, लेकन पलाई दै पिच्छें चलने आले बनो। जेड़ा पलाई करदा ऐ, ओ परमेसर थमां करदा ऐ; लेकन जेड़ा बराई करदा ऐ, ओस ने परमेसर गी नेई दिखया। "
3JN,1,12,"अर एक कलीसिया च आखदा के दिमेत्रियुस अच्छा मनुक्ख ऐ,किके ओ परमेसर दी सच्ची शिखया दै मताबक चलदा ऐ। "
3JN,1,13,"आऊँ ओर बी मतियाँ सारियां गल्लां दसनां चांनां,लेकन चिठ्ठी च लिखनां नेई चांदा, "
3JN,1,14,"लेकन मिगी आस ऐ,के आऊँ थूआड़े कोल औगा ते आमने-सामने गल्लां करगा। "
3JN,1,15,"आऊँ प्रार्थना करना, के तुसेंगी शान्ति मिलदी रवै। इथें तकर के मसीह दोसत तुगी नमश्कार बोलदे न। उत्थें दे दोस्तें गी नां लेईयै नमश्कार बोली देना। "
