Book,Chapter,Verse,Text
ACT,1,1,"हे थियुफिलुस, मैंई अपणी पैहली कताब : तियां सबी गल्ला रै बारै मन्ज लिखुरीआ जैड़ी यीशु शुरू थऊँ असु मन्ज करदा अतै सखांदा रैऊ। "
ACT,1,2,"तैस दिन तक जैहणै सो र्स्वगा जो ऊपर ना उठाया गो। र्स्वगा जो गाणै थऊँ पैहलै तिनी तियां चुनुरै प्रेरिता जो पवित्र आत्मा री शक्ति सोगी तियां गल्ला जो दस्सु, जियां गल्ला जो सो सखाणा चाहन्दा थू। "
ACT,1,3,"तिनी क्रूस पुर दुख उठाणै अतै मरनै थऊँ बाद वडै़ पक्कै सबूता सोगी तियां पुर अपणै आपा जो जिन्दा प्रकट करूरा। अतै चाळी दिन तक सो तियां जो हुजदा रैऊरा, अतै प्रमात्मैं रै राज्य री गल्ला करदा रैऊरा। "
ACT,1,4,"अक्क बरी जैहणै सो इकट्ठै खाणा बैईठै ता यीशुऐ चेलै सोगी मुळी करी तियां जो आज्ञा दिती कि “यरूशलेम जो ना छड़न, पर मेरै पितै री तैहा प्रतिज्ञा रै पुरै भूणै री भाळ करदै रेय्आ, जठेरी चर्चा तुहै मिन्जो थऊँ हुणुरी हा। "
ACT,1,5,क्ओकि यूहन्‍नै ता पाणी रा बपतिस्मा दितुरा पर थोड़ै दिन बाद तुसु प्रमात्मैं थऊँ पवित्र आत्मा रा बपतिस्मा पाणा।” 
ACT,1,6,"ता चेलै इकट्ठै भूच्ची करी यीशु थऊँ पुछु, “हे प्रभु, कै तुसु हवजु ही रोम थऊँ छुटकारा दिकरी इस्त्राएल रा राज्य दोवारा स्थापित करणा?” "
ACT,1,7,"तिनी तियां सितै बल्लू, “तैस टैमां अतै काल जो जानणा, तुन्दा कम निय्आ जैडा पिते रै हत्था मन्ज हा। "
ACT,1,8,"पर जैहणै पवित्र आत्मा तुसु पुर ईणा ता तुसु सामर्थ पाणा; अतै यरूशलेम अतै पुरै यहूदिया अतै सामरिया परदेस मन्ज, अतै धरती रै अन्त तक मेरै गवाह भूणै।” "
ACT,1,9,"ऐह बलदै बलदै सो स्वर्गा री कनारी जो चुकी लैऊ, अतै बदळै सो तंयारी हाख्री थऊँ लुकाई पाऊ। "
ACT,1,10,"तसेरै गान्दै जैहणै सो अम्बरा री कनारी अक्कटक लाई करी हेरू करदै थियै, ता दोई मणु सफेद कपड़ै लाऊरै तियां बलै अचानक ईच्ची खड़ियै, "
ACT,1,11,"अतै तियां सितै बल्लू, “हे गलीली मणुओ, तुहै कजो खड़ी करी अम्बरा री कनारी अक्कटक लाई करी हेरू करदै हिन? ऐह यीशु, जैडा तुन्दै नेड़ै थऊँ स्वर्गा जो चुकी लैऊ हा, जैस तरीकै तुहै ऐह स्वर्गा जो गान्दा हेरू हा तैस तरीकै ऐस फिरी ईणा।” "
ACT,1,12,जैहणै चेलै जैतून नां रै पहाड़ा थऊँ जैडा यरूशलेम शहर रै नेड़ै थू फिरी आये। जैड़ा अक्क किलोमिटर रै लगभग थू। 
ACT,1,13,"जैहणै सो शहर मन्ज पुजै ता सो तैस घरा रै बोड़ी जो गै, जैड़ी ऐह सब चेलै पतरस, यूहन्‍ना, याकूब, अन्द्रियास, फिलिप्पुस, थोमा, बरतुल्मै, मत्ती, हलफई रा पुत्र याकूब, शमौन जेलोतेस अतै याकूब रा पुत्र यहूदा रहन्दै थियै। "
ACT,1,14,"ऐह सब चेलै यीशु रै भाई, माता अतै कई होर जनानी सोगी अक्क चित भूच्ची करी प्रार्थना मन्ज लगी रैह। "
ACT,1,15,"ता तियां ही दिना मन्ज पतरस तैड़ी लगभग अक्क सो बीह विस्वासी मणु रै मन्जै खड़ी करी बलणा लगा, "
ACT,1,16,"“हे भाईओ, जरूरी थू की पवित्रग्रन्था रा लिखुरा पुरा भोआ जैडा पवित्र आत्मा दाऊद रै मूँहा थऊँ यहूदा रै वारै मन्ज, पैहलै ही दस्सी दितुरा थु, जैडा यीशु जो पकड़ाणै बाळा रा अगुवा थु।” "
ACT,1,17,"“क्ओकि सो ता असु मन्ज ही गिणी गो हा, अतै ऐसा सेवकाई मन्ज सहभागी भी भुआ। "
ACT,1,18,"(तिनी अधर्म री कमाई सितै बगड़ी खरीदी लैई, अतै मुण्ड़ा रै भारै पैऊ हा अतै तसेरा पेट फटी गोआ अतै तसेरी सब आन्तड़ी नकैई गई हिन। "
ACT,1,19,"ऐसा गल्ला जो यरूशलेम रै सब रैहणै बाळै जाणी गै, ऐठी तक कि तैसा बगड़ी रा नां तसेरी बोली मन्ज ‘हकलदमा’ मतलब ‘खूना री बगड़ी’ पैई गो।)” "
ACT,1,20,"भजन संहिता मन्ज लिखुरा, “तसेरा घर उजड़ी गच्छा, अतै तैत मन्ज कोई ना बसा, अतै तसेरा औह्दा कोई होर लैई लेय्आ।” "
ACT,1,21,“ठेरैतांये जैतनै दिन तक प्रभु यीशु असु सोगी इन्दा गान्दा रैऊ मतलब यूहन्‍ना रै बपतिस्मा थऊँ लैई करी तैसिओ इन्दै सामणै ऊपर स्वर्गा जो चुकणै तक जैड़ै मणु बराबर असु सोगी रैह। 
ACT,1,22,ठीक ता ऐह हा कि तियां मन्ज अक्क मणु असु सोगी तसेरै दोवारा जी भूणै थऊँ बादा रा गवाह भूच्ची गच्छा।” 
ACT,1,23,"ता तिन्ये दूँ जीणा जो खड़ेरू, अक्क यूसुफ जैसिओ बरसबा भी बलदै थियै, जैसेरा दुआ नां यूसतुस हा, अतै दूँआ मत्तियाह जो, "
ACT,1,24,"अतै ऐह प्रार्थना करी, “हे प्रभु, तु जैडा सबी रै मना जो जाणदा, ऐह प्रकट कर कि इन्या दूनी मन्ज तैंई कसिओ चुणु हा, "
ACT,1,25,ताकि ऐह तैहा सेवकाई अतै प्रेरिताई री जगह लैई सकन जैतिओ यहूदा छड़ी करी तैहा जगह जो गच्छुरा हा जठेरै सो लायक थू।” 
ACT,1,26,"ता तिन्ये तंयारै बारै मन्ज चिट्ठी पाई, अतै चिट्ठी मन्ज मत्तियाह रा नां निकळू। ता सो तियां ग्यारह प्रेरिता सोगी गिणआ गो। "
ACT,2,1,"जैहणै यहूदी रा पिन्तेकुस्त रा त्यौहार आ, ता सो सब अक्की जगह इकट्ठै थियै। "
ACT,2,2,"अकदम अम्बरा थऊँ बड़ी आँधी री आवाज आई, अतै पुरा घर जैड़ी सो बैहुरै थियै, हिली गो। "
ACT,2,3,अतै तियां जो जीभा साईयें अग निकळदी हुजी अतै तियां मन्ज सबी पुर इच्ची रूकी। 
ACT,2,4,"सो सब पवित्र आत्मा मन्ज भरी गै, अतै जिंआं आत्मै तियां जो बलनै री सामर्थ दिती, सो अलग अलग बोली बलणा लगी पै। "
